年份,固定资产投资(不含农户)设备工器具购置,农、林、牧、渔业固定资产投资(不含农户)设备工器具购置,农业固定资产投资(不含农户)设备工器具购置,林业固定资产投资(不含农户)设备工器具购置,畜牧业固定资产投资(不含农户)设备工器具购置,渔业固定资产投资(不含农户)设备工器具购置,农、林、牧、渔服务业固定资产投资(不含农户)设备工器具购置,采矿业固定资产投资(不含农户)设备工器具购置,煤炭开采和洗选业固定资产投资(不含农户)设备工器具购置,石油和天然气开采业固定资产投资(不含农户)设备工器具购置,黑色金属矿采选业固定资产投资(不含农户)设备工器具购置,有色金属矿采选业固定资产投资(不含农户)设备工器具购置,非金属矿采选业固定资产投资(不含农户)设备工器具购置,其他采矿业固定资产投资(不含农户)设备工器具购置,制造业固定资产投资(不含农户)设备工器具购置,农副食品加工业固定资产投资(不含农户)设备工器具购置,食品制造业固定资产投资(不含农户)设备工器具购置,饮料制造业固定资产投资(不含农户)设备工器具购置,烟草制品业固定资产投资(不含农户)设备工器具购置,纺织业固定资产投资(不含农户)设备工器具购置,纺织服装、鞋、帽制造业固定资产投资(不含农户)设备工器具购置,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)设备工器具购置,木材加工及木竹藤棕草制品业固定资产投资(不含农户)设备工器具购置,家具制造业固定资产投资(不含农户)设备工器具购置,造纸及纸制品业固定资产投资(不含农户)设备工器具购置,印刷业和记录媒介的复制固定资产投资(不含农户)设备工器具购置,文教体育用品制造业固定资产投资(不含农户)设备工器具购置,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)设备工器具购置,化学原料及化学制品制造业固定资产投资(不含农户)设备工器具购置,医药制造业固定资产投资(不含农户)设备工器具购置,化学纤维制造业固定资产投资(不含农户)设备工器具购置,橡胶制品业固定资产投资(不含农户)设备工器具购置,塑料制品业固定资产投资(不含农户)设备工器具购置,非金属矿物制品业固定资产投资(不含农户)设备工器具购置,黑色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,有色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,金属制品业固定资产投资(不含农户)设备工器具购置,通用设备制造业固定资产投资(不含农户)设备工器具购置,专用设备制造业固定资产投资(不含农户)设备工器具购置,交通运输设备制造业固定资产投资(不含农户)设备工器具购置,电气机械及器材制造业固定资产投资(不含农户)设备工器具购置,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)设备工器具购置,仪器仪表文化办公用机械制造业固定资产投资(不含农户)设备工器具购置,工艺品及其他制造业固定资产投资(不含农户)设备工器具购置,废弃资源和废旧材料回收加工业固定资产投资(不含农户)设备工器具购置,电力燃气水的生产供应业固定资产投资(不含农户)设备工器具购置,电力、热力的生产和供应业固定资产投资(不含农户)设备工器具购置,燃气生产和供应业固定资产投资(不含农户)设备工器具购置,水的生产和供应业固定资产投资(不含农户)设备工器具购置,建筑业固定资产投资(不含农户)设备工器具购置,房屋和土木工程建筑业固定资产投资(不含农户)设备工器具购置,建筑安装业固定资产投资(不含农户)设备工器具购置,建筑装饰业固定资产投资(不含农户)设备工器具购置,其他建筑业固定资产投资(不含农户)设备工器具购置,交通运输、仓储和邮政业固定资产投资(不含农户)设备工器具购置,铁路运输业固定资产投资(不含农户)设备工器具购置,道路运输业固定资产投资(不含农户)设备工器具购置,城市公共交通业固定资产投资(不含农户)设备工器具购置,水上运输业固定资产投资(不含农户)设备工器具购置,航空运输业固定资产投资(不含农户)设备工器具购置,管道运输业固定资产投资(不含农户)设备工器具购置,装卸搬运和其他运输服务业固定资产投资(不含农户)设备工器具购置,仓储业固定资产投资(不含农户)设备工器具购置,邮政业固定资产投资(不含农户)设备工器具购置,信息传输、计算机服务和软件业固定资产投资(不含农户)设备工器具购置,电信和其他信息传输服务业固定资产投资(不含农户)设备工器具购置,计算机服务业固定资产投资(不含农户)设备工器具购置,软件业固定资产投资(不含农户)设备工器具购置,批发和零售业固定资产投资(不含农户)设备工器具购置,批发业固定资产投资(不含农户)设备工器具购置,零售业固定资产投资(不含农户)设备工器具购置,住宿和餐饮业固定资产投资(不含农户)设备工器具购置,住宿业固定资产投资(不含农户)设备工器具购置,餐饮业固定资产投资(不含农户)设备工器具购置,金融业固定资产投资(不含农户)设备工器具购置,银行业固定资产投资(不含农户)设备工器具购置,证券业固定资产投资(不含农户)设备工器具购置,保险业固定资产投资(不含农户)设备工器具购置,其他金融活动固定资产投资(不含农户)设备工器具购置,房地产业固定资产投资(不含农户)设备工器具购置,租赁和商务服务业固定资产投资(不含农户)设备工器具购置,租赁业固定资产投资(不含农户)设备工器具购置,商务服务业固定资产投资(不含农户)设备工器具购置,科学研究、技术服务和地质勘查业固定资产投资(不含农户)设备工器具购置,研究与试验发展固定资产投资(不含农户)设备工器具购置,专业技术服务业固定资产投资(不含农户)设备工器具购置,科技交流和推广服务业固定资产投资(不含农户)设备工器具购置,地质勘查业固定资产投资(不含农户)设备工器具购置,水利、环境和公共设施管理业固定资产投资(不含农户)设备工器具购置,水利管理业固定资产投资(不含农户)设备工器具购置,环境管理业固定资产投资(不含农户)设备工器具购置,公共设施管理业固定资产投资(不含农户)设备工器具购置,居民服务和其他服务业固定资产投资(不含农户)设备工器具购置,居民服务业固定资产投资(不含农户)设备工器具购置,其他服务业固定资产投资(不含农户)设备工器具购置,教育固定资产投资(不含农户)设备工器具购置,卫生、社会保障和社会福利业固定资产投资(不含农户)设备工器具购置,卫生固定资产投资(不含农户)设备工器具购置,社会保障业固定资产投资(不含农户)设备工器具购置,社会福利业固定资产投资(不含农户)设备工器具购置,文化、体育和娱乐业固定资产投资(不含农户)设备工器具购置,新闻出版业固定资产投资(不含农户)设备工器具购置,广播、电视、电影和音像业固定资产投资(不含农户)设备工器具购置,文化艺术业固定资产投资(不含农户)设备工器具购置,体育固定资产投资(不含农户)设备工器具购置,娱乐业固定资产投资(不含农户)设备工器具购置,公共管理和社会组织固定资产投资(不含农户)设备工器具购置,中国共产党机关固定资产投资(不含农户)设备工器具购置,国家机构固定资产投资(不含农户)设备工器具购置,人民政协和民主党派固定资产投资(不含农户)设备工器具购置,群众团体、社会团体和宗教组织固定资产投资(不含农户)设备工器具购置,基层群众自治组织固定资产投资(不含农户)设备工器具购置,国际组织固定资产投资(不含农户)设备工器具购置
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,114057.5077,3074.752,1421.7275,190.8437,760.7532,219.0894,482.3382,2012.3587,793.5224,250.942,209.2999,198.2079,483.3716,15.7464,73220.2567,3367.5233,1848.7115,,47.8429,3147.687,,,1558.2009,1151.9745,1210.3453,744.3286,,1026.9537,5336.0006,1885.0325,531.1369,,,5799.3785,1542.9262,2060.6782,3932.072,5745.7511,4792.8916,,5535.2373,5869.2427,,,534.1874,9167.4824,7947.1835,476.6292,743.6697,510.2016,,62.1172,,,6191.74,1313.9178,1964.0004,,364.7729,1246.5413,67.5163,217.8885,956.1801,60.9227,2651.3293,1116.4721,,,2905.3831,1677.4436,1227.9395,615.8615,364.1206,251.7409,157.4236,,,12.8936,17.1825,2418.0898,2193.4438,1000.9546,1192.4892,1341.2086,309.7791,407.1938,624.2357,,3892.8114,338.6096,438.7866,3115.4152,417.0475,193.3279,100.5461,819.7074,1036.0979,868.4754,9.7149,,793.0798,11.3352,75.3314,292.0532,125.4229,288.9371,639.2326,2.6963,525.1411,0.6097,31.9761,69.0945,
2016,111859.8766,2982.0952,1321.8608,189.8119,772.7809,188.4704,509.1712,2388.1924,871.6375,227.2343,278.3922,275.2984,619.7086,18.4892,70857.3248,3479.8291,1874.0094,,68.0617,3144.1523,,,1453.297,969.8496,1193.0797,762.0049,,1057.6013,5954.751,1992.0018,502.6863,,,5825.3779,1719.9771,2181.5268,3895.5647,5514.5135,4724.3485,,5106.1797,4662.1287,,,423.2745,9677.6746,8427.8656,526.4719,723.3371,616.3004,,66.7283,,,5919.8086,1048.5892,1834.7529,,560.4119,1197.0383,61.512,206.7849,960.9822,49.7372,2358.9924,1181.5582,,,3339.1677,2001.7353,1337.4324,623.9401,366.6484,257.2917,247.6752,,,13.8423,45.9446,2385.7328,2245.9677,1219.8199,1026.1478,1204.8547,264.6942,412.4255,527.735,,3373.0017,359.1272,360.9897,2652.8848,415.7602,166.6764,108.2408,746.0168,963.5718,818.4527,9.6579,,824.788,18.4006,125.3733,264.4751,125.5346,291.0044,689.0115,2.1203,562.9128,0.7623,34.598,78.9602,
2015,109522.753,2641.9961,1039.7794,166.4672,785.4649,173.4649,476.8197,3062.2291,1194.164,359.7181,398.1633,332.4039,655.3873,19.3351,70419.1843,3369.067,1770.4804,,74.7172,2855.9147,,,1472.5918,900.3511,1170.9399,749.0568,,1078.5615,6333.0507,1908.6747,596.2812,,,6049.8003,1860.7859,2450.4341,3680.2027,5633.8661,4913.3104,,4632.797,3848.1326,,,404.3926,9036.8228,7669.9531,655.7958,711.0739,777.5067,,100.6771,,,6429.4241,1586.7827,1731.7292,,578.7323,1013.0245,62.1572,263.4706,1141.2419,52.2857,2091.2189,1110.2967,,,3336.4049,1950.2988,1386.1061,704.9763,437.8197,267.1566,217.2819,,,15.441,22.0435,2036.2537,1524.1722,667.0681,857.1041,1135.659,294.0365,437.4341,404.1884,,2695.5602,293.6258,266.5187,2135.4157,408.1416,149.3456,80.4869,754.1149,864.6624,771.9542,8.6154,,747.8057,9.5775,90.5408,296.0292,76.6944,274.9638,639.3382,2.2767,503.5727,0.3785,46.7005,77.7944,
2014,99387.507,2074.563,726.0771,123.9536,680.7269,154.0042,389.8012,3552.1623,1429.5479,432.1991,484.5329,396.913,669.6407,16.4358,64740.5832,3122.061,1494.4109,,87.8031,2445.4247,,642.4717,1196.7691,725.8902,1160.4942,662.3965,558.7162,1389.0115,6204.3819,1726.0094,514.2796,722.5482,1705.7546,5904.5036,2092.2916,2484.9795,3219.6415,4967.1442,4410.765,,4160.7959,3609.2366,549.0896,,373.9703,8013.4837,6888.8566,582.4047,542.2224,608.996,,70.8959,46.1092,,5932.4295,1829.5983,1497.4384,621.5734,671.705,755.0017,63.8071,260.6265,823.5606,30.6919,1677.4608,1056.9307,,442.1527,2440.567,1401.2664,1039.3006,643.4993,406.3353,237.164,240.7766,,,12.0453,13.068,2107.5924,1275.6912,588.0102,687.681,1027.2484,291.6151,424.8582,310.7751,57.6634,2185.9805,252.5033,240.3173,1693.1599,307.1871,116.3296,57.4002,561.2078,767.6527,709.5585,7.1537,58.0942,659.7195,13.119,136.936,218.674,72.3415,218.649,570.706,1.2846,445.2919,1.345,53.9837,61.6471,
2013,89296.3778,1760.4792,537.8117,113.1621,606.5633,137.8048,365.1373,3829.1334,1596.6863,392.6557,531.9131,452.9616,651.2295,18.1732,59706.2762,2911.4008,1328.3764,,119.4071,2240.911,,,1058.835,631.9603,1135.5179,538.7387,,1315.8319,5974.1545,1593.3797,543.5762,,,5457.3374,2414.0245,2452.2794,2763.3227,4415.9142,4032.6081,,3666.5193,3180.2361,,,330.2384,6845.4549,5720.8142,654.178,470.4627,573.6618,,61.4678,,,5124.5931,1306.8401,1318.9875,,608.4169,842.081,79.6095,213.651,730.9011,24.106,1209.5325,793.5626,,,1926.9013,1082.4982,844.4031,656.2577,432.8729,223.3848,212.5164,,,9.4756,17.8873,1958.558,676.4433,187.7695,488.6738,742.9656,201.0281,272.6923,269.2452,,1844.0512,272.2691,185.5258,1386.2563,287.1147,100.31,62.1739,408.7089,561.1418,520.2186,8.435,,534.834,12.0165,75.0041,194.808,78.2247,174.7807,437.7538,5.9842,324.667,1.296,50.939,46.4326,
2012,75938.3221,1354.0478,460.1132,70.4571,445.8092,96.3653,281.303,3696.775,1668.3258,333.1146,545.2644,405.4498,625.354,15.6117,50299.5848,2349.7301,1127.1028,,88.6652,1800.3564,,438.619,883.6754,464.2739,988.1687,440.7738,394.3931,1012.543,5137.8782,1230.5357,462.2738,630.5718,1227.3476,4853.108,2359.5018,1888.2792,2330.4567,3520.892,3353.3516,,3467.5049,2598.9225,480.1545,,245.0239,6048.2779,5136.6367,497.8926,413.7486,464.2425,,39.9417,27.8669,,4548.7827,1273.5398,1106.3465,528.284,674.687,715.0629,52.1528,143.9059,564.1181,18.9697,1051.2342,731.1414,,,1501.1539,832.4008,668.7531,597.6265,394.4359,203.1906,179.8996,,1.8652,17.0907,8.9648,1647.7171,505.019,156.5742,348.4448,538.7598,181.8797,203.9698,152.9103,50.0882,1391.5311,194.1522,145.4021,1051.9768,258.7077,88.0497,62.9042,394.522,468.3802,442.5742,8.4323,25.806,459.9683,3.8778,51.3732,145.3638,60.1173,199.2362,532.092,2.1772,416.1484,4.9073,59.5317,40.8951,
2011,63580.0232,1050.9182,307.7569,44.133,367.4284,93.8253,237.7746,3352.9089,1591.1298,416.1531,463.3916,350.0237,516.7132,15.4975,42368.1873,1819.8153,892.9401,645.8739,112.3904,1762.1241,789.1151,315.9783,732.9591,370.1655,900.8762,365.708,158.0728,949.5944,4016.7454,991.6857,380.5727,541.2704,1070.3027,4230.8967,1858.7663,1632.1448,2005.6599,3244.6508,2227.7098,3393.3856,3416.3172,2609.0944,449.1554,328.5388,155.6775,5334.2012,4648.9981,369.4394,315.7637,435.9473,294.898,37.7072,36.837,66.5051,3848.2654,1296.7765,457.7557,360.3273,705.0555,406.6008,41.8975,97.4071,467.7552,14.6898,922.4567,824.8738,40.2732,57.3097,1133.1141,633.5836,499.5305,431.7191,275.5668,156.1523,147.6644,99.3225,5.6761,5.0542,37.6116,1168.8445,441.1714,185.1056,256.0658,314.0757,126.2433,99.8604,58.9275,29.0445,1001.0692,139.1084,157.7045,704.2563,160.847,78.374,82.473,290.1147,370.7658,351.0782,5.8554,13.8322,340.5138,10.8393,49.2172,98.056,23.9944,158.4069,467.2385,4.8542,390.7591,0.0947,25.2476,46.2829,
2010,51692.6115,540.7,94.7,32.8,214.4,43.2,155.6,2886.0,1256.9,584.1,395.5,299.8,337.8,11.9,31844.4,1359.1,756.8,536.7,87.1,1086.3,531.9,238.6,554.0,270.6,627.6,303.8,91.4,842.0,3126.9,739.4,200.6,396.0,770.2,3139.0,1743.0,1253.4,1508.6,2346.9,1629.7,2899.2,2113.8,2004.9,306.9,261.3,119.0,5690.6,5086.7,302.5,301.3,390.7,282.5,38.1,21.9,48.3,3901.0,1338.9,422.4,482.2,720.5,458.1,26.4,89.3,350.6,12.6,1211.6,1129.4,38.5,43.7,910.0,490.1,419.9,372.5,211.2,161.4,133.6,106.4,4.6,3.6,19.0,783.1,333.7,116.0,217.7,303.8,115.9,93.8,53.7,40.4,837.7,104.4,170.4,562.9,102.9,52.4,50.5,301.8,368.7,351.2,4.5,12.9,298.8,5.2,67.8,70.0,33.3,122.5,480.8,3.6,423.8,1.0,10.1,42.3,
