年份,固定资产投资(不含农户)房屋施工面积,固定资产投资(不含农户)住宅施工面积,固定资产投资(不含农户)房屋竣工面积,固定资产投资(不含农户)住宅竣工面积,固定资产投资(不含农户)竣工房屋价值,固定资产投资(不含农户)竣工住宅价值
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,1172355.5349,577521.8955,232469.8889,98419.8425,,
2015,1193995.0063,579855.6153,265656.2715,100357.6205,,
2014,1251886.5707,594324.924,264780.9237,108775.4595,579874713.0,265486426.0
2013,1227045.6103,573119.8875,257234.1228,107375.4864,545053003.0,246699652.0
2012,1061721.7798,516796.9996,241315.7338,107326.9568,488007007.0,234420985.0
2011,917063.7233,465729.719,226020.0107,102513.1768,424093845.0,208291533.0
2010,706379.244,376588.508,175429.6232,86879.8414,316269857.0,162708363.0
2009,577357.2749,312039.6636,164539.273,82101.491,271283551.0,140813198.0
2008,489110.5819,269918.3976,147066.4088,75969.0582,215153256.0,113715961.0
2007,414941.7508,226159.6527,134247.4992,68820.7793,180434095.0,96222015.0
2006,345152.0421,187898.404,120705.2581,63046.9064,153401097.0,81962293.0
2005,304904.3485,166143.4387,118125.8101,66141.9282,139523767.0,76827558.0
2004,259252.19,142936.6,101033.76,56897.34,111189827.0,61440621.0
2003,221258.13,124386.45,93114.71,54971.52,101264230.0,58836604.0
2002,189973.42,113848.52,93018.27,59793.64,84352735.0,49200445.0
2001,166837.58,103643.56,85278.88,57476.46,74635494.0,44636520.0
2000,151691.32,94441.64,80507.92,54859.85,70145529.0,41221166.0
