年份,全社会固定资产投资,城镇固定资产投资
2019,560874.3,551478
2018,645675.0,635636
2017,641238.4,631684
2016,606465.7,596501
2015,561999.8,551590
2014,512020.7,501265
2013,446294.1,435747
2012,374694.7,364854
2011,311485.1,302396
2010,278121.9,241431
2009,224598.8,193920
2008,172828.4,148738
2007,137323.9,117464
2006,109998.2,93369
2005,88773.6,75095
2004,70477.4,59028
2003,55566.6,45812
2002,43499.9,35488.76
2001,37213.5,30001.24
2000,32917.7,26221.8
