年份,房地产开发企业主营业务收入,房地产开发企业土地转让收入,房地产开发企业商品房销售收入,房地产开发企业房屋出租收入,房地产开发企业其他收入,房地产开发企业主营业务税金及附加,房地产开发企业营业利润
2019,110239.78445,874.13529,104126.41556,1539.29019,3699.94341,,15439.34738
2018,112924.68434,1207.38343,106688.37714,1484.30312,3544.62065,6785.53282,18543.70907
2017,95896.90064,838.41784,90609.14726,1568.32252,2881.01302000001,5751.77422,11728.11158
2016,90091.50637,666.32482,85163.32261,1786.96723,2474.89171,6651.61594,8673.2287
2015,70174.34165,600.54252,65861.30303,1600.42033,2112.07577,6202.37582,6165.53628
2014,66463.80279,571.95485,62535.06186,1464.09921,1892.68687,5968.42816,6143.1343
2013,70706.66512,671.42085,66697.98871,1364.00634,1973.24922,6204.18097,9562.67185
2012,51028.41038,819.38957,47463.48767,1151.54839,1593.98475,4610.87435,6001.32651
2011,44491.27632,664.66275,41697.90713,904.27636,1224.43008,3832.97946,5798.57568
2010,42996.4803,519.1917,40585.3326,742.9162,1149.0398,3464.6621,6111.4831
2009,34606.2342,498.0475,32507.8328,544.2732,1056.0807,2585.4899,4728.5843
2008,26696.8448,466.848,24394.1196,521.4733,1314.4011,1829.1968,3432.2297
2007,23397.1284,427.9204,21604.2073,386.8068,978.1939,1660.2966,2436.6117
2006,18046.7598,300.648,16621.3595,316.7902,807.9621,1127.1214,1669.8882
2005,14769.3468,341.4314,13316.7682,290.2876,820.8596,845.2536,1109.1896
2004,13314.4608,410.0917,11752.2041,305.5765,846.5884,413.0409,857.9651
2003,9137.2734,279.72,8153.6881,164.3335,539.5318,493.7227,430.3655
2002,7077.8478,225.1311,6145.799,144.5728,562.3449,370.1458,252.9148
2001,5471.6555,188.9894,4729.4194,117.3453,435.9014,273.4549,125.4738
2000,4515.7119,129.6054,3896.8215,95.3237,393.9613,214.5704,73.2836
