年份,能源工业固定资产投资(不含农户),煤炭开采及洗选业固定资产投资(不含农户),石油及天然气开采业固定资产投资(不含农户),石油及炼焦加工业固定资产投资(不含农户),电力、热力及燃气的生产和供应业固定资产投资(不含农户)
2019,,,,,
2018,,,,,
2017,32259.0626,2648.3765,2648.9285,2676.7672,24284.9904
2016,32837.3646,3037.6841,2330.9704,2696.2344,24772.4757
2015,32562.1334,4006.6554,3424.9259,2538.6483,22591.9038
2014,31514.8909,4684.4669,3947.8658,3208.4923,19674.0659
2013,29008.9121,5212.5675,3820.6143,3039.1319,16936.5984
2012,25499.7995,5370.2389,3076.5136,2500.4517,14552.5953
2011,23045.5899,4907.2605,3021.9589,2268.4785,12847.892
2010,21627.1,3784.6615,2927.9883,2035.0832,12879.367
2009,19477.9486,3056.9292,2791.482,1839.8163,11789.7211
2008,16345.5377,2399.2474,2675.0724,1827.5052,9443.6757
2007,13698.6212,1804.5849,2225.4951,1415.3806,8253.1606
2006,11826.2998,1459.0224,1822.228,939.2854,7605.764
2005,10205.6252,1162.9453,1463.5591,801.2924,6777.8284
2004,7504.7956,690.42,1112.28,637.91,5064.1856
2003,5508.3627,436.4297,945.9899,322.0402,3803.9029
2002,4261.94,301.19,814.63,235.97,2822.82
2001,3818.18,222.19,809.65,241.99,2467.78
2000,3991.48,211.39,789.41,172.55,2744.47
