年份,固定资产投资(不含农户)项目建成投产率,农、林、牧、渔业固定资产投资(不含农户)项目建成投产率,农业固定资产投资(不含农户)项目建成投产率,林业固定资产投资(不含农户)项目建成投产率,畜牧业固定资产投资(不含农户)项目建成投产率,渔业固定资产投资(不含农户)项目建成投产率,农、林、牧、渔服务业固定资产投资(不含农户)项目建成投产率,采矿业固定资产投资(不含农户)项目建成投产率,煤炭开采和洗选业固定资产投资(不含农户)项目建成投产率,石油和天然气开采业固定资产投资(不含农户)项目建成投产率,黑色金属矿采选业固定资产投资(不含农户)项目建成投产率,有色金属矿采选业固定资产投资(不含农户)项目建成投产率,非金属矿采选业固定资产投资(不含农户)项目建成投产率,其他采矿业固定资产投资(不含农户)项目建成投产率,制造业固定资产投资(不含农户)项目建成投产率,农副食品加工业固定资产投资(不含农户)项目建成投产率,食品制造业固定资产投资(不含农户)项目建成投产率,饮料制造业固定资产投资(不含农户)项目建成投产率,烟草制品业固定资产投资(不含农户)项目建成投产率,纺织业固定资产投资(不含农户)项目建成投产率,纺织服装、鞋、帽制造业固定资产投资(不含农户)项目建成投产率,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)项目建成投产率,木材加工及木竹藤棕草制品业固定资产投资(不含农户)项目建成投产率,家具制造业固定资产投资(不含农户)项目建成投产率,造纸及纸制品业固定资产投资(不含农户)项目建成投产率,印刷业和记录媒介的复制固定资产投资(不含农户)项目建成投产率,文教体育用品制造业固定资产投资(不含农户)项目建成投产率,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)项目建成投产率,化学原料及化学制品制造业固定资产投资(不含农户)项目建成投产率,医药制造业固定资产投资(不含农户)项目建成投产率,化学纤维制造业固定资产投资(不含农户)项目建成投产率,橡胶制品业固定资产投资(不含农户)项目建成投产率,塑料制品业固定资产投资(不含农户)项目建成投产率,非金属矿物制品业固定资产投资(不含农户)项目建成投产率,黑色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,有色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,金属制品业固定资产投资(不含农户)项目建成投产率,通用设备制造业固定资产投资(不含农户)项目建成投产率,专用设备制造业固定资产投资(不含农户)项目建成投产率,交通运输设备制造业固定资产投资(不含农户)项目建成投产率,电气机械及器材制造业固定资产投资(不含农户)项目建成投产率,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)项目建成投产率,仪器仪表文化办公用机械制造业固定资产投资(不含农户)项目建成投产率,工艺品及其他制造业固定资产投资(不含农户)项目建成投产率,废弃资源和废旧材料回收加工业固定资产投资(不含农户)项目建成投产率,电力、燃气及水的生产和供应业固定资产投资(不含农户)项目建成投产率,电力、热力的生产和供应业固定资产投资(不含农户)项目建成投产率,燃气生产和供应业固定资产投资(不含农户)项目建成投产率,水的生产和供应业固定资产投资(不含农户)项目建成投产率,建筑业固定资产投资(不含农户)项目建成投产率,房屋和土木工程建筑业固定资产投资(不含农户)项目建成投产率,建筑安装业固定资产投资(不含农户)项目建成投产率,建筑装饰业固定资产投资(不含农户)项目建成投产率,其他建筑业固定资产投资(不含农户)项目建成投产率,交通运输、仓储和邮政业固定资产投资(不含农户)项目建成投产率,铁路运输业固定资产投资(不含农户)项目建成投产率,道路运输业固定资产投资(不含农户)项目建成投产率,城市公共交通业固定资产投资(不含农户)项目建成投产率,水上运输业固定资产投资(不含农户)项目建成投产率,航空运输业固定资产投资(不含农户)项目建成投产率,管道运输业固定资产投资(不含农户)项目建成投产率,装卸搬运和其他运输服务业固定资产投资(不含农户)项目建成投产率,仓储业固定资产投资(不含农户)项目建成投产率,邮政业固定资产投资(不含农户)项目建成投产率,信息传输、计算机服务和软件业固定资产投资(不含农户)项目建成投产率,电信和其他信息传输服务业固定资产投资(不含农户)项目建成投产率,计算机服务业固定资产投资(不含农户)项目建成投产率,软件业固定资产投资(不含农户)项目建成投产率,批发和零售业固定资产投资(不含农户)项目建成投产率,批发业固定资产投资(不含农户)项目建成投产率,零售业固定资产投资(不含农户)项目建成投产率,住宿和餐饮业固定资产投资(不含农户)项目建成投产率,住宿业固定资产投资(不含农户)项目建成投产率,餐饮业固定资产投资(不含农户)项目建成投产率,金融业固定资产投资(不含农户)项目建成投产率,银行业固定资产投资(不含农户)项目建成投产率,证券业固定资产投资(不含农户)项目建成投产率,保险业固定资产投资(不含农户)项目建成投产率,其他金融活动固定资产投资(不含农户)项目建成投产率,房地产业固定资产投资(不含农户)项目建成投产率,租赁和商务服务业固定资产投资(不含农户)项目建成投产率,租赁业固定资产投资(不含农户)项目建成投产率,商务服务业固定资产投资(不含农户)项目建成投产率,科学研究、技术服务和地质勘查业固定资产投资(不含农户)项目建成投产率,研究与试验发展固定资产投资(不含农户)项目建成投产率,专业技术服务业固定资产投资(不含农户)项目建成投产率,科技交流和推广服务业固定资产投资(不含农户)项目建成投产率,地质勘查业固定资产投资(不含农户)项目建成投产率,水利、环境和公共设施管理业固定资产投资(不含农户)项目建成投产率,水利管理业固定资产投资(不含农户)项目建成投产率,环境管理业固定资产投资(不含农户)项目建成投产率,公共设施管理业固定资产投资(不含农户)项目建成投产率,居民服务和其他服务业固定资产投资(不含农户)项目建成投产率,居民服务业固定资产投资(不含农户)项目建成投产率,其他服务业固定资产投资(不含农户)项目建成投产率,教育固定资产投资(不含农户)项目建成投产率,卫生、社会保障和社会福利业固定资产投资(不含农户)项目建成投产率,卫生固定资产投资(不含农户)项目建成投产率,社会保障业固定资产投资(不含农户)项目建成投产率,社会福利业固定资产投资(不含农户)项目建成投产率,文化、体育和娱乐业固定资产投资(不含农户)项目建成投产率,新闻出版业固定资产投资(不含农户)项目建成投产率,广播、电视、电影和音像业固定资产投资(不含农户)项目建成投产率,文化艺术业固定资产投资(不含农户)项目建成投产率,体育固定资产投资(不含农户)项目建成投产率,娱乐业固定资产投资(不含农户)项目建成投产率,公共管理和社会组织固定资产投资(不含农户)项目建成投产率,中国共产党机关固定资产投资(不含农户)项目建成投产率,国家机构固定资产投资(不含农户)项目建成投产率,人民政协和民主党派固定资产投资(不含农户)项目建成投产率,群众团体、社会团体和宗教组织固定资产投资(不含农户)项目建成投产率,基层群众自治组织固定资产投资(不含农户)项目建成投产率,国际组织固定资产投资(不含农户)项目建成投产率
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,69.66,74.21,72.91,74.4,74.86,72.76,76.94,75.04,73.61,70.82,72.08,74.36,77.56,74.05,73.02,74.25,73.25,,46.19,77.62,,,77.62,74.92,74.51,77.86,,64.8,72.7,62.12,68.78,,,75.59,70.88,68.95,75.99,75.24,73.53,,70.3,63.07,,,62.17,65.31,65.45,66.64,64.54,73.7,,78.71,,,63.82,45.05,64.05,,48.38,37.65,70.0,67.33,66.74,69.71,69.4,62.84,,,75.38,75.47,75.28,72.38,67.75,79.83,69.96,,,82.14,66.08,64.85,66.48,79.98,65.63,68.29,60.3,69.79,70.81,,65.1493571606492,66.66,64.25,64.93,76.99,74.83,80.86,64.9,60.1900525677315,58.53,71.77,,66.31,64.29,72.32,65.52,65.33,67.69,72.06,76.23,67.17,79.31,72.93,81.56,
2016,68.5,74.53,72.85,77.34,75.0,73.32,76.4,73.65,72.38,75.28,75.45,68.96,76.2,71.89,71.47,71.66,70.99,,52.14,77.61,,,76.46,73.18,73.1,74.61,,64.07,70.67,61.84,68.77,,,74.18,70.67,68.7,74.54,73.77,71.06,,69.0,63.04,,,72.37,63.32,62.93,63.52,64.0,70.84,,69.66,,,63.11,42.87,63.99,,48.24,35.11,64.99,61.19,65.0,60.61,63.61,61.96,,,74.38,74.78,73.97,70.79,65.85,78.27,65.89,,,67.2,68.8,61.47,63.77,71.78,63.25,66.96,59.23,68.73,69.07,,64.53,65.87,66.11,64.16,74.96,70.96,79.89,66.22,61.92,60.86,66.8,,64.59,49.17,68.18,64.07,62.29,67.32,69.14,75.45,67.38,58.82,70.23,73.04,
2015,73.98,79.09,77.47,80.36,81.13,76.55,79.53,78.17,75.08,73.76,81.8,79.48,79.34,78.23,77.21,78.03,75.81,,50.49,81.91,,,80.86,76.74,78.95,78.93,,72.49,76.57,68.61,76.41,,,78.57,76.2,75.0,79.51,79.39,76.45,,75.37,70.87,,,77.11,66.3,63.01,70.97,70.6,74.68,,80.73,,,68.24,43.99,69.17,,54.77,44.31,68.41,69.37,69.98,75.58,75.43,75.8,,,80.46,80.73,80.19,75.16,71.47,81.44,72.77,,,73.04,72.96,68.22,71.94,81.16,71.41,72.22,66.49,73.46,74.66,,69.7,70.84,70.66,69.38,76.72,75.66,74.06,69.73,65.55,64.2,72.1,,69.72,53.8,71.16,69.06,69.86,71.45,74.8,79.31,72.25,73.47,73.99,81.9,
2014,68.33,73.9,71.63,76.74,74.37,77.75,74.73,71.42,64.53,66.27,75.16,73.76,76.18,76.77,71.36,71.72,69.51,,58.05,76.76,,74.69,76.06,72.54,72.37,75.19,74.12,62.67,69.93,62.0,66.77,,,73.71,69.66,67.05,74.04,72.92,70.68,,69.65,66.11,67.99,,69.84,62.56,62.2,62.81,63.15,68.11,,75.67,,,62.81,34.79,64.34,,49.89,46.42,59.19,62.64,62.96,65.31,72.99,77.66,,,73.81,74.48,73.18,70.31,64.19,81.19,65.47,,,63.46,53.59,61.44,63.89,78.21,63.19,69.21,59.59,71.03,74.04,,64.54,67.33,65.29,63.86,71.84,68.05,75.93,64.95,59.77,58.29,62.13,63.9,63.39,54.55,67.39,60.25,64.62,69.04,67.79,67.37,66.49,66.67,67.87,74.76,
2013,63.7143482635982,71.47,68.92,74.2,71.54,72.61,73.65,68.13,64.87,67.71,72.01,67.37,71.43,63.58,66.51,66.97,66.26,,56.54,72.83,,,70.95,68.4,68.42,69.81,,53.48,66.16,57.95,64.83,,,70.01,64.47,63.01,69.03,68.62,65.49,,62.8,59.0,,,63.22,57.92,56.42,59.5,60.22,64.17,,73.84,,,58.1239174693853,31.91,60.15,,43.12,41.25,52.19,58.5,56.39,67.22,65.36,70.43,,,68.78,69.5,68.18,64.01,57.44,75.76,60.0,,,56.57,51.72,56.02,57.69,80.17,56.45,63.64,55.38,66.68,66.41,,59.61,64.66,61.38,58.3,69.88,68.0,67.11,60.95,57.72,55.85,57.26,,57.48,43.85,58.49,55.73,54.61,64.83,62.03,57.5,60.18,65.22,65.12,69.56,
2012,61.95,70.05,69.61,72.46,69.22,68.81,70.96,66.82,62.54,61.04,70.04,66.16,73.31,54.7,65.11,66.75,65.35,,46.64,68.78,,66.36,71.8,69.29,66.57,69.29,65.84,53.05,65.16,55.87,62.04,62.03,67.67,69.68,64.82,62.0,65.99,65.57,64.9,,60.09,57.9,60.06,,65.3,56.39,55.79,57.08,57.38,61.87,,70.41,74.45,,56.69,33.44,58.45,50.12,41.59,41.3,56.7,57.96,56.51,64.57,65.61,71.24,,,65.38,64.82,65.82,62.8,56.49,73.46,60.56,,46.67,60.0,51.55,52.39,54.26,70.17,53.53,58.7,53.67,60.96,59.92,63.94,57.17,63.04,58.34,55.72,66.95,66.1,64.86,59.16,54.09,53.7,62.74,55.53,56.22,43.0,60.22,54.47,52.31,62.93,60.65,50.0,58.41,53.13,63.42,69.4,
2011,63.33,72.1,69.4,73.9,72.3,74.4,73.9,66.3,59.3,65.2,71.8,64.4,74.4,77.9,65.8,67.8,67.7,65.5,46.6,71.5,71.9,69.4,74.0,68.7,67.6,69.5,67.8,54.5,65.0,56.8,63.5,65.5,68.0,69.9,58.5,59.1,67.4,66.7,63.6,58.8,60.4,58.7,62.5,61.0,67.2,56.7,55.4,57.8,58.9,63.2,61.6,66.0,77.6,70.1,59.2,35.6,61.5,46.6,42.3,42.2,59.7,62.3,59.2,50.7,62.9,66.5,62.8,43.8,69.1,68.1,69.8,65.4,58.5,75.5,64.4,63.1,73.1,51.1,71.8,55.4,57.4,68.8,56.8,61.4,50.4,67.1,61.3,71.1,58.6,61.9,60.7,57.4,67.9,67.1,69.5,59.3,54.0,53.4,46.5,61.2,56.2,33.3,59.3,55.5,46.4,61.3,62.4,63.1,60.5,50.0,59.5,72.2,
2010,62.4633310900588,72.14,64.65,73.19,72.52,71.82,76.32,67.83,61.78,63.03,72.31,65.5,76.84,68.92,63.23,67.87,63.65,63.88,53.52,64.17,64.69,61.32,75.15,66.68,65.89,66.92,61.3,56.52,64.0,54.84,52.57,59.97,66.81,69.27,58.52,54.15,64.56,64.53,62.27,55.32,56.52,49.76,58.82,59.69,57.41,56.83,55.52,57.68,59.02,65.59,64.53,68.4,82.64,67.78,61.89,42.6,64.49,47.53,54.15,40.96,50.44,58.84,57.43,64.68,48.78,48.1,76.5,43.94,73.33,69.55,75.74,69.07,60.73,78.48,67.96,66.32,75.38,65.28,75.0,63.46,56.22,75.56,55.25,57.08,40.27,61.48,65.6,63.7,56.37,63.72,53.94,54.65,71.42,71.32,71.59,61.7,58.81,57.75,52.46,65.73,58.65,43.97,62.13,55.06,51.5,66.68,63.61,65.75,64.07,77.78,57.76,62.38,
