年份,农村农户固定资产投资额,农村农户竣工房屋投资额,农村农户竣工住宅投资额,农村农户施工房屋建筑面积,农村农户竣工房屋建筑面积,农村农户竣工住宅建筑面积,农村农户竣工房屋造价,农村农户竣工住宅造价
2019,,,,,,,,
2018,,,,,,,,
2017,9554.4218,6446.2893,5899.2632,,,,886.368102630385,882.185581193642
2016,9964.90796267494,6812.57933348587,6331.26535878048,92039.7194773508,79649.1435088382,73051.415964297,855.323614714064,866.686192896632
2015,10409.7942,7157.1132,6709.5805,98376.7277,85316.7763,79380.2041,838.886970463276,845.246063054655
2014,10755.7781,7387.4955,6843.008,103672.9,90287.4,83769.5891,818.21998418384,816.884513045797
2013,10546.66437,7249.56145818642,6735.92041393052,109241.990480885,92661.6669195859,85952.9822396048,782.368988081962,783.675009105942
2012,9840.5896,6395.2795,6051.6278,105516.64,94187.82,87775.93,678.992198778993,689.440465056878
2011,9089.0662,5983.6723,5635.9895,118455.1518,103053.248,94939.0598,580.638884860767,593.642860153962
2010,7885.9749,5247.0234,4931.6906,106679.8095,94114.8139,87947.1392,557.513,560.7562
2009,7434.5097,5029.8904,4743.346,116099.3943,105683.0217,95570.4662,475.941198414844,496.319227958313
2008,5951.8033,3748.4803,3547.1316,91911.4354,84407.0042,78585.7483,444.095882270396,451.370849897474
2007,5123.2869,3228.3488,3022.0033,86665.6277,78321.2468,72676.4253,412.193233879928,415.81617251062
2006,4436.1963,2620.0992,2490.2,76189.4259,69237.8668,64563.6713,378.419977549048,385.696778057911
2005,3940.6124,2190.5994,2083.0704,73109.1761,66604.1703,62292.3868,328.8982,334.4021
2004,3362.674621,2031.036848,1933.387623,71112.06,65801.54,62303.49,308.660990001146,310.317708205431
2003,3200.957936,2053.207311,1926.905137,81123.66,75683.58,69741.1,271.288344314579,276.294055728975
2002,3123.233303,1956.47444,1858.076987,80344.99,75125.72,69840.97,260.426714046801,266.043983495647
2001,2976.558218,1908.174275,1775.037433,81048.18,74517.45,68799.28,256.070796169219,258.002326913886
2000,2904.2627,1969.317971,1846.847329,88231.83,81270.2,75515.31,242.317352608951,244.565946825882
