年份,外商投资企业固定资产投资(不含农户),农、林、牧、渔业外商投资企业固定资产投资(不含农户),农业外商投资企业固定资产投资(不含农户),林业外商投资企业固定资产投资(不含农户),畜牧业外商投资企业固定资产投资(不含农户),渔业外商投资企业固定资产投资(不含农户),农、林、牧、渔服务业外商投资企业固定资产投资(不含农户),采矿业外商投资企业固定资产投资(不含农户),煤炭开采和洗选业外商投资企业固定资产投资(不含农户),石油和天然气开采业外商投资企业固定资产投资(不含农户),黑色金属矿采选业外商投资企业固定资产投资(不含农户),有色金属矿采选业外商投资企业固定资产投资(不含农户),非金属矿采选业外商投资企业固定资产投资(不含农户),其他采矿业外商投资企业固定资产投资(不含农户),制造业外商投资企业固定资产投资(不含农户),农副食品加工业外商投资企业固定资产投资(不含农户),食品制造业外商投资企业固定资产投资(不含农户),饮料制造业外商投资企业固定资产投资(不含农户),烟草制品业外商投资企业固定资产投资(不含农户),纺织业外商投资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业外商投资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业外商投资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业外商投资企业固定资产投资(不含农户),家具制造业外商投资企业固定资产投资(不含农户),造纸及纸制品业外商投资企业固定资产投资(不含农户),印刷业和记录媒介的复制外商投资企业固定资产投资(不含农户),文教体育用品制造业外商投资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业外商投资企业固定资产投资(不含农户),化学原料及化学制品制造业外商投资企业固定资产投资(不含农户),医药制造业外商投资企业固定资产投资(不含农户),化学纤维制造业外商投资企业固定资产投资(不含农户),橡胶制品业外商投资企业固定资产投资(不含农户),塑料制品业外商投资企业固定资产投资(不含农户),非金属矿物制品业外商投资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业外商投资企业固定资产投资(不含农户),有色金属冶炼及压延加工业外商投资企业固定资产投资(不含农户),金属制品业外商投资企业固定资产投资(不含农户),通用设备制造业外商投资企业固定资产投资(不含农户),专用设备制造业外商投资企业固定资产投资(不含农户),交通运输设备制造业外商投资企业固定资产投资(不含农户),电气机械及器材制造业外商投资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业外商投资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业外商投资企业固定资产投资(不含农户),工艺品及其他制造业外商投资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业外商投资企业固定资产投资(不含农户),电力燃气水的生产供应业外商投资企业固定资产投资(不含农户),电力、热力的生产和供应业外商投资企业固定资产投资(不含农户),燃气生产和供应业外商投资企业固定资产投资(不含农户),水的生产和供应业外商投资企业固定资产投资(不含农户),建筑业外商投资企业固定资产投资(不含农户),房屋和土木工程建筑业外商投资企业固定资产投资(不含农户),建筑安装业外商投资企业固定资产投资(不含农户),建筑装饰业外商投资企业固定资产投资(不含农户),其他建筑业外商投资企业固定资产投资(不含农户),交通运输、仓储和邮政业外商投资企业固定资产投资(不含农户),铁路运输业外商投资企业固定资产投资(不含农户),道路运输业外商投资企业固定资产投资(不含农户),城市公共交通业外商投资企业固定资产投资(不含农户),水上运输业外商投资企业固定资产投资(不含农户),航空运输业外商投资企业固定资产投资(不含农户),管道运输业外商投资企业固定资产投资(不含农户),装卸搬运和其他运输服务业外商投资企业固定资产投资(不含农户),仓储业外商投资企业固定资产投资(不含农户),邮政业外商投资企业固定资产投资(不含农户),信息传输、计算机服务和软件业外商投资企业固定资产投资(不含农户),电信和其他信息传输服务业外商投资企业固定资产投资(不含农户),计算机服务业外商投资企业固定资产投资(不含农户),软件业外商投资企业固定资产投资(不含农户),批发和零售业外商投资企业固定资产投资(不含农户),批发业外商投资企业固定资产投资(不含农户),零售业外商投资企业固定资产投资(不含农户),住宿和餐饮业外商投资企业固定资产投资(不含农户),住宿业外商投资企业固定资产投资(不含农户),餐饮业外商投资企业固定资产投资(不含农户),金融业外商投资企业固定资产投资(不含农户),银行业外商投资企业固定资产投资(不含农户),证券业外商投资企业固定资产投资(不含农户),保险业外商投资企业固定资产投资(不含农户),其他金融活动外商投资企业固定资产投资(不含农户),房地产业外商投资企业固定资产投资(不含农户),租赁和商务服务业外商投资企业固定资产投资(不含农户),租赁业外商投资企业固定资产投资(不含农户),商务服务业外商投资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业外商投资企业固定资产投资(不含农户),研究与试验发展外商投资企业固定资产投资(不含农户),专业技术服务业外商投资企业固定资产投资(不含农户),科技交流和推广服务业外商投资企业固定资产投资(不含农户),地质勘查业外商投资企业固定资产投资(不含农户),水利、环境和公共设施管理业外商投资企业固定资产投资(不含农户),水利管理业外商投资企业固定资产投资(不含农户),环境管理业外商投资企业固定资产投资(不含农户),公共设施管理业外商投资企业固定资产投资(不含农户),居民服务和其他服务业外商投资企业固定资产投资(不含农户),居民服务业外商投资企业固定资产投资(不含农户),其他服务业外商投资企业固定资产投资(不含农户),教育外商投资企业固定资产投资(不含农户),卫生、社会保障和社会福利业外商投资企业固定资产投资(不含农户),卫生外商投资企业固定资产投资(不含农户),社会保障业外商投资企业固定资产投资(不含农户),社会福利业外商投资企业固定资产投资(不含农户),文化、体育和娱乐业外商投资企业固定资产投资(不含农户),新闻出版业外商投资企业固定资产投资(不含农户),广播、电视、电影和音像业外商投资企业固定资产投资(不含农户),文化艺术业外商投资企业固定资产投资(不含农户),体育外商投资企业固定资产投资(不含农户),娱乐业外商投资企业固定资产投资(不含农户),公共管理和社会组织外商投资企业固定资产投资(不含农户),中国共产党机关外商投资企业固定资产投资(不含农户),国家机构外商投资企业固定资产投资(不含农户),人民政协和民主党派外商投资企业固定资产投资(不含农户),群众团体、社会团体和宗教外商投资企业固定资产投资(不含农户),基层群众自治组织外商投资企业固定资产投资(不含农户),国际组织外商投资企业固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11312.2035,44.5606,11.3482,0.075,27.6272,1.605,3.9052,48.0923,9.6047,17.1152,0.6095,14.5786,4.5117,,7704.1802,288.6631,214.126,,0.2947,132.202,,,30.0935,66.7853,112.4397,22.5764,,85.627,565.1342,239.099,53.9009,,,180.3141,111.3089,101.3315,154.5802,352.2999,304.2963,,508.6913,1645.7872,,,35.0588,487.9216,298.2484,128.5094,61.1638,11.3314,,1.8157,,,278.1226,3.7614,9.543,,34.993,5.2092,6.0384,3.2066,215.2545,0.1165,233.3654,119.7995,,,93.2102,43.5673,49.6429,45.0347,38.0451,6.9896,21.0101,,,16.0405,,1986.9364,155.9885,89.3307,66.6578,68.011,39.7662,11.2832,16.9616,,61.1348,7.6295,22.1252,31.3801,5.4158,3.8503,0.6413,5.1796,22.697,18.062,,,39.9963,,1.105,1.8991,4.7613,32.2309,0.015,,,,,0.015,
2016,11846.3191,43.8557,16.3856,1.3458,20.0419,1.4717,4.6107,95.1427,21.1981,39.4208,5.7418,21.6837,7.0983,,8014.3679,309.061,219.9241,,,130.0332,,,41.5662,56.3475,154.5391,36.9678,,35.4995,615.8172,271.8472,45.4411,,,188.3876,89.2212,139.233,178.8823,355.8847,383.3436,,523.8846,1474.2349,,,24.0185,419.1089,305.2203,59.9988,53.8898,7.3401,,0.7796,,,345.7285,0.632,28.1245,,49.6352,,3.1083,9.746,252.7159,1.7666,264.9047,127.5203,,,129.9578,58.922,71.0358,72.1069,64.1507,7.9562,1.4902,,,0.3013,0.071,2012.3202,121.6221,90.7133,30.9088,76.155,42.1703,15.122,18.8627,,85.9977,2.7817,27.6143,55.6017,9.3404,6.9063,1.9622,7.8551,18.9053,18.2671,0.4849,,118.852,0.294,0.175,2.4025,6.7381,109.2424,1.2679,,0.468,,0.315,,
2015,10746.3431,110.7468,52.0954,6.2366,40.4147,6.3532,5.6469,58.7905,10.0618,19.7204,5.629,8.1048,15.1868,0.0877,6616.0743,163.8101,144.9642,,3.2427,108.8406,,,23.2092,40.4004,171.7366,23.0323,,155.8346,546.6685,186.5936,24.8733,,,125.6453,77.4751,67.7425,204.5779,344.9818,322.2019,,328.8047,1261.825,,,22.3986,251.5736,172.0974,53.0503,26.4259,7.0274,,,,,386.4665,,68.4505,,61.4452,5.2431,6.2965,49.4194,187.3811,8.2307,194.6155,92.2265,,,239.7372,142.073,97.6642,90.1158,75.3479,14.7679,36.0527,,,,33.0461,2279.3104,147.2227,39.8847,107.338,81.9837,45.7369,16.0258,20.221,,94.7731,1.2542,13.2318,80.2871,5.8216,2.7056,1.178,15.1423,6.9557,4.19,,,112.8305,0.708,3.4934,2.8037,7.3069,98.5185,11.1028,,2.825,,0.9842,7.2936,
2014,11052.5651,83.8997,30.2232,7.2446,38.1163,4.322,3.9936,54.1158,9.2432,22.3485,5.0951,9.4034,7.4004,0.2,6726.744,225.0461,177.8827,,2.6935,121.5884,78.0854,39.8494,38.5949,37.2092,192.2233,17.6456,48.5973,282.9079,719.4202,173.3892,28.4696,89.9233,79.1001,145.2013,92.7459,99.6684,182.4989,357.8306,283.4025,,332.9969,1097.2888,63.3662,29.4649,11.0683,245.3385,174.2444,36.377,34.7171,12.4412,,0.4,0.965,,364.4986,,42.8529,6.4072,51.9202,14.8773,8.4102,43.753,199.2603,3.4247,252.4463,185.2812,,,207.3467,90.5538,116.7929,110.5171,94.0732,16.4439,10.6412,,0.0511,4.9701,2.3221,2525.8276,135.8074,0.5389,135.2685,99.5444,56.9111,27.0714,15.5619,,81.9966,12.776,6.1978,63.0228,5.4701,3.8999,0.4452,22.492,4.0345,3.9092,,0.1253,106.6524,,0.9,2.156,6.1834,97.413,2.751,,1.166,,0.651,0.934,
2013,11130.3331,81.2008,29.2094,3.9091,41.8918,4.708,1.4825,90.7213,12.1091,25.5482,10.0565,34.1619,7.9826,0.7,6918.223,165.4357,167.8215,,7.1298,107.4329,,,38.8688,29.8241,205.6392,19.2628,,136.3328,671.4344,153.9915,51.1531,,,232.0125,103.5855,130.4862,196.3113,407.9621,350.5552,,321.4489,1013.9025,,,12.3164,238.4886,137.9668,79.3219,21.1999,7.9809,,0.87,,,243.2623,,48.9256,,50.1554,0.05,4.1558,12.5624,126.6754,0.7377,211.3268,160.382,,,192.3271,72.3074,120.0197,130.6167,102.9532,27.6635,9.9106,,,2.3775,2.1871,2663.36,82.7127,5.4598,77.2529,66.1307,31.5773,11.2731,23.2803,,67.0885,14.2309,10.8373,42.0203,6.2722,2.4837,3.6685,14.6923,5.1704,4.9185,,,95.1552,,1.335,12.8917,9.8136,71.1149,5.693,,3.655,,1.052,0.986,
2012,10547.1318,66.9456,31.9833,5.5845,21.8044,4.7248,2.8486,74.7411,12.0544,36.4755,4.8165,11.1521,8.9168,,6750.3144,172.21,187.1917,,8.618,104.644,92.4491,57.6455,40.3402,39.1492,199.9162,14.2684,44.9925,200.7649,584.3155,144.1246,64.4111,161.5602,94.5281,238.0318,135.3129,155.4916,202.1337,420.8244,426.715,,440.4832,857.3713,94.6397,,16.1757,178.4859,110.0659,52.6733,15.7467,15.587,,0.95,,,189.4854,0.1562,38.4779,3.543,38.8062,,1.0827,8.8194,101.7087,0.4343,197.2773,149.0216,,,167.5628,37.7281,129.8347,130.3722,96.1287,34.2435,13.7496,,,0.7377,,2418.4562,68.6763,3.2244,65.4519,67.6018,34.576,22.3776,10.6482,0.95,75.317,9.498,8.6102,57.2088,15.5122,1.0965,6.1276,11.7499,9.7126,9.2692,0.1622,0.4434,91.9943,,,4.8891,8.5045,78.6007,3.5902,,0.3837,0.8909,2.0213,0.1321,
2011,9285.9,56.3339,20.9096,5.4213,24.4431,3.9829,1.577,95.5329,12.2609,53.2258,4.73,15.4488,8.5904,1.277,5844.6277,162.0215,137.1399,120.5865,0.4195,123.1189,75.3355,52.0556,22.3459,32.0122,167.1502,16.4075,18.6442,79.1239,623.1753,121.5113,92.5506,116.4628,100.1917,249.7608,158.298,104.5801,182.2284,304.1553,286.9263,937.5841,494.8827,920.3893,100.234,40.3397,4.996,212.1875,139.0606,52.4643,20.6626,15.1895,12.0484,0.9608,0.4303,1.75,183.0687,3.2981,19.9737,1.1663,51.2284,4.8238,0.6488,6.1728,94.3406,1.4162,233.0019,206.3714,0.6624,25.9681,113.6781,27.7566,85.9215,120.0386,89.6906,30.348,5.1119,1.5594,,3.5505,,2155.7701,54.1118,1.4219,52.6899,51.1719,35.9358,6.7419,8.3792,0.115,69.1521,4.354,5.0781,59.72,7.3737,1.5535,5.8202,11.7415,9.855,9.763,,0.092,47.047,,0.1989,5.2802,2.5121,39.0558,0.8814,,0.3194,,0.412,0.15,
2010,8422.2,21.2,8.2,2.0,7.2,2.0,1.7,69.5,11.8,32.7,1.6,13.0,10.0,0.3,4940.5,148.7,132.4,136.0,,109.7,77.1,32.7,16.6,26.9,153.3,14.0,22.2,79.6,528.5,109.6,49.5,84.4,76.3,224.3,119.7,79.7,151.1,223.3,228.7,769.0,405.4,827.9,64.9,41.7,7.3,278.9,193.1,70.9,14.9,7.2,3.5,0.4,0.6,2.6,122.3,1.9,15.5,4.2,41.7,2.6,2.4,6.7,47.2,0.1,338.7,306.3,3.1,29.3,121.5,33.9,87.6,96.7,83.1,13.7,5.3,4.6,0.6,0.012,0.03,2024.0,59.8,0.9,58.8,22.6,12.4,2.0,5.5,2.8,49.3,1.2,6.3,41.7,5.8,1.8,4.1,4.9,6.2,6.2,,0.013,32.9,,0.5,1.2,0.3,30.9,5.3,,2.6,,2.0,0.7,
