年份,全社会住宅投资,城镇住宅投资,房地产住宅投资
2019,,,97070.7456
2018,,,85124.0163
2017,86985.3367,80560.9913,75147.8799
2016,83660.2381,76649.9317,68703.8743
2015,80247.6946,72745.9969,64595.2421
2014,80615.1401,72888.3674,64352.1513
2013,74870.674,67483.3561,58950.7627
2012,64412.7879,57844.273,49374.2137
2011,57824.4288,51773.3739,44319.5018
2010,45027.0095,39763.0995,34026.2276
2009,36428.2313,30512.7395,25613.6938
2008,30881.2,26516.0,22440.8742
2007,25005.0111,21238.2926,18005.4184
2006,19333.054,16305.5445,13638.4071
2005,15427.2332,12825.7581,10860.9322
2004,13464.1,11010.1,8837.0
2003,10792.3,8624.8,6776.7
2002,9407.1,7248.9,5227.8
2001,8339.1,6261.5,4216.7
2000,7594.14,5435.28,3311.9839
