年份,私人控股固定资产投资(不含农户),农、林、牧、渔业私人控股固定资产投资(不含农户),农业私人控股固定资产投资(不含农户),林业私人控股固定资产投资(不含农户),畜牧业私人控股固定资产投资(不含农户),渔业私人控股固定资产投资(不含农户),农、林、牧、渔服务业私人控股固定资产投资(不含农户),采矿业私人控股固定资产投资(不含农户),煤炭开采和洗选业私人控股固定资产投资(不含农户),石油和天然气开采业私人控股固定资产投资(不含农户),黑色金属矿采选业私人控股固定资产投资(不含农户),有色金属矿采选业私人控股固定资产投资(不含农户),非金属矿采选业私人控股固定资产投资(不含农户),其他采矿业私人控股固定资产投资(不含农户),制造业私人控股固定资产投资(不含农户),农副食品加工业私人控股固定资产投资(不含农户),食品制造业私人控股固定资产投资(不含农户),饮料制造业私人控股固定资产投资(不含农户),烟草制品业私人控股固定资产投资(不含农户),纺织业私人控股固定资产投资(不含农户),纺织服装、鞋、帽制造业私人控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业私人控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业私人控股固定资产投资(不含农户),家具制造业私人控股固定资产投资(不含农户),造纸及纸制品业私人控股固定资产投资(不含农户),印刷业和记录媒介的复制私人控股固定资产投资(不含农户),文教体育用品制造业私人控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业私人控股固定资产投资(不含农户),化学原料及化学制品制造业私人控股固定资产投资(不含农户),医药制造业私人控股固定资产投资(不含农户),化学纤维制造业私人控股固定资产投资(不含农户),橡胶制品业私人控股固定资产投资(不含农户),塑料制品业私人控股固定资产投资(不含农户),非金属矿物制品业私人控股固定资产投资(不含农户),黑色金属冶炼及压延加工业私人控股固定资产投资(不含农户),有色金属冶炼及压延加工业私人控股固定资产投资(不含农户),金属制品业私人控股固定资产投资(不含农户),通用设备制造业私人控股固定资产投资(不含农户),专用设备制造业私人控股固定资产投资(不含农户),交通运输设备制造业私人控股固定资产投资(不含农户),电气机械及器材制造业私人控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业私人控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业私人控股固定资产投资(不含农户),工艺品及其他制造业私人控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业私人控股固定资产投资(不含农户),电力燃气水的生产供应业私人控股固定资产投资(不含农户),电力、热力的生产和供应业私人控股固定资产投资(不含农户),燃气生产和供应业私人控股固定资产投资(不含农户),水的生产和供应业私人控股固定资产投资(不含农户),建筑业私人控股固定资产投资(不含农户),房屋和土木工程建筑业私人控股固定资产投资(不含农户),建筑安装业私人控股固定资产投资(不含农户),建筑装饰业私人控股固定资产投资(不含农户),其他建筑业私人控股固定资产投资(不含农户),交通运输、仓储和邮政业私人控股固定资产投资(不含农户),铁路运输业私人控股固定资产投资(不含农户),道路运输业私人控股固定资产投资(不含农户),城市公共交通业私人控股固定资产投资(不含农户),水上运输业私人控股固定资产投资(不含农户),航空运输业私人控股固定资产投资(不含农户),管道运输业私人控股固定资产投资(不含农户),装卸搬运和其他运输服务业私人控股固定资产投资(不含农户),仓储业私人控股固定资产投资(不含农户),邮政业私人控股固定资产投资(不含农户),信息传输、计算机服务和软件业私人控股固定资产投资(不含农户),电信和其他信息传输服务业私人控股固定资产投资(不含农户),计算机服务业私人控股固定资产投资(不含农户),软件业私人控股固定资产投资(不含农户),批发和零售业私人控股固定资产投资(不含农户),批发业私人控股固定资产投资(不含农户),零售业私人控股固定资产投资(不含农户),住宿和餐饮业私人控股固定资产投资(不含农户),住宿业私人控股固定资产投资(不含农户),餐饮业私人控股固定资产投资(不含农户),金融业私人控股固定资产投资(不含农户),银行业私人控股固定资产投资(不含农户),证券业私人控股固定资产投资(不含农户),保险业私人控股固定资产投资(不含农户),其他金融活动私人控股固定资产投资(不含农户),房地产业私人控股固定资产投资(不含农户),租赁和商务服务业私人控股固定资产投资(不含农户),租赁业私人控股固定资产投资(不含农户),商务服务业私人控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业私人控股固定资产投资(不含农户),研究与试验发展私人控股固定资产投资(不含农户),专业技术服务业私人控股固定资产投资(不含农户),科技交流和推广服务业私人控股固定资产投资(不含农户),地质勘查业私人控股固定资产投资(不含农户),水利、环境和公共设施管理业私人控股固定资产投资(不含农户),水利管理业私人控股固定资产投资(不含农户),环境管理业私人控股固定资产投资(不含农户),公共设施管理业私人控股固定资产投资(不含农户),居民服务和其他服务业私人控股固定资产投资(不含农户),居民服务业私人控股固定资产投资(不含农户),其他服务业私人控股固定资产投资(不含农户),教育私人控股固定资产投资(不含农户),卫生、社会保障和社会福利业私人控股固定资产投资(不含农户),卫生私人控股固定资产投资(不含农户),社会保障业私人控股固定资产投资(不含农户),社会福利业私人控股固定资产投资(不含农户),文化、体育和娱乐业私人控股固定资产投资(不含农户),新闻出版业私人控股固定资产投资(不含农户),广播、电视、电影和音像业私人控股固定资产投资(不含农户),文化艺术业私人控股固定资产投资(不含农户),体育私人控股固定资产投资(不含农户),娱乐业私人控股固定资产投资(不含农户),公共管理和社会组织私人控股固定资产投资(不含农户),中国共产党机关私人控股固定资产投资(不含农户),国家机构私人控股固定资产投资(不含农户),人民政协和民主党派私人控股固定资产投资(不含农户),群众团体、社会团体和宗教私人控股固定资产投资(不含农户),基层群众自治组织私人控股固定资产投资(不含农户),国际组织私人控股固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,306614.9885,14230.9254,7300.249,894.0192,3926.1013,816.8457,1293.7102,4067.9232,1246.2276,97.7069,482.0705,660.3039,1411.7371,39.6904,149061.1109,9911.3108,4734.6796,,22.5791,5851.3224,,,3910.5523,3230.5802,2484.3531,1517.7583,,1454.369,10163.8288,4520.4292,991.6878,,,14150.6636,2581.5245,3424.6341,8831.4096,11044.5691,10000.3395,,10354.8807,6791.0248,,,1358.5965,8622.4986,6667.0854,1048.0968,907.3164,1017.5225,,139.8973,,,8830.1527,96.3458,2763.8351,,430.1925,210.7136,48.808,808.2398,4283.2723,188.7456,3062.2262,145.0506,,,12060.8379,6493.8823,5566.9556,4344.2519,2971.1285,1373.1234,341.5521,,,41.1307,68.4446,73011.5496,5868.0566,515.6539,5352.4027,3337.0779,819.0846,907.1741,1610.8192,,10339.0799,426.008,796.1477,9116.9242,1279.9294,503.8637,326.0954,1539.2489,2081.5927,1148.574,20.1076,,3312.5111,20.554,313.2396,930.603,506.483,1541.6315,206.941,0.2719,77.3241,1.9658,68.1077,39.1639,
2016,291678.0002,12900.7793,6269.3279,915.4963,3753.3884,720.9889,1241.5778,5126.6651,1570.2449,142.6862,649.2459,842.5849,1711.2088,56.696,145085.9202,9795.4596,4738.8465,,21.9561,5610.053,,,3794.2457,2699.5237,2356.1943,1546.4553,,1316.9012,10845.9769,4864.4049,789.1901,,,14166.7348,3005.9989,3546.4406,8509.8294,10955.2209,9753.0464,,9875.1068,5408.3342,,,1094.8686,8183.2337,6401.7464,1022.083,759.4043,1261.1364,,151.876,,,8703.9881,136.8028,2733.3476,,511.5174,221.4331,48.9939,744.9951,4152.5583,154.3399,2422.4637,96.1342,,,13140.8644,7087.4506,6053.4138,4222.5277,2822.671,1399.8567,444.9895,,,21.0137,87.3071,65634.4856,5638.6078,519.8328,5118.775,2944.3869,652.8759,903.6729,1387.8381,,8295.5218,355.1007,616.5671,7323.854,1284.2804,473.1179,326.0942,1445.1953,1676.7574,1002.779,25.1176,,3025.56,36.338,394.6278,767.4006,474.7314,1352.4622,240.6369,0.3565,79.2239,0.8766,61.0692,73.9931,
2015,279032.4916,10913.3681,4802.2145,813.3017,3487.4631,622.9047,1187.4841,5876.5051,1844.8309,202.9266,1022.4944,921.4102,1701.9262,53.2833,139967.0363,9092.0096,4220.5051,,24.4135,5204.1362,,,3620.8305,2455.7001,2226.8862,1543.7971,,1366.0048,10997.0151,4378.8812,901.2496,,,14122.9162,2906.7653,4037.4666,7910.8426,11255.4261,9769.3703,,9247.3005,5053.2079,,,1012.1236,7347.3166,5483.5812,1140.0357,723.6997,1364.2714,,157.5859,,,8887.2956,173.0536,2511.933,,678.0273,154.116,57.1618,888.6413,4261.9091,162.4535,1771.2544,137.1186,,,13898.3557,7428.861,6469.4947,4594.0986,3173.1543,1420.9443,422.8642,,,25.7896,83.9527,62890.1817,4792.2649,357.4026,4434.8623,2463.4758,598.4763,825.3919,1039.6076,,6922.8648,343.3131,518.2226,6061.3291,1273.2298,501.7601,243.9781,1232.2161,1314.7839,813.645,24.3902,,2726.6244,36.5228,229.7153,927.563,303.9275,1228.8958,374.4842,2.4651,137.1699,7.76,91.3713,111.3277,
2014,252472.4129,8105.316,3231.2263,551.1402,2903.1111,526.055,893.7834,6366.1149,1966.4711,201.37,1303.2131,1039.9904,1663.5425,48.5275,127700.175,8322.3696,3670.9077,,32.5779,4598.5673,,,2981.1235,2146.0888,2166.5657,1326.5477,,1635.64,10124.9711,3864.1198,899.5482,,,13386.0362,3212.4751,4382.442,7093.4651,10174.4023,8881.8206,,8337.1201,4394.5815,,,934.9594,5379.8247,3831.0241,946.3201,602.4805,1113.0128,,120.7428,,,6979.5173,172.6862,1879.5657,,662.0592,64.3056,39.0079,895.7121,3190.657,75.5236,1221.6068,82.4926,,,11333.6349,5882.671,5450.9639,4319.3639,3103.457,1215.9069,421.0478,,,14.9723,64.548,62796.3871,3878.1441,196.7151,3681.429,1927.7703,501.3889,643.4989,782.8825,,5466.8518,219.5103,477.9535,4769.388,1031.8569,421.9574,211.6502,949.744,764.1654,470.7494,28.9107,,2376.0574,16.6282,205.4539,839.0411,311.3075,1003.6267,341.8218,1.3464,130.6691,5.5939,82.5928,92.7089,
2013,215150.2088,6089.4068,2254.2709,433.7983,2261.9653,470.6125,668.7598,6284.1931,2264.8685,117.4452,1230.8278,952.6326,1483.1664,44.5847,109668.7302,7220.654,3020.1403,,40.6509,4124.8842,,,2494.6137,1707.4668,1946.3136,1072.8814,,1536.461,8663.1478,3483.4255,793.5859,,,11461.7453,3316.38,3950.334,5795.9983,8517.9918,7647.2635,,7191.3627,3722.0918,,,713.521,4201.9826,2922.5364,833.9649,445.4813,867.9505,,99.2879,,,5671.4396,138.0159,1482.7864,,571.2263,80.7387,82.8214,736.3706,2531.9998,47.4805,742.5019,48.8066,,,8698.5111,4321.9153,4376.5958,4125.0089,2996.0425,1128.9664,311.0947,,,15.1384,70.1631,56239.7185,2724.6817,123.0067,2601.675,1319.766,393.6524,377.6293,548.4843,,3925.7035,162.254,291.8076,3471.6419,834.7364,408.4538,166.343,696.5719,473.6068,317.179,38.2821,,1934.017,15.0688,107.65,712.691,278.2734,820.3338,340.5876,0.237,140.7288,7.8235,71.5472,81.969,
2012,176774.1709,4682.1971,1757.8626,289.2966,1737.5096,373.6898,523.8385,5850.1226,2238.8263,112.3733,1127.851,863.7247,1349.5305,37.7949,91213.5303,5773.3774,2445.549,,22.1888,3422.1713,,,2118.8696,1333.2642,1661.4263,874.1389,,1311.5645,7529.3642,2722.3953,603.5264,,,10108.7651,3288.9236,2997.6988,4843.7762,6764.9941,6368.2317,,6327.1755,3038.8554,,,531.9491,3257.111,2290.2133,628.964,337.9337,825.2441,,60.1771,,,4221.9973,123.6864,1124.6305,,442.1598,35.5775,38.1612,504.014,1925.7121,28.0558,523.4672,46.0552,,,6736.9482,3188.474,3548.4742,3413.5413,2403.2867,1010.2546,202.1466,,,18.0735,47.8379,46585.8691,2040.3801,97.0104,1943.3697,865.1773,284.8107,264.7324,315.6342,,2903.5125,148.95,196.1889,2558.3736,691.1112,294.5325,176.1001,576.4593,376.4121,246.8605,15.5536,,1498.6022,8.0652,64.824,530.1282,204.4085,691.1763,310.3414,3.0,118.2838,6.5249,84.3347,82.6444,
2011,144255.8155,3405.7915,1216.1366,191.0614,1344.4801,259.4005,394.7129,4905.7173,2062.1342,94.5227,895.1802,752.2237,1064.4645,37.192,73649.3552,4378.1379,1971.7712,1436.5188,22.2435,3085.3776,1900.8332,753.6167,1709.6458,1063.3315,1374.6301,723.5638,346.4435,955.4294,5586.09,2054.8436,559.7872,775.3923,2201.0569,8496.0746,2217.5744,2474.8263,4227.8923,6233.1668,4141.5971,4882.9282,5776.8591,2234.6325,755.6888,958.4752,350.9269,2789.5064,1999.9208,503.1775,286.4081,916.0945,650.3181,67.3352,79.5446,118.8966,3188.4315,110.8926,784.6822,50.161,472.9573,20.7035,24.5438,258.5805,1440.6876,25.223,309.2446,75.4722,85.8397,147.9327,5226.1362,2582.901,2643.2352,2744.0704,1937.4189,806.6515,104.464,19.5385,13.8204,19.626,51.4791,40031.714,1335.2228,74.9931,1260.2297,537.4127,211.9951,149.0984,139.7491,36.5701,2382.9204,99.5344,209.0706,2074.3154,526.8059,279.5497,247.2562,421.4399,259.5295,182.3612,21.055,56.1133,1095.7932,16.9617,37.2501,281.7767,51.2426,708.5621,426.1655,0.631,177.8352,,71.7024,175.9969,
2010,105174.8,1652.8,436.4,100.6,738.2,143.0,234.5,3717.3,1486.8,129.1,742.4,601.1,734.1,23.9,51372.0,3039.0,1543.8,977.8,6.1,1863.8,1158.7,515.0,1159.4,755.2,933.0,567.0,211.9,862.3,4159.6,1489.9,253.0,533.2,1538.8,5984.9,1840.2,1755.0,3004.1,4394.6,2898.5,3496.5,3626.3,1456.2,510.9,609.4,227.8,2247.9,1731.2,279.1,237.5,661.1,469.0,52.3,46.5,93.3,2402.8,159.2,650.9,29.2,375.3,4.4,20.2,221.4,934.7,7.7,255.3,75.1,63.5,116.7,3738.0,1730.9,2007.1,2110.9,1358.5,752.4,64.1,16.5,11.5,3.2,32.9,32026.5,767.3,58.3,708.9,341.1,122.3,87.8,104.5,26.5,1696.9,76.3,200.5,1420.0,363.8,170.1,193.7,403.0,203.6,156.5,11.2,35.9,821.6,2.8,65.0,180.0,32.0,541.8,328.9,0.8,123.1,,51.2,153.7,
