年份,房地产开发企业待开发土地面积,房地产开发企业购置土地面积,房地产开发企业土地成交价款,房地产开发企业土地购置费用
2019,48976.9389,25822.2894,14709.2809,41675.3857
2018,45804.0199,29320.6467,16154.0763,36387.009
2017,35747.2897,25508.2924,13643.3858,23169.471
2016,35121.0077,22025.2473,9129.3114,18778.6795
2015,36638.4843,22810.7888,7621.6118,17675.4358
2014,42136.2835,33383.0332,10019.8754,17458.5288
2013,42280.4659,38814.3811,9918.2857,13501.7292
2012,40195.9926,35666.7964,7409.6391,12100.1507
2011,40220.7648,44327.442,8894.028,11527.2522
2010,31457.9531,39953.0986,8206.7143,9999.916
2009,32816.5435,31909.4512,5150.1414,6023.7138
2008,48161.0729,39353.4257,4831.6846,5995.6204
2007,41483.9653,40245.8492,4573.1786,4873.249
2006,37523.6523,36573.567,3318.0374,3814.4869
2005,27522.0033,38253.7254,3269.3192,2904.3701
2004,39635.3,39784.6589,2888.57,2574.4743
2003,21782.5774,35696.4845,4888.9502,2055.1715
2002,19178.6525,31356.7845,,1445.8123
2001,14582.1339,23408.9929,,1038.7746
2000,14754.7727,16905.2435,,733.99
