年份,固定资产投资(不含农户)地方项目,农、林、牧、渔业固定资产投资(不含农户)地方项目,农业固定资产投资(不含农户)地方项目,林业固定资产投资(不含农户)地方项目,畜牧业固定资产投资(不含农户)地方项目,渔业固定资产投资(不含农户)地方项目,农、林、牧、渔服务业固定资产投资(不含农户)地方项目,采矿业固定资产投资(不含农户)地方项目,煤炭开采和洗选业固定资产投资(不含农户)地方项目,石油和天然气开采业固定资产投资(不含农户)地方项目,黑色金属矿采选业固定资产投资(不含农户)地方项目,有色金属矿采选业固定资产投资(不含农户)地方项目,非金属矿采选业固定资产投资(不含农户)地方项目,其他采矿业固定资产投资(不含农户)地方项目,制造业固定资产投资(不含农户)地方项目,农副食品加工业固定资产投资(不含农户)地方项目,食品制造业固定资产投资(不含农户)地方项目,饮料制造业固定资产投资(不含农户)地方项目,烟草制品业固定资产投资(不含农户)地方项目,纺织业固定资产投资(不含农户)地方项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)地方项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)地方项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)地方项目,家具制造业固定资产投资(不含农户)地方项目,造纸及纸制品业固定资产投资(不含农户)地方项目,印刷业和记录媒介的复制固定资产投资(不含农户)地方项目,文教体育用品制造业固定资产投资(不含农户)地方项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)地方项目,化学原料及化学制品制造业固定资产投资(不含农户)地方项目,医药制造业固定资产投资(不含农户)地方项目,化学纤维制造业固定资产投资(不含农户)地方项目,橡胶制品业固定资产投资(不含农户)地方项目,塑料制品业固定资产投资(不含农户)地方项目,非金属矿物制品业固定资产投资(不含农户)地方项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,有色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,金属制品业固定资产投资(不含农户)地方项目,通用设备制造业固定资产投资(不含农户)地方项目,专用设备制造业固定资产投资(不含农户)地方项目,交通运输设备制造业固定资产投资(不含农户)地方项目,电气机械及器材制造业固定资产投资(不含农户)地方项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)地方项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)地方项目,工艺品及其他制造业固定资产投资(不含农户)地方项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)地方项目,电力燃气水的生产供应业固定资产投资(不含农户)地方项目,电力、热力的生产和供应业固定资产投资(不含农户)地方项目,燃气生产和供应业固定资产投资(不含农户)地方项目,水的生产和供应业固定资产投资(不含农户)地方项目,建筑业固定资产投资(不含农户)地方项目,房屋和土木工程建筑业固定资产投资(不含农户)地方项目,建筑安装业固定资产投资(不含农户)地方项目,建筑装饰业固定资产投资(不含农户)地方项目,其他建筑业固定资产投资(不含农户)地方项目,交通运输、仓储和邮政业固定资产投资(不含农户)地方项目,铁路运输业固定资产投资(不含农户)地方项目,道路运输业固定资产投资(不含农户)地方项目,城市公共交通业固定资产投资(不含农户)地方项目,水上运输业固定资产投资(不含农户)地方项目,航空运输业固定资产投资(不含农户)地方项目,管道运输业固定资产投资(不含农户)地方项目,装卸搬运和其他运输服务业固定资产投资(不含农户)地方项目,仓储业固定资产投资(不含农户)地方项目,邮政业固定资产投资(不含农户)地方项目,信息传输、计算机服务和软件业固定资产投资(不含农户)地方项目,电信和其他信息传输服务业固定资产投资(不含农户)地方项目,计算机服务业固定资产投资(不含农户)地方项目,软件业固定资产投资(不含农户)地方项目,批发和零售业固定资产投资(不含农户)地方项目,批发业固定资产投资(不含农户)地方项目,零售业固定资产投资(不含农户)地方项目,住宿和餐饮业固定资产投资(不含农户)地方项目,住宿业固定资产投资(不含农户)地方项目,餐饮业固定资产投资(不含农户)地方项目,金融业固定资产投资(不含农户)地方项目,银行业固定资产投资(不含农户)地方项目,证券业固定资产投资(不含农户)地方项目,保险业固定资产投资(不含农户)地方项目,其他金融活动固定资产投资(不含农户)地方项目,房地产业固定资产投资(不含农户)地方项目,租赁和商务服务业固定资产投资(不含农户)地方项目,租赁业固定资产投资(不含农户)地方项目,商务服务业固定资产投资(不含农户)地方项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)地方项目,研究与试验发展固定资产投资(不含农户)地方项目,专业技术服务业固定资产投资(不含农户)地方项目,科技交流和推广服务业固定资产投资(不含农户)地方项目,地质勘查业固定资产投资(不含农户)地方项目,水利、环境和公共设施管理业固定资产投资(不含农户)地方项目,水利管理业固定资产投资(不含农户)地方项目,环境管理业固定资产投资(不含农户)地方项目,公共设施管理业固定资产投资(不含农户)地方项目,居民服务和其他服务业固定资产投资(不含农户)地方项目,居民服务业固定资产投资(不含农户)地方项目,其他服务业固定资产投资(不含农户)地方项目,教育固定资产投资(不含农户)地方项目,卫生、社会保障和社会福利业固定资产投资(不含农户)地方项目,卫生固定资产投资(不含农户)地方项目,社会保障业固定资产投资(不含农户)地方项目,社会福利业固定资产投资(不含农户)地方项目,文化、体育和娱乐业固定资产投资(不含农户)地方项目,新闻出版业固定资产投资(不含农户)地方项目,广播、电视、电影和音像业固定资产投资(不含农户)地方项目,文化艺术业固定资产投资(不含农户)地方项目,体育固定资产投资(不含农户)地方项目,娱乐业固定资产投资(不含农户)地方项目,公共管理和社会组织固定资产投资(不含农户)地方项目,中国共产党机关固定资产投资(不含农户)地方项目,国家机构固定资产投资(不含农户)地方项目,人民政协和民主党派固定资产投资(不含农户)地方项目,群众团体、社会团体和宗教固定资产投资(不含农户)地方项目,基层群众自治组织固定资产投资(不含农户)地方项目,国际组织固定资产投资(不含农户)地方项目
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,605791.1265,24483.0685,11779.7494,2210.058,5613.2311,1203.7431,3676.2869,6872.7131,2516.6376,547.0107,705.8951,1071.4871,1749.4866,58.6287,190802.2945,11951.9638,5827.9316,,145.5719,6929.0724,,,4441.601,3729.4331,3087.0297,1790.8864,,2200.2085,13658.9056,5967.434,1296.4091,,,16753.0384,3682.0075,4884.1366,10288.7301,13193.1262,12219.9666,,13278.8183,12557.4525,,,1685.3836,23871.6626,16281.0299,2143.1562,5447.4765,3554.0121,,263.2423,,,52871.8413,2298.2839,39271.7545,,1702.2991,1297.0603,213.6562,1102.4331,6720.3836,265.9706,5644.2542,1253.0078,,,16435.8251,8379.1976,8056.6275,6078.7146,4263.0366,1815.678,1014.0944,,,97.6637,172.0402,137032.2117,13058.2184,1207.7444,11850.474,5708.9152,1406.2162,1803.5625,2499.1365,,81208.891,9853.0575,3782.883,67572.9505,2672.3269,1572.7358,560.7188,10813.1732,7234.3004,5161.3151,390.7754,,8612.9227,87.7407,490.9162,3765.4677,1799.3018,2469.4963,7821.6866,45.1155,5200.9342,6.7119,380.0025,1798.1471,
2016,569772.8778,22545.8425,10163.6908,2155.0884,5303.2845,1082.5442,3841.2346,8253.8546,2823.4916,600.3569,950.4284,1365.7406,2121.2078,74.2118,185127.7356,11759.1682,5818.4188,,151.05,6630.9632,,,4304.6826,3062.9563,3088.1353,1845.6739,,2150.7561,14565.5972,6282.8311,1101.218,,,16667.5703,3995.2382,5122.4127,10031.5334,12970.1852,11886.2277,,12693.8583,10295.219,,,1366.1765,22797.2606,15923.7507,1991.3796,4882.1303,4480.8251,,270.7404,,,45871.5637,2123.1104,32183.0408,,1950.3609,1314.1816,193.823,1062.5862,6830.5467,213.9141,5041.0949,1501.0746,,,17835.4776,9152.5564,8682.9212,5893.0059,4086.2802,1806.7257,1170.5772,,,77.068,197.5277,132558.033,12081.9045,1469.7595,10612.145,5300.7567,1228.4934,1842.7706,2229.4927,,67783.2229,8586.475,3063.7145,56133.0334,2640.5548,1464.8549,600.1174,9054.4964,6173.9375,4512.1043,260.8296,,7743.2792,96.5295,589.4492,3382.6551,1406.4477,2268.1977,7419.4351,31.2866,5014.2254,3.8615,475.2533,1633.9787,
2015,525647.766,18878.5519,7797.2058,1951.057,4818.2183,889.9078,3422.163,10250.6919,3811.5931,1015.5461,1341.1782,1535.9313,2086.0357,67.8939,177344.4061,10741.8973,5071.8004,,214.6313,5970.5749,,,4115.8177,2880.6923,2812.1256,1833.7241,,2095.6679,14613.2263,5780.8421,1104.0386,,,16668.4986,4133.4648,5500.0732,9453.9255,13269.0579,12216.084,,11261.5818,8848.8686,,,1284.246,21138.6218,14861.7783,2224.2945,4052.549,4770.9445,,255.8655,,,41049.562,1739.6768,27686.1118,,2214.3953,1151.4736,273.1811,1265.7085,6484.6265,234.3884,4564.5141,1644.1025,,,18572.1284,9380.4444,9191.684,6489.0168,4659.876,1829.1408,1228.8611,,,106.4763,209.0448,124291.9811,9369.21,885.8692,8483.3408,4439.6829,1200.5657,1638.8832,1600.234,,54554.8021,6998.7066,2212.3183,45343.7772,2609.0557,1462.6819,497.8766,7331.3316,5071.221,3852.302,283.7369,,6637.9413,124.9123,478.9164,3039.4968,1024.0868,1970.529,7055.2417,22.1932,4531.5372,16.3528,566.8275,1634.5941,
2014,474816.2421,14413.2347,5345.2453,1582.4364,4003.2275,766.7748,2715.5507,11154.3106,4414.0257,1006.7275,1637.3739,1571.9358,2030.8153,58.8974,163869.8824,9954.8665,4439.6565,,219.9887,5311.9861,,1967.1571,3449.7871,2448.9456,2801.4113,1591.9828,1791.9711,2680.7405,14058.2243,5164.8505,1091.2557,1617.5354,4262.1357,15691.6911,4592.2182,5747.1915,8596.2413,12038.297,11231.445,,10350.07,7742.2579,1470.7061,,1168.9549,17478.1907,12260.5399,2113.4199,3104.2309,3864.3726,,196.4283,169.2641,,34945.4644,1428.7306,23807.114,4067.013,2245.3509,964.6187,238.8707,1196.4524,4944.6339,119.6932,3225.2673,1284.9972,,,15412.5137,7460.4626,7952.0511,6151.5845,4539.8706,1611.7139,1237.9282,,61.5343,93.5085,167.9479,121147.4543,7875.4418,713.0929,7162.3489,3868.9848,1130.0641,1445.1878,1293.7329,,45320.0441,5741.5728,1785.5706,37792.9007,2259.3297,1345.4965,410.5619,6362.9488,3858.9023,3077.9981,249.5385,780.9042,6086.6124,96.2691,552.7738,2669.8438,1026.1062,1741.6195,6283.7748,25.435,4360.5184,12.2064,542.1255,1093.951,
2013,411089.37,11326.9454,4009.2599,1345.6061,3054.9814,658.641,2258.457,11193.7117,4844.1757,945.9638,1613.4489,1535.0681,1788.6937,55.7241,144158.2315,8565.0908,3678.4028,,200.0006,4721.9408,,,2919.4038,1933.0979,2633.505,1259.9927,,2415.182,12505.2876,4491.447,1045.5746,,,13671.9143,4871.5227,5463.4422,7091.6508,10387.5979,9852.9682,,9130.9971,7035.4369,,,939.3366,15011.4837,10362.0256,1994.5847,2654.8734,3377.1807,,158.9856,,,29059.2512,1266.705,19789.1445,,1921.9184,672.4334,240.5326,990.3903,4092.4303,85.6967,2251.4331,981.5276,,,12430.6237,5867.1491,6563.4746,5955.9387,4422.0402,1533.8985,1100.4721,,,74.3693,147.7916,109081.4241,5780.109,299.5815,5480.5275,2830.1983,871.9798,964.8261,993.3924,,36607.9125,4580.8532,1406.146,30620.9133,1983.9075,1114.4381,450.9665,5131.6302,3042.7723,2500.5919,212.6527,,5135.3092,94.5002,291.4879,2356.5451,1014.183,1378.593,5630.8351,46.276,3889.8082,13.0932,540.4653,928.5397,
2012,341090.371,8702.1338,3175.6703,1003.2154,2241.35,517.993,1763.9051,10280.5067,4969.5031,629.5047,1472.9345,1336.5109,1594.3955,44.7892,121295.8548,6823.5388,3050.4215,,165.3192,3966.89,,1312.4144,2406.1723,1531.9937,2214.532,1037.1553,1135.1908,1931.7163,10768.9997,3534.6133,834.5155,1267.5531,3057.1189,11981.0087,4872.0095,4425.9892,5859.1428,8366.57,8281.4366,,8186.006,5883.1889,1288.4028,,705.8511,12081.4863,8576.109,1410.2445,2095.1328,3492.3313,,133.8934,105.218,,24078.8615,825.6386,16895.2282,2939.8758,1781.8444,604.2801,156.3922,707.4424,3046.3419,61.6937,1804.9542,801.2874,,,9649.0673,4273.9342,5375.1331,5054.3038,3660.7861,1393.5177,753.5148,,28.4978,74.3284,100.6699,90304.105,4639.0096,207.636,4431.3736,2123.536,647.713,822.9389,652.8841,126.1863,28422.1356,3614.1392,1067.2489,23740.7475,1658.1016,846.3793,444.9789,4373.1843,2511.0717,2097.1163,214.9922,413.9554,4191.6184,62.4825,236.0436,1949.516,832.9568,1110.6195,5674.5943,30.0556,3967.4427,17.3176,560.0976,884.6886,
2011,280598.811,6752.9626,2316.7293,874.0606,1743.5893,371.0825,1447.5009,8822.1897,4521.9391,592.273,1193.7785,1182.4308,1281.7291,50.0392,99196.8085,5204.6013,2401.2269,1906.7591,184.1745,3646.8115,2265.0644,930.6904,1899.042,1196.4038,1920.5332,857.1431,426.4274,1598.4645,8444.9017,2614.0418,720.7673,1151.4912,2625.7774,10255.7809,3708.8029,3658.4235,5017.0733,7552.3484,5711.8274,7593.2037,7744.044,4975.6126,1018.5956,1510.4691,456.3056,10184.4611,7291.7451,1104.007,1788.709,3092.572,2577.0077,103.493,102.5234,309.5479,21484.9771,869.746,13376.7135,2183.1799,1653.3101,543.5785,114.1224,359.221,2333.3551,51.7506,1323.5341,850.2168,142.2646,331.0527,7293.2414,3479.034,3814.2074,3869.654,2860.6968,1008.9572,538.9888,280.6025,48.1743,45.7483,164.4637,73966.8933,3334.1573,230.2615,3103.8958,1436.1928,483.6323,463.2429,363.524,125.7936,23736.0695,2873.1858,1558.9476,19303.9361,1206.5439,678.5599,527.984,3697.9722,2234.302,1821.8692,177.8319,234.6009,3094.5399,76.4586,179.8077,1199.2082,456.1789,1182.8865,5332.7508,52.2168,4150.5567,7.4563,219.1225,903.3985,
2010,218640.2437,3885.5,951.4,660.9,1051.0,202.9,1019.3,6928.0,3477.7,540.8,1035.3,972.7,870.0,31.6,71090.4,3613.3,1941.0,1349.7,116.3,2228.2,1408.7,641.4,1302.7,838.8,1343.5,677.5,269.5,1472.9,6488.8,1923.1,363.2,806.3,1790.2,7399.5,3051.0,2774.6,3576.7,5323.5,4028.8,5741.8,4898.9,3633.0,675.3,1080.8,331.6,9947.4,7437.2,818.7,1691.5,2093.9,1723.2,74.9,63.7,232.0,19981.4,999.0,12411.1,2203.1,1714.0,545.0,72.5,329.2,1683.0,24.6,1291.9,931.4,104.1,256.4,5181.1,2292.2,2888.9,2942.0,2043.5,898.5,384.5,231.8,52.3,25.3,75.2,56468.3,2451.5,147.9,2303.6,1062.9,325.6,343.3,266.1,128.0,21713.7,2298.1,1509.6,17906.0,744.4,361.0,383.5,3528.9,1880.6,1608.8,91.9,179.9,2543.7,49.5,216.7,879.9,496.4,901.1,4520.2,30.5,3618.3,6.8,153.6,711.1,
