年份,固定资产投资(不含农户)国家预算内资金,固定资产投资(不含农户)国内贷款,固定资产投资(不含农户)利用外资,固定资产投资(不含农户)自筹资金,固定资产投资(不含农户)其他资金
2019,,,,,
2018,,,,,
2017,38741.7128,72148.9034,2146.3186,408822.9477,107955.0856
2016,36211.6666,66767.0947,2270.3382,404766.8243,96952.663
2015,30924.2791,60756.6444,2854.4487,405008.7303,74244.8637
2014,26745.4219,64512.2204,4052.861,369964.6896,67449.5801
2013,22305.2551,59056.3074,4319.4445,324431.5014,70953.3422
2012,18958.6617,51292.3703,4468.7778,268560.2229,56555.0238
2011,14843.2898,46034.8321,5061.9946,220860.2307,50094.7567
2010,13104.665,45104.6986,4339.6371,165751.9682,44823.6119
2009,11493.627,37634.138,3983.5455,127557.6668,38117.6916
2008,7377.0095,25466.0119,4695.7883,97846.4513,23194.4192
2007,5464.1294,22136.0823,4549.018,74520.8817,24073.3405
2006,4438.7391,18814.8227,3811.048,56547.5065,18147.0156
2005,3637.8711,15363.8632,3386.4113,44154.5146,14369.667
2004,2855.6,12842.9,2706.59,32196.07,12514.5
2003,2360.14,11223.89,2211.7,23617.35,9448.21
2002,2750.81,8167.51,1825.83,16567.7,7723.91
2001,2261.74,6672.49,1570.5,13708.53,6561.44
2000,1795.02,6245.82,1526.15,11227.52,5619.95
