年份,内资企业固定资产投资(不含农户),农、林、牧、渔业内资企业固定资产投资(不含农户),农业内资企业固定资产投资(不含农户),林业内资企业固定资产投资(不含农户),畜牧业内资企业固定资产投资(不含农户),渔业内资企业固定资产投资(不含农户),农、林、牧、渔服务业内资企业固定资产投资(不含农户),采矿业内资企业固定资产投资(不含农户),煤炭开采和洗选业内资企业固定资产投资(不含农户),石油和天然气开采业内资企业固定资产投资(不含农户),黑色金属矿采选业内资企业固定资产投资(不含农户),有色金属矿采选业内资企业固定资产投资(不含农户),非金属矿采选业内资企业固定资产投资(不含农户),其他采矿业内资企业固定资产投资(不含农户),制造业内资企业固定资产投资(不含农户),农副食品加工业内资企业固定资产投资(不含农户),食品制造业内资企业固定资产投资(不含农户),饮料制造业内资企业固定资产投资(不含农户),烟草制品业内资企业固定资产投资(不含农户),纺织业内资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业内资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业内资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业内资企业固定资产投资(不含农户),家具制造业内资企业固定资产投资(不含农户),造纸及纸制品业内资企业固定资产投资(不含农户),印刷业和记录媒介的复制内资企业固定资产投资(不含农户),文教体育用品制造业内资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业内资企业固定资产投资(不含农户),化学原料及化学制品制造业内资企业固定资产投资(不含农户),医药制造业内资企业固定资产投资(不含农户),化学纤维制造业内资企业固定资产投资(不含农户),橡胶制品业内资企业固定资产投资(不含农户),塑料制品业内资企业固定资产投资(不含农户),非金属矿物制品业内资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业内资企业固定资产投资(不含农户),有色金属冶炼及压延加工业内资企业固定资产投资(不含农户),金属制品业内资企业固定资产投资(不含农户),通用设备制造业内资企业固定资产投资(不含农户),专用设备制造业内资企业固定资产投资(不含农户),交通运输设备制造业内资企业固定资产投资(不含农户),电气机械及器材制造业内资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业内资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业内资企业固定资产投资(不含农户),工艺品及其他制造业内资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业内资企业固定资产投资(不含农户),电力燃气水的生产供应业内资企业固定资产投资(不含农户),电力、热力的生产和供应业内资企业固定资产投资(不含农户),燃气生产和供应业内资企业固定资产投资(不含农户),水的生产和供应业内资企业固定资产投资(不含农户),建筑业内资企业固定资产投资(不含农户),房屋和土木工程建筑业内资企业固定资产投资(不含农户),建筑安装业内资企业固定资产投资(不含农户),建筑装饰业内资企业固定资产投资(不含农户),其他建筑业内资企业固定资产投资(不含农户),交通运输、仓储和邮政业内资企业固定资产投资(不含农户),铁路运输业内资企业固定资产投资(不含农户),道路运输业内资企业固定资产投资(不含农户),城市公共交通业内资企业固定资产投资(不含农户),水上运输业内资企业固定资产投资(不含农户),航空运输业内资企业固定资产投资(不含农户),管道运输业内资企业固定资产投资(不含农户),装卸搬运和其他运输服务业内资企业固定资产投资(不含农户),仓储业内资企业固定资产投资(不含农户),邮政业内资企业固定资产投资(不含农户),信息传输、计算机服务和软件业内资企业固定资产投资(不含农户),电信和其他信息传输服务业内资企业固定资产投资(不含农户),计算机服务业内资企业固定资产投资(不含农户),软件业内资企业固定资产投资(不含农户),批发和零售业内资企业固定资产投资(不含农户),批发业内资企业固定资产投资(不含农户),零售业内资企业固定资产投资(不含农户),住宿和餐饮业内资企业固定资产投资(不含农户),住宿业内资企业固定资产投资(不含农户),餐饮业内资企业固定资产投资(不含农户),金融业内资企业固定资产投资(不含农户),银行业内资企业固定资产投资(不含农户),证券业内资企业固定资产投资(不含农户),保险业内资企业固定资产投资(不含农户),其他金融活动内资企业固定资产投资(不含农户),房地产业内资企业固定资产投资(不含农户),租赁和商务服务业内资企业固定资产投资(不含农户),租赁业内资企业固定资产投资(不含农户),商务服务业内资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业内资企业固定资产投资(不含农户),研究与试验发展内资企业固定资产投资(不含农户),专业技术服务业内资企业固定资产投资(不含农户),科技交流和推广服务业内资企业固定资产投资(不含农户),地质勘查业内资企业固定资产投资(不含农户),水利、环境和公共设施管理业内资企业固定资产投资(不含农户),水利管理业内资企业固定资产投资(不含农户),环境管理业内资企业固定资产投资(不含农户),公共设施管理业内资企业固定资产投资(不含农户),居民服务和其他服务业内资企业固定资产投资(不含农户),居民服务业内资企业固定资产投资(不含农户),其他服务业内资企业固定资产投资(不含农户),教育内资企业固定资产投资(不含农户),卫生、社会保障和社会福利业内资企业固定资产投资(不含农户),卫生内资企业固定资产投资(不含农户),社会保障业内资企业固定资产投资(不含农户),社会福利业内资企业固定资产投资(不含农户),文化、体育和娱乐业内资企业固定资产投资(不含农户),新闻出版业内资企业固定资产投资(不含农户),广播、电视、电影和音像业内资企业固定资产投资(不含农户),文化艺术业内资企业固定资产投资(不含农户),体育内资企业固定资产投资(不含农户),娱乐业内资企业固定资产投资(不含农户),公共管理和社会组织内资企业固定资产投资(不含农户),中国共产党机关内资企业固定资产投资(不含农户),国家机构内资企业固定资产投资(不含农户),人民政协和民主党派内资企业固定资产投资(不含农户),群众团体、社会团体和宗教内资企业固定资产投资(不含农户),基层群众自治组织内资企业固定资产投资(不含农户),国际组织内资企业固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,606767.7637,24518.6667,11785.6689,2216.5357,5573.6984,1201.6563,3741.1074,9048.4442,2618.3625,2566.3206,744.6299,1080.6652,1744.6673,58.3317,180579.2632,11576.9197,5465.7232,,182.0178,6563.9542,,,4395.2605,3603.967,2855.9438,1729.1757,,2538.3869,12836.3987,5589.1433,1219.6639,,,16479.7721,3570.0124,4834.3974,9967.6911,12713.9898,11801.115,,12444.2132,10272.5598,,,1627.9871,28475.7886,21114.3288,1974.921,5386.5388,3630.4502,,261.0779,,,60223.1549,8000.5476,40230.9379,,1809.7149,2177.4308,312.9848,1090.1708,6328.2459,273.1222,6352.3027,2171.5121,,,16338.7089,8350.6066,7988.1023,6003.8559,4194.5402,1809.3157,1087.3541,,,107.3496,172.0784,132447.1012,12815.4309,1005.3962,11810.0347,5818.4214,1455.3506,1865.7196,2497.3512,,81865.9371,10006.6341,3761.5098,68097.7932,2658.6553,1562.0051,559.1053,11070.9207,7283.2673,5203.7987,393.1391,,8619.0194,89.5394,523.7245,3761.3692,1791.2482,2453.1381,7931.021,45.1155,5303.1623,6.7119,381.4292,1801.463,
2016,570431.2215,22638.0696,10185.4794,2167.6146,5274.4814,1081.4769,3929.0173,10138.3386,3007.5743,2252.4585,965.7511,1383.4158,2113.0111,74.7808,174408.953,11345.4985,5418.2397,,209.1043,6259.0225,,,4231.1375,2971.2726,2773.5713,1775.6886,,2577.4704,13618.7142,5851.2411,1009.4511,,,16409.1698,3955.7269,5008.4037,9709.6778,12468.9633,11367.5435,,11792.2724,8087.7459,,,1310.8828,28540.0175,21704.1021,1973.0837,4862.8317,4558.0783,,271.4408,,,52606.8032,7747.4423,32865.1743,,2038.6195,2031.1755,244.5003,1043.8314,6414.5388,221.5211,5658.3583,2289.8103,,,17647.6004,9069.1068,8578.4936,5784.2706,3994.3611,1789.9095,1285.95,,,117.8165,199.816,127315.6048,11905.9452,1333.2,10572.7452,5426.0986,1268.2002,1929.1304,2228.768,,68473.7296,8718.1703,3102.2516,56653.3077,2653.3585,1473.6506,602.5771,9312.5031,6250.0762,4572.9604,260.8532,,7641.7835,99.2574,616.4324,3384.9346,1390.8324,2150.3267,8185.6625,31.7941,5770.2659,3.8615,475.5771,1643.3107,
2015,528913.2531,18870.6717,7751.3036,1955.2502,4790.719,880.9944,3492.4045,12826.8706,3971.8058,3380.8488,1357.7411,1572.9498,2059.5854,67.0265,169739.4485,10509.263,4843.8265,,261.5917,5742.8989,,,4067.7384,2804.0673,2520.2568,1793.5453,,2299.6414,14158.3751,5464.558,1045.5026,,,16457.5399,4085.0565,5329.3635,9118.5074,12850.8123,11810.5551,,10681.4963,7148.6959,,,1260.1314,26026.5558,19738.2303,2219.8224,4068.5031,4885.7863,,256.8512,,,48320.0882,7718.2801,28491.7671,,2231.4832,1811.7613,290.1401,1214.8286,6327.8721,233.9557,5011.698,2217.9609,,,18249.0993,9213.9533,9035.146,6307.2425,4511.6664,1795.5761,1305.3792,,,130.9663,184.432,118322.8904,9125.4914,792.4023,8333.0891,4636.8113,1348.0381,1691.9367,1596.8365,,55479.1371,7243.0108,2226.3474,46009.7789,2607.151,1464.2722,496.1608,7676.349,5142.1686,3917.1321,285.1788,,6546.8573,129.0822,487.7071,3057.6065,1006.933,1865.5285,7833.5569,25.3769,5230.5629,16.3628,638.1777,1637.8978,
2014,478277.7838,14426.7371,5334.6119,1580.8621,3999.7633,760.4993,2751.0005,14362.6546,4644.3287,3877.979,1653.2012,1610.7499,2034.6728,60.1639,156556.1509,9660.0884,4202.3484,,278.0903,5061.244,3550.2944,1850.7717,3381.77,2368.7356,2524.0502,1563.0741,1680.7922,2843.0326,13503.5907,4897.822,997.422,1501.642,4113.5542,15450.6386,4587.7593,5605.1661,8279.7378,11640.5216,10893.4041,,9826.6905,6240.9792,1381.7704,1990.8872,1168.2164,22062.0743,16865.0931,2106.92,3090.0612,4014.1479,,204.4483,168.1619,,42152.081,7684.7154,24409.5247,4052.7301,2312.8668,1292.3791,301.983,1150.4962,4875.2389,124.8769,3643.7941,1795.2845,,,15116.065,7380.6691,7735.3959,5932.0842,4357.3422,1574.742,1318.6384,,67.0857,109.5349,163.9225,114808.9664,7681.2824,711.0035,6970.2789,4091.9231,1266.6401,1532.4946,1292.7884,219.8525,46030.9012,5969.7055,1790.7393,38270.4564,2260.8417,1344.1078,411.5558,6648.0385,3972.139,3181.6217,251.1988,790.5173,6010.7437,102.3548,561.0636,2690.8068,1025.8439,1630.6746,7188.5203,26.713,5242.373,12.928,560.8362,1094.4713,
2013,413589.4391,11280.2061,3978.7265,1351.6879,3012.1076,649.9659,2287.7182,14431.7283,5165.5916,3742.8342,1634.3913,1552.6118,1775.1181,53.5841,136899.8472,8317.2282,3445.4093,,295.702,4483.1976,,,2852.3304,1861.3385,2294.5492,1241.7814,,2855.1476,12237.9195,4255.7035,919.7647,,,13301.8744,4910.9035,5306.9464,6754.1235,9914.7699,9507.7196,,8630.8067,5486.1439,,,935.9689,18989.0175,14266.2011,2079.8246,2642.9918,3510.563,,157.1356,,,35637.514,6662.4585,20420.7025,,1993.8381,1150.7871,339.0877,956.9366,4019.5658,94.1377,2716.8532,1472.2902,,,12210.7027,5835.0901,6375.6126,5702.1008,4196.9902,1505.1106,1210.6754,,,98.6192,136.5561,103357.4442,5676.0844,289.124,5386.9604,3047.129,1008.6293,1050.2414,988.2583,,37499.5057,5103.0002,1411.754,30984.7515,1979.0042,1115.4205,442.6568,5369.4251,3125.4285,2580.2515,216.9573,,5087.8217,103.7573,308.9029,2359.4695,1020.4692,1295.2228,5858.3881,56.0627,4082.3548,13.0932,567.2403,922.6798,
2012,344031.1386,8656.4018,3147.2571,1000.6944,2207.2428,511.3635,1789.844,13080.5135,5300.935,3000.7549,1500.1638,1369.4267,1578.3729,44.3392,113678.5609,6565.2674,2761.4864,,230.2116,3730.3639,2330.3786,1170.3526,2345.2115,1458.6583,1885.8874,1011.5022,1026.7405,2259.5361,10365.9835,3313.3764,686.5173,1063.2102,2899.2289,11594.2421,4947.1058,4256.3981,5520.4377,7866.9369,7893.8704,,7549.1747,4365.8004,1129.6342,,686.2712,16168.73,12598.6905,1501.4671,2068.5724,3641.3296,,136.7353,103.2493,,30471.8671,6118.0961,17384.0592,2958.6628,1901.7217,1114.8614,197.6993,685.634,3001.1403,68.6551,2327.398,1363.605,,,9454.712,4249.3952,5205.3168,4767.4921,3420.5773,1346.9148,905.145,,,114.3902,103.0434,85575.506,4487.121,202.7649,4284.3561,2388.7759,819.6146,900.4749,668.6864,191.0257,29435.2431,4373.9021,1067.8465,23993.4945,1662.5762,871.9672,432.8588,4578.0927,2597.7418,2178.2023,217.2041,419.5395,4119.6043,69.2112,245.7673,1958.421,804.7669,1041.4379,6034.3276,32.3757,4316.7252,16.6767,567.3849,883.961,
2011,283679.2,6708.9721,2291.4448,883.0755,1702.1096,364.9022,1467.44,11558.4305,4854.5672,2941.5251,1228.6963,1217.2338,1267.8559,48.5522,92931.0219,4974.14,2177.6199,1717.1325,265.6828,3388.8807,2073.5677,813.2584,1856.6884,1137.6463,1626.0698,827.6977,385.1305,2125.8907,7879.3802,2442.0334,601.7954,966.7363,2423.6356,9814.6844,3904.2991,3507.286,4746.15,7236.4935,5436.2065,7154.0518,7086.3834,3541.8525,912.9336,1454.3873,453.3075,14163.3905,11248.3985,1150.6363,1764.3557,3218.8891,2700.1165,106.5916,101.0502,311.1308,27311.4193,5889.9504,13800.2746,2212.0948,1787.6673,815.9853,134.8754,357.1527,2256.5199,56.8989,1657.6821,1239.0773,146.2021,272.4027,7123.9129,3459.434,3664.4789,3623.609,2657.0729,966.5361,631.3481,363.1416,49.2974,53.0666,165.8425,69523.6513,3221.7324,229.3193,2992.4131,1610.4985,600.5235,492.594,353.8472,163.5338,24337.9063,3407.2713,1596.0318,19334.6032,1206.6387,676.5657,530.073,3861.3246,2311.621,1893.9024,179.2248,238.4938,3031.3015,81.5497,185.3456,1201.1814,456.17,1107.0548,5645.8451,60.295,4452.2544,7.4563,221.6932,904.1462,
2010,227566.9,3881.4,940.2,669.7,1039.2,199.5,1032.9,9570.1,3754.2,2880.6,1047.3,987.3,868.1,32.6,66496.4,3422.2,1736.1,1164.4,207.7,2020.4,1249.4,550.8,1272.0,793.2,1094.1,655.1,226.6,1865.5,6115.1,1751.6,324.8,679.7,1652.9,7001.7,3322.9,2730.7,3386.2,5130.0,3795.1,5609.1,4332.6,2450.3,607.1,1029.7,319.5,14017.7,11475.3,860.6,1681.8,2218.8,1848.7,78.3,62.2,229.6,27533.9,7587.2,12731.8,2230.2,1966.6,890.0,92.0,317.0,1685.6,33.5,1808.8,1474.2,119.3,215.2,5022.5,2255.1,2767.4,2751.0,1878.6,872.3,470.5,311.1,51.9,33.0,74.5,52404.2,2352.3,148.2,2204.1,1207.4,430.1,376.2,253.9,147.3,22193.8,2772.0,1512.4,17909.4,742.7,358.5,384.2,3705.2,1941.9,1669.0,92.2,180.7,2508.2,50.9,240.0,893.4,485.1,838.9,4754.9,33.4,3849.2,6.9,152.5,713.0,
