年份,固定资产投资(不含农户)国家预算资金,农、林、牧、渔业固定资产投资(不含农户)国家预算资金,农业固定资产投资(不含农户)国家预算资金,林业固定资产投资(不含农户)国家预算资金,畜牧业固定资产投资(不含农户)国家预算资金,渔业固定资产投资(不含农户)国家预算资金,农、林、牧、渔服务业固定资产投资(不含农户)国家预算资金,采矿业固定资产投资(不含农户)国家预算资金,煤炭开采和洗选业固定资产投资(不含农户)国家预算资金,石油和天然气开采业固定资产投资(不含农户)国家预算资金,黑色金属矿采选业固定资产投资(不含农户)国家预算资金,有色金属矿采选业固定资产投资(不含农户)国家预算资金,非金属矿采选业固定资产投资(不含农户)国家预算资金,其他采矿业固定资产投资(不含农户)国家预算资金,制造业固定资产投资(不含农户)国家预算资金,农副食品加工业固定资产投资(不含农户)国家预算资金,食品制造业固定资产投资(不含农户)国家预算资金,饮料制造业固定资产投资(不含农户)国家预算资金,烟草制品业固定资产投资(不含农户)国家预算资金,纺织业固定资产投资(不含农户)国家预算资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)国家预算资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)国家预算资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)国家预算资金,家具制造业固定资产投资(不含农户)国家预算资金,造纸及纸制品业固定资产投资(不含农户)国家预算资金,印刷业和记录媒介的复制固定资产投资(不含农户)国家预算资金,文教体育用品制造业固定资产投资(不含农户)国家预算资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)国家预算资金,化学原料及化学制品制造业固定资产投资(不含农户)国家预算资金,医药制造业固定资产投资(不含农户)国家预算资金,化学纤维制造业固定资产投资(不含农户)国家预算资金,橡胶制品业固定资产投资(不含农户)国家预算资金,塑料制品业固定资产投资(不含农户)国家预算资金,非金属矿物制品业固定资产投资(不含农户)国家预算资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)国家预算资金,有色金属冶炼及压延加工业固定资产投资(不含农户)国家预算资金,金属制品业固定资产投资(不含农户)国家预算资金,通用设备制造业固定资产投资(不含农户)国家预算资金,专用设备制造业固定资产投资(不含农户)国家预算资金,交通运输设备制造业固定资产投资(不含农户)国家预算资金,电气机械及器材制造业固定资产投资(不含农户)国家预算资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)国家预算资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)国家预算资金,工艺品及其他制造业固定资产投资(不含农户)国家预算资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)国家预算资金,电力燃气水的生产供应业固定资产投资(不含农户)国家预算资金,电力、热力的生产和供应业固定资产投资(不含农户)国家预算资金,燃气生产和供应业固定资产投资(不含农户)国家预算资金,水的生产和供应业固定资产投资(不含农户)国家预算资金,建筑业固定资产投资(不含农户)国家预算资金,房屋和土木工程建筑业固定资产投资(不含农户)国家预算资金,建筑安装业固定资产投资(不含农户)国家预算资金,建筑装饰业固定资产投资(不含农户)国家预算资金,其他建筑业固定资产投资(不含农户)国家预算资金,交通运输、仓储和邮政业固定资产投资(不含农户)国家预算资金,铁路运输业固定资产投资(不含农户)国家预算资金,道路运输业固定资产投资(不含农户)国家预算资金,城市公共交通业固定资产投资(不含农户)国家预算资金,水上运输业固定资产投资(不含农户)国家预算资金,航空运输业固定资产投资(不含农户)国家预算资金,管道运输业固定资产投资(不含农户)国家预算资金,装卸搬运和其他运输服务业固定资产投资(不含农户)国家预算资金,仓储业固定资产投资(不含农户)国家预算资金,邮政业固定资产投资(不含农户)国家预算资金,信息传输、计算机服务和软件业固定资产投资(不含农户)国家预算资金,电信和其他信息传输服务业固定资产投资(不含农户)国家预算资金,计算机服务业固定资产投资(不含农户)国家预算资金,软件业固定资产投资(不含农户)国家预算资金,批发和零售业固定资产投资(不含农户)国家预算资金,批发业固定资产投资(不含农户)国家预算资金,零售业固定资产投资(不含农户)国家预算资金,住宿和餐饮业固定资产投资(不含农户)国家预算资金,住宿业固定资产投资(不含农户)国家预算资金,餐饮业固定资产投资(不含农户)国家预算资金,金融业固定资产投资(不含农户)国家预算资金,银行业固定资产投资(不含农户)国家预算资金,证券业固定资产投资(不含农户)国家预算资金,保险业固定资产投资(不含农户)国家预算资金,其他金融活动固定资产投资(不含农户)国家预算资金,房地产业固定资产投资(不含农户)国家预算资金,租赁和商务服务业固定资产投资(不含农户)国家预算资金,租赁业固定资产投资(不含农户)国家预算资金,商务服务业固定资产投资(不含农户)国家预算资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)国家预算资金,研究与试验发展固定资产投资(不含农户)国家预算资金,专业技术服务业固定资产投资(不含农户)国家预算资金,科技交流和推广服务业固定资产投资(不含农户)国家预算资金,地质勘查业固定资产投资(不含农户)国家预算资金,水利、环境和公共设施管理业固定资产投资(不含农户)国家预算资金,水利管理业固定资产投资(不含农户)国家预算资金,环境管理业固定资产投资(不含农户)国家预算资金,公共设施管理业固定资产投资(不含农户)国家预算资金,居民服务和其他服务业固定资产投资(不含农户)国家预算资金,居民服务业固定资产投资(不含农户)国家预算资金,其他服务业固定资产投资(不含农户)国家预算资金,教育固定资产投资(不含农户)国家预算资金,卫生、社会保障和社会福利业固定资产投资(不含农户)国家预算资金,卫生固定资产投资(不含农户)国家预算资金,社会保障业固定资产投资(不含农户)国家预算资金,社会福利业固定资产投资(不含农户)国家预算资金,文化、体育和娱乐业固定资产投资(不含农户)国家预算资金,新闻出版业固定资产投资(不含农户)国家预算资金,广播、电视、电影和音像业固定资产投资(不含农户)国家预算资金,文化艺术业固定资产投资(不含农户)国家预算资金,体育固定资产投资(不含农户)国家预算资金,娱乐业固定资产投资(不含农户)国家预算资金,公共管理和社会组织固定资产投资(不含农户)国家预算资金,中国共产党机关固定资产投资(不含农户)国家预算资金,国家机构固定资产投资(不含农户)国家预算资金,人民政协和民主党派固定资产投资(不含农户)国家预算资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)国家预算资金,基层群众自治组织固定资产投资(不含农户)国家预算资金,国际组织固定资产投资(不含农户)国家预算资金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,38741.7128,1720.2321,511.2512,353.5369,127.0791,17.1433,711.2216,177.5423,18.6892,124.4843,2.677,13.7697,7.1542,,736.3572,70.0366,22.0898,,6.3188,11.7932,,,17.9773,6.469,3.5909,1.4154,,4.6959,45.3774,28.1777,2.7768,,,64.5512,6.116,15.2866,23.0186,27.0133,55.3846,,74.8592,51.2016,,,9.8694,2086.6565,1223.6689,110.7141,752.2735,477.2441,,8.4908,,,8766.8615,980.9852,7179.8165,,214.8308,229.4343,12.3319,12.2978,131.2934,5.8716,151.2103,79.1217,,,172.8532,71.4928,101.3604,70.8426,51.2482,19.5944,26.7039,,,0.6281,4.0973,3736.1452,521.6334,15.377,506.2564,272.6338,73.5362,134.7524,64.3452,,13228.0625,2967.2882,577.0739,9683.7004,206.4728,177.5413,22.8684,2700.3809,1037.7676,811.7444,84.6996,,749.5538,4.0821,21.166,471.2816,211.2447,41.7794,1902.5591,12.0277,1456.0119,1.4291,46.731,301.6598,
2016,36211.6666,1749.3913,449.5306,327.5821,114.6738,14.5042,843.1006,106.2932,20.657,53.177,2.0786,6.2744,5.3928,0.803,640.4078,56.8716,15.4972,,6.8909,17.1464,,,15.2137,7.3773,4.3153,6.2461,,30.5459,26.5695,29.0247,4.481,,,55.1684,5.1751,10.3852,10.8761,31.8129,55.7555,,32.4684,40.4856,,,12.3364,1968.9432,1158.6692,70.7802,739.4938,675.0909,,15.0861,,,8234.1936,1062.8256,6467.9759,,205.4662,300.2451,22.8949,26.3185,146.2827,2.1847,130.5408,80.6268,,,170.917,62.0883,108.8287,71.9525,59.2388,12.7137,26.9171,,,0.6214,2.2169,3637.5497,403.2478,15.2203,388.0275,337.3994,63.4869,213.9253,59.9872,,11459.976,2816.0765,618.7588,8025.1407,179.1926,144.4644,29.7081,2505.7372,906.3644,719.0867,64.7953,,753.2606,3.5014,27.041,466.164,175.1626,81.3916,2254.2915,10.6616,1900.8911,0.6203,44.9116,232.4116,
2015,30924.2791,1474.9724,346.6264,312.9355,85.246,14.3654,715.7991,172.3792,37.5582,58.0319,8.212,33.6442,5.406,1.818,538.2652,44.0664,12.7327,,13.7933,26.1277,,,6.4096,1.906,2.1581,1.9751,,7.2669,80.1568,6.1238,3.6553,,,22.5538,3.772,6.9666,11.3886,25.8986,34.6464,,12.7304,44.9686,,,12.2126,1931.1954,1129.3211,65.6168,736.2575,683.5741,,11.702,,,7369.385,1125.6016,5642.6877,,118.3557,298.1138,17.8859,28.123,134.0671,4.5502,118.6011,66.4471,,,120.1634,57.3044,62.859,54.8319,42.8105,12.0214,25.4406,,,0.3,10.0118,2847.7602,244.7035,1.4795,243.224,250.2553,83.604,125.4982,41.1531,,9818.3486,2480.8916,394.3035,6943.1535,159.7133,128.8981,21.7171,1935.1421,699.4141,540.8082,62.387,,545.8702,8.2544,19.0034,359.7179,118.5988,40.2957,1934.2635,8.5348,1535.2068,3.7266,174.6262,149.7821,
2014,26745.4219,1253.0656,267.987,292.961,74.1987,5.5514,612.3675,139.9457,55.3012,50.672,3.6818,7.4194,4.4995,0.253,605.9842,39.3517,10.8342,,9.179,13.7228,19.8224,3.3304,5.6237,1.652,5.2556,1.4673,2.5235,54.2563,33.6844,10.4025,7.4764,,,37.0923,6.4181,5.0585,7.7054,24.5026,27.343,,30.487,68.5986,8.368,,15.038,1775.9066,1115.6533,63.6226,596.6307,481.491,,12.4891,,,6334.5741,1691.7362,4358.7826,,103.6917,49.5422,25.5408,11.8038,90.4183,3.0585,120.929,58.5904,,,101.5825,47.3674,54.2151,57.0946,49.287,7.8076,25.2873,,,1.8475,4.7878,2482.7934,145.6884,0.3675,145.3209,229.9152,90.5656,98.88,40.4696,,8220.1735,2012.8297,302.8917,5904.4521,117.0424,88.6182,20.5833,1684.9944,613.4881,491.557,54.2292,121.9311,526.6144,5.2364,20.2691,329.4139,147.2018,24.4932,1828.8515,9.1454,1628.6455,0.9906,73.8084,62.0324,
2013,22305.2551,1143.5045,221.3625,328.7569,57.3935,9.4316,526.56,169.9331,77.0938,60.9687,8.8024,16.0124,1.8833,0.5396,574.7529,31.7658,12.064,,10.0761,8.2817,,,10.701,0.8337,6.3294,1.109,,52.775,10.7306,11.2192,0.5479,,,34.5861,2.5893,24.3861,11.1564,26.4184,45.4499,,20.3133,33.846,,,3.0112,1398.4906,844.2884,77.2627,476.9395,625.8725,,5.9328,,,4612.4831,691.0548,3486.2806,,216.9435,76.5215,35.7423,6.7726,97.4887,1.6791,81.195,47.4286,,,111.4268,52.5931,58.8337,74.6315,55.6939,18.9376,17.7522,,,0.6065,0.0925,2353.8199,184.8347,2.5916,182.2431,227.0672,91.7515,86.8479,48.4678,,6650.7811,1627.6619,245.7844,4777.3348,173.3633,74.7291,56.2132,1428.4993,554.216,459.603,38.669,,565.3296,5.2217,16.9058,368.6837,136.6018,37.9166,1357.3018,29.4963,1144.4142,2.3972,86.5833,55.7418,
2012,18958.6617,879.3637,203.9046,168.9542,59.5786,6.4029,440.5234,107.4292,78.9075,11.8564,2.139,4.5683,5.961,,575.6937,39.8749,7.6543,,4.8905,5.2968,,5.7646,11.6445,2.2691,3.3169,2.0219,0.7863,25.3614,49.5501,9.0061,0.4817,1.205,2.2431,20.2888,33.4367,11.9582,9.8483,23.1091,19.5944,,24.5453,87.466,28.1197,,11.2356,1116.0739,668.6896,58.8769,388.5074,610.7992,,10.5435,1.3778,,3940.755,739.0718,2890.2973,381.4317,100.9608,108.17,20.5284,7.1754,71.8077,2.7436,100.4975,57.1774,,,105.812,36.4128,69.3992,48.358,43.7309,4.6271,39.8925,,,0.39,0.5255,2096.5982,147.9009,2.1441,145.7568,205.752,102.2518,74.5635,28.9367,4.3623,5395.8143,1318.1456,207.5566,3870.1121,141.037,64.738,41.6532,1148.2302,450.7478,382.5189,44.9541,68.2289,452.8544,3.8645,24.7625,290.1727,116.3619,17.6928,1395.0522,7.1142,1208.5262,2.0224,94.4694,37.9659,
2011,14843.2898,724.3458,142.1767,185.1814,32.074,6.2407,358.673,123.1896,73.8953,25.9515,3.8068,12.0024,7.5336,,465.3714,47.1787,7.2085,6.2757,1.3245,3.8961,16.4727,0.436,3.958,0.9174,9.7745,1.7361,14.4955,34.4794,32.5177,11.3537,0.347,1.0396,5.4453,21.9448,7.6863,29.7199,10.2932,16.9182,19.9715,59.1727,26.7107,26.145,4.3547,31.3136,12.2844,973.6353,675.5544,27.2496,270.8313,580.8324,546.8037,2.4165,7.3829,24.2293,3413.6942,719.2086,2259.5039,182.4377,103.2042,86.8791,5.489,4.8557,50.1677,1.9483,47.8653,28.4896,16.3188,3.0569,78.9365,36.9407,41.9958,40.9079,35.2888,5.6191,49.7237,35.539,12.4715,0.4,1.3132,1145.2947,145.5936,0.6079,144.9857,152.8791,93.9976,42.4866,12.8299,3.565,3897.7279,940.3208,354.3668,2603.0403,37.1766,32.8872,4.2894,838.0022,390.1124,307.6765,34.294,48.1419,368.3776,5.0738,13.7832,239.099,90.9888,19.4328,1369.6236,21.5399,1288.8349,2.6011,18.9653,37.6824,
2010,13104.665,582.8,93.6,162.8,35.4,1.8,289.3,86.1,47.7,25.7,2.8,7.2,2.7,,474.8,28.3,10.2,3.7,1.8,4.4,7.4,0.7,4.5,0.5,1.7,1.2,13.4,64.5,34.8,7.2,0.3,1.8,1.7,18.5,17.5,10.4,3.3,19.5,66.4,66.2,18.6,45.1,2.6,15.8,3.0,904.0,623.9,34.2,246.0,383.7,357.0,1.3,5.1,20.4,3403.0,1036.0,1982.7,129.3,105.3,85.3,9.1,8.3,45.6,1.2,101.3,91.2,8.1,2.1,45.2,29.2,16.0,23.7,21.3,2.5,8.2,7.4,0.1,0.1,0.6,774.8,144.6,0.1,144.5,165.6,96.2,45.3,19.6,4.5,3272.3,878.7,271.6,2122.0,24.2,21.2,2.9,793.1,412.0,344.5,22.4,45.1,326.6,2.8,29.9,189.3,71.9,32.7,1178.7,19.6,1105.0,5.1,9.9,39.1,
