年份,固定资产投资(不含农户),农、林、牧、渔业固定资产投资(不含农户),农业固定资产投资(不含农户),林业固定资产投资(不含农户),畜牧业固定资产投资(不含农户),渔业固定资产投资(不含农户),农、林、牧、渔服务业固定资产投资(不含农户),采矿业固定资产投资(不含农户),煤炭开采和洗选业固定资产投资(不含农户),石油和天然气开采业固定资产投资(不含农户),黑色金属矿采选业固定资产投资(不含农户),有色金属矿采选业固定资产投资(不含农户),非金属矿采选业固定资产投资(不含农户),其他采矿业固定资产投资(不含农户),制造业固定资产投资(不含农户),农副食品加工业固定资产投资(不含农户),食品制造业固定资产投资(不含农户),饮料制造业固定资产投资(不含农户),烟草制品业固定资产投资(不含农户),纺织业固定资产投资(不含农户),纺织服装、鞋、帽制造业固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户),木材加工及木竹藤棕草制品业固定资产投资(不含农户),家具制造业固定资产投资(不含农户),造纸及纸制品业固定资产投资(不含农户),印刷业和记录媒介的复制固定资产投资(不含农户),文教体育用品制造业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业固定资产投资(不含农户),化学原料及化学制品制造业固定资产投资(不含农户),医药制造业固定资产投资(不含农户),化学纤维制造业固定资产投资(不含农户),橡胶制品业固定资产投资(不含农户),塑料制品业固定资产投资(不含农户),非金属矿物制品业固定资产投资(不含农户),黑色金属冶炼及压延加工业固定资产投资(不含农户),有色金属冶炼及压延加工业固定资产投资(不含农户),金属制品业固定资产投资(不含农户),通用设备制造业固定资产投资(不含农户),专用设备制造业固定资产投资(不含农户),交通运输设备制造业固定资产投资(不含农户),电气机械及器材制造业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业固定资产投资(不含农户),仪器仪表文化办公用机械制造业固定资产投资(不含农户),工艺品及其他制造业固定资产投资(不含农户),废弃资源和废旧材料回收加工业固定资产投资(不含农户),电力燃气水的生产供应业固定资产投资(不含农户),电力、热力的生产和供应业固定资产投资(不含农户),燃气生产和供应业固定资产投资(不含农户),水的生产和供应业固定资产投资(不含农户),建筑业固定资产投资(不含农户),房屋和土木工程建筑业固定资产投资(不含农户),建筑安装工程业固定资产投资(不含农户),建筑装饰业固定资产投资(不含农户),其他建筑业固定资产投资(不含农户),交通运输、仓储和邮政业固定资产投资(不含农户),铁路运输业固定资产投资(不含农户),道路运输业固定资产投资(不含农户),城市公共交通业固定资产投资(不含农户),水上运输业固定资产投资(不含农户),航空运输业固定资产投资(不含农户),管道运输业固定资产投资(不含农户),装卸搬运和其他运输服务业固定资产投资(不含农户),仓储业固定资产投资(不含农户),邮政业固定资产投资(不含农户),信息传输、计算机服务和软件业固定资产投资(不含农户),电信和其他信息传输服务业固定资产投资(不含农户),计算机服务业固定资产投资(不含农户),软件业固定资产投资(不含农户),批发和零售业固定资产投资(不含农户),批发业固定资产投资(不含农户),零售业固定资产投资(不含农户),住宿和餐饮业固定资产投资(不含农户),住宿业固定资产投资(不含农户),餐饮业固定资产投资(不含农户),金融业固定资产投资(不含农户),银行业固定资产投资(不含农户),证券业固定资产投资(不含农户),保险业固定资产投资(不含农户),其他金融活动固定资产投资(不含农户),房地产业固定资产投资(不含农户),租赁和商务服务业固定资产投资(不含农户),租赁业固定资产投资(不含农户),商务服务业固定资产投资(不含农户),科学研究、技术服务和地质勘查业固定资产投资(不含农户),研究与试验发展固定资产投资(不含农户),专业技术服务业固定资产投资(不含农户),科技交流和推广服务业固定资产投资(不含农户),地质勘查业固定资产投资(不含农户),水利、环境和公共设施管理业固定资产投资(不含农户),水利管理业固定资产投资(不含农户),环境管理业固定资产投资(不含农户),公共设施管理业固定资产投资(不含农户),居民服务和其他服务业固定资产投资(不含农户),居民服务业固定资产投资(不含农户),其他服务业固定资产投资(不含农户),教育固定资产投资(不含农户),卫生、社会保障和社会福利业固定资产投资(不含农户),卫生固定资产投资(不含农户),社会保障业固定资产投资(不含农户),社会福利业固定资产投资(不含农户),文化、体育和娱乐业固定资产投资(不含农户),新闻出版业固定资产投资(不含农户),广播、电视、电影和音像业固定资产投资(不含农户),文化艺术业固定资产投资(不含农户),体育固定资产投资(不含农户),娱乐业固定资产投资(不含农户),公共管理和社会组织固定资产投资(不含农户),中国共产党机关固定资产投资(不含农户),国家机构固定资产投资(不含农户),人民政协和民主党派固定资产投资(不含农户),群众团体、社会团体和宗教组织固定资产投资(不含农户),基层群众自治组织固定资产投资(不含农户),国际组织固定资产投资(不含农户)
2019,551478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,635636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,631684,24638.3334,11833.3124,2222.2972,5631.557,1205.1862,3745.9806,9208.9492,2648.3765,2648.9285,751.1878,1109.1361,1754.577,59.0807,193615.6711,11985.9886,5842.8239,,185.242,6936.14,,,4456.4882,3729.4331,3090.9574,1797.0971,,2676.7672,13903.1777,5986.2624,1330.3646,,,16952.7555,3804.1992,5038.3812,10389.8804,13246.8252,12346.6314,,13346.7061,12913.9081,,,1694.9077,29794.141,22055.2084,2229.782,5509.1506,3647.9178,,263.368,,,61185.8228,8006.194,40303.5901,,1886.4099,2394.9212,347.8534,1115.0598,6855.7761,276.0183,6987.429,2489.2966,,,16541.7994,8452.2542,8089.5452,6106.6189,4289.0651,1817.5538,1121.4754,,,123.3901,172.841,139733.5192,13304.2207,1319.2393,11984.9814,5932.4785,1525.1406,1880.9456,2526.3923,,82105.2961,10020.8314,3822.3374,68262.1273,2686.1516,1583.8326,563.0241,11083.538,7327.3999,5243.2963,393.1391,,8731.8805,89.5394,534.2743,3787.3756,1809.7216,2510.9696,7931.3212,45.1155,5303.3264,6.7119,381.5503,1801.478,
2016,596501,22773.8929,10232.5854,2175.7004,5344.8639,1085.1713,3935.5719,10319.7197,3037.6841,2330.9704,978.3212,1428.7211,2126.2421,75.0258,187835.9776,11786.3877,5824.83,,209.2043,6642.5704,,,4307.7089,3067.6208,3091.3272,1853.8403,,2696.2344,14753.0993,6299.1508,1116.0436,,,16869.3324,4161.4628,5258.5427,10111.2923,13060.7143,12037.0188,,12781.5114,10464.4461,,,1375.3776,29735.9986,22637.6767,2134.799,4963.5229,4577.4311,,272.7184,,,53628.4754,7748.1124,32937.3376,,2163.3274,2219.6237,262.715,1089.4429,6983.4987,224.4177,6318.6602,2647.0361,,,17939.0736,9220.7251,8718.3485,5947.3863,4137.8133,1809.573,1310.1987,,,118.1178,201.3591,135283.6941,12315.7239,1594.4993,10721.2246,5567.7695,1359.1874,1950.7002,2257.8819,,68647.2107,8725.3835,3145.5739,56776.2533,2676.6273,1490.6852,608.3394,9323.6743,6281.55,4601.4217,261.3381,,7830.1217,99.8364,619.1075,3407.8519,1421.34,2281.9859,8187.5464,31.7941,5770.7339,3.8615,476.5081,1643.3107,
2015,551590,19062.3164,7849.3369,1966.8859,4854.9116,890.6638,3500.5182,12970.2184,4006.6554,3424.9259,1365.7166,1588.1824,2092.1004,68.1789,180233.4022,10761.1992,5089.0084,,265.4007,6001.6028,,,4116.6023,2881.8314,2812.7973,1849.5961,,2538.6483,14990.8823,5811.8761,1112.2065,,,16747.6343,4257.1864,5580.1338,9490.6389,13363.9297,12353.358,,11314.5339,9036.0581,,,1312.1269,26709.6283,20260.414,2331.4898,4117.7245,4896.7011,,256.8512,,,48974.8106,7729.9405,28614.1047,,2352.2803,1839.8555,299.1491,1275.2397,6620.1524,244.0884,5516.3702,2444.7012,,,18681.4246,9430.228,9251.1966,6504.2259,4673.3133,1830.9126,1367.2488,,,130.9663,223.0958,126706.1569,9435.8309,892.0414,8543.7895,4751.5401,1414.2894,1717.5456,1619.7051,,55679.0336,7249.8589,2249.0014,46180.1733,2628.1617,1474.2965,504.5037,7723.2422,5174.6895,3940.2975,285.1788,,6724.1195,129.7902,491.9705,3077.793,1031.8266,1992.7392,7850.9175,25.3769,5236.0356,16.3628,642.772,1645.1914,
2014,501265,14574.0074,5388.7303,1592.3948,4055.0369,766.7948,2771.0506,14537.1501,4684.4669,3947.8658,1661.2844,1625.7757,2049.092,60.3639,166897.7425,9994.0222,4447.1126,,283.9625,5318.847,3711.0802,1967.2451,3450.8151,2448.9456,2801.8951,1606.4725,1794.7138,3208.4923,14516.3932,5191.9326,1099.203,1622.3437,4309.9589,15785.5683,4781.3035,5813.7975,8631.1585,12143.1909,11384.9186,,10403.5057,7972.8163,1487.1129,2034.1212,1189.9628,22825.008,17432.4737,2241.5922,3150.9421,4034.0476,,205.6674,169.2983,,42889.5215,7680.7,24513.163,4081.2552,2434.5778,1430.4211,315.4744,1201.9811,5158.2831,128.4516,4102.9762,2065.3268,409.9992,1627.6502,15552.5455,7520.6407,8031.9048,6188.743,4575.5207,1613.2223,1362.9723,,67.1368,114.505,171.6283,123558.2427,7953.5228,713.6116,7239.9112,4219.096,1336.9911,1566.2299,1315.875,220.1125,46224.4285,5990.128,1807.711,38426.5895,2275.586,1353.7572,414.8545,6705.6224,3991.039,3198.3125,251.4988,792.7265,6174.0607,102.3548,565.032,2705.264,1041.6159,1759.794,7198.5625,26.713,5246.9206,12.928,563.1812,1097.3209,
2013,435747,11401.2375,4027.8941,1356.579,3065.9533,658.641,2292.1701,14648.7843,5212.5675,3820.6143,1648.4148,1593.4856,1800.386,55.7241,147584.434,8580.1165,3685.9272,,303.0419,4725.9939,,,2920.5057,1933.0979,2635.7884,1283.1719,,3039.1319,13210.418,4529.3461,1049.4019,,,13756.5786,5098.6665,5550.2785,7136.8334,10490.8454,10017.434,,9210.61,7187.1836,,,963.935,19628.9315,14726.3552,2210.2432,2692.3331,3532.3445,,163.0256,,,36329.3503,6690.6584,20502.941,,2123.3194,1314.06,374.0007,993.4323,4235.7327,95.2058,3084.8766,1696.0868,,,12601.1087,5966.7147,6634.394,6012.4082,4473.3229,1539.0853,1241.9721,,,100.9967,150.2155,111379.6369,5874.639,299.5815,5575.0575,3133.2078,1054.2796,1064.7517,1014.1765,,37662.7364,5118.8383,1425.6824,31118.2157,1994.4242,1121.1427,451.3429,5399.8641,3138.2811,2591.4952,216.9573,,5225.4726,103.7573,311.0935,2381.6758,1040.9837,1387.9623,5873.7158,56.0627,4086.0558,13.0932,571.0316,930.5152,
2012,364854,8772.4341,3197.5343,1010.6191,2246.2968,518.003,1799.9809,13298.7525,5370.2389,3076.5136,1509.2843,1385.465,1602.2281,44.7892,124403.902,6858.7136,3061.5148,,238.8296,3971.4588,2530.6475,1312.9244,2407.1213,1531.9937,2215.7808,1056.5796,1140.8991,2500.4517,11263.0423,3578.1333,845.955,1273.9539,3069.3065,12061.5806,5167.1331,4531.3855,5882.0652,8474.7876,8463.2619,,8280.0606,5957.2637,1309.1096,1433.7713,720.7866,16671.9176,12947.9286,1604.6667,2119.3223,3685.341,,144.688,105.3508,,30881.393,6128.8196,17466.4247,2969.1415,2008.4361,1123.9813,204.5495,713.7215,3166.3709,69.0894,2691.2798,1598.1523,,856.4425,9762.9407,4322.8957,5440.045,5107.5783,3712.6448,1394.9335,923.9167,,46.7291,115.1279,103.0634,92639.3605,4694.7124,207.636,4487.0764,2475.7647,860.8581,926.2911,688.6155,191.9757,29618.3891,4386.1102,1080.4181,24151.8608,1685.761,873.9597,444.9789,4608.175,2616.9933,2195.1152,217.3663,421.8781,4268.1337,69.3611,246.5106,1972.2407,839.0273,1140.994,6047.4005,32.3757,4321.9594,17.5676,572.6014,885.5301,
2011,302396,6819.1918,2334.2,889.9,1750.6,371.3,1465.6,11746.8458,4907.2605,3021.9589,1235.4,1241.2,1291.0,50.0392,102566.3311,5233.7,2404.9,1910.0769,268.6,3656.1,2268.661,931.1304,1900.3,1196.4,1922.6,876.2,434.9435,2268.4785,8786.5,2648.9,744.0,1156.5536,2630.7579,10359.5,5160.6,3720.3,5418.4,6364.07,5791.7,8338.5202,7881.2,5259.0,1062.932,1532.5273,469.0435,14659.2216,11603.5,1244.4255,1811.3,3239.8696,2716.818,107.6474,102.5234,312.8808,27765.8944,5915.0,16076.8,2225.2898,1926.5,835.8,148.1,368.2014,2437.2,58.3151,2174.1761,1680.3012,158.1252,335.7497,7379.7347,3542.0137,3837.721,3918.814,2909.0723,1009.7417,638.7256,366.3816,49.7324,56.6171,165.9945,75663.6961,3379.9139,232.2769,3147.637,1679.7651,642.7324,500.603,372.7809,163.6488,24520.7494,3412.6,1602.4855,20037.4,1219.089,681.1497,537.9393,3890.4327,2330.2297,1909.5,179.2248,241.5143,3155.5933,81.562,194.6271,1209.6,462.7941,1200.473,5647.7853,60.295,4452.6168,7.4563,223.054,904.3632,
2010,241431,3926.2395,959.2,742.4,1056.2,202.9,1036.1,9694.7206,3784.6615,2927.9883,1056.4,1026.5,997.1,43.1,74485.1757,3629.4,1939.0,1353.0,198.1,2802.6,1585.4,695.9,1354.7,925.6,1463.5,717.7,334.8,2035.0832,7039.5,1797.1,496.4,860.6,1928.4,7929.3,3369.3,2830.0,4099.3,5896.2,4232.7,6610.1,5429.0,3922.5,764.4,1240.9,357.8,14591.3055,11356.4,964.1916,1803.2,2241.7315,1864.7,78.7,63.7,234.7,27883.0721,7441.5,12276.6,2036.7,1942.5,829.6,94.9,332.6,1811.7,33.5,2392.9091,2007.0,127.0,259.0,5233.3738,2319.1,2914.2,2980.1644,2080.8,899.4,477.6792,315.9,52.9,33.1,75.7,57633.0875,2486.4499,150.1,2336.3,1269.2173,456.6,385.5,277.1,150.0,22333.6521,2934.5,1540.2,17011.3,757.056,364.6,392.4,3718.1076,1959.4558,1553.1,92.2,182.3,2605.9122,50.9,241.7,900.3,501.7,911.4,4761.5796,33.4,3852.2,6.9,155.0,714.1,
