年份,固定资产投资(不含农户),固定资产投资(不含农户)建筑安装工程工程,固定资产投资(不含农户)设备、工器具购置,固定资产投资(不含农户)其他费用,新建固定资产投资(不含农户),扩建固定资产投资(不含农户),改建固定资产投资(不含农户)
2019,551478,,,,,,
2018,635636,,,,,,
2017,631684,441771.5372,114057.5077,75854.9188,452483.2875,67597.3679,91873.2518
2016,596501,415196.2611,111859.8766,69444.6143,421160.3434,68981.927,85391.5365
2015,551590,379728.3868,109522.753,62338.8986,380958.9064,67268.8441,81857.6589
2014,501265,341154.9079,99387.507,60722.4598,350782.7716,60391.343,71061.4376
2013,435747,290333.9824,89296.3778,56117.0654,302909.0612,54023.962,62332.754
2012,364854,236601.0659,75938.3221,52314.7579,251045.6492,47983.119,52413.6317
2011,302396,193644.6421,63580.0232,45171.3939,143604.939,42242.3107,41696.4209
2010,241431,148601.2657,51692.6115,41137.0122,113860.0408,33694.9347,33375.7979
2009,193920,119780.3582,42333.8463,31806.1849,89993.1538,30303.7533,27171.8638
2008,148738,90361.8705,33572.2879,24804.1465,65727.3468,24371.0439,19138.3122
2007,117464,71595.2519,25694.8395,20174.3774,51963.0502,19705.4045,14136.0028
2006,93369,57099.4097,20397.569,15871.7025,41514.1675,16761.2866,11075.5123
2005,75095,46154.1235,16439.2257,12501.7511,34126.6062,13154.5017,8721.0658
2004,59028,36519.22,12455.57,10053.4,24630.09,12274.19,5929.62
2003,45812,28091.31,9300.67,8419.71,18092.41,10249.87,4932.0
2002,35488.76,21963.32,7268.01,6257.43,12366.07,7936.82,4611.5
2001,30001.24,18739.04,6509.45,4752.75,9611.31,7410.82,3974.84
2000,26221.8,16346.01,5846.72,4029.07,8484.46,6390.48,3827.04
