年份,固定资产投资(不含农户)在建总规模,农、林、牧、渔业固定资产投资(不含农户)在建总规模,农业固定资产投资(不含农户)在建总规模,林业固定资产投资(不含农户)在建总规模,畜牧业固定资产投资(不含农户)在建总规模,渔业固定资产投资(不含农户)在建总规模,农、林、牧、渔服务业固定资产投资(不含农户)在建总规模,采矿业固定资产投资(不含农户)在建总规模,煤炭开采和洗选业固定资产投资(不含农户)在建总规模,石油和天然气开采业固定资产投资(不含农户)在建总规模,黑色金属矿采选业固定资产投资(不含农户)在建总规模,有色金属矿采选业固定资产投资(不含农户)在建总规模,非金属矿采选业固定资产投资(不含农户)在建总规模,其他采矿业固定资产投资(不含农户)在建总规模,制造业固定资产投资(不含农户)在建总规模,农副食品加工业固定资产投资(不含农户)在建总规模,食品制造业固定资产投资(不含农户)在建总规模,饮料制造业固定资产投资(不含农户)在建总规模,烟草制品业固定资产投资(不含农户)在建总规模,纺织业固定资产投资(不含农户)在建总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建总规模,家具制造业固定资产投资(不含农户)在建总规模,造纸及纸制品业固定资产投资(不含农户)在建总规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建总规模,文教体育用品制造业固定资产投资(不含农户)在建总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建总规模,化学原料及化学制品制造业固定资产投资(不含农户)在建总规模,医药制造业固定资产投资(不含农户)在建总规模,化学纤维制造业固定资产投资(不含农户)在建总规模,橡胶制品业固定资产投资(不含农户)在建总规模,塑料制品业固定资产投资(不含农户)在建总规模,非金属矿物制品业固定资产投资(不含农户)在建总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,金属制品业固定资产投资(不含农户)在建总规模,通用设备制造业固定资产投资(不含农户)在建总规模,专用设备制造业固定资产投资(不含农户)在建总规模,交通运输设备制造业固定资产投资(不含农户)在建总规模,电气机械及器材制造业固定资产投资(不含农户)在建总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建总规模,工艺品及其他制造业固定资产投资(不含农户)在建总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建总规模,电力燃气水的生产供应业固定资产投资(不含农户)在建总规模,电力、热力的生产和供应业固定资产投资(不含农户)在建总规模,燃气生产和供应业固定资产投资(不含农户)在建总规模,水的生产和供应业固定资产投资(不含农户)在建总规模,建筑业固定资产投资(不含农户)在建总规模,房屋和土木工程建筑业固定资产投资(不含农户)在建总规模,建筑安装工程业固定资产投资(不含农户)在建总规模,建筑装饰业固定资产投资(不含农户)在建总规模,其他建筑业固定资产投资(不含农户)在建总规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建总规模,铁路运输业固定资产投资(不含农户)在建总规模,道路运输业固定资产投资(不含农户)在建总规模,城市公共交通业固定资产投资(不含农户)在建总规模,水上运输业固定资产投资(不含农户)在建总规模,航空运输业固定资产投资(不含农户)在建总规模,管道运输业固定资产投资(不含农户)在建总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建总规模,仓储业固定资产投资(不含农户)在建总规模,邮政业固定资产投资(不含农户)在建总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建总规模,电信和其他信息传输服务业固定资产投资(不含农户)在建总规模,计算机服务业固定资产投资(不含农户)在建总规模,软件业固定资产投资(不含农户)在建总规模,批发和零售业固定资产投资(不含农户)在建总规模,批发业固定资产投资(不含农户)在建总规模,零售业固定资产投资(不含农户)在建总规模,住宿和餐饮业固定资产投资(不含农户)在建总规模,住宿业固定资产投资(不含农户)在建总规模,餐饮业固定资产投资(不含农户)在建总规模,金融业固定资产投资(不含农户)在建总规模,银行业固定资产投资(不含农户)在建总规模,证券业固定资产投资(不含农户)在建总规模,保险业固定资产投资(不含农户)在建总规模,其他金融活动固定资产投资(不含农户)在建总规模,房地产业固定资产投资(不含农户)在建总规模,租赁和商务服务业固定资产投资(不含农户)在建总规模,租赁业固定资产投资(不含农户)在建总规模,商务服务业固定资产投资(不含农户)在建总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建总规模,研究与试验发展固定资产投资(不含农户)在建总规模,专业技术服务业固定资产投资(不含农户)在建总规模,科技交流和推广服务业固定资产投资(不含农户)在建总规模,地质勘查业固定资产投资(不含农户)在建总规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建总规模,水利管理业固定资产投资(不含农户)在建总规模,环境管理业固定资产投资(不含农户)在建总规模,公共设施管理业固定资产投资(不含农户)在建总规模,居民服务和其他服务业固定资产投资(不含农户)在建总规模,居民服务业固定资产投资(不含农户)在建总规模,其他服务业固定资产投资(不含农户)在建总规模,教育固定资产投资(不含农户)在建总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建总规模,卫生固定资产投资(不含农户)在建总规模,社会保障业固定资产投资(不含农户)在建总规模,社会福利业固定资产投资(不含农户)在建总规模,文化、体育和娱乐业固定资产投资(不含农户)在建总规模,新闻出版业固定资产投资(不含农户)在建总规模,广播、电视、电影和音像业固定资产投资(不含农户)在建总规模,文化艺术业固定资产投资(不含农户)在建总规模,体育固定资产投资(不含农户)在建总规模,娱乐业固定资产投资(不含农户)在建总规模,公共管理和社会组织固定资产投资(不含农户)在建总规模,中国共产党机关固定资产投资(不含农户)在建总规模,国家机构固定资产投资(不含农户)在建总规模,人民政协和民主党派固定资产投资(不含农户)在建总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建总规模,基层群众自治组织固定资产投资(不含农户)在建总规模,国际组织固定资产投资(不含农户)在建总规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1087608.8674,11412.5035,4878.7688,1234.4495,2947.6258,450.7453,1900.9141,22184.8127,11799.9778,4034.3971,2060.7783,2061.3604,1356.8332,51.428,209171.7773,8538.2099,4769.5235,,822.7831,4548.6784,3083.6611,1746.0197,2291.227,2230.4257,3748.5836,1123.2458,1515.3209,9751.9409,24996.5009,7213.5181,1780.4066,,,14703.9277,9047.2321,13681.1594,7490.2386,10480.917,11886.0604,,,13496.0426,1877.241,,1192.5165,59508.5492,49195.7522,6104.0489,4208.7481,3451.8601,,101.936,,,136093.3294,43767.7769,71989.2023,,6042.8015,2560.5891,397.6307,1914.3596,9273.8699,147.0994,6065.2207,1753.6823,,,18676.4449,8736.534,9939.9109,10209.0394,9001.1171,1207.9223,2991.9565,,,426.65,496.8683,466787.3969,13955.1434,118.3582,13836.7852,5792.1002,2823.8263,1437.669,1530.6049,,82517.2825,13799.7699,2530.9982,66186.5144,2275.8152,1365.8254,339.5145,9146.3561,6629.4081,5520.0443,247.6918,1109.3638,13536.7886,322.8205,1088.4093,5428.9843,2144.4292,,7203.0827,44.259,5564.3994,4.4924,586.4141,755.826,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,870228.6989,7826.8377,2951.9998,956.7018,2015.4637,519.9147,1382.7577,23063.6982,12633.9164,4507.6324,1841.3872,1939.8242,1317.3941,58.7099,182647.0745,6814.9401,3585.2488,,742.5432,4093.3875,,1337.4686,1758.631,1491.0367,3749.2732,815.0643,1103.7106,9076.4204,21262.5633,5269.877,1460.9814,1744.4312,3020.8542,13205.4342,10331.5551,10346.0294,6071.5683,9336.7415,10367.0247,,13462.0297,12114.4985,1899.8791,,879.9061,48157.7535,39847.8321,4552.9856,3756.9358,4906.5083,,96.9018,49.954,42.9399,107883.6079,36139.002,54786.7051,14898.4955,5669.3477,2131.3116,443.0163,1435.0536,7183.7454,95.4262,3533.3681,1224.5877,,,14417.3712,6570.9759,7846.3953,8849.04,7573.3658,1275.6742,2169.6506,,324.0638,371.9028,251.7839,359111.9072,10376.4296,106.3466,10270.083,4432.1926,2024.6252,1243.2031,1164.3643,146.9951,61604.4274,10315.2409,1843.8518,49445.3347,2201.3577,1096.6578,536.9999,7034.1567,4749.0526,4090.7807,182.5514,658.2119,10113.8715,215.843,772.5406,3758.3654,2132.6361,3234.4864,7150.3936,53.3966,5443.6525,40.3591,705.2179,725.2161,
2011,725708.0352,5999.9133,2276.6194,778.6808,1544.5544,227.2147,1172.844,20596.7767,11601.7181,4013.602,1772.0238,2053.2776,1129.4238,26.7314,152542.7375,5057.2154,2727.2112,2256.8673,804.5142,3828.4945,1936.1534,808.107,1362.6843,1198.3705,3569.6677,663.467,409.7372,7717.4049,16750.98,4055.7066,1148.9486,1717.7962,2702.7596,11508.5654,9004.994,7976.5974,5326.3516,8859.207,8255.5138,16387.0321,12588.4656,9484.325,1209.0731,2597.5184,629.0085,45594.7867,38359.9126,3723.85,3511.0241,3988.5937,3560.5268,70.2553,41.2773,316.5343,98018.2431,33559.2284,37812.0238,12974.0399,5364.643,2140.4399,254.369,565.6106,5240.2977,107.5908,2904.8268,1765.8873,292.8901,846.0494,10468.9695,5167.6956,5301.2739,6637.4578,5713.5919,923.8659,1314.2075,603.4938,297.0013,262.8912,150.8212,286030.4115,6555.2942,48.5838,6506.7104,3592.3549,1506.2501,996.3339,913.3868,176.3841,54652.0435,8987.7171,2812.5255,42851.8009,1628.4856,778.24,850.2456,6492.1241,4054.0927,3456.9344,235.4383,361.72,7843.8138,241.2911,573.8801,2495.0947,1203.1906,3330.3573,6792.9023,47.9465,5616.8746,7.7307,355.1372,765.2133,
2010,618982.2,3920.8,1180.6,754.3,953.8,99.8,932.3,17835.9,10252.7,3695.3,1537.4,1424.9,879.8,45.8,120810.8,3904.3,2090.9,1904.9,742.8,2962.1,1469.1,719.9,1025.4,838.7,2989.1,570.0,285.6,7010.6,13963.9,2954.8,959.3,1690.3,1904.2,8616.9,7386.3,6650.3,4069.5,6488.0,6179.8,13637.2,8103.8,8025.7,973.3,2213.2,481.0,48321.6,42007.3,2936.2,3378.1,2855.9,2491.3,47.8,23.6,293.2,90372.6,30654.9,34345.4,12697.5,5309.9,2502.2,208.1,462.7,4134.8,57.1,3017.4,2173.0,164.8,679.6,7830.4,3932.0,3898.4,5288.6,4637.8,650.9,1064.3,440.8,296.7,168.3,158.5,219231.7,5333.8,46.2,5287.6,2821.4,1054.1,956.6,611.3,199.5,53498.3,8637.2,2733.4,42127.8,1271.5,567.8,703.7,6729.6,3514.2,3161.6,150.0,202.7,6535.7,183.7,643.5,2022.6,846.4,2839.4,6506.3,55.0,5630.1,4.2,214.3,602.8,
