年份,改建固定资产投资(不含农户),农、林、牧、渔业改建固定资产投资(不含农户),农业改建固定资产投资(不含农户),林业改建固定资产投资(不含农户),畜牧业改建固定资产投资(不含农户),渔业改建固定资产投资(不含农户),农、林、牧、渔服务业改建固定资产投资(不含农户),采矿业改建固定资产投资(不含农户),煤炭开采和洗选业改建固定资产投资(不含农户),石油和天然气开采业改建固定资产投资(不含农户),黑色金属矿采选业改建固定资产投资(不含农户),有色金属矿采选业改建固定资产投资(不含农户),非金属矿采选业改建固定资产投资(不含农户),其他采矿业改建固定资产投资(不含农户),制造业改建固定资产投资(不含农户),农副食品加工业改建固定资产投资(不含农户),食品制造业改建固定资产投资(不含农户),饮料制造业改建固定资产投资(不含农户),烟草制品业改建固定资产投资(不含农户),纺织业改建固定资产投资(不含农户),纺织服装、鞋、帽制造业改建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业改建固定资产投资(不含农户),木材加工及木竹藤棕草制品业改建固定资产投资(不含农户),家具制造业改建固定资产投资(不含农户),造纸及纸制品业改建固定资产投资(不含农户),印刷业和记录媒介的复制改建固定资产投资(不含农户),文教体育用品制造业改建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业改建固定资产投资(不含农户),化学原料及化学制品制造业改建固定资产投资(不含农户),医药制造业改建固定资产投资(不含农户),化学纤维制造业改建固定资产投资(不含农户),橡胶制品业改建固定资产投资(不含农户),塑料制品业改建固定资产投资(不含农户),非金属矿物制品业改建固定资产投资(不含农户),黑色金属冶炼及压延加工业改建固定资产投资(不含农户),有色金属冶炼及压延加工业改建固定资产投资(不含农户),金属制品业改建固定资产投资(不含农户),通用设备制造业改建固定资产投资(不含农户),专用设备制造业改建固定资产投资(不含农户),交通运输设备制造业改建固定资产投资(不含农户),电气机械及器材制造业改建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业改建固定资产投资(不含农户),仪器仪表文化办公用机械制造业改建固定资产投资(不含农户),工艺品及其他制造业改建固定资产投资(不含农户),废弃资源和废旧材料回收加工业改建固定资产投资(不含农户),电力燃气水的生产供应业改建固定资产投资(不含农户),电力、热力的生产和供应业改建固定资产投资(不含农户),燃气生产和供应业改建固定资产投资(不含农户),水的生产和供应业改建固定资产投资(不含农户),建筑业改建固定资产投资(不含农户),房屋和土木工程建筑业改建固定资产投资(不含农户),建筑安装工程业改建固定资产投资(不含农户),建筑装饰业改建固定资产投资(不含农户),其他建筑业改建固定资产投资(不含农户),交通运输、仓储和邮政业改建固定资产投资(不含农户),铁路运输业改建固定资产投资(不含农户),道路运输业改建固定资产投资(不含农户),城市公共交通业改建固定资产投资(不含农户),水上运输业改建固定资产投资(不含农户),航空运输业改建固定资产投资(不含农户),管道运输业改建固定资产投资(不含农户),装卸搬运和其他运输服务业改建固定资产投资(不含农户),仓储业改建固定资产投资(不含农户),邮政业改建固定资产投资(不含农户),信息传输、计算机服务和软件业改建固定资产投资(不含农户),电信和其他信息传输服务业改建固定资产投资(不含农户),计算机服务业改建固定资产投资(不含农户),软件业改建固定资产投资(不含农户),批发和零售业改建固定资产投资(不含农户),批发业改建固定资产投资(不含农户),零售业改建固定资产投资(不含农户),住宿和餐饮业改建固定资产投资(不含农户),住宿业改建固定资产投资(不含农户),餐饮业改建固定资产投资(不含农户),金融业改建固定资产投资(不含农户),银行业改建固定资产投资(不含农户),证券业改建固定资产投资(不含农户),保险业改建固定资产投资(不含农户),其他金融活动改建固定资产投资(不含农户),房地产业改建固定资产投资(不含农户),租赁和商务服务业改建固定资产投资(不含农户),租赁业改建固定资产投资(不含农户),商务服务业改建固定资产投资(不含农户),科学研究、技术服务和地质勘查业改建固定资产投资(不含农户),研究与试验发展改建固定资产投资(不含农户),专业技术服务业改建固定资产投资(不含农户),科技交流和推广服务业改建固定资产投资(不含农户),地质勘查业改建固定资产投资(不含农户),水利、环境和公共设施管理业改建固定资产投资(不含农户),水利管理业改建固定资产投资(不含农户),环境管理业改建固定资产投资(不含农户),公共设施管理业改建固定资产投资(不含农户),居民服务和其他服务业改建固定资产投资(不含农户),居民服务业改建固定资产投资(不含农户),其他服务业改建固定资产投资(不含农户),教育改建固定资产投资(不含农户),卫生、社会保障和社会福利业改建固定资产投资(不含农户),卫生改建固定资产投资(不含农户),社会保障业改建固定资产投资(不含农户),社会福利业改建固定资产投资(不含农户),文化、体育和娱乐业改建固定资产投资(不含农户),新闻出版业改建固定资产投资(不含农户),广播、电视、电影和音像业改建固定资产投资(不含农户),文化艺术业改建固定资产投资(不含农户),体育改建固定资产投资(不含农户),娱乐业改建固定资产投资(不含农户),公共管理和社会组织改建固定资产投资(不含农户),中国共产党机关改建固定资产投资(不含农户),国家机构改建固定资产投资(不含农户),人民政协和民主党派改建固定资产投资(不含农户),群众团体、社会团体和宗教组织改建固定资产投资(不含农户),基层群众自治组织改建固定资产投资(不含农户),国际组织改建固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,91873.2518,1097.0214,420.8195,100.1021,220.9458,81.2514,273.9026,2735.5739,976.6018,290.4493,416.7582,414.3565,547.1463,18.7029,60374.3055,3237.0761,1627.5775,,86.5142,2284.9457,,,1512.523,924.7406,1085.9809,653.1975,,938.8751,4929.9779,1719.5221,384.6588,,,5469.7548,1881.184,1416.5275,3317.7156,4818.2755,3894.8554,,3982.3687,3196.6998,,,567.1202,5114.5675,3874.8578,392.0633,847.6464,375.5691,,46.9798,,,5118.2902,233.4902,4321.6394,,96.6914,47.2733,62.891,58.9828,282.92,14.4021,1179.4402,706.8282,,,2092.0539,1144.9144,947.1395,683.389,369.5419,313.8471,92.0832,,,9.8425,10.5904,1467.4187,979.323,64.8861,914.4369,549.4965,104.7122,207.3485,237.4358,,7441.2861,1122.0899,559.7829,5759.4133,337.175,182.203,68.4021,562.4169,458.4557,362.3965,11.5508,,469.7304,7.6478,31.8095,253.8009,71.4919,104.9803,745.6556,2.906,474.6271,0.8198,29.1996,226.5523,
2016,85391.5365,1371.6032,503.2245,131.6774,232.629,123.7343,380.338,2925.5539,1010.5948,231.6954,426.1383,425.9073,691.6279,25.9074,53802.3451,3108.8952,1531.9435,,65.9878,2093.3004,,,1404.5596,822.6436,917.1837,606.6925,,686.1576,4720.4352,1639.4487,301.8381,,,5193.8128,1803.2221,1292.2933,3032.6128,4187.2531,3527.3393,,3389.9685,2246.6427,,,394.9342,5012.8367,3825.1589,344.0106,843.6672,514.0453,,53.349,,,4821.6514,321.4362,3827.4382,,126.8177,48.8607,32.8201,77.8525,373.646,12.78,1214.5556,773.262,,,2475.64,1387.893,1087.747,703.5033,375.8949,327.6084,165.6158,,,10.4728,21.0304,1798.752,862.9743,64.3703,798.604,676.5099,133.7762,257.9672,284.7665,,6475.4551,988.6569,526.741,4960.0572,329.2873,153.5737,76.671,653.7364,410.0444,327.1561,11.0305,,504.0587,10.4754,55.9009,248.5033,72.7118,116.4673,673.3681,3.3052,436.3917,0.5031,47.566,174.5716,
2015,81857.6589,1390.9367,445.2006,141.2153,245.1519,149.6517,409.7172,4084.1343,1399.5065,774.9963,636.2063,479.1834,671.5256,19.9929,49438.2136,2738.2915,1341.4906,,89.6435,1874.3642,,,1240.272,648.3322,832.2385,563.3328,,658.3885,4490.8802,1556.6057,271.7772,,,4861.4868,1655.6572,1768.0934,2573.4796,3739.3872,3234.8412,,2858.1069,2017.8201,,,358.8634,4220.3772,3048.8002,369.7834,801.7936,596.4217,,48.8893,,,5054.4431,256.1407,3991.3894,,158.7805,102.8345,30.7029,78.9735,416.8047,18.8169,1090.4687,627.8028,,,2483.4085,1428.3077,1055.1008,716.2237,412.5824,303.6413,170.8041,,,15.2636,20.0807,2022.8914,791.6295,51.8816,739.7479,733.5696,181.4486,266.3924,285.7286,,6464.1667,1142.939,406.0458,4915.1819,358.1764,183.0894,67.7723,560.9587,424.0751,358.6745,17.6432,,520.4929,8.9864,58.0761,259.4166,63.0051,131.0087,736.267,4.3111,457.8342,2.5442,57.2099,196.7244,
2014,71061.4376,1024.8681,283.5995,105.3386,177.7648,97.5744,360.5908,4642.9591,1614.3844,964.3496,707.6325,540.6281,666.3497,20.9162,42305.6512,2340.2948,1077.4271,,104.2575,1496.403,,384.5401,918.215,492.2551,761.1376,462.8389,427.1734,736.3299,4182.6532,1354.242,246.0303,431.5045,1002.9307,4533.2058,1713.6545,1312.9483,2292.5482,3235.1385,2732.7997,,2340.667,1560.4176,383.6035,,304.5772,3778.6363,2853.7887,308.5463,616.3013,505.763,,41.4099,50.1488,,4573.6521,280.792,3610.9537,108.2397,186.2056,75.3317,22.3689,60.6647,323.452,13.8835,670.7759,437.9886,,,1959.5781,1051.6534,907.9247,601.1245,344.995,256.1295,158.0711,,2.9022,16.1044,10.6734,1738.2638,598.4505,30.3597,568.0908,589.9594,127.1467,225.7079,237.1048,,5587.6321,1015.2651,344.8994,4227.4676,324.0614,176.1549,68.4939,458.6796,351.186,295.7365,25.52,55.4495,504.9184,6.5125,63.3845,255.6392,51.4693,127.9129,687.207,6.4573,470.8458,2.743,49.2037,132.4372,
2013,62332.754,1084.774,301.9101,108.0782,151.5935,120.5444,402.6478,4686.2184,1837.2469,854.7066,613.789,570.7709,599.7499,21.0636,36660.9589,2144.5611,911.9354,,129.0111,1207.2829,,,761.7705,414.5959,736.7773,375.8346,,708.4754,3687.6674,1144.6814,175.1628,,,3873.7068,1855.6073,1342.1336,1731.2939,2638.5051,2309.1893,,1919.8942,1334.422,,,212.2334,3150.164,2420.7919,214.8485,514.5236,386.9904,,32.1154,,,3906.2422,180.8551,2943.0379,,216.3291,105.5623,35.203,58.3983,353.4205,13.436,528.7749,348.4312,,,1525.9233,802.8025,723.1208,574.9188,339.0367,235.8821,141.8275,,,13.1288,5.1656,1748.6171,465.4234,20.1794,445.244,601.6986,125.7348,234.6666,241.2972,,4927.8305,924.0234,322.5338,3681.2733,221.9041,120.6017,38.769,415.5936,264.9099,234.1126,30.3434,,411.4279,5.1736,32.427,199.4968,68.6398,105.6907,628.5565,11.6614,436.0254,6.7019,34.885,108.9394,
2012,52413.6317,989.3546,316.6682,92.2671,112.9941,94.7006,372.7246,4403.0494,2022.9874,773.8311,545.6868,511.0645,467.4867,12.8582,28844.8795,1571.5043,769.7413,,100.1109,872.796,,235.0156,641.8889,323.5764,570.2628,278.4011,,564.5724,2959.2039,911.9773,150.1756,336.4531,549.3612,3120.1655,1794.1055,1215.5494,1274.8923,1782.0725,1734.9477,,1462.4179,1315.511,266.0175,,166.9985,2840.4405,2226.8911,174.9773,438.5721,388.9176,,26.6063,26.0294,,3437.8175,165.0429,2738.2472,154.1515,164.7698,40.2055,20.9823,51.8558,243.3898,13.3242,596.3666,407.4539,,,1267.3682,599.1032,668.265,570.2203,310.4758,259.7445,157.3671,,6.2858,16.3497,5.7101,1459.2427,499.9575,17.618,482.3395,429.3786,134.9381,183.4368,111.0037,33.399,4569.4942,895.0645,306.8096,3367.6201,238.9084,130.5403,41.8556,391.091,210.1659,187.1855,40.9853,22.9804,432.934,4.8429,56.8688,215.531,46.5757,109.1156,686.6781,2.3189,471.2691,1.3547,44.7826,125.9675,
2011,41696.4209,947.5577,307.1589,106.893,116.8366,67.5139,349.1553,3943.3836,2028.749,721.7817,408.5948,384.6547,386.1663,13.4371,21712.564,1138.8545,533.7338,464.0973,79.1294,718.7972,362.3558,124.914,463.8157,226.5933,480.2929,205.7992,68.2711,540.5978,2120.4815,559.1764,103.9053,279.121,465.5632,2470.526,1479.9051,917.0767,1023.4575,1742.2761,1094.2864,1683.275,1114.6254,758.1068,202.6061,183.3724,107.5511,2021.1995,1546.65,127.2672,347.2823,456.2479,370.8525,21.4773,32.6082,31.3099,3097.2585,233.1804,2378.5897,50.8558,99.5181,93.9451,7.947,39.3294,184.5671,9.3259,496.1246,419.4428,37.8367,38.8451,1094.5014,534.4817,560.0197,539.5787,298.0749,241.5038,95.6104,60.2092,6.0406,6.3525,23.0081,915.3741,331.4421,13.6481,317.794,267.2682,100.2774,100.6109,45.4341,20.9458,3940.843,725.1441,421.7261,2793.9728,197.3291,110.8533,86.4758,389.4232,222.7812,175.1008,33.7309,13.9495,333.5307,14.6042,50.7605,130.7351,24.6293,112.8016,694.403,7.9897,543.5849,0.866,34.995,106.9674,
2010,33375.7979,560.4,123.1,104.5,80.1,24.0,228.6,3064.4,1561.5,693.3,266.4,336.2,202.0,5.0,15802.5,760.7,406.9,338.0,73.4,458.7,246.5,90.2,342.7,130.5,339.7,153.9,40.3,456.9,1590.4,441.8,50.1,175.9,305.7,1786.5,1105.9,661.2,654.8,1227.9,758.7,1396.1,810.4,666.9,140.4,133.9,57.6,1950.0,1527.0,96.0,326.9,287.7,221.3,13.5,21.6,31.2,3071.5,296.4,2355.8,81.7,117.8,48.5,5.0,20.3,142.2,3.9,581.0,520.2,24.9,35.9,792.0,334.6,457.3,472.6,247.1,225.6,76.6,51.1,4.9,8.9,11.7,773.2,241.2,12.0,229.2,173.4,58.0,61.9,30.8,22.8,3729.7,598.1,383.0,2748.6,117.2,71.1,46.1,432.9,194.4,168.9,8.9,16.5,284.2,6.0,39.8,103.0,30.6,104.8,771.1,6.0,630.8,1.2,24.6,108.6,
