年份,固定资产投资(不含农户)在建净规模,农、林、牧、渔业固定资产投资(不含农户)在建净规模,农业固定资产投资(不含农户)在建净规模,林业固定资产投资(不含农户)在建净规模,畜牧业固定资产投资(不含农户)在建净规模,渔业固定资产投资(不含农户)在建净规模,农、林、牧、渔服务业固定资产投资(不含农户)在建净规模,采矿业固定资产投资(不含农户)在建净规模,煤炭开采和洗选业固定资产投资(不含农户)在建净规模,石油和天然气开采业固定资产投资(不含农户)在建净规模,黑色金属矿采选业固定资产投资(不含农户)在建净规模,有色金属矿采选业固定资产投资(不含农户)在建净规模,非金属矿采选业固定资产投资(不含农户)在建净规模,其他采矿业固定资产投资(不含农户)在建净规模,制造业固定资产投资(不含农户)在建净规模,农副食品加工业固定资产投资(不含农户)在建净规模,食品制造业固定资产投资(不含农户)在建净规模,饮料制造业固定资产投资(不含农户)在建净规模,烟草制品业固定资产投资(不含农户)在建净规模,纺织业固定资产投资(不含农户)在建净规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建净规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建净规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建净规模,家具制造业固定资产投资(不含农户)在建净规模,造纸及纸制品业固定资产投资(不含农户)在建净规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建净规模,文教体育用品制造业固定资产投资(不含农户)在建净规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建净规模,化学原料及化学制品制造业固定资产投资(不含农户)在建净规模,医药制造业固定资产投资(不含农户)在建净规模,化学纤维制造业固定资产投资(不含农户)在建净规模,橡胶制品业固定资产投资(不含农户)在建净规模,塑料制品业固定资产投资(不含农户)在建净规模,非金属矿物制品业固定资产投资(不含农户)在建净规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,金属制品业固定资产投资(不含农户)在建净规模,通用设备制造业固定资产投资(不含农户)在建净规模,专用设备制造业固定资产投资(不含农户)在建净规模,交通运输设备制造业固定资产投资(不含农户)在建净规模,电气机械及器材制造业固定资产投资(不含农户)在建净规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建净规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建净规模,工艺品及其他制造业固定资产投资(不含农户)在建净规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建净规模,电力燃气水的生产供应业固定资产投资(不含农户)在建净规模,电力、热力的生产和供应业固定资产投资(不含农户)在建净规模,燃气生产和供应业固定资产投资(不含农户)在建净规模,水的生产和供应业固定资产投资(不含农户)在建净规模,建筑业固定资产投资(不含农户)在建净规模,房屋和土木工程建筑业固定资产投资(不含农户)在建净规模,建筑安装工程业固定资产投资(不含农户)在建净规模,建筑装饰业固定资产投资(不含农户)在建净规模,其他建筑业固定资产投资(不含农户)在建净规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建净规模,铁路运输业固定资产投资(不含农户)在建净规模,道路运输业固定资产投资(不含农户)在建净规模,城市公共交通业固定资产投资(不含农户)在建净规模,水上运输业固定资产投资(不含农户)在建净规模,航空运输业固定资产投资(不含农户)在建净规模,管道运输业固定资产投资(不含农户)在建净规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建净规模,仓储业固定资产投资(不含农户)在建净规模,邮政业固定资产投资(不含农户)在建净规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建净规模,电信和其他信息传输服务业固定资产投资(不含农户)在建净规模,计算机服务业固定资产投资(不含农户)在建净规模,软件业固定资产投资(不含农户)在建净规模,批发和零售业固定资产投资(不含农户)在建净规模,批发业固定资产投资(不含农户)在建净规模,零售业固定资产投资(不含农户)在建净规模,住宿和餐饮业固定资产投资(不含农户)在建净规模,住宿业固定资产投资(不含农户)在建净规模,餐饮业固定资产投资(不含农户)在建净规模,金融业固定资产投资(不含农户)在建净规模,银行业固定资产投资(不含农户)在建净规模,证券业固定资产投资(不含农户)在建净规模,保险业固定资产投资(不含农户)在建净规模,其他金融活动固定资产投资(不含农户)在建净规模,房地产业固定资产投资(不含农户)在建净规模,租赁和商务服务业固定资产投资(不含农户)在建净规模,租赁业固定资产投资(不含农户)在建净规模,商务服务业固定资产投资(不含农户)在建净规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建净规模,研究与试验发展固定资产投资(不含农户)在建净规模,专业技术服务业固定资产投资(不含农户)在建净规模,科技交流和推广服务业固定资产投资(不含农户)在建净规模,地质勘查业固定资产投资(不含农户)在建净规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建净规模,水利管理业固定资产投资(不含农户)在建净规模,环境管理业固定资产投资(不含农户)在建净规模,公共设施管理业固定资产投资(不含农户)在建净规模,居民服务和其他服务业固定资产投资(不含农户)在建净规模,居民服务业固定资产投资(不含农户)在建净规模,其他服务业固定资产投资(不含农户)在建净规模,教育固定资产投资(不含农户)在建净规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建净规模,卫生固定资产投资(不含农户)在建净规模,社会保障业固定资产投资(不含农户)在建净规模,社会福利业固定资产投资(不含农户)在建净规模,文化、体育和娱乐业固定资产投资(不含农户)在建净规模,新闻出版业固定资产投资(不含农户)在建净规模,广播、电视、电影和音像业固定资产投资(不含农户)在建净规模,文化艺术业固定资产投资(不含农户)在建净规模,体育固定资产投资(不含农户)在建净规模,娱乐业固定资产投资(不含农户)在建净规模,公共管理和社会组织固定资产投资(不含农户)在建净规模,中国共产党机关固定资产投资(不含农户)在建净规模,国家机构固定资产投资(不含农户)在建净规模,人民政协和民主党派固定资产投资(不含农户)在建净规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建净规模,基层群众自治组织固定资产投资(不含农户)在建净规模,国际组织固定资产投资(不含农户)在建净规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,485676.7138,6070.2135,2727.5722,573.5682,1554.3473,277.1386,937.5872,8993.5453,4574.9881,1318.107,1017.8291,944.3088,629.5026,29.2995,102147.7439,4029.349,2456.2718,,354.745,2163.7088,1620.6092,849.2266,1090.0909,1133.9982,1975.6438,538.8517,796.704,5632.8542,11783.8411,3454.7526,841.1939,,,7360.7875,4316.7321,6842.8191,3856.1713,4847.209,5528.0161,,,6809.8827,881.8997,,581.3854,25662.0051,20617.1261,3153.2569,1891.6221,1682.9182,,41.6906,,,60481.1885,16903.3416,33850.975,,2482.7981,1110.6694,125.7033,978.7133,4951.8234,77.1644,3421.7425,702.4182,,,9092.1932,4288.4413,4803.7519,4896.6209,4352.2881,544.3328,1386.549,,,178.8547,279.229,195039.6709,7125.476,63.0064,7062.4696,2933.3747,1535.617,650.2591,747.4986,,38425.8395,5167.3789,1339.7699,31918.6907,1163.2798,651.8073,130.8674,3953.6566,3239.0375,2616.3349,112.8024,622.7026,7153.9943,171.5802,407.9394,2872.6303,1072.758,,2807.6644,14.9934,2094.302,1.7818,263.3057,320.4791,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,407020.2911,4191.686,1656.7763,403.8242,1142.6113,344.0817,644.3925,10185.4886,5920.9335,1100.8895,886.3199,949.7436,739.0879,32.4726,95410.9177,3502.4454,1913.5327,,255.7722,2136.2203,,730.606,848.3165,784.3394,2097.3898,383.9507,561.1058,5378.0215,11746.0966,2590.9336,877.9903,757.0712,1462.2306,6369.5156,5116.1723,5962.5182,2976.6016,4470.775,5376.9489,,7315.2158,6953.2041,973.4874,,485.5316,20971.4461,16631.736,2701.9951,1637.715,2499.3631,,45.9774,25.4952,25.1607,48238.0846,14289.1891,24872.4948,7428.1304,2458.9607,1125.2693,244.0769,907.6995,4301.1808,39.2135,1794.8791,398.4575,,,7712.4124,3542.0998,4170.3126,4443.1167,3775.6683,667.4484,1112.9255,,162.2233,206.2694,134.6191,157908.6845,5598.1417,58.2291,5539.9126,2364.18,1136.6132,623.2889,604.2779,52.8796,29456.4617,4265.5663,852.5805,24338.3149,1152.7633,556.0041,189.845,2880.9709,2258.345,1892.5673,73.749,365.7777,5561.4332,107.0454,367.5566,1999.0002,1090.1064,1997.7246,3278.991,18.3895,2532.9429,11.2289,320.064,322.6167,
2011,347240.5434,3207.6229,1330.1926,362.2227,837.2748,126.3059,551.6269,9509.7577,6105.9781,917.3495,751.7096,1074.1377,646.5485,14.0343,79371.3645,2458.4032,1439.6898,1131.4377,359.8844,1967.1347,977.0506,428.74,639.807,638.5799,2041.2834,308.8368,201.2937,4176.6208,9361.8804,2111.524,647.256,900.4424,1312.5863,5701.8739,4714.8692,4217.5383,2662.2679,4555.0703,4317.2959,8154.9332,6891.8652,4863.8383,591.8756,1253.8847,343.6009,20618.5513,16890.3068,2343.5517,1384.6928,2186.4115,1958.829,37.7536,19.2553,170.5736,46938.678,15859.9764,17666.219,6663.0132,2275.6432,1067.9798,109.598,330.6514,2912.5561,53.0409,1170.9525,542.2836,163.7832,464.8857,5661.3481,2789.1849,2872.1632,3293.0566,2823.7946,469.262,718.2377,312.6934,151.177,167.4543,86.913,129728.7408,3450.7488,23.9796,3426.7692,1973.8196,758.2483,579.0941,561.6756,74.8016,26673.9167,4344.6544,1234.5207,21094.7416,812.165,390.7676,421.3974,2717.2707,1813.7531,1519.383,113.2077,181.1624,4061.8883,127.8616,237.4715,1250.2993,566.9046,1879.3513,3332.2596,18.0456,2782.8092,2.5108,188.552,340.342,
2010,301424.1,1919.0,654.9,366.9,443.6,48.7,404.9,7824.2,5355.0,673.2,650.5,611.2,503.1,31.2,60437.8,1972.5,939.3,1001.9,334.7,1561.0,702.9,324.4,529.0,449.6,1726.2,240.2,140.5,3594.5,7497.5,1488.1,573.6,981.1,975.4,4125.3,3040.8,3481.0,1922.9,3171.9,3078.4,6690.5,4401.9,3676.5,448.3,1143.1,224.8,22657.8,19442.0,1733.0,1482.8,1475.3,1287.1,18.2,10.0,160.0,49049.9,18061.4,17325.0,7241.3,2536.5,1290.6,81.5,212.2,2266.4,35.0,1092.8,643.8,73.7,375.4,4322.3,2166.9,2155.4,2793.6,2508.5,285.2,605.7,206.4,167.8,121.8,109.7,101270.9,2782.6,21.1,2761.5,1596.1,519.2,611.8,381.5,83.6,26003.5,4709.6,1197.2,20096.7,720.9,346.0,374.9,2758.2,1699.2,1518.2,85.6,95.4,3515.1,102.8,294.0,972.5,344.4,1801.3,3261.2,31.6,2825.5,1.3,104.1,298.7,
