年份,港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔业港澳台商投资企业固定资产投资(不含农户),农业港澳台商投资企业固定资产投资(不含农户),林业港澳台商投资企业固定资产投资(不含农户),畜牧业港澳台商投资企业固定资产投资(不含农户),渔业港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔服务业港澳台商投资企业固定资产投资(不含农户),采矿业港澳台商投资企业固定资产投资(不含农户),煤炭开采和洗选业港澳台商投资企业固定资产投资(不含农户),石油和天然气开采业港澳台商投资企业固定资产投资(不含农户),黑色金属矿采选业港澳台商投资企业固定资产投资(不含农户),有色金属矿采选业港澳台商投资企业固定资产投资(不含农户),非金属矿采选业港澳台商投资企业固定资产投资(不含农户),其他采矿业港澳台商投资企业固定资产投资(不含农户),制造业港澳台商投资企业固定资产投资(不含农户),农副食品加工业港澳台商投资企业固定资产投资(不含农户),食品制造业港澳台商投资企业固定资产投资(不含农户),饮料制造业港澳台商投资企业固定资产投资(不含农户),烟草制品业港澳台商投资企业固定资产投资(不含农户),纺织业港澳台商投资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业港澳台商投资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业港澳台商投资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业港澳台商投资企业固定资产投资(不含农户),家具制造业港澳台商投资企业固定资产投资(不含农户),造纸及纸制品业港澳台商投资企业固定资产投资(不含农户),印刷业和记录媒介的复制港澳台商投资企业固定资产投资(不含农户),文教体育用品制造业港澳台商投资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业港澳台商投资企业固定资产投资(不含农户),化学原料及化学制品制造业港澳台商投资企业固定资产投资(不含农户),医药制造业港澳台商投资企业固定资产投资(不含农户),化学纤维制造业港澳台商投资企业固定资产投资(不含农户),橡胶制品业港澳台商投资企业固定资产投资(不含农户),塑料制品业港澳台商投资企业固定资产投资(不含农户),非金属矿物制品业港澳台商投资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),有色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),金属制品业港澳台商投资企业固定资产投资(不含农户),通用设备制造业港澳台商投资企业固定资产投资(不含农户),专用设备制造业港澳台商投资企业固定资产投资(不含农户),交通运输设备制造业港澳台商投资企业固定资产投资(不含农户),电气机械及器材制造业港澳台商投资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业港澳台商投资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业港澳台商投资企业固定资产投资(不含农户),工艺品及其他制造业港澳台商投资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业港澳台商投资企业固定资产投资(不含农户),电力燃气水的生产供应业港澳台商投资企业固定资产投资(不含农户),电力、热力的生产和供应业港澳台商投资企业固定资产投资(不含农户),燃气生产和供应业港澳台商投资企业固定资产投资(不含农户),水的生产和供应业港澳台商投资企业固定资产投资(不含农户),建筑业港澳台商投资企业固定资产投资(不含农户),房屋和土木工程建筑业港澳台商投资企业固定资产投资(不含农户),建筑安装业港澳台商投资企业固定资产投资(不含农户),建筑装饰业港澳台商投资企业固定资产投资(不含农户),其他建筑业港澳台商投资企业固定资产投资(不含农户),交通运输、仓储和邮政业港澳台商投资企业固定资产投资(不含农户),铁路运输业港澳台商投资企业固定资产投资(不含农户),道路运输业港澳台商投资企业固定资产投资(不含农户),城市公共交通业港澳台商投资企业固定资产投资(不含农户),水上运输业港澳台商投资企业固定资产投资(不含农户),航空运输业港澳台商投资企业固定资产投资(不含农户),管道运输业港澳台商投资企业固定资产投资(不含农户),装卸搬运和其他运输服务业港澳台商投资企业固定资产投资(不含农户),仓储业港澳台商投资企业固定资产投资(不含农户),邮政业港澳台商投资企业固定资产投资(不含农户),信息传输、计算机服务和软件业港澳台商投资企业固定资产投资(不含农户),电信和其他信息传输服务业港澳台商投资企业固定资产投资(不含农户),计算机服务业港澳台商投资企业固定资产投资(不含农户),软件业港澳台商投资企业固定资产投资(不含农户),批发和零售业港澳台商投资企业固定资产投资(不含农户),批发业港澳台商投资企业固定资产投资(不含农户),零售业港澳台商投资企业固定资产投资(不含农户),住宿和餐饮业港澳台商投资企业固定资产投资(不含农户),住宿业港澳台商投资企业固定资产投资(不含农户),餐饮业港澳台商投资企业固定资产投资(不含农户),金融业港澳台商投资企业固定资产投资(不含农户),银行业港澳台商投资企业固定资产投资(不含农户),证券业港澳台商投资企业固定资产投资(不含农户),保险业港澳台商投资企业固定资产投资(不含农户),其他金融活动港澳台商投资企业固定资产投资(不含农户),房地产业港澳台商投资企业固定资产投资(不含农户),租赁和商务服务业港澳台商投资企业固定资产投资(不含农户),租赁业港澳台商投资企业固定资产投资(不含农户),商务服务业港澳台商投资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业港澳台商投资企业固定资产投资(不含农户),研究与试验发展港澳台商投资企业固定资产投资(不含农户),专业技术服务业港澳台商投资企业固定资产投资(不含农户),科技交流和推广服务业港澳台商投资企业固定资产投资(不含农户),地质勘查业港澳台商投资企业固定资产投资(不含农户),水利、环境和公共设施管理业港澳台商投资企业固定资产投资(不含农户),水利管理业港澳台商投资企业固定资产投资(不含农户),环境管理业港澳台商投资企业固定资产投资(不含农户),公共设施管理业港澳台商投资企业固定资产投资(不含农户),居民服务和其他服务业港澳台商投资企业固定资产投资(不含农户),居民服务业港澳台商投资企业固定资产投资(不含农户),其他服务业港澳台商投资企业固定资产投资(不含农户),教育港澳台商投资企业固定资产投资(不含农户),卫生、社会保障和社会福利业港澳台商投资企业固定资产投资(不含农户),卫生港澳台商投资企业固定资产投资(不含农户),社会保障业港澳台商投资企业固定资产投资(不含农户),社会福利业港澳台商投资企业固定资产投资(不含农户),文化、体育和娱乐业港澳台商投资企业固定资产投资(不含农户),新闻出版业港澳台商投资企业固定资产投资(不含农户),广播、电视、电影和音像业港澳台商投资企业固定资产投资(不含农户),文化艺术业港澳台商投资企业固定资产投资(不含农户),体育港澳台商投资企业固定资产投资(不含农户),娱乐业港澳台商投资企业固定资产投资(不含农户),公共管理和社会组织港澳台商投资企业固定资产投资(不含农户),中国共产党机关港澳台商投资企业固定资产投资(不含农户),国家机构港澳台商投资企业固定资产投资(不含农户),人民政协和民主党派港澳台商投资企业固定资产投资(不含农户),群众团体、社会团体和宗教港澳台商投资企业固定资产投资(不含农户),基层群众自治组织港澳台商投资企业固定资产投资(不含农户),国际组织港澳台商投资企业固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,13603.9965,75.1061,36.2953,5.6865,30.2314,1.9249,0.968,112.4127,20.4093,65.4927,5.9484,13.8923,5.398,0.749,5332.2277,120.4058,162.9747,,2.9295,239.9838,,,31.1342,58.6808,122.5739,45.345,,52.7533,501.6448,158.0201,56.7998,,,292.6693,122.8779,102.6523,267.6091,180.5355,241.2201,,393.8016,995.5611,,,31.8618,830.4308,642.6312,126.3516,61.448,6.1362,,0.4744,,,684.5453,1.885,63.1092,,41.702,212.2812,28.8302,21.6824,312.2757,2.7796,401.7609,197.985,,,109.8803,58.0803,51.8,57.7283,56.4798,1.2485,13.1112,,,,0.7626,5299.4816,332.8013,224.5124,108.2889,46.0461,30.0238,3.9428,12.0795,,178.2242,6.5678,38.7024,132.954,22.0805,17.9772,3.2775,7.4377,21.4356,21.4356,,,72.8648,,9.4448,24.1073,13.7121,25.6006,0.2852,,0.1641,,0.1211,,
2016,14223.2114,91.9676,30.7204,6.74,50.3406,2.2227,1.9439,86.2384,8.9117,39.0911,6.8283,23.6216,6.1327,0.245,5412.6567,131.8282,186.6662,,0.1,253.5147,,,35.0052,40.0007,163.2168,41.1839,,83.2645,518.5679,176.0625,61.1514,,,271.775,116.5147,110.906,222.7322,235.8663,286.1317,,465.3544,902.4653,,,40.4763,776.8722,628.3543,101.7165,46.8014,12.0127,,0.498,,,675.9437,0.0381,44.0388,,75.0727,188.4482,15.1064,35.8655,316.244,1.13,395.3972,229.7055,,,161.5154,92.6963,68.8191,91.0088,79.3015,11.7073,22.7585,,,,1.4721,5955.7691,288.1566,170.586,117.5706,65.5159,48.8169,6.4478,10.2512,,87.4834,4.4315,15.708,67.3439,13.9284,10.1283,3.8001,3.3161,12.5685,10.1942,,,69.4862,0.285,2.5001,20.5148,23.7695,22.4168,0.616,,,,0.616,,
2015,11930.4422,80.8979,45.9379,5.3991,23.7779,3.3162,2.4668,84.5573,24.7878,24.3567,2.3465,7.1278,17.3282,1.0647,3877.8794,88.1261,100.2177,,0.5663,149.8633,,,25.6547,37.3637,120.8039,33.0185,,83.1723,285.8387,160.7245,41.8306,,,164.4491,94.6548,183.0278,167.5536,168.1356,220.601,,304.2329,625.5372,,,29.5969,431.4989,350.0863,58.6171,22.7955,3.8874,,,,,268.2559,11.6604,53.8871,,59.3519,22.8511,2.7125,10.9917,104.8992,1.902,310.0567,134.5138,,,192.5881,74.2017,118.3864,106.8676,86.299,20.5686,25.8169,,,,5.6177,6103.9561,163.1168,59.7544,103.3624,32.7451,20.5144,9.5831,2.6476,,105.1234,5.5939,9.4222,90.1073,15.1891,7.3187,7.1649,31.7509,25.5652,18.9754,,,64.4317,,0.77,17.3828,17.5867,28.6922,6.2578,,2.6477,,3.6101,,
2014,11934.5258,63.3706,23.8952,4.2881,17.1573,1.9735,16.0565,120.3797,30.895,47.5383,2.9881,5.6224,7.0188,,3614.8476,108.8877,66.8815,,3.1787,136.0146,82.7004,76.624,30.4502,43.0008,85.6216,25.7528,65.3243,82.5518,293.3823,120.7214,73.3114,30.7784,117.3046,189.7284,100.7983,108.963,168.9218,144.8387,208.112,,243.8183,634.5483,41.9763,13.7691,10.6781,517.5952,393.1362,98.2952,26.1638,7.4585,,0.8191,0.1714,,372.9419,22.454,60.7854,22.1179,69.7908,123.1647,5.0812,7.7319,83.7839,0.15,206.7358,84.7611,,,229.1338,49.4178,179.716,146.1417,124.1053,22.0364,33.6927,,,,5.3837,6223.4487,136.433,2.0692,134.3638,27.6285,13.4399,6.6639,7.5247,0.26,111.5307,7.6465,10.7739,93.1103,9.2742,5.7495,2.8535,35.0919,14.8655,12.7816,0.3,2.0839,56.6646,,3.0684,12.3012,9.5886,31.7064,7.2912,,3.3816,,1.694,1.9156,
2013,11027.6534,39.8306,19.9582,0.982,11.9539,3.9671,2.9694,126.3347,34.8668,52.2319,3.967,6.7119,17.2853,1.44,3766.3638,97.4526,72.6964,,0.2101,135.3634,,,29.3065,41.9353,135.6,22.1277,,47.6515,301.0641,119.6511,78.4841,,,222.6917,84.1775,112.8459,186.3986,168.1134,159.1592,,258.3544,687.1372,,,15.6497,401.4254,322.1873,51.0967,28.1414,13.8006,,5.02,,,448.574,28.1999,33.3129,,79.3259,163.2229,30.7572,23.9333,89.4915,0.3304,156.6966,63.4146,,,198.0789,59.3172,138.7617,179.6907,173.3795,6.3112,21.3861,,,,11.4723,5358.8327,115.8419,4.9977,110.8442,19.9481,14.073,3.2372,2.6379,,96.1422,1.6072,3.0911,91.4439,9.1478,3.2385,5.0176,15.7467,7.6822,6.3252,,,42.4957,,0.8556,9.3146,10.7009,21.6246,9.6347,,0.046,,2.7393,6.8494,
2012,10275.8755,49.0867,18.2939,4.3402,17.2496,1.9147,7.2883,143.4979,57.2495,39.2832,4.304,4.8862,14.9384,0.45,3975.0267,121.2362,112.8367,,,136.4509,107.8198,84.9263,21.5696,34.1862,129.9772,30.809,69.1661,40.1507,312.7433,120.6323,95.0266,49.1835,75.5495,229.3067,84.7144,119.4958,159.4938,187.0263,142.6765,,290.4027,734.092,84.8357,,18.3397,324.7017,239.1722,50.5263,35.0032,28.4244,,7.0027,2.1015,,220.0405,10.5673,43.8876,6.9357,67.9082,9.1199,5.7675,19.2681,63.5219,,166.6045,85.5257,,,140.6659,35.7724,104.8935,209.714,195.9388,13.7752,5.0221,,,,0.02,4645.3983,138.9151,1.6467,137.2684,19.387,6.6675,3.4386,9.2809,,107.829,2.7101,3.9614,101.1575,7.6726,0.896,5.9925,18.3324,9.5389,7.6437,,1.8952,56.5351,0.1499,0.7433,8.9306,25.7559,20.9554,9.4827,,4.8505,,3.1952,1.437,
2011,9431.0,53.8858,21.8713,1.411,24.0383,2.3874,4.1778,92.8824,40.4324,27.208,1.9818,8.5157,14.5345,0.21,3790.6815,97.5836,90.1276,72.3579,2.4785,144.1418,119.7578,65.8164,21.2787,26.7453,129.3536,32.0788,31.1688,63.4639,283.9484,85.3892,49.6913,73.3545,106.9306,279.7327,55.7911,108.4725,128.3839,140.6994,140.0733,246.8843,299.9424,796.7305,49.7644,37.8003,10.74,283.6436,216.0074,41.3249,26.3113,5.791,4.6531,0.095,1.0429,,271.4064,21.7032,36.1059,12.0287,82.7657,15.0122,12.5839,4.8759,86.3309,,283.4921,234.8525,11.2607,37.3789,142.1437,54.8231,87.3206,175.1664,162.3088,12.8576,2.2656,1.6806,0.435,,0.15,3984.2747,104.0697,1.5357,102.534,18.0947,6.2731,1.2671,10.5545,,113.691,1.0021,1.3756,111.3133,5.0766,3.0305,2.0461,17.3666,8.7537,5.8252,,2.9285,77.2448,,9.0826,9.6755,4.112,54.3624,1.0588,,,,0.9488,0.067,
2010,7808.7,23.7,10.9,0.0,9.8,1.4,1.6,55.1,18.6,14.7,12.5,4.3,5.1,,3048.3,61.1,78.5,53.7,0.7,104.9,82.7,58.0,14.8,18.7,98.7,22.7,25.4,89.9,207.9,80.3,19.6,50.6,66.9,282.6,51.6,116.2,93.3,105.0,130.6,181.4,259.3,610.0,40.8,31.4,11.3,294.7,246.8,32.7,15.2,15.8,12.4,,0.9,2.5,226.9,33.1,17.2,16.2,72.1,,0.5,8.9,78.9,,245.4,226.4,4.6,14.4,89.4,30.2,59.2,132.5,119.1,13.4,1.8,0.2,0.4,0.0348,1.2,3204.8,74.4,1.0,73.4,39.2,14.1,7.3,17.8,,90.6,0.9,5.0,84.7,8.5,4.4,4.1,8.0,11.3,9.8,,1.5,64.8,,1.1,5.7,16.3,41.6,1.4,,0.4,,0.6,0.4,
