年份,新建固定资产投资(不含农户),农、林、牧、渔业新建固定资产投资(不含农户),农业新建固定资产投资(不含农户),林业新建固定资产投资(不含农户),畜牧业新建固定资产投资(不含农户),渔业新建固定资产投资(不含农户),农、林、牧、渔服务业新建固定资产投资(不含农户),采矿业新建固定资产投资(不含农户),煤炭开采和洗选业新建固定资产投资(不含农户),石油和天然气开采业新建固定资产投资(不含农户),黑色金属矿采选业新建固定资产投资(不含农户),有色金属矿采选业新建固定资产投资(不含农户),非金属矿采选业新建固定资产投资(不含农户),其他采矿业新建固定资产投资(不含农户),制造业新建固定资产投资(不含农户),农副食品加工业新建固定资产投资(不含农户),食品制造业新建固定资产投资(不含农户),饮料制造业新建固定资产投资(不含农户),烟草制品业新建固定资产投资(不含农户),纺织业新建固定资产投资(不含农户),纺织服装、鞋、帽制造业新建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业新建固定资产投资(不含农户),木材加工及木竹藤棕草制品业新建固定资产投资(不含农户),家具制造业新建固定资产投资(不含农户),造纸及纸制品业新建固定资产投资(不含农户),印刷业和记录媒介的复制新建固定资产投资(不含农户),文教体育用品制造业新建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业新建固定资产投资(不含农户),化学原料及化学制品制造业新建固定资产投资(不含农户),医药制造业新建固定资产投资(不含农户),化学纤维制造业新建固定资产投资(不含农户),橡胶制品业新建固定资产投资(不含农户),塑料制品业新建固定资产投资(不含农户),非金属矿物制品业新建固定资产投资(不含农户),黑色金属冶炼及压延加工业新建固定资产投资(不含农户),有色金属冶炼及压延加工业新建固定资产投资(不含农户),金属制品业新建固定资产投资(不含农户),通用设备制造业新建固定资产投资(不含农户),专用设备制造业新建固定资产投资(不含农户),交通运输设备制造业新建固定资产投资(不含农户),电气机械及器材制造业新建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业新建固定资产投资(不含农户),仪器仪表文化办公用机械制造业新建固定资产投资(不含农户),工艺品及其他制造业新建固定资产投资(不含农户),废弃资源和废旧材料回收加工业新建固定资产投资(不含农户),电力燃气水的生产供应业新建固定资产投资(不含农户),电力、热力的生产和供应业新建固定资产投资(不含农户),燃气生产和供应业新建固定资产投资(不含农户),水的生产和供应业新建固定资产投资(不含农户),建筑业新建固定资产投资(不含农户),房屋和土木工程建筑业新建固定资产投资(不含农户),建筑安装工程业新建固定资产投资(不含农户),建筑装饰业新建固定资产投资(不含农户),其他建筑业新建固定资产投资(不含农户),交通运输、仓储和邮政业新建固定资产投资(不含农户),铁路运输业新建固定资产投资(不含农户),道路运输业新建固定资产投资(不含农户),城市公共交通业新建固定资产投资(不含农户),水上运输业新建固定资产投资(不含农户),航空运输业新建固定资产投资(不含农户),管道运输业新建固定资产投资(不含农户),装卸搬运和其他运输服务业新建固定资产投资(不含农户),仓储业新建固定资产投资(不含农户),邮政业新建固定资产投资(不含农户),信息传输、计算机服务和软件业新建固定资产投资(不含农户),电信和其他信息传输服务业新建固定资产投资(不含农户),计算机服务业新建固定资产投资(不含农户),软件业新建固定资产投资(不含农户),批发和零售业新建固定资产投资(不含农户),批发业新建固定资产投资(不含农户),零售业新建固定资产投资(不含农户),住宿和餐饮业新建固定资产投资(不含农户),住宿业新建固定资产投资(不含农户),餐饮业新建固定资产投资(不含农户),金融业新建固定资产投资(不含农户),银行业新建固定资产投资(不含农户),证券业新建固定资产投资(不含农户),保险业新建固定资产投资(不含农户),其他金融活动新建固定资产投资(不含农户),房地产业新建固定资产投资(不含农户),租赁和商务服务业新建固定资产投资(不含农户),租赁业新建固定资产投资(不含农户),商务服务业新建固定资产投资(不含农户),科学研究、技术服务和地质勘查业新建固定资产投资(不含农户),研究与试验发展新建固定资产投资(不含农户),专业技术服务业新建固定资产投资(不含农户),科技交流和推广服务业新建固定资产投资(不含农户),地质勘查业新建固定资产投资(不含农户),水利、环境和公共设施管理业新建固定资产投资(不含农户),水利管理业新建固定资产投资(不含农户),环境管理业新建固定资产投资(不含农户),公共设施管理业新建固定资产投资(不含农户),居民服务和其他服务业新建固定资产投资(不含农户),居民服务业新建固定资产投资(不含农户),其他服务业新建固定资产投资(不含农户),教育新建固定资产投资(不含农户),卫生、社会保障和社会福利业新建固定资产投资(不含农户),卫生新建固定资产投资(不含农户),社会保障业新建固定资产投资(不含农户),社会福利业新建固定资产投资(不含农户),文化、体育和娱乐业新建固定资产投资(不含农户),新闻出版业新建固定资产投资(不含农户),广播、电视、电影和音像业新建固定资产投资(不含农户),文化艺术业新建固定资产投资(不含农户),体育新建固定资产投资(不含农户),娱乐业新建固定资产投资(不含农户),公共管理和社会组织新建固定资产投资(不含农户),中国共产党机关新建固定资产投资(不含农户),国家机构新建固定资产投资(不含农户),人民政协和民主党派新建固定资产投资(不含农户),群众团体、社会团体和宗教组织新建固定资产投资(不含农户),基层群众自治组织新建固定资产投资(不含农户),国际组织新建固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,452483.2875,20210.9872,10034.6937,1802.3955,4603.5929,906.2136,2864.0915,5112.7678,1227.2502,2254.0176,240.1917,426.9796,807.7402,24.2767,90835.5604,6190.558,2939.0688,,79.0232,2516.4923,,,1884.1417,2037.2213,1320.9694,640.3387,,1235.731,6232.1577,3123.9095,620.0137,,,8223.1519,1275.2505,2654.6471,4574.1207,5063.6095,5756.756,,6498.738,7222.9825,,,887.2149,20502.6264,15220.6886,1491.5794,3790.3584,2638.6561,,166.225,,,46043.6358,5767.2773,30846.8086,,1385.5656,908.0294,263.2229,901.0026,5759.0305,212.6989,4368.584,1386.7322,,,11562.4723,5634.7217,5927.7506,4662.5078,3479.7961,1182.7117,880.9116,,,106.767,141.6642,135408.0916,10279.796,343.8293,9935.9667,4483.6219,1238.8065,1367.1099,1877.7055,,66228.5447,7859.4348,2842.0476,55527.0623,1926.8676,1186.2179,408.1882,8596.9086,5368.0305,3610.0744,360.1711,,7432.7481,70.3202,444.5418,3141.8098,1593.6639,2182.4124,5939.9691,25.0339,4149.4032,5.4286,271.5479,1128.3844,
2016,421160.3434,18060.9517,8376.4124,1727.4621,4241.1279,772.8079,2943.1414,5492.8355,1452.4204,1845.0367,328.4292,670.5857,970.6536,39.5285,90319.2941,6131.8345,2991.6844,,90.0896,2447.838,,,1768.3538,1591.339,1320.7051,701.6785,,1448.2173,6848.1536,3378.766,471.4943,,,8137.6524,1535.6111,2809.051,4608.1493,5455.9932,5732.4167,,6531.5413,5761.7012,,,763.6844,20720.7227,15928.6615,1398.2525,3393.8087,3339.0365,,173.0558,,,39971.3395,6081.4657,24542.9953,,1517.372,909.752,196.0271,829.9074,5742.0584,151.7616,3878.1147,1349.1356,,,12114.904,5873.1869,6241.7171,4361.5095,3211.6555,1149.854,923.1265,,,95.7266,143.2616,129494.2344,8942.7358,392.8906,8549.8452,3905.9773,1027.9363,1283.4173,1594.6237,,53827.3539,6651.2319,2236.759,44939.363,1906.0133,1119.445,444.4577,6779.3803,4412.7898,3015.7333,215.4524,,6448.8625,70.5232,494.5073,2724.6207,1215.1661,1944.0452,6261.1414,25.6637,4587.719,2.6034,299.1173,1130.5856,
2015,380958.9064,14732.6609,6355.1518,1526.767,3832.6177,569.5807,2448.5437,6495.4972,1861.685,2224.1913,435.7827,756.021,925.9717,32.7111,87298.0202,5673.337,2630.2397,,109.5167,2336.5123,,,1803.9496,1563.1225,1211.0889,774.9648,,1191.8965,7446.0619,2885.7989,418.7664,,,8396.0992,1579.7899,2868.694,4279.9115,5803.2643,5997.1734,,5614.7365,4940.9174,,,742.1793,18292.8599,14125.2248,1581.1836,2586.4515,3398.9145,,124.2306,,,35612.2586,5738.3972,20890.3971,,1693.8518,669.8377,233.4373,983.4899,5217.3068,185.5408,3022.4392,1057.3403,,,12769.6313,5983.0517,6786.5796,4915.8237,3732.6375,1183.1862,939.2242,,,89.7259,167.115,120351.114,6780.368,188.9281,6591.4399,3079.3041,1016.0958,1025.3623,1037.846,,41530.5276,4923.9989,1456.7681,35149.7606,1852.7208,1061.4038,377.5237,5379.5229,3436.048,2421.0162,202.0681,,5370.6393,106.3543,358.6885,2369.154,865.9334,1670.5091,5701.332,19.2525,3971.7829,13.2181,396.3896,1098.6208,
2014,350782.7716,11234.3608,4378.541,1176.9187,3276.6351,481.8295,1920.4365,7207.8811,2251.8787,2444.2636,539.7855,724.7008,917.3846,28.8258,85578.871,5510.0678,2389.5519,,102.8713,2128.1885,,1096.3772,1653.1548,1409.7594,1246.9871,684.3366,868.9805,1802.4037,7383.761,2660.6015,519.6356,631.1609,2171.2682,8167.0562,1895.9716,3627.6551,4218.9791,5700.3985,5816.5338,,5628.2625,4528.9061,746.5779,,682.698,15051.5247,11422.689,1607.9691,2020.8666,2791.1566,,104.7862,71.5312,,30713.6136,5510.1245,17692.6178,3585.9372,1611.8981,484.2523,265.6112,971.7808,4089.2132,88.1157,2319.471,967.2265,,,11026.2497,5029.5032,5996.7465,4714.5197,3675.7324,1038.7873,934.484,,51.535,82.3205,142.3701,117742.0062,5795.1253,107.4778,5687.6475,2728.2989,972.6441,912.5285,843.1263,,34066.2347,3938.1312,1198.5887,28929.5148,1598.8284,985.4421,298.1661,4721.7293,2415.791,1773.8909,187.6365,641.9001,4876.1439,83.2702,430.8972,2040.1403,866.8985,1454.9377,5266.4817,15.8745,3937.0475,8.0716,358.0444,759.8072,
2013,302909.0612,8356.6261,3104.9469,990.5447,2417.1257,395.8,1448.2088,7182.5995,2319.1467,2502.8488,601.162,687.7886,816.2061,20.0561,75657.6273,4615.0572,1926.2323,,92.5613,1962.4346,,,1402.5388,1095.2165,1142.048,478.1686,,1739.2411,6705.5475,2330.8272,487.2588,,,7074.6104,1949.4061,3216.7011,3506.3962,5027.0082,5271.573,,5176.0421,4177.4028,,,607.5275,12828.4796,9500.9489,1698.6316,1628.8991,2424.0337,,70.7245,,,25988.264,4981.957,14881.4125,,1358.9582,355.9954,309.9899,768.0893,3264.9209,66.9408,1589.7625,696.1507,,,9054.593,4084.6161,4969.9769,4587.2099,3564.1205,1023.0894,886.2943,,,74.78,121.3936,105739.977,4481.0994,106.5084,4374.591,2008.6547,764.8563,637.8634,605.935,,26992.8982,3285.6685,847.7123,22859.5174,1396.1106,831.4632,330.0809,3722.7136,1856.7687,1420.7174,150.3328,,4069.5106,66.9466,223.9521,1788.8993,868.6948,1121.0178,4085.8385,32.5061,2882.2675,3.7645,378.5195,638.4481,
2012,251045.6492,5990.0733,2329.3802,683.3053,1645.0671,305.8953,1026.4254,6001.4393,2166.5801,1831.0645,520.6915,569.8221,734.5421,21.742,65063.9163,3640.624,1573.4429,,70.2608,1828.8165,,736.3443,1139.6461,855.181,1063.6417,462.0718,,1443.7952,5753.1331,1870.7332,393.8668,452.0377,1729.6208,6287.3828,2070.166,2540.267,2984.9723,4363.5815,4606.3136,,4867.1865,3269.8092,725.5408,,452.324,10637.9251,8222.4348,1188.3047,1227.1856,2632.1985,,79.5696,44.4767,,22730.6647,5826.9285,12380.1587,2496.1294,1156.5684,248.1165,162.4331,530.4152,2382.7587,43.2856,1278.3427,594.6881,,,6831.5687,2844.5271,3987.0416,3669.8413,2852.9013,816.94,605.6882,,38.5831,84.4824,87.196,87658.1416,3456.8129,49.492,3407.3209,1532.0358,564.3364,525.9319,441.7675,83.6418,20216.303,2758.4464,610.0752,16847.7814,1054.5693,567.9505,289.9075,2980.7199,1540.2519,1212.3819,139.1538,327.87,3169.3747,48.7911,147.8187,1406.5065,691.8588,874.3996,3995.782,23.6195,2920.1871,13.542,320.44,578.8396,
2011,143604.939,4210.8912,1545.7869,518.8114,1184.1205,195.4763,766.6961,4979.7299,1669.2759,1733.7007,432.8186,544.6507,573.1334,26.1506,54311.0905,2788.3385,1205.7856,873.4183,74.9686,1669.3825,1345.3412,542.8324,929.5223,689.3371,917.2779,400.3923,233.6474,1237.7252,4499.9373,1473.9504,368.3516,525.4535,1425.2036,5520.5142,1591.3059,2122.7008,2548.1112,3684.9519,3288.5382,4561.5812,4796.3802,3159.8684,548.4137,1009.5531,278.306,9580.1628,7557.5375,967.511,1055.1143,2177.523,1881.3496,48.8029,32.0574,215.3131,19316.1196,4359.4321,9478.899,2002.3227,1047.2786,307.9217,99.7969,228.7895,1754.5494,37.1297,900.2999,562.7543,90.9824,246.5632,4959.7193,2279.7221,2679.9972,2760.5867,2186.8213,573.7654,378.4779,195.6022,35.4869,43.1611,104.2277,10120.0444,2459.9113,42.7672,2417.1441,1020.6023,360.4645,315.6712,272.7689,71.6977,16083.2117,2066.8295,860.5928,13155.7894,753.3158,405.2203,348.0955,2394.7004,1287.0462,983.2195,118.7597,185.067,2243.1781,52.1425,102.6301,816.4689,364.0474,907.8892,3668.328,43.097,2946.6301,3.5144,105.6995,569.387,
2010,113860.0408,2418.4,640.8,375.0,724.2,121.9,556.4,4176.4,1450.9,1405.4,439.5,452.5,408.4,19.8,38918.4,1901.7,957.7,608.1,35.7,1013.2,803.6,396.7,583.0,498.9,603.9,321.2,155.4,1217.2,3675.3,993.2,167.9,374.0,948.0,4057.5,1307.8,1684.9,1998.7,2577.1,2346.2,3234.0,2936.2,2224.4,397.7,700.9,198.4,9810.3,8070.1,721.9,1018.3,1397.1,1222.1,26.5,22.5,126.0,19049.1,5768.9,8411.0,1929.1,1116.9,245.7,58.4,215.2,1283.1,21.0,814.7,536.7,78.2,199.9,3308.7,1406.6,1902.1,2031.9,1542.2,489.7,253.3,144.7,41.8,18.9,47.9,6632.5,1753.6,28.7,1724.8,777.1,268.7,249.1,190.7,68.6,14376.1,1658.4,866.7,11851.1,462.8,192.8,270.0,2102.5,1020.1,820.5,68.3,131.2,1849.9,37.8,126.9,594.4,419.1,671.6,2707.3,20.2,2189.6,4.6,83.8,409.2,
