年份,商品房销售面积,住宅商品房销售面积,别墅、高档公寓销售面积,办公楼商品房销售面积,商业营业用房销售面积,其他商品房销售面积
2019,171557.8676,150144.3249,3909.7316,3722.7571,10172.8651,7517.9205
2018,171464.5964,147759.589,4417.7739,4365.9523,11932.948,7406.1071
2017,169407.8154,144788.7688,4743.4423,4756.2078,12838.1362,7024.7026
2016,157348.5293,137539.9314,4470.0032,3826.2155,10811.9558,5170.4266
2015,128494.966,112412.2855,3487.4002,2912.5947,9254.7923,3915.2935
2014,120648.5414,105187.7897,3047.3494,2505.4512,9076.9282,3878.3723
2013,130550.5927,115722.6883,3632.0295,2883.3461,8469.2248,3475.3335
2012,111303.6464,98467.5134,3476.0015,2253.6505,7759.2767,2823.2058
2011,109366.7464,96528.4129,3729.9297,2004.9684,7868.654,2964.7111
2010,104764.65,93376.6,4219.1,1889.97,6994.84,2503.24
2009,94755.0,86184.89,4626.05,1544.43,5328.03,1697.65
2008,65969.83,59280.35,2865.25,1157.05,4206.06,1326.37
2007,77354.718,70135.8754,4581.3061,1465.2254,4644.6113,1109.0059
2006,61857.0733,55422.9487,3672.4434,1231.0434,4337.791,865.2902
2005,55486.2247,49587.831,2818.4421,1096.2316,4081.3779,720.7842
2004,38231.6415,33819.8867,2323.05,692.8364,3100.294,618.6244
2003,33717.6253,29778.8465,1449.8736,630.4886,2833.0983,475.1919
2002,26808.2855,23702.3148,1241.2605,538.9175,2218.5849,348.4683
2001,22411.9021,19938.7458,878.1852,502.5701,1696.1471,274.4391
2000,18637.128,16570.2849,640.7195,436.9753,1399.3082,230.5596
