年份,500万元以下固定资产投资(不含农户),500万元-1亿元固定资产投资(不含农户),1-5亿元固定资产投资(不含农户),5-10亿元固定资产投资(不含农户),10亿元以上固定资产投资(不含农户)
2019,,,,,
2018,,,,,
2017,,214354.0228,122626.8701,66867.4514,118037.0906
2016,,211891.4552,116448.1762,61713.7084,103866.7994
2015,,209276.2695,101770.9904,55612.8295,88951.1032
2014,,156426.5538,109897.5309,52140.7529,87764.4227
2013,,134287.8,93779.9,42667.9872,78998.3514
2012,,117218.8411,74461.3287,32804.3128,68565.8764
2011,,103680.4847,52773.5849,23147.5795,60997.5243
2010,2858.6,73973.1361,38334.0942,19120.4418,58885.229
2009,2047.2,67205.7766,29222.2897,13992.8976,45210.395
2008,2004.0,47807.8504,23486.1487,10055.9834,34181.0968
2007,1952.2,35938.3463,20512.9821,7918.2616,25853.8288
2006,1722.2,27426.5214,17001.4272,6190.7896,21604.8742
2005,1687.8,19892.669,14563.9665,5206.1385,17835.2545
2004,1397.2,14939.6614,11576.9249,4079.6178,13246.5848
2003,1384.9,12274.166,8911.0177,3286.6367,9271.22780000001
2002,1287.4,9335.5433,6335.3047,2234.773,7505.8135
2001,1258.0,7597.6022,5301.7443,1854.9428,6655.5845
2000,1246.8,6627.2054,4485.089,1706.4425,6219.1134
