年份,固定资产投资(不含农户)建设总规模,固定资产投资(不含农户)在建总规模,固定资产投资(不含农户)在建净规模
2019,,,
2018,,,
2017,,,
2016,,,
2015,,,
2014,1512186.2815,1087608.8674,485676.7138
2013,,,
2012,1126072.5786,870228.6989,407020.2911
2011,935585.5773,725708.0352,347240.5434
2010,769426.7,618982.2,301424.1
2009,600131.6239,479245.9909,236219.6533
2008,462788.0254,372392.6106,177745.8081
2007,366270.2559,296935.3536,144032.8243
2006,299682.1417,241300.0223,118490.0078
2005,247510.3064,205611.816,106583.0424
2004,192739.3,167566.02,84641.89
2003,147038.73,121978.1,63186.97
2002,122413.69,100672.95,52618.01
2001,106854.61,88031.74,45164.93
2000,91641.68,73255.21,33496.8
