年份,房地产开发企业新开工房屋面积,房地产开发企业住宅新开工房屋面积,房地产开发企业别墅、高档公寓新开工房屋面积,房地产开发企业办公楼新开工房屋面积,房地产开发企业商业营业用房新开工房屋面积,房地产开发企业其他用途新开工房屋面积
2019,227153.5829,167463.4262,4227.3363,7083.5862,18936.2791,33670.2914
2018,209537.1598,153485.3558,5469.9553,6101.5085,19995.3901,29954.9054
2017,178653.7704,128097.78,4282.6762,6139.6585,20483.9258,23932.4061
2016,166928.1283,115910.5956,3662.1366,6415.2857,22316.6348,22285.6122
2015,154453.6757,106651.298,3318.4108,6569.1214,22530.2918,18702.9645
2014,179592.4926,124877.0021,4275.0064,7349.0989,25047.7269,22318.6647
2013,201207.8421,145844.8011,4454.5931,6887.2386,25902.0016,22573.8008
2012,177333.6174,130695.4195,4228.3135,5986.4556,22006.8509,18644.8914
2011,191236.8682,147163.1127,5653.0117,5399.2042,20730.7797,17943.7716
2010,163646.87,129359.31,5080.05,3668.07,17472.58,13146.91
2009,116422.05,93298.41,3649.8,2860.76,12415.03,7847.84
2008,102553.37,83642.12,4336.97,2471.95,10040.69,6398.62
2007,95401.5347,78795.5064,4914.4109,2141.4379,9093.8949,5370.6955
2006,79252.8306,64403.796,4058.3212,2134.9434,8473.2331,4240.8581
2005,68064.4382,55185.0685,2834.9735,1671.1039,7675.4711,3532.7947
2004,60413.8587,47949.0088,2975.69,1704.1907,7790.8103,2969.8489
2003,54707.5321,43853.8828,2349.2874,1466.8903,6706.799,2679.96
2002,42800.5187,34719.3487,2278.1702,1254.2432,4926.4758,1900.451
2001,37394.1765,30532.7173,1456.6887,1072.9759,4105.4017,1683.0816
2000,29582.6411,24401.1518,1169.0942,898.8119,3034.7658,1247.9116
