年份,房地产开发企业本年实际到位资金,房地产开发企业国内贷款,房地产开发企业利用外资,房地产开发企业外商直接投资,房地产开发企业自筹资金,房地产开发企业其他资金来源,房地产开发企业定金及预收款,房地产开发企业个人按揭贷款,房地产开发企业其他到位资金
2019,178608.5949,25228.7708,175.7231,,58157.8422,,61358.8843,27281.0306,6406.3439
2018,166407.1062,24132.1354,114.0244,,55754.793,,55748.1566,23643.0573,7014.9395
2017,156052.6193,25241.761,168.1881,,50872.215,,48693.5688,23906.308,7170.5784
2016,144214.0507,21512.398,140.4372,132.5314,49132.8493,73428.3662,41952.1405,24402.9369,7073.28879999999
2015,125203.0643,20214.3822,296.5297,286.079,49037.555,55654.5974,32520.3445,16661.6466,6472.60630000001
2014,121991.4843,21242.6108,639.2613,598.9082,50419.8031,49689.8091,30237.5058,13665.4525,5786.85080000001
2013,122122.4714,19672.66,534.1655,467.1196,47424.9467,54490.6992,34498.9672,14033.2618,5958.47019999999
2012,96536.8076,14778.3861,402.0851,358.5244,39081.961,42274.3754,26558.0213,10523.7848,5192.5693
2011,85688.7322,13056.7965,785.1457,689.5413,35004.5742,36842.2158,22470.3187,8678.3719,5693.52520000001
2010,72944.0427,12563.7002,790.6809,673.4475,26637.2142,32952.4474,19275.1505,9523.7675,4153.5294
2009,57799.0365,11364.5111,479.394,403.3203,17949.1191,28006.0123,16217.485,8561.65,3226.8773
2008,39619.3602,7605.6925,728.2172,634.994,15312.0988,15973.3517,9756.6817,3886.0408,2330.6292
2007,37477.961,7015.6355,641.0425,485.3862,11772.5316,18048.7514,10663.2043,5080.4291,2305.118
2006,27135.5516,5356.9795,400.1541,303.0476,8597.0853,12781.3327,8192.6548,2588.3771,2000.3008
2005,21397.8389,3918.0778,257.8111,171.4093,7000.3924,10221.5576,6954.2304,1341.1787,1926.1485
2004,17168.7669,3158.4126,228.2001,142.5587,5207.5627,8562.5867,,,
2003,13196.9224,3138.2699,170.004,116.2667,3770.6891,6106.0503,,,
2002,9749.9536,2220.3357,157.2284,124.1285,2738.4451,4619.8961,,,
2001,7696.3877,1692.1968,135.7044,106.115,2183.9587,3670.5562,,,
2000,5997.6309,1385.0756,168.7046,134.8026,1614.2122,2819.2905,,,
