年份,固定资产投资(不含农户)中央项目,固定资产投资(不含农户)地方项目
2019,,
2018,,
2017,25892.8372,605791.1265
2016,26727.8742,569772.8778
2015,25942.2724,525647.766
2014,26448.6326,474816.2421
2013,24658.0556,411089.37
2012,23763.7749,341090.371
2011,21797.2482,280598.811
2010,22790.6457,218640.2437
2009,20697.3896,173222.9998
2008,17172.5344,131565.7704
2007,13165.3038,104299.165
2006,10856.4703,82512.2109
2005,9110.9788,65984.1215
2004,7524.5577,51503.6286
2003,6113.57,39698.13
2002,6526.73,28962.04
2001,6586.61,23414.61
2000,6275.6,19946.2
