年份,500万元以下房地产开发投资额,500-1000万元房地产开发投资额,1000-3000万元房地产开发投资额,3000-5000万元房地产开发投资额,5000万-1亿元房地产开发投资额,1-5亿元房地产开发投资额,5-10亿元房地产开发投资额,10亿元以上房地产开发投资额
2019,0.3993,6.0372,116.8259,277.9759,1418.2573,20622.6004,25659.2087,84092.9602
2018,0.3752,6.9767,119.9816,275.3736,1503.2988,20088.534,23436.6137,74832.361
2017,0.4547,6.8685,132.707,318.9941,1589.5544,20088.6071,22460.2189,65201.1241
2016,1.0466,8.5746,148.5083,354.7742,1732.5383,20369.3927,21381.3694,58584.4087
2015,1.1856,11.4432,195.0928,412.6776,1804.8695,19381.5699,20561.1417,53610.8655
2014,2.4581,18.5819,266.1907,550.5103,2282.0775,21690.7331,20404.8022,49820.2606
2013,5.0742,32.5938,378.1633,698.0399,2761.3338,22144.3942,18419.6454,41574.138
2012,7.5317,45.2615,418.0822,763.0562,2903.7823,19743.9093,14711.402,33210.7617
2011,10.3162,54.7509,523.4813,868.3763,3150.8089,19155.5027,12327.0766,25706.5729
2010,17.2351,72.7429,613.1542,920.3657,3181.7496,16395.7325,9244.3326,17814.0904
2009,157.4886,381.145,2407.994,2851.1753,6380.3507,17501.0761,4033.6556,2528.9227
2008,123.4252,319.2723,2089.823,2430.3412,5211.0443,14393.4639,3929.9896,2705.8347
2007,111.9511,293.3845,1891.4248,2101.574,4559.7251,11687.8977,2668.1613,1974.7188
2006,127.317,319.3363,1815.3477,1867.8204,3657.0741,8734.3568,1787.3411,1114.324
2005,68.3467,111.9916,686.9027,765.4936,1801.0481,6290.9689,2640.9515,3543.544
2004,,,,,,,,
2003,38.4991,120.6793,664.6676,662.473,1363.4361,4063.8179,1421.6639,1818.564
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
