年份,全社会固定资产投资,农、林、牧、渔业全社会固定资产投资,采矿业全社会固定资产投资,制造业全社会固定资产投资,电力、燃气及水的生产和供应业全社会固定资产投资,建筑业全社会固定资产投资,交通运输、仓储和邮政业全社会固定资产投资,信息传输计算机服务和软件业全社会固定资产投资,批发和零售业全社会固定资产投资,住宿和餐饮业全社会固定资产投资,金融业全社会固定资产投资,房地产业全社会固定资产投资,租赁和商务服务业全社会固定资产投资,科学研究、技术服务和地质勘查业全社会固定资产投资,水利、环境和公共设施管理业全社会固定资产投资,居民服务和其他服务业全社会固定资产投资,教育全社会固定资产投资,卫生、社会保障和社会福利业全社会固定资产投资,文化、体育和娱乐业全社会固定资产投资,公共管理和社会组织全社会固定资产投资,国际组织全社会固定资产投资
2019,560874.3,,,,,,,,,,,,,,,,,,,,
2018,645675.0,,,,,,,,,,,,,,,,,,,,
2017,641238.4,26707.9946,9210.1112,193709.9669,29805.5659,3838.9316,61449.8527,6997.4443,16779.9112,6144.9613,1121.4754,146225.4681,13357.0856,5932.4785,82106.1238,2752.6134,11104.3071,7327.89,8734.7529,7931.4509,
2016,606465.7,24853.125346261,10320.3115455478,187962.115831721,29747.7487668592,4614.90362985137,53890.3658452148,6325.47597342282,18166.8948363326,5976.24831652656,1310.1987,142359.43888651,12341.8962317973,5567.78307158,68647.568174222,2750.93948215755,9326.69218712173,6282.079578,7834.2,8187.7136,
2015,561999.8,21042.6613720423,12970.8235170938,180370.379475138,26722.7563773369,4956.5975771482,49200.0443096098,5521.91564063971,18924.9092535485,6546.66893073534,1367.2488,134284.298207335,9447.94715323853,4751.989186,55679.5576470101,2730.26675075884,7726.83221008014,5175.572441789,6728.26079603708,7851.103,
2014,512020.7,16573.8087,14538.89137,167025.28742,22829.72928,4125.75648,43215.67048,4110.04586,15800.15262,6230.08639,1362.9723,131348.16127,7965.17186,4219.115,46225.04128,2371.71012,6708.69181,3991.50618,6178.35523,7200.4991,
2013,446294.1,13478.81973,14650.76151,147704.96421,19634.74384,3669.75707,36790.124584462,3084.8766,12720.4581215454,6041.11058589393,1241.9721,118809.39709,5893.2397,3133.2078,37663.85655,2099.29329,5432.97355,3139.28791,5231.11225,5874.13347,
2012,374694.7,10996.4386,13300.8208,124550.0443,16672.6666,3738.9667,31444.9036,2691.9642,9810.6678,5153.4701,923.9167,99159.3076,4700.4044,2475.7647,29621.564,1905.028,4613.0026,2617.1485,4271.2558,6047.4005,
2011,311485.1,8757.8236,11746.9978,102712.8538,14659.7486,3357.1209,28291.6646,2174.4486,7439.4243,3956.6333,638.7256,81686.0647,3382.8167,1679.7651,24523.146,1443.2662,3894.5938,2330.2727,3161.9738,5647.7853,
2010,278121.9,7923.0877,11000.9488,88619.2039,15679.7172,2802.2353,30074.4793,2454.4915,6032.192,3366.7603,489.381,64877.2927,2692.5639,1379.2826,24827.5869,1114.0569,4033.6141,2118.9831,2959.3982,5676.5795,
2009,224598.8,6894.8612,9210.8396,70612.8988,14434.5615,1992.4594,24974.6702,2588.9515,5132.8109,2625.3759,360.1517,49358.511,2036.1779,1200.838,19874.3611,801.9274,3521.1793,1858.6445,2383.3854,4735.9167,0.2459
2008,172828.4,5064.4535,7705.802,56702.3562,10997.2017,1555.9325,17024.3607,2162.6362,3741.8413,1959.2226,260.5502,40441.8228,1355.8646,781.9854,13534.3212,521.9957,2523.7535,1155.6144,1589.9347,3748.4903,0.2603
2007,137323.9,3403.5035,5878.806,44505.1293,9467.5756,1302.2518,14154.0057,1848.0856,2880.3177,1519.4335,157.5623,32438.9034,949.3418,560.0296,10154.3108,434.6828,2375.5571,885.0264,1243.3622,3166.053,
2006,109998.2,2749.9378,4678.3987,34089.5077,8585.6689,1125.5,12138.1244,1875.9074,2265.331,1095.6998,121.4233,24524.377,725.5538,495.3375,8152.6658,389.4557,2270.2368,768.9767,955.4183,2990.5277,0.135
2005,88773.6,2323.6626,3587.3511,26575.9661,7554.4181,1118.9842,9614.0311,1581.7547,1716.3738,808.7728,109.4561,19505.3201,549.5602,435.1195,6274.2853,363.4644,2209.199,661.8164,857.0405,2926.8179,0.219
2004,70477.4,1890.7,2395.85,19585.49,5795.13,963.98,7646.23,1657.67,1272.96,560.79,136.01,16678.87,420.82,333.14,5071.74,313.71,2024.82,516.7,773.37,2437.44,2.0
2003,55566.6,1652.3,1775.19,14689.53,3962.4,924.39,6289.38,1660.68,922.73,422.98,90.15,13143.43,375.53,285.81,4365.82,241.61,1671.14,405.78,531.51,2153.74,2.51
2002,43499.9,,,,,,,,,,,,,,,,,,,,
2001,37213.5,,,,,,,,,,,,,,,,,,,,
2000,32917.7,,,,,,,,,,,,,,,,,,,,
