年份,新增固定资产,农、林、牧、渔业新增固定资产,农业新增固定资产,林业新增固定资产,畜牧业新增固定资产,渔业新增固定资产,农、林、牧、渔服务业新增固定资产,采矿业新增固定资产,煤炭开采和洗选业新增固定资产,石油和天然气开采业新增固定资产,黑色金属矿采选业新增固定资产,有色金属矿采选业新增固定资产,非金属矿采选业新增固定资产,其他采矿业新增固定资产,制造业新增固定资产,农副食品加工业新增固定资产,食品制造业新增固定资产,饮料制造业新增固定资产,烟草制品业新增固定资产,纺织业新增固定资产,纺织服装、鞋、帽制造业新增固定资产,皮革毛皮羽毛(绒)及其制品业新增固定资产,木材加工及木竹藤棕草制品业新增固定资产,家具制造业新增固定资产,造纸及纸制品业新增固定资产,印刷业和记录媒介的复制新增固定资产,文教体育用品制造业新增固定资产,石油加工、炼焦及核燃料加工业新增固定资产,化学原料及化学制品制造业新增固定资产,医药制造业新增固定资产,化学纤维制造业新增固定资产,橡胶制品业新增固定资产,塑料制品业新增固定资产,非金属矿物制品业新增固定资产,黑色金属冶炼及压延加工业新增固定资产,有色金属冶炼及压延加工业新增固定资产,金属制品业新增固定资产,通用设备制造业新增固定资产,专用设备制造业新增固定资产,交通运输设备制造业新增固定资产,电气机械及器材制造业新增固定资产,通信设备、计算机及其他电子设备制造业新增固定资产,仪器仪表文化办公用机械制造业新增固定资产,工艺品及其他制造业新增固定资产,废弃资源和废旧材料回收加工业新增固定资产,电力燃气水的生产供应业新增固定资产,电力、热力的生产和供应业新增固定资产,燃气生产和供应业新增固定资产,水的生产和供应业新增固定资产,建筑业新增固定资产,房屋和土木工程建筑业新增固定资产,建筑安装业新增固定资产,建筑装饰业新增固定资产,其他建筑业新增固定资产,交通运输、仓储和邮政业新增固定资产,铁路运输业新增固定资产,道路运输业新增固定资产,城市公共交通业新增固定资产,水上运输业新增固定资产,航空运输业新增固定资产,管道运输业新增固定资产,装卸搬运和其他运输服务业新增固定资产,仓储业新增固定资产,邮政业新增固定资产,信息传输、计算机服务和软件业新增固定资产,电信和其他信息传输服务业新增固定资产,计算机服务业新增固定资产,软件业新增固定资产,批发和零售业新增固定资产,批发业新增固定资产,零售业新增固定资产,住宿和餐饮业新增固定资产,住宿业新增固定资产,餐饮业新增固定资产,金融业新增固定资产,银行业新增固定资产,证券业新增固定资产,保险业新增固定资产,其他金融活动新增固定资产,房地产业新增固定资产,租赁和商务服务业新增固定资产,租赁业新增固定资产,商务服务业新增固定资产,科学研究、技术服务和地质勘查业新增固定资产,研究与试验发展新增固定资产,专业技术服务业新增固定资产,科技交流和推广服务业新增固定资产,地质勘查业新增固定资产,水利、环境和公共设施管理业新增固定资产,水利管理业新增固定资产,环境管理业新增固定资产,公共设施管理业新增固定资产,居民服务和其他服务业新增固定资产,居民服务业新增固定资产,其他服务业新增固定资产,教育新增固定资产,卫生、社会保障和社会福利业新增固定资产,卫生新增固定资产,社会保障业新增固定资产,社会福利业新增固定资产,文化、体育和娱乐业新增固定资产,新闻出版业新增固定资产,广播、电视、电影和音像业新增固定资产,文化艺术业新增固定资产,体育新增固定资产,娱乐业新增固定资产,公共管理和社会组织新增固定资产,中国共产党机关新增固定资产,国家机构新增固定资产,人民政协和民主党派新增固定资产,群众团体、社会团体和宗教组织新增固定资产,基层群众自治组织新增固定资产,国际组织新增固定资产
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,382267.738,19051.1876,8979.2547,1591.3308,4442.017,944.0099,3094.5752,6352.0448,1876.3197,1308.1821,560.4464,864.5079,1517.9008,36.9418,137436.39,8913.9231,4193.8995,,117.6531,5385.5364,,,3541.3282,2773.7796,2329.3636,1406.1864,,1821.0676,9522.8894,3889.3098,670.8047,,,12705.4588,2504.8084,3377.8576,7841.2777,10079.2487,8994.7902,,9008.5313,7438.9448,,,1077.5424,19178.4621,13978.7272,1580.0802,3619.6547,2605.9988,,198.0731,,,29645.3536,1169.405,20227.8101,,1117.1725,1599.3815,197.8244,625.0284,4520.5951,188.1366,4784.3657,1849.8086,,,12382.7537,6297.4669,6085.2868,4399.4551,2913.0617,1486.3934,649.3997,,,46.1663,93.2148,57764.145,8622.1973,1239.1841,7383.0132,3931.594,829.6532,1365.5245,1736.4163,,50218.0071,6050.4596,2264.4721,41903.0754,2054.7923,1131.3263,459.3711,7341.0603,4460.2435,3222.2466,270.6545,,5415.0599,50.5584,402.7373,2329.9881,1107.7793,1523.9968,5975.2275,33.8706,3740.7475,5.1828,323.7709,1601.0012,
2016,353530.5382,17451.3132,7643.4645,1651.0083,4225.891,838.0175,3092.9319,7525.041,2356.5148,1406.3734,812.9112,954.775,1666.1451,56.9599,128756.0892,8546.1216,4103.8676,,105.3924,4905.4675,,,3381.0208,2267.8565,2236.5061,1396.2031,,1399.0361,9740.4071,3946.0538,602.2986,,,12621.6016,2939.5773,3088.1533,7607.8934,9573.5927,8455.4816,,8172.431,5526.4957,,,1005.3722,17669.7644,12898.1477,1497.3442,3274.2725,3137.707,,196.1229,,,25037.808,835.96,16882.473,,987.5182,1294.4161,142.9178,633.0395,4150.0915,111.3919,3789.1398,1549.5789,,,12986.1883,6801.978,6184.2103,3976.4527,2573.4902,1402.9625,721.84,,,42.1405,112.9629,59020.1824,7322.1044,1328.7609,5993.3435,3636.8757,749.3654,1336.48,1551.0303,,41096.8573,5370.9517,1909.7976,33816.108,1958.546,989.2914,482.9197,6025.3916,3649.4178,2646.7403,172.4895,,4308.6071,49.5105,364.3477,1950.2612,808.5277,1135.96,5461.2123,24.14,3631.9367,2.8843,347.4334,1282.3284,
2015,386200.0882,16594.9073,6704.795,1732.8716,4330.7069,783.3596,3043.1742,9980.3141,2898.5777,2078.3956,1177.8394,1436.7924,1914.802,57.1307,144434.7011,9342.045,4030.5812,,246.14,5126.2001,,,3541.5582,2358.6837,2334.75,1509.3962,,1935.4551,12368.4968,4201.5514,908.5995,,,14360.017,3341.3246,3760.1986,7897.3095,11113.119,9858.0945,,8572.0219,6200.2389,,,1072.0834,18465.4962,13621.387,1710.0207,3134.0885,3738.1516,,205.6075,,,29471.6831,3280.9,17441.2528,,1406.5318,1145.9318,282.0596,939.4921,4804.1512,171.3638,3981.1637,1865.8275,,,15296.6858,7787.7205,7508.9653,5148.6547,3566.3963,1582.2584,912.5106,,,58.55,161.3461,63883.206,6402.5012,434.0814,5968.4198,3770.1503,1022.3325,1422.1532,1325.6646,,41168.5274,5234.4657,1737.168,34196.8937,2085.199,1199.474,377.7339,6037.7143,3828.6208,2927.9415,272.6875,,4652.7026,99.6838,317.4964,2207.7183,753.6706,1274.1335,6347.1984,25.7781,4111.294,14.0565,493.8972,1429.4851,
2014,333338.9932,11892.0027,4267.249,1290.4589,3362.9769,665.0952,2306.2227,10341.815,3183.9996,2313.5537,1322.3903,1253.5215,1766.2436,55.5464,124992.0193,7792.7158,3287.978,,199.1405,4302.4765,2924.976,1530.5823,2868.8188,1870.1524,2195.8297,1218.0308,1431.7879,2397.0508,9801.8816,3613.8402,751.2488,,,12569.8733,3762.7354,3579.5932,6826.6099,9713.6145,8546.6658,,7667.5703,5276.4293,1103.9328,1141.2867,963.2896,16032.7264,12123.7184,1535.7157,2373.2923,3015.2989,157.3594,157.3594,,,25088.6783,4283.6672,13656.2487,,1650.5401,990.6264,265.5413,835.7038,3325.1421,81.2087,3044.8578,1591.7334,252.4331,1200.6913,11695.1959,5661.6512,6033.5447,4828.6642,3459.3286,1369.3356,865.316,,,53.2571,107.0996,61874.5578,5207.0762,663.8967,4543.1795,3072.6393,918.8934,1184.213,969.5329,,32390.1633,3896.5352,1385.3986,27108.2295,1929.3755,1166.1386,349.0957,5095.7112,2814.6457,2252.715,191.9546,561.9307,3806.4737,64.7523,252.0998,1784.4187,738.9037,966.2992,5351.776,32.3414,3759.6352,15.574,493.3835,858.8873,
2013,269780.2835,9035.318,3062.6664,1075.9279,2431.0962,526.0932,1939.5343,10413.7964,3344.0895,2817.0908,1267.6552,1170.9078,1431.5934,45.1415,103244.607,6315.264,2714.6183,,185.0969,3643.023,,,2321.3104,1434.9549,1682.1735,977.5049,,1687.9025,8360.0667,2989.4475,637.1157,,,10790.6923,3706.7002,3134.9681,5543.6757,7738.5864,6806.2616,,6351.478,4411.0092,,,667.9395,12601.2118,9313.8571,1304.1799,1983.1748,2592.7008,,131.1648,,,20080.6705,1814.6935,12573.3155,,1194.0321,1034.324,245.2634,573.6466,2567.919,77.4764,2030.5513,1235.3992,,,8308.1792,3930.735,4377.4442,3925.8102,2728.9484,1196.8618,688.7547,,,39.0575,65.1375,53134.0177,3208.8068,180.7207,3028.0861,2197.9918,614.5203,819.4645,764.007,,23344.1738,2947.6253,950.059,19446.4895,1413.992,748.497,350.122,3831.9252,2157.381,1724.6605,153.9647,,3347.2091,47.4432,198.9195,1534.8362,755.9407,810.0695,4223.1862,38.278,2902.9804,8.8566,404.5954,714.5111,
2012,222399.8055,6731.4687,2388.1513,770.8753,1771.7168,375.7532,1424.9721,9290.8899,3053.8736,2515.9724,1138.1299,1098.7468,1251.3515,26.4993,86517.2659,5180.4463,2116.685,,108.7778,2960.7583,2033.0293,941.5381,1890.6552,1186.6637,1629.2626,809.2801,834.5783,1440.902,7325.5432,2137.6818,550.0534,,,8983.8721,3534.6215,2897.5455,4314.7668,6096.2474,5873.5886,,5727.6845,4108.2878,836.3725,728.1707,494.8079,10495.3879,7962.4,885.622,1647.3659,2600.6746,,98.5234,,,15033.8642,1741.2066,8798.6847,,1039.5903,956.93,119.0658,476.6916,1853.2953,48.3999,1838.0168,1192.3031,,,6448.3994,2819.3305,3629.0689,3178.5867,2139.6728,1038.9139,458.5331,,,28.7678,40.6149,45705.2522,2387.3491,113.3772,2273.9719,1566.342,451.4015,688.8438,426.0967,,17571.7904,2297.2945,746.1722,14528.3237,1087.9163,559.2453,264.9599,3189.025,1761.2978,1503.4331,177.6006,257.8647,2366.9214,31.1123,142.7617,1121.9864,503.0412,568.0198,4170.8241,19.9128,2904.1895,12.9152,382.5782,673.6278,
2011,184353.905,5381.5932,1782.1459,683.7388,1419.4148,296.4441,1199.8496,8139.0983,3035.7592,2261.6603,908.3101,835.4725,1054.8789,43.0173,70849.0263,3864.1015,1839.0504,1345.17,125.5609,2809.0221,1789.8023,751.7467,1505.6671,905.2139,1251.7486,704.8611,324.8927,1189.9562,6061.3835,1671.4506,524.9095,787.0346,1882.4095,7609.6355,2985.0294,2069.8481,3789.6508,5421.1884,3821.8238,5084.3414,4971.4079,3639.0349,801.4228,984.3851,337.277,8940.7632,7048.6173,659.3501,1232.7958,2204.8334,1789.859,85.8206,88.4458,240.708,13074.8853,1586.0211,7307.7578,573.1391,1119.4883,578.0682,78.8607,257.7411,1548.8699,24.9391,1337.1516,1061.9767,95.8597,179.3152,4921.4962,2318.1747,2603.3215,2539.3226,1762.6024,776.7202,450.7795,261.4466,21.7719,22.9129,144.6481,37294.8195,1757.5853,96.2019,1661.3834,1060.4083,369.6223,348.0017,235.6768,107.1075,15238.3599,1965.8103,1116.4594,12156.0902,810.5324,465.827,344.7054,2864.3355,1550.9626,1293.8713,114.4882,142.6031,1868.3349,35.4831,125.5036,748.5122,272.8752,685.9608,4069.617,47.4653,3172.4984,5.0911,150.1316,694.4306,
2010,136970.2619,2864.9652,643.5,497.5,801.9,138.4,783.7,5847.7372,2016.9,1789.6,639.9,693.3,685.6,22.5,48751.6718,2569.9,1312.2,904.7,91.3,1595.7,1006.8,455.0,999.1,605.1,830.5,517.3,188.4,977.3,4372.3,1154.9,165.4,444.2,1275.5,5327.0,2726.0,1680.7,2735.5,3749.8,2560.6,3614.7,2936.3,2439.0,565.3,759.7,191.4,8435.1638,6651.7,494.2,1289.2,1363.9356,1124.7,55.0,54.8,129.5,12387.4182,2708.0,6361.3,485.8,914.3,669.0,34.3,199.2,992.2,23.3,1514.6947,1310.7,66.7,137.2,3495.249,1491.8,2003.4,1849.3938,1162.8,686.6,226.2964,167.7,8.8,12.6,37.2,27642.9868,1323.4667,78.1,1245.4,749.9363,245.2,237.5,156.8,110.3,11959.6478,1473.8,841.2,9644.7,411.6279,258.8,152.9,2364.2253,1222.6245,1028.2,60.2,134.2,1448.1369,21.3,122.3,507.5,356.4,440.6,3111.084,22.0,2476.4,7.0,101.2,504.4,
