年份,房地产开发企业实收资本,房地产开发企业资产总计,房地产开发企业累计折旧,房地产开发企业本年折旧,房地产开发企业负债合计,房地产开发企业所有者权益,房地产开发企业资产负债率
2019,105248.80982,947935.59585,4521.18048,841.77649,762035.18967,185900.40618,80.3889201973362
2018,95324.97316,852720.5372,4358.86393,904.58905,674333.36386,178382.97642,79.0802302093305
2017,85649.7455,722236.01829,3909.38205,657.17607,571274.84829,150961.17,79.1
2016,79278.30175,625733.70234,3658.292,640.4994,489750.32165,135983.38069,78.3
2015,78329.42,551968.05506,3265.20036,596.60821,428729.89856,123238.1565,77.7
2014,76566.03937,498749.92351,3099.88653,616.6747,384095.52541,114654.3981,77.0
2013,59987.58963,425243.88779,2871.45497,626.74074,323228.24049,102015.64726,76.0
2012,54735.35675,351858.65168,2360.91855,525.34975,264597.55329,87261.09839,75.1999565810421
2011,46430.63383,284359.44349,2113.62503,427.26213,214469.96414,69889.7315,75.4221352763135
2010,36767.4134,224467.1365,1758.3381,379.8135,167297.4144,57170.1165,74.5
2009,28966.0236,170184.2364,1469.9624,320.4128,125042.726,45141.5104,73.5
2008,27561.904,144833.5466,1414.1374,340.1887,104782.3089,40051.2377,72.3
2007,19437.997,111078.1955,1025.6466,231.5942,82680.2293,28397.9662,74.434256811455
2006,16172.3714,88397.9908,875.666,191.5774,65476.6717,22921.3191,74.0713347751791
2005,13926.9809,72193.6389,737.0146,157.35,52520.7058,19672.9331,72.7497693706086
2004,12545.8025,61789.1877,598.0181,139.1839,45783.6253,16005.5624,74.1
2003,8471.0226,40486.4877,450.8222,96.8337,30698.5556,9787.9321,75.8
2002,6750.9145,33043.126,390.5332,81.7353,24764.5673,8278.5587,74.9
2001,6019.8577,28566.8126,354.4631,67.4683,21435.716,7131.0966,75.0
2000,5302.9071,25185.9857,299.2816,57.7153,19032.1015,6153.8842,75.6
