年份,固定资产投资(不含农户)建设总规模,农、林、牧、渔业固定资产投资(不含农户)建设总规模,农业固定资产投资(不含农户)建设总规模,林业固定资产投资(不含农户)建设总规模,畜牧业固定资产投资(不含农户)建设总规模,渔业固定资产投资(不含农户)建设总规模,农、林、牧、渔服务业固定资产投资(不含农户)建设总规模,采矿业固定资产投资(不含农户)建设总规模,煤炭开采和洗选业固定资产投资(不含农户)建设总规模,石油和天然气开采业固定资产投资(不含农户)建设总规模,黑色金属矿采选业固定资产投资(不含农户)建设总规模,有色金属矿采选业固定资产投资(不含农户)建设总规模,非金属矿采选业固定资产投资(不含农户)建设总规模,其他采矿业固定资产投资(不含农户)建设总规模,制造业固定资产投资(不含农户)建设总规模,农副食品加工业固定资产投资(不含农户)建设总规模,食品制造业固定资产投资(不含农户)建设总规模,饮料制造业固定资产投资(不含农户)建设总规模,烟草制品业固定资产投资(不含农户)建设总规模,纺织业固定资产投资(不含农户)建设总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)建设总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建设总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建设总规模,家具制造业固定资产投资(不含农户)建设总规模,造纸及纸制品业固定资产投资(不含农户)建设总规模,印刷业和记录媒介的复制固定资产投资(不含农户)建设总规模,文教体育用品制造业固定资产投资(不含农户)建设总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建设总规模,化学原料及化学制品制造业固定资产投资(不含农户)建设总规模,医药制造业固定资产投资(不含农户)建设总规模,化学纤维制造业固定资产投资(不含农户)建设总规模,橡胶制品业固定资产投资(不含农户)建设总规模,塑料制品业固定资产投资(不含农户)建设总规模,非金属矿物制品业固定资产投资(不含农户)建设总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,金属制品业固定资产投资(不含农户)建设总规模,通用设备制造业固定资产投资(不含农户)建设总规模,专用设备制造业固定资产投资(不含农户)建设总规模,交通运输设备制造业固定资产投资(不含农户)建设总规模,电气机械及器材制造业固定资产投资(不含农户)建设总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建设总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建设总规模,工艺品及其他制造业固定资产投资(不含农户)建设总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建设总规模,电力燃气水的生产供应业固定资产投资(不含农户)建设总规模,电力、热力的生产和供应业固定资产投资(不含农户)建设总规模,燃气生产和供应业固定资产投资(不含农户)建设总规模,水的生产和供应业固定资产投资(不含农户)建设总规模,建筑业固定资产投资(不含农户)建设总规模,房屋和土木工程建筑业固定资产投资(不含农户)建设总规模,建筑安装工程业固定资产投资(不含农户)建设总规模,建筑装饰业固定资产投资(不含农户)建设总规模,其他建筑业固定资产投资(不含农户)建设总规模,交通运输、仓储和邮政业固定资产投资(不含农户)建设总规模,铁路运输业固定资产投资(不含农户)建设总规模,道路运输业固定资产投资(不含农户)建设总规模,城市公共交通业固定资产投资(不含农户)建设总规模,水上运输业固定资产投资(不含农户)建设总规模,航空运输业固定资产投资(不含农户)建设总规模,管道运输业固定资产投资(不含农户)建设总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)建设总规模,仓储业固定资产投资(不含农户)建设总规模,邮政业固定资产投资(不含农户)建设总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)建设总规模,电信和其他信息传输服务业固定资产投资(不含农户)建设总规模,计算机服务业固定资产投资(不含农户)建设总规模,软件业固定资产投资(不含农户)建设总规模,批发和零售业固定资产投资(不含农户)建设总规模,批发业固定资产投资(不含农户)建设总规模,零售业固定资产投资(不含农户)建设总规模,住宿和餐饮业固定资产投资(不含农户)建设总规模,住宿业固定资产投资(不含农户)建设总规模,餐饮业固定资产投资(不含农户)建设总规模,金融业固定资产投资(不含农户)建设总规模,银行业固定资产投资(不含农户)建设总规模,证券业固定资产投资(不含农户)建设总规模,保险业固定资产投资(不含农户)建设总规模,其他金融活动固定资产投资(不含农户)建设总规模,房地产业固定资产投资(不含农户)建设总规模,租赁和商务服务业固定资产投资(不含农户)建设总规模,租赁业固定资产投资(不含农户)建设总规模,商务服务业固定资产投资(不含农户)建设总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建设总规模,研究与试验发展固定资产投资(不含农户)建设总规模,专业技术服务业固定资产投资(不含农户)建设总规模,科技交流和推广服务业固定资产投资(不含农户)建设总规模,地质勘查业固定资产投资(不含农户)建设总规模,水利、环境和公共设施管理业固定资产投资(不含农户)建设总规模,水利管理业固定资产投资(不含农户)建设总规模,环境管理业固定资产投资(不含农户)建设总规模,公共设施管理业固定资产投资(不含农户)建设总规模,居民服务和其他服务业固定资产投资(不含农户)建设总规模,居民服务业固定资产投资(不含农户)建设总规模,其他服务业固定资产投资(不含农户)建设总规模,教育固定资产投资(不含农户)建设总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)建设总规模,卫生固定资产投资(不含农户)建设总规模,社会保障业固定资产投资(不含农户)建设总规模,社会福利业固定资产投资(不含农户)建设总规模,文化、体育和娱乐业固定资产投资(不含农户)建设总规模,新闻出版业固定资产投资(不含农户)建设总规模,广播、电视、电影和音像业固定资产投资(不含农户)建设总规模,文化艺术业固定资产投资(不含农户)建设总规模,体育固定资产投资(不含农户)建设总规模,娱乐业固定资产投资(不含农户)建设总规模,公共管理和社会组织固定资产投资(不含农户)建设总规模,中国共产党机关固定资产投资(不含农户)建设总规模,国家机构固定资产投资(不含农户)建设总规模,人民政协和民主党派固定资产投资(不含农户)建设总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)建设总规模,基层群众自治组织固定资产投资(不含农户)建设总规模,国际组织固定资产投资(不含农户)建设总规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1512186.2815,24590.577,9603.4387,2676.5971,6637.9057,1234.5442,4438.0913,34474.1657,16258.8849,6371.7304,3620.4861,3510.599,3308.2422,118.0137,362122.9251,17683.9215,8610.0352,,1114.1642,9594.965,6387.5305,3507.8322,5511.4192,4485.4513,6397.8004,2561.1431,3136.0272,12942.6312,37146.5489,11672.8108,2726.3278,,,29181.3314,13830.2361,18422.0005,15558.1897,21903.0804,22289.8442,,,20875.3603,3279.1565,,2290.7718,77721.3172,62882.733,7830.5558,7008.0284,6871.4594,,279.5597,,,166353.3747,47470.1586,89235.8967,,7956.7914,4114.3733,709.7049,2934.5654,13691.373,240.5114,9583.8622,3513.7984,,,32515.6063,15559.1708,16956.4355,16059.4648,13286.9973,2772.4675,4028.8162,,,516.404,618.2363,566203.6048,20093.309,814.6319,19278.6771,9371.7045,3921.5078,2812.0321,2638.1646,,121508.5993,18378.2971,4215.3394,98914.9628,4355.3684,2569.599,759.8917,15066.4986,9983.292,8235.8828,439.2189,1747.4092,18161.103,410.1659,1406.5558,7524.6596,3134.3948,,13121.2333,81.0613,9685.7347,25.5862,1163.1137,1726.5185,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1126072.5786,15115.8264,5558.5759,1792.123,3913.6096,943.3974,2908.1205,32792.6355,16421.9736,6167.5066,3253.2058,3211.4552,2698.289,85.3378,281989.9036,12463.2885,6037.2069,,853.1842,7511.1767,,2417.5958,3830.942,2764.0505,5628.9356,1707.5183,2055.7851,10872.7433,29565.4958,7804.5128,2140.3371,2652.1859,5696.6017,23278.595,14390.8809,13757.995,10984.3364,16366.423,16966.3587,,20378.4874,16953.0108,2906.2648,,1415.7959,60774.0766,49505.7924,5530.5472,5737.737,7753.5245,,241.965,146.1275,81.4599,126351.1525,37056.0185,66456.1651,15969.4288,7405.491,3183.5695,625.6015,2017.3876,9446.4511,160.4682,5683.8268,2637.6061,,,21741.5995,9903.0039,11838.5956,12419.9146,10005.9869,2413.9277,2680.4268,,328.8994,402.536,310.1126,410765.4844,13248.9586,348.0065,12900.9521,6236.63,2552.4832,2000.6213,1683.5255,294.3655,83022.3808,12983.0033,2805.3173,67234.0602,3383.3078,1714.0111,798.5519,10729.3347,6828.9043,5880.6451,362.522,948.2592,12922.9996,257.9619,932.7331,5098.0216,2791.7229,3842.5601,11631.6916,72.3208,8576.7229,58.9858,1135.9525,1425.1876,
2011,935585.5773,11919.1658,4213.602,1578.0918,3099.3801,561.8618,2466.2301,28795.6252,15156.4109,5545.7663,2735.981,2987.513,2296.3572,73.5968,235630.6523,9406.7491,4807.9155,3810.5328,966.2455,7061.8717,3961.381,1695.6683,3007.5335,2189.8352,5037.3811,1484.1659,776.4902,9295.8446,23920.8793,6037.1599,1767.2626,2696.9744,4878.6405,20285.3429,12553.5455,10475.7641,9855.4557,15170.4923,12785.7672,22737.1397,18332.5816,13750.511,2131.0408,3708.3393,1042.1411,57237.1916,47620.1667,4630.5893,4986.4356,6425.1331,5543.2168,166.9723,134.1765,580.7675,113617.3691,35237.8079,46448.2084,13832.8848,6698.1311,2933.2497,340.054,910.0175,7081.342,135.6737,4449.4044,2980.8125,400.7536,1067.8383,16149.8573,7877.0391,8272.8182,9432.326,7657.3385,1774.9875,1850.2582,869.5427,320.7928,285.6903,374.2324,323861.6355,8663.7958,270.4887,8393.3071,4726.0159,1881.8419,1382.971,1162.3398,298.8632,73345.4963,11239.7078,4210.5107,57895.2778,2527.794,1314.2974,1213.4966,10121.9383,5721.1216,4868.8587,341.0943,511.1686,9971.6084,279.8668,711.1891,3397.1489,1509.2818,4074.1218,11139.1885,98.7303,9056.5697,13.1172,524.3389,1446.4324,
2010,769426.7,6979.1,1860.1,1295.9,1804.6,279.5,1739.1,23812.0,12536.3,5155.0,2284.7,2163.5,1603.7,68.9,175470.2,6688.6,3561.1,2883.2,825.8,4727.2,2578.3,1222.5,2103.7,1513.9,3965.2,1137.9,517.1,8538.5,19170.7,4278.8,1157.1,2268.3,3301.4,14512.0,10048.1,8738.4,6888.4,10759.8,9022.0,17937.1,11535.6,10324.3,1566.7,3010.5,687.9,58201.0,49898.5,3455.6,4846.9,4304.4,3684.0,106.2,80.2,434.0,108011.6,35362.0,42214.8,13835.8,6963.7,3412.9,256.0,661.5,5220.6,84.1,4485.9,3407.8,242.8,835.3,11706.8,5595.5,6111.4,7230.3,5847.3,1383.0,1337.8,650.5,306.5,183.0,197.8,247007.5,6859.2,275.1,6584.2,3641.0,1318.0,1216.9,783.3,322.9,67898.5,10296.5,3693.0,53909.0,1725.6,864.4,861.2,9375.1,4863.1,4297.0,219.5,346.6,8227.7,220.0,782.0,2614.4,1287.6,3323.6,9707.5,91.3,8157.7,11.8,317.9,1128.9,
