年份,房地产开发企业计划总投资,房地产开发企业自开始建设至本年底累计完成投资,房地产开发企业本年完成投资额,房地产开发企业建筑安装工程本年完成投资额,房地产开发企业设备工器具购置本年完成投资额,房地产开发企业其他费用本年完成投资额
2019,839869.4973,565760.7936,132194.2649,81962.5095,1713.484,48518.2714
2018,740022.3296,519326.3028,120164.7,75871.6554,1523.4137,42769.6808
2017,656617.3813,479080.01,109798.5,78577.6909,1550.7034,29670.1345
2016,587857.2355,427854.3842,102580.6,76302.1906,1461.5526,24816.8696
2015,536853.7518,378089.4786,95978.8,71195.5721,1211.5201,23571.7536
2014,493066.495,330830.0821,95035.6,70561.1141,1306.9081,23167.5922
2013,430922.1521,275881.2831,86013.0,63919.2473,1250.0312,20844.1041
2012,358819.7734,223645.5436,71803.8,52036.2601,1019.3941,18748.1327
2011,290001.8157,174932.321,61796.9,44405.3447,816.0252,16575.5159
2010,223823.35,133249.41,48259.4,33065.5137,558.0504,14635.8389
2009,167348.18,99328.48,36241.8,25839.3304,454.1234,9948.3542
2008,139989.86,84940.0,31203.2,21637.7,454.1,9111.4
2007,104670.9295,64155.3398,25288.8,17205.54,340.4903,7742.807
2006,80955.6562,48376.3275,19422.9,13352.8071,269.9543,5800.096
2005,65116.7392,37243.3726,15909.2,10962.52,237.44,4709.29
2004,50570.39,30321.04,13158.3,8825.27,192.93,4140.04
2003,38171.68,22691.6028,10153.8,6742.73,141.0,3270.07
2002,32189.1,18998.76,7790.9,5202.72,139.75,2448.46
2001,,15580.2223,6344.1,,,
2000,,12816.365,4984.1,,,
