年份,固定资产投资(不含农户)国内贷款,农、林、牧、渔业固定资产投资(不含农户)国内贷款,农业固定资产投资(不含农户)国内贷款,林业固定资产投资(不含农户)国内贷款,畜牧业固定资产投资(不含农户)国内贷款,渔业固定资产投资(不含农户)国内贷款,农、林、牧、渔服务业固定资产投资(不含农户)国内贷款,采矿业固定资产投资(不含农户)国内贷款,煤炭开采和洗选业固定资产投资(不含农户)国内贷款,石油和天然气开采业固定资产投资(不含农户)国内贷款,黑色金属矿采选业固定资产投资(不含农户)国内贷款,有色金属矿采选业固定资产投资(不含农户)国内贷款,非金属矿采选业固定资产投资(不含农户)国内贷款,其他采矿业固定资产投资(不含农户)国内贷款,制造业固定资产投资(不含农户)国内贷款,农副食品加工业固定资产投资(不含农户)国内贷款,食品制造业固定资产投资(不含农户)国内贷款,饮料制造业固定资产投资(不含农户)国内贷款,烟草制品业固定资产投资(不含农户)国内贷款,纺织业固定资产投资(不含农户)国内贷款,纺织服装、鞋、帽制造业固定资产投资(不含农户)国内贷款,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)国内贷款,木材加工及木竹藤棕草制品业固定资产投资(不含农户)国内贷款,家具制造业固定资产投资(不含农户)国内贷款,造纸及纸制品业固定资产投资(不含农户)国内贷款,印刷业和记录媒介的复制固定资产投资(不含农户)国内贷款,文教体育用品制造业固定资产投资(不含农户)国内贷款,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)国内贷款,化学原料及化学制品制造业固定资产投资(不含农户)国内贷款,医药制造业固定资产投资(不含农户)国内贷款,化学纤维制造业固定资产投资(不含农户)国内贷款,橡胶制品业固定资产投资(不含农户)国内贷款,塑料制品业固定资产投资(不含农户)国内贷款,非金属矿物制品业固定资产投资(不含农户)国内贷款,黑色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,有色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,金属制品业固定资产投资(不含农户)国内贷款,通用设备制造业固定资产投资(不含农户)国内贷款,专用设备制造业固定资产投资(不含农户)国内贷款,交通运输设备制造业固定资产投资(不含农户)国内贷款,电气机械及器材制造业固定资产投资(不含农户)国内贷款,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)国内贷款,仪器仪表文化办公用机械制造业固定资产投资(不含农户)国内贷款,工艺品及其他制造业固定资产投资(不含农户)国内贷款,废弃资源和废旧材料回收加工业固定资产投资(不含农户)国内贷款,电力燃气水的生产供应业固定资产投资(不含农户)国内贷款,电力、热力的生产和供应业固定资产投资(不含农户)国内贷款,燃气生产和供应业固定资产投资(不含农户)国内贷款,水的生产和供应业固定资产投资(不含农户)国内贷款,建筑业固定资产投资(不含农户)国内贷款,房屋和土木工程建筑业固定资产投资(不含农户)国内贷款,建筑安装业固定资产投资(不含农户)国内贷款,建筑装饰业固定资产投资(不含农户)国内贷款,其他建筑业固定资产投资(不含农户)国内贷款,交通运输、仓储和邮政业固定资产投资(不含农户)国内贷款,铁路运输业固定资产投资(不含农户)国内贷款,道路运输业固定资产投资(不含农户)国内贷款,城市公共交通业固定资产投资(不含农户)国内贷款,水上运输业固定资产投资(不含农户)国内贷款,航空运输业固定资产投资(不含农户)国内贷款,管道运输业固定资产投资(不含农户)国内贷款,装卸搬运和其他运输服务业固定资产投资(不含农户)国内贷款,仓储业固定资产投资(不含农户)国内贷款,邮政业固定资产投资(不含农户)国内贷款,信息传输、计算机服务和软件业固定资产投资(不含农户)国内贷款,电信和其他信息传输服务业固定资产投资(不含农户)国内贷款,计算机服务业固定资产投资(不含农户)国内贷款,软件业固定资产投资(不含农户)国内贷款,批发和零售业固定资产投资(不含农户)国内贷款,批发业固定资产投资(不含农户)国内贷款,零售业固定资产投资(不含农户)国内贷款,住宿和餐饮业固定资产投资(不含农户)国内贷款,住宿业固定资产投资(不含农户)国内贷款,餐饮业固定资产投资(不含农户)国内贷款,金融业固定资产投资(不含农户)国内贷款,银行业固定资产投资(不含农户)国内贷款,证券业固定资产投资(不含农户)国内贷款,保险业固定资产投资(不含农户)国内贷款,其他金融活动固定资产投资(不含农户)国内贷款,房地产业固定资产投资(不含农户)国内贷款,租赁和商务服务业固定资产投资(不含农户)国内贷款,租赁业固定资产投资(不含农户)国内贷款,商务服务业固定资产投资(不含农户)国内贷款,科学研究、技术服务和地质勘查业固定资产投资(不含农户)国内贷款,研究与试验发展固定资产投资(不含农户)国内贷款,专业技术服务业固定资产投资(不含农户)国内贷款,科技交流和推广服务业固定资产投资(不含农户)国内贷款,地质勘查业固定资产投资(不含农户)国内贷款,水利、环境和公共设施管理业固定资产投资(不含农户)国内贷款,水利管理业固定资产投资(不含农户)国内贷款,环境管理业固定资产投资(不含农户)国内贷款,公共设施管理业固定资产投资(不含农户)国内贷款,居民服务和其他服务业固定资产投资(不含农户)国内贷款,居民服务业固定资产投资(不含农户)国内贷款,其他服务业固定资产投资(不含农户)国内贷款,教育固定资产投资(不含农户)国内贷款,卫生、社会保障和社会福利业固定资产投资(不含农户)国内贷款,卫生固定资产投资(不含农户)国内贷款,社会保障业固定资产投资(不含农户)国内贷款,社会福利业固定资产投资(不含农户)国内贷款,文化、体育和娱乐业固定资产投资(不含农户)国内贷款,新闻出版业固定资产投资(不含农户)国内贷款,广播、电视、电影和音像业固定资产投资(不含农户)国内贷款,文化艺术业固定资产投资(不含农户)国内贷款,体育固定资产投资(不含农户)国内贷款,娱乐业固定资产投资(不含农户)国内贷款,公共管理和社会组织固定资产投资(不含农户)国内贷款,中国共产党机关固定资产投资(不含农户)国内贷款,国家机构固定资产投资(不含农户)国内贷款,人民政协和民主党派固定资产投资(不含农户)国内贷款,群众团体、社会团体和宗教组织固定资产投资(不含农户)国内贷款,基层群众自治组织固定资产投资(不含农户)国内贷款,国际组织固定资产投资(不含农户)国内贷款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,72148.9034,1040.0683,496.8064,104.9529,248.1277,33.5856,156.5957,832.037,204.7166,391.788,42.3823,91.4967,91.0845,2.404,12108.8427,625.6581,315.0317,,4.3758,441.0769,,,228.0305,193.0725,199.3337,94.8794,,323.3489,1271.7974,367.7427,83.1662,,,934.5436,317.3969,327.4909,569.1607,841.8375,751.3884,,864.932,826.5645,,,96.1919,4995.3818,4422.8988,131.6831,440.7999,271.5576,,26.4541,,,11832.4091,1720.4347,8371.978,,257.7021,887.3269,45.3189,104.8456,435.9979,8.805,287.2505,71.0258,,,871.9668,431.0702,440.8966,385.3797,326.3937,58.986,40.6523,,,0.3652,12.6882,28808.2191,1410.59,232.5383,1178.0517,377.2169,93.7521,87.7399,195.7249,,6570.6996,760.7006,359.0224,5450.9766,142.6468,98.0822,20.2204,718.4658,420.7242,293.0262,28.7896,,650.845,10.9722,23.3739,294.764,166.0664,155.6685,383.9502,2.6019,266.7714,0.59,10.2746,74.9227,
2016,66767.0947,880.2548,414.6138,91.5888,209.048,31.1512,133.853,1036.4727,378.9013,359.9067,54.4376,116.9625,110.2673,2.6361,12655.8583,673.7539,321.7175,,6.8208,446.9311,,,247.348,169.8705,223.3979,92.4717,,375.9566,1412.6792,384.5316,106.4113,,,953.7066,437.02,452.1037,597.6748,890.9571,734.5375,,890.4119,730.3015,,,94.6789,5499.034,4913.9054,144.0634,441.0652,229.7918,,5.8006,,,9855.3051,1863.7778,6248.0443,,354.6181,740.1829,27.7002,79.1135,535.1583,6.71,307.2182,53.3836,,,963.3101,468.9405,494.3696,373.4019,308.6628,64.7391,85.6082,,,0.6157,11.4894,25383.5652,1349.5614,323.7704,1025.791,475.6098,88.9357,233.5926,153.0815,,5729.5152,588.869,155.5384,4985.1078,139.6158,85.4108,31.6322,501.8037,387.6079,291.7094,6.824,,656.7539,13.2764,22.9036,294.7994,102.5035,223.271,256.8067,1.5575,188.7422,,8.0552,51.6278,
2015,60756.6444,798.9411,358.4561,57.9804,221.7046,44.5698,116.2302,1065.9393,373.1996,418.7994,63.46,79.0684,113.0019,3.05,13093.7807,660.7832,349.2041,,3.5512,403.665,,,272.8563,169.577,159.8563,109.606,,217.7746,1390.4517,306.6281,89.5546,,,1181.8035,463.933,513.8858,589.6049,1049.6061,900.7038,,774.3134,695.2683,,,99.4917,5211.5863,4767.3768,180.3668,263.8427,234.1421,,6.1096,,,9777.9671,2077.3447,5911.6687,,481.8813,603.5811,34.9496,134.0904,524.8951,9.5562,218.3053,59.5634,,,1072.9153,496.1251,576.7902,427.2657,336.4524,90.8133,45.7122,,,0.17,8.5119,22402.771,755.6022,74.4262,681.176,307.7377,78.4263,113.2068,116.1046,,3983.4427,398.65,104.7115,3480.0812,131.7983,66.0888,34.1976,358.3988,311.7802,254.7725,9.4891,,361.1252,5.7701,9.3335,135.2454,78.3117,132.4645,197.4332,0.1629,141.788,0.36,8.2546,37.3786,
2014,64512.2204,754.0341,287.8138,53.2836,264.9883,52.0991,95.8493,1373.7549,525.1474,498.3312,121.8612,59.666,127.2799,2.4554,14116.6022,696.46,342.9232,,13.6615,394.4874,263.4645,111.8898,230.0468,173.9654,281.2902,121.4786,97.0754,380.5494,1846.2781,414.5687,74.3688,,,1299.1157,403.8123,654.1828,615.0679,1032.4524,901.731,,798.379,600.0599,106.3365,,116.1936,5257.7981,4788.7989,199.6736,269.3256,213.493,,5.7889,,,11107.0674,3159.1144,6140.7905,,592.1046,508.8604,39.261,112.1224,550.9829,3.8312,181.9327,51.4264,,,1007.3185,417.6892,589.6293,447.3898,331.8676,115.5222,62.0336,,,0.05,23.2061,23371.1053,720.2254,59.3275,660.8979,280.3104,68.2265,90.868,121.2159,,4134.9502,425.769,129.2767,3579.9045,144.8435,78.5105,36.9983,389.6074,247.6885,215.4966,19.74,32.1919,477.1425,9.1969,64.9783,198.641,62.3924,141.9339,224.9229,0.648,142.6469,0.035,23.1682,38.6848,
2013,59056.3074,577.4947,232.3684,40.8592,183.3016,49.2688,71.6967,1420.7014,574.3185,495.5266,85.1287,110.7323,112.7474,2.02,12941.4308,740.6007,301.7732,,17.617,370.3944,,,185.8186,150.4496,304.3556,91.4998,,401.9201,1563.7236,404.6076,94.3167,,,1119.8314,488.526,688.895,502.9877,877.1489,837.9627,,731.8527,600.4934,,,88.5359,4773.208,4360.5752,222.0609,190.5719,222.1782,,11.3147,,,9506.9823,2540.7882,5180.1311,,504.9425,611.6304,116.5952,86.6411,463.1188,3.135,128.6056,47.5095,,,860.9993,413.7481,447.2512,492.9224,390.5794,102.343,29.0966,,,0.16,2.795,21692.8813,588.0725,27.2948,560.7777,253.9301,85.4259,61.8294,106.6748,,4222.282,424.0973,112.0595,3686.1252,101.6095,50.7115,33.557,360.8398,237.5991,216.1819,10.639,,466.9502,12.0658,47.7289,224.6315,81.8083,100.7157,178.5236,1.013,117.9095,0.335,20.5446,28.0825,
2012,51292.3703,427.6431,149.0612,36.1546,133.3752,31.0734,77.9787,1372.994,584.5,464.6615,91.7407,104.7985,112.0756,1.5125,11877.3453,534.5193,252.7696,,11.0651,331.7524,,92.3025,156.1035,90.582,250.9281,87.5045,67.7243,419.554,1497.0619,320.5936,143.1444,156.8989,240.9994,860.5677,568.0178,708.4932,419.4586,666.5468,727.0042,,841.4423,698.5463,99.4997,,62.562,4695.523,4295.2947,210.0547,190.1736,310.3922,,2.7149,6.4808,,9211.8982,2653.6909,5277.0158,1397.973,385.0301,423.9773,50.1347,62.8431,357.0955,2.1108,150.6946,43.8597,,,659.5394,314.8893,344.6501,416.132,335.4797,80.6523,28.5524,,1.02,1.7,4.3723,16461.2987,569.7781,24.9967,544.7814,195.0374,80.429,52.0747,62.5337,3.8816,3611.466,438.522,103.6945,3069.2495,181.4152,78.0598,90.1603,311.8633,277.9553,261.4962,12.4255,16.4591,311.879,16.1087,16.9186,117.4142,66.6887,94.7488,220.9631,0.56,156.0351,5.57,13.6185,32.754,
2011,46034.8321,340.2607,117.7426,31.4351,111.5096,25.7074,53.866,1256.2557,533.1766,454.8154,85.613,110.5987,70.385,1.667,9965.1665,418.1883,194.8288,118.8537,14.2638,294.2928,112.162,55.9525,106.9935,62.6454,238.4689,53.5473,18.21,439.1765,1226.1978,203.6507,122.3611,163.9317,204.8226,836.9004,496.6277,450.519,420.4959,607.9914,482.083,847.2602,747.0926,731.1687,64.1613,196.5116,35.8073,4840.9003,4418.2951,208.6306,213.9746,279.6483,222.4771,6.1235,4.1767,46.871,8967.5796,2817.1564,3974.7449,1140.1986,508.2723,149.1467,37.894,40.1527,297.6291,2.3849,106.4663,69.4465,8.3478,28.672,466.9763,217.2813,249.695,300.846,269.8205,31.0255,61.5679,6.7046,1.0538,3.817,49.9925,14138.0581,417.6071,8.5979,409.0092,151.6878,70.9079,27.4474,46.8884,6.4441,3514.1927,356.3445,188.7663,2969.0819,193.5343,66.5317,127.0026,302.9775,219.4446,193.0186,13.33,13.096,252.0277,11.2651,9.7991,71.8622,39.8132,119.2881,259.6347,0.1854,228.8368,,7.5195,23.093,
2010,45104.6986,205.7,55.5,31.7,65.3,21.8,31.3,1018.2,437.7,389.0,88.8,53.9,47.1,1.8,8112.8,288.0,198.1,97.6,3.8,202.5,105.4,43.3,84.9,55.1,214.1,39.9,15.0,379.3,1089.9,191.3,120.6,128.8,141.7,713.8,459.3,402.6,306.2,474.7,333.5,620.4,496.9,666.6,49.3,169.2,21.1,4889.1,4499.6,141.5,247.9,172.6,151.5,2.3,2.1,16.7,10206.6,3469.7,4373.4,1230.2,541.2,365.1,4.7,35.0,186.5,0.9,79.2,45.5,9.0,24.6,454.8,211.0,243.8,299.3,258.7,40.5,24.9,11.5,8.0,0.0,5.4,13510.5,351.6,8.9,342.7,92.0,40.9,30.3,17.4,3.4,4477.4,429.9,178.6,3868.9,76.7,15.4,61.3,441.0,192.4,180.8,2.5,9.1,229.8,5.7,12.4,60.0,91.1,60.6,270.2,,247.5,0.3,2.9,19.6,
