年份,全社会固定资产投资中建筑安装工程,全社会固定资产投资中设备工具器具购置,全社会固定资产投资中其它费用
2019,,,
2018,,,
2017,449119.3356,115647.4039,76471.6459
2016,423107.2256,113388.961,69969.4734
2015,388163.5327,111110.1697,62726.1302
2014,349789.046,101005.2223,61226.3845
2013,298424.1729,91074.4448,56795.4725
2012,243617.5162,77724.146,53353.0733
2011,200195.7024,65152.3022,46137.1208
2010,155580.5411,53842.7605,42260.4672
2009,138758.3348,50844.2134,34996.2197
2008,104958.8788,40594.0632,27275.4579
2007,83518.2752,31574.7747,22230.8882
2006,66775.8302,25563.8979,17658.4343
2005,53382.5936,21422.9348,13968.0845
2004,42803.57,16527.01,11146.82
2003,33447.17,12681.9,9437.54
2002,26578.89,9884.47,7036.55
2001,22954.88,8833.79,5424.83
2000,20536.26,7785.62,4595.85
