年份,固定资产投资(不含农户)中央项目,农、林、牧、渔业固定资产投资(不含农户)中央项目,农业固定资产投资(不含农户)中央项目,林业固定资产投资(不含农户)中央项目,畜牧业固定资产投资(不含农户)中央项目,渔业固定资产投资(不含农户)中央项目,农、林、牧、渔服务业固定资产投资(不含农户)中央项目,采矿业固定资产投资(不含农户)中央项目,煤炭开采和洗选业固定资产投资(不含农户)中央项目,石油和天然气开采业固定资产投资(不含农户)中央项目,黑色金属矿采选业固定资产投资(不含农户)中央项目,有色金属矿采选业固定资产投资(不含农户)中央项目,非金属矿采选业固定资产投资(不含农户)中央项目,其他采矿业固定资产投资(不含农户)中央项目,制造业固定资产投资(不含农户)中央项目,农副食品加工业固定资产投资(不含农户)中央项目,食品制造业固定资产投资(不含农户)中央项目,饮料制造业固定资产投资(不含农户)中央项目,烟草制品业固定资产投资(不含农户)中央项目,纺织业固定资产投资(不含农户)中央项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)中央项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)中央项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)中央项目,家具制造业固定资产投资(不含农户)中央项目,造纸及纸制品业固定资产投资(不含农户)中央项目,印刷业和记录媒介的复制固定资产投资(不含农户)中央项目,文教体育用品制造业固定资产投资(不含农户)中央项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)中央项目,化学原料及化学制品制造业固定资产投资(不含农户)中央项目,医药制造业固定资产投资(不含农户)中央项目,化学纤维制造业固定资产投资(不含农户)中央项目,橡胶制品业固定资产投资(不含农户)中央项目,塑料制品业固定资产投资(不含农户)中央项目,非金属矿物制品业固定资产投资(不含农户)中央项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,有色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,金属制品业固定资产投资(不含农户)中央项目,通用设备制造业固定资产投资(不含农户)中央项目,专用设备制造业固定资产投资(不含农户)中央项目,交通运输设备制造业固定资产投资(不含农户)中央项目,电气机械及器材制造业固定资产投资(不含农户)中央项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)中央项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)中央项目,工艺品及其他制造业固定资产投资(不含农户)中央项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)中央项目,电力燃气水的生产供应业固定资产投资(不含农户)中央项目,电力、热力的生产和供应业固定资产投资(不含农户)中央项目,燃气生产和供应业固定资产投资(不含农户)中央项目,水的生产和供应业固定资产投资(不含农户)中央项目,建筑业固定资产投资(不含农户)中央项目,房屋和土木工程建筑业固定资产投资(不含农户)中央项目,建筑安装业固定资产投资(不含农户)中央项目,建筑装饰业固定资产投资(不含农户)中央项目,其他建筑业固定资产投资(不含农户)中央项目,交通运输、仓储和邮政业固定资产投资(不含农户)中央项目,铁路运输业固定资产投资(不含农户)中央项目,道路运输业固定资产投资(不含农户)中央项目,城市公共交通业固定资产投资(不含农户)中央项目,水上运输业固定资产投资(不含农户)中央项目,航空运输业固定资产投资(不含农户)中央项目,管道运输业固定资产投资(不含农户)中央项目,装卸搬运和其他运输服务业固定资产投资(不含农户)中央项目,仓储业固定资产投资(不含农户)中央项目,邮政业固定资产投资(不含农户)中央项目,信息传输、计算机服务和软件业固定资产投资(不含农户)中央项目,电信和其他信息传输服务业固定资产投资(不含农户)中央项目,计算机服务业固定资产投资(不含农户)中央项目,软件业固定资产投资(不含农户)中央项目,批发和零售业固定资产投资(不含农户)中央项目,批发业固定资产投资(不含农户)中央项目,零售业固定资产投资(不含农户)中央项目,住宿和餐饮业固定资产投资(不含农户)中央项目,住宿业固定资产投资(不含农户)中央项目,餐饮业固定资产投资(不含农户)中央项目,金融业固定资产投资(不含农户)中央项目,银行业固定资产投资(不含农户)中央项目,证券业固定资产投资(不含农户)中央项目,保险业固定资产投资(不含农户)中央项目,其他金融活动固定资产投资(不含农户)中央项目,房地产业固定资产投资(不含农户)中央项目,租赁和商务服务业固定资产投资(不含农户)中央项目,租赁业固定资产投资(不含农户)中央项目,商务服务业固定资产投资(不含农户)中央项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)中央项目,研究与试验发展固定资产投资(不含农户)中央项目,专业技术服务业固定资产投资(不含农户)中央项目,科技交流和推广服务业固定资产投资(不含农户)中央项目,地质勘查业固定资产投资(不含农户)中央项目,水利、环境和公共设施管理业固定资产投资(不含农户)中央项目,水利管理业固定资产投资(不含农户)中央项目,环境管理业固定资产投资(不含农户)中央项目,公共设施管理业固定资产投资(不含农户)中央项目,居民服务和其他服务业固定资产投资(不含农户)中央项目,居民服务业固定资产投资(不含农户)中央项目,其他服务业固定资产投资(不含农户)中央项目,教育固定资产投资(不含农户)中央项目,卫生、社会保障和社会福利业固定资产投资(不含农户)中央项目,卫生固定资产投资(不含农户)中央项目,社会保障业固定资产投资(不含农户)中央项目,社会福利业固定资产投资(不含农户)中央项目,文化、体育和娱乐业固定资产投资(不含农户)中央项目,新闻出版业固定资产投资(不含农户)中央项目,广播、电视、电影和音像业固定资产投资(不含农户)中央项目,文化艺术业固定资产投资(不含农户)中央项目,体育固定资产投资(不含农户)中央项目,娱乐业固定资产投资(不含农户)中央项目,公共管理和社会组织固定资产投资(不含农户)中央项目,中国共产党机关固定资产投资(不含农户)中央项目,国家机构固定资产投资(不含农户)中央项目,人民政协和民主党派固定资产投资(不含农户)中央项目,群众团体、社会团体和宗教固定资产投资(不含农户)中央项目,基层群众自治组织固定资产投资(不含农户)中央项目,国际组织固定资产投资(不含农户)中央项目
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,25892.8372,155.2649,53.563,12.2392,18.3259,1.4431,69.6937,2336.2361,131.7389,2101.9178,45.2927,37.649,5.0904,0.452,2813.3766,34.0248,14.8923,,39.6701,7.0676,,,14.8872,,3.9277,6.2107,,476.5587,244.2721,18.8284,33.9555,,,199.7171,122.1917,154.2446,101.1503,53.699,126.6648,,67.8878,356.4556,,,9.5241,5922.4784,5774.1785,86.6258,61.6741,93.9057,,0.1257,,,8313.9815,5707.9101,1031.8356,,184.1108,1097.8609,134.1972,12.6267,135.3925,10.0477,1343.1748,1236.2888,,,105.9743,73.0566,32.9177,27.9043,26.0285,1.8758,107.381,,,25.7264,0.8008,2701.3075,246.0023,111.4949,134.5074,223.5633,118.9244,77.3831,27.2558,,896.4051,167.7739,39.4544,689.1768,13.8247,11.0968,2.3053,270.3648,93.0995,81.9812,2.3637,,118.9578,1.7987,43.3581,21.9079,10.4198,41.4733,109.6346,,102.3922,,1.5478,3.3309,
2016,26727.8742,228.0504,68.8946,20.612,41.5794,2.6271,94.3373,2065.8651,214.1925,1730.6135,27.8928,62.9805,5.0343,0.814,2708.242,27.2195,6.4112,,58.1543,11.6072,,,3.0263,4.6645,3.1919,8.1664,,545.4783,187.5021,16.3197,14.8256,,,201.7621,166.2246,136.13,79.7589,90.5291,150.7911,,87.6531,169.2271,,,9.2011,6938.738,6713.926,143.4194,81.3926,96.606,,1.978,,,7756.9117,5625.002,754.2968,,212.9665,905.4421,68.892,26.8567,152.952,10.5036,1277.5653,1145.9615,,,103.596,68.1687,35.4273,54.3804,51.5331,2.8473,139.6215,,,41.0498,3.8314,2725.6611,233.8194,124.7398,109.0796,267.0128,130.694,107.9296,28.3892,,863.9878,138.9085,81.8594,643.2199,36.0725,25.8303,8.222,269.1779,107.6125,89.3174,0.5085,,86.8425,3.3069,29.6583,25.1968,14.8923,13.7882,768.1113,0.5075,756.5085,,1.2548,9.332,
2015,25942.2724,183.7645,52.1311,15.8289,36.6933,0.756,78.3552,2719.5265,195.0623,2409.3798,24.5384,52.2511,6.0647,0.285,2888.9961,19.3019,17.208,,50.7694,31.0279,,,0.7846,1.1391,0.6717,15.872,,442.9804,377.656,31.034,8.1679,,,79.1357,123.7216,80.0606,36.7134,94.8718,137.274,,52.9521,187.1895,,,27.8809,5571.0065,5398.6357,107.1953,65.1755,125.7566,,0.9857,,,7925.2486,5990.2637,927.9929,,137.885,688.3819,25.968,9.5312,135.5259,9.7,951.8561,800.5987,,,109.2962,49.7836,59.5126,15.2091,13.4373,1.7718,138.3877,,,24.49,14.051,2414.1758,66.6209,6.1722,60.4487,311.8572,213.7237,78.6624,19.4711,,1124.2315,251.1523,36.6831,836.3961,19.106,11.6146,6.6271,391.9106,103.4685,87.9955,1.4419,,86.1782,4.8779,13.0541,38.2962,7.7398,22.2102,795.6758,3.1837,704.4984,0.01,75.9445,10.5973,
2014,26448.6326,160.7727,43.485,9.9584,51.8094,0.02,55.4999,3382.8395,270.4412,2941.1383,23.9105,53.8399,18.2767,1.4665,3027.8601,39.1557,7.4561,,63.9738,6.8609,,0.088,1.028,,0.4838,14.4897,2.7427,527.7518,458.1689,27.0821,7.9473,4.8083,47.8232,93.8772,189.0853,66.606,34.9172,104.8939,153.4736,,53.4357,230.5584,16.4068,,21.0079,5346.8173,5171.9338,128.1723,46.7112,169.675,,9.2391,0.0342,,7944.0571,6278.4388,706.049,14.2422,189.2269,465.8024,76.6037,5.5287,213.6492,8.7584,877.7089,780.3296,,,140.0318,60.1781,79.8537,37.1585,35.6501,1.5084,125.0441,,5.6025,20.9965,3.6804,2410.7884,78.081,0.5187,77.5623,350.1112,206.927,121.0421,22.1421,,904.3844,248.5552,22.1404,633.6888,16.2563,8.2607,4.2926,342.6736,132.1367,120.3144,1.9603,11.8223,87.4483,6.0857,12.2582,35.4202,15.5097,18.1745,914.7877,1.278,886.4022,0.7216,21.0557,3.3699,
2013,24658.0556,74.2921,18.6342,10.9729,10.9719,,33.7131,3455.0726,368.3918,2874.6505,34.9659,58.4175,11.6923,,3426.2025,15.0257,7.5244,,103.0413,4.0531,,,1.1019,,2.2834,23.1792,,623.9499,705.1304,37.8991,3.8273,,,84.6643,227.1438,86.8363,45.1826,103.2475,164.4658,,79.6129,151.7467,,,24.5984,4617.4478,4364.3296,215.6585,37.4597,155.1638,,4.04,,,7270.0991,5423.9534,713.7965,,201.401,641.6266,133.4681,3.042,143.3024,9.5091,833.4435,714.5592,,,170.485,99.5656,70.9194,56.4695,51.2827,5.1868,141.5,,,26.6274,2.4239,2298.2128,94.53,,94.53,303.0095,182.2998,99.9256,20.7841,,1054.8239,537.9851,19.5364,497.3024,10.5167,6.7046,0.3764,268.2339,95.5088,90.9033,4.3046,,90.1634,9.2571,19.6056,25.1307,26.8007,9.3693,242.8807,9.7867,196.2476,,30.5663,1.9755,
2012,23763.7749,70.3003,21.864,7.4037,4.9468,0.01,36.0758,3018.2458,400.7358,2447.0089,36.3498,48.9541,7.8326,,3108.0472,35.1748,11.0933,,73.5104,4.5688,,0.51,0.949,,1.2488,19.4243,5.7083,568.7354,494.0426,43.52,11.4395,6.4008,12.1876,80.5719,295.1236,105.3963,22.9224,108.2176,181.8253,,94.0546,74.0748,20.7068,,14.9355,4590.4313,4371.8196,194.4222,24.1895,193.0097,,10.7946,0.1328,,6802.5315,5303.181,571.1965,29.2657,226.5917,519.7012,48.1573,6.2791,120.029,7.3957,886.3256,796.8649,,,113.8734,48.9615,64.9119,53.2745,51.8587,1.4158,170.4019,,18.2313,40.7995,2.3935,2335.2555,55.7028,,55.7028,352.2287,213.1451,103.3522,35.7314,65.7894,1196.2535,771.971,13.1692,411.1133,27.6594,27.5804,,234.9907,105.9216,97.9989,2.3741,7.9227,76.5153,6.8786,10.467,22.7247,6.0705,30.3745,372.8062,2.3201,354.5167,0.25,12.5038,0.8415,
2011,21797.2482,66.2292,17.4964,15.8472,7.0017,0.19,25.6939,2924.6561,385.3214,2429.6859,41.6296,58.7675,9.2517,,3369.5226,29.1438,3.6605,3.3178,84.4063,9.3299,3.5966,0.44,1.271,,2.0404,19.0409,8.5161,670.014,341.6022,34.8921,23.27,5.0624,4.9805,88.397,409.5853,61.9151,39.689,128.9998,151.3787,745.3165,137.1645,283.3597,44.3364,22.0582,12.7379,4474.7605,4311.7214,140.4185,22.6206,147.2976,139.8103,4.1544,,3.3329,6280.9173,5045.2057,479.6407,42.1099,268.3513,292.2428,33.9857,8.9804,103.8363,6.5645,850.642,830.0844,15.8606,4.697,86.4933,62.9797,23.5136,49.16,48.3755,0.7845,99.7368,85.7791,1.5581,10.8688,1.5308,1696.8028,45.7566,2.0154,43.7412,243.5723,159.1001,37.3601,9.2569,37.8552,784.6799,539.4416,43.5379,201.7004,12.5451,2.5898,9.9553,192.4605,95.9277,87.6214,1.3929,6.9134,61.0534,5.1034,14.8194,16.9289,6.6152,17.5865,315.0345,8.0782,302.0601,,3.9315,0.9647,
2010,22790.6457,40.8,7.8,10.9,5.2,0.1,16.8,2766.8,307.0,2387.2,26.2,31.9,13.1,1.3,3394.7,18.7,5.9,4.4,92.0,6.8,0.5,0.1,0.7,,2.7,14.3,4.7,562.2,362.6,18.5,30.6,8.5,6.0,109.0,443.2,152.1,53.9,134.8,125.6,817.6,98.3,255.2,37.5,22.1,6.4,4643.9,4478.0,145.5,20.4,147.9,141.4,3.8,0.0,2.7,7901.7,6623.2,353.4,47.6,366.4,347.6,22.4,3.5,128.7,8.9,1101.0,1075.5,22.9,2.6,52.3,27.0,25.3,38.2,37.3,0.8,93.1,84.1,0.7,7.8,0.5,1164.8,35.0,2.2,32.7,206.3,131.0,42.2,11.1,22.1,619.9,476.0,14.2,129.7,12.6,3.7,9.0,189.2,78.9,76.1,0.4,2.4,62.2,1.4,25.0,20.4,5.2,10.3,241.4,3.0,233.9,0.1,1.4,3.0,
