年份,固定资产投资(不含农户)建筑安装工程,农、林、牧、渔业固定资产投资(不含农户)建筑安装工程,农业固定资产投资(不含农户)建筑安装工程,林业固定资产投资(不含农户)建筑安装工程,畜牧业固定资产投资(不含农户)建筑安装工程,渔业固定资产投资(不含农户)建筑安装工程,农、林、牧、渔服务业固定资产投资(不含农户)建筑安装工程,采矿业固定资产投资(不含农户)建筑安装工程,煤炭开采和洗选业固定资产投资(不含农户)建筑安装工程,石油和天然气开采业固定资产投资(不含农户)建筑安装工程,黑色金属矿采选业固定资产投资(不含农户)建筑安装工程,有色金属矿采选业固定资产投资(不含农户)建筑安装工程,非金属矿采选业固定资产投资(不含农户)建筑安装工程,其他采矿业固定资产投资(不含农户)建筑安装工程,制造业固定资产投资(不含农户)建筑安装工程,农副食品加工业固定资产投资(不含农户)建筑安装工程,食品制造业固定资产投资(不含农户)建筑安装工程,饮料制造业固定资产投资(不含农户)建筑安装工程,烟草制品业固定资产投资(不含农户)建筑安装工程,纺织业固定资产投资(不含农户)建筑安装工程,纺织服装、鞋、帽制造业固定资产投资(不含农户)建筑安装工程,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建筑安装工程,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建筑安装工程,家具制造业固定资产投资(不含农户)建筑安装工程,造纸及纸制品业固定资产投资(不含农户)建筑安装工程,印刷业和记录媒介的复制固定资产投资(不含农户)建筑安装工程,文教体育用品制造业固定资产投资(不含农户)建筑安装工程,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建筑安装工程,化学原料及化学制品制造业固定资产投资(不含农户)建筑安装工程,医药制造业固定资产投资(不含农户)建筑安装工程,化学纤维制造业固定资产投资(不含农户)建筑安装工程,橡胶制品业固定资产投资(不含农户)建筑安装工程,塑料制品业固定资产投资(不含农户)建筑安装工程,非金属矿物制品业固定资产投资(不含农户)建筑安装工程,黑色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,有色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,金属制品业固定资产投资(不含农户)建筑安装工程,通用设备制造业固定资产投资(不含农户)建筑安装工程,专用设备制造业固定资产投资(不含农户)建筑安装工程,交通运输设备制造业固定资产投资(不含农户)建筑安装工程,电气机械及器材制造业固定资产投资(不含农户)建筑安装工程,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建筑安装工程,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建筑安装工程,工艺品及其他制造业固定资产投资(不含农户)建筑安装工程,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建筑安装工程,电力燃气水的生产供应业固定资产投资(不含农户)建筑安装工程,电力、热力的生产和供应业固定资产投资(不含农户)建筑安装工程,燃气生产和供应业固定资产投资(不含农户)建筑安装工程,水的生产和供应业固定资产投资(不含农户)建筑安装工程,建筑业固定资产投资(不含农户)建筑安装工程,房屋和土木工程建筑业固定资产投资(不含农户)建筑安装工程,建筑安装工程业固定资产投资(不含农户)建筑安装工程,建筑装饰业固定资产投资(不含农户)建筑安装工程,其他建筑业固定资产投资(不含农户)建筑安装工程,交通运输、仓储和邮政业固定资产投资(不含农户)建筑安装工程,铁路运输业固定资产投资(不含农户)建筑安装工程,道路运输业固定资产投资(不含农户)建筑安装工程,城市公共交通业固定资产投资(不含农户)建筑安装工程,水上运输业固定资产投资(不含农户)建筑安装工程,航空运输业固定资产投资(不含农户)建筑安装工程,管道运输业固定资产投资(不含农户)建筑安装工程,装卸搬运和其他运输服务业固定资产投资(不含农户)建筑安装工程,仓储业固定资产投资(不含农户)建筑安装工程,邮政业固定资产投资(不含农户)建筑安装工程,信息传输、计算机服务和软件业固定资产投资(不含农户)建筑安装工程,电信和其他信息传输服务业固定资产投资(不含农户)建筑安装工程,计算机服务业固定资产投资(不含农户)建筑安装工程,软件业固定资产投资(不含农户)建筑安装工程,批发和零售业固定资产投资(不含农户)建筑安装工程,批发业固定资产投资(不含农户)建筑安装工程,零售业固定资产投资(不含农户)建筑安装工程,住宿和餐饮业固定资产投资(不含农户)建筑安装工程,住宿业固定资产投资(不含农户)建筑安装工程,餐饮业固定资产投资(不含农户)建筑安装工程,金融业固定资产投资(不含农户)建筑安装工程,银行业固定资产投资(不含农户)建筑安装工程,证券业固定资产投资(不含农户)建筑安装工程,保险业固定资产投资(不含农户)建筑安装工程,其他金融活动固定资产投资(不含农户)建筑安装工程,房地产业固定资产投资(不含农户)建筑安装工程,租赁和商务服务业固定资产投资(不含农户)建筑安装工程,租赁业固定资产投资(不含农户)建筑安装工程,商务服务业固定资产投资(不含农户)建筑安装工程,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建筑安装工程,研究与试验发展固定资产投资(不含农户)建筑安装工程,专业技术服务业固定资产投资(不含农户)建筑安装工程,科技交流和推广服务业固定资产投资(不含农户)建筑安装工程,地质勘查业固定资产投资(不含农户)建筑安装工程,水利、环境和公共设施管理业固定资产投资(不含农户)建筑安装工程,水利管理业固定资产投资(不含农户)建筑安装工程,环境管理业固定资产投资(不含农户)建筑安装工程,公共设施管理业固定资产投资(不含农户)建筑安装工程,居民服务和其他服务业固定资产投资(不含农户)建筑安装工程,居民服务业固定资产投资(不含农户)建筑安装工程,其他服务业固定资产投资(不含农户)建筑安装工程,教育固定资产投资(不含农户)建筑安装工程,卫生、社会保障和社会福利业固定资产投资(不含农户)建筑安装工程,卫生固定资产投资(不含农户)建筑安装工程,社会保障业固定资产投资(不含农户)建筑安装工程,社会福利业固定资产投资(不含农户)建筑安装工程,文化、体育和娱乐业固定资产投资(不含农户)建筑安装工程,新闻出版业固定资产投资(不含农户)建筑安装工程,广播、电视、电影和音像业固定资产投资(不含农户)建筑安装工程,文化艺术业固定资产投资(不含农户)建筑安装工程,体育固定资产投资(不含农户)建筑安装工程,娱乐业固定资产投资(不含农户)建筑安装工程,公共管理和社会组织固定资产投资(不含农户)建筑安装工程,中国共产党机关固定资产投资(不含农户)建筑安装工程,国家机构固定资产投资(不含农户)建筑安装工程,人民政协和民主党派固定资产投资(不含农户)建筑安装工程,群众团体、社会团体和宗教组织固定资产投资(不含农户)建筑安装工程,基层群众自治组织固定资产投资(不含农户)建筑安装工程,国际组织固定资产投资(不含农户)建筑安装工程
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,441771.5372,18973.0383,9085.0629,1510.6726,4454.0848,898.6965,3024.5215,6366.9226,1565.1145,2199.8478,460.6219,787.9423,1152.4458,37.5562,109741.4814,7971.0611,3697.6957,,128.4035,3433.8092,,,2628.2013,2326.6953,1726.0093,971.8462,,1402.8932,7707.1337,3757.2138,733.7714,,,10201.0455,2039.544,2660.4621,5969.8181,6884.9995,6920.9763,,7158.0613,6407.7967,,,1066.4533,18278.4669,12265.0879,1627.4045,4385.9745,2911.0271,,188.3739,,,46673.9973,5347.7245,32512.959,,1345.2069,859.3798,228.6107,821.7826,5362.8945,195.4393,3848.4733,1253.6665,,,12559.5463,6290.3044,6269.2419,5061.1599,3593.5101,1467.6498,840.1758,,,85.9207,129.4394,103461.2875,9668.228,297.1713,9371.0567,4186.2287,1075.5516,1362.4214,1748.2557,,68101.5533,8434.1725,2901.3091,56766.0717,2076.9912,1264.8056,420.6218,9330.5546,5792.2277,4041.3058,352.636,,7026.1985,68.6949,441.9429,3095.1825,1506.7687,1913.6095,6873.9788,40.4953,4472.4159,5.4049,325.0306,1677.9961,
2016,415196.2611,17007.3773,7552.0638,1452.4092,4118.7628,799.7732,3084.3683,6974.739,1843.8438,1886.6424,644.164,950.1554,1364.7129,50.692,105773.378,7614.5144,3588.3619,,126.1356,3139.8539,,,2583.8504,1897.8188,1726.2786,1000.6932,,1386.0426,7826.6919,3966.6086,543.6406,,,10008.9738,2225.2722,2755.4924,5651.5927,6828.5514,6624.8966,,7041.1246,5229.1638,,,858.76,17532.4337,12193.6291,1479.4963,3859.3083,3735.6562,,196.5155,,,40302.7277,5086.3441,26492.2724,,1367.0994,809.658,174.1627,783.5528,5429.4084,160.2299,3561.1898,1313.8832,,,13267.1374,6623.9752,6643.1622,4826.0287,3392.1334,1433.8953,955.5527,,,98.1782,137.2161,103884.3051,8932.0526,345.3069,8586.7457,3866.4559,914.6464,1384.4099,1567.3996,,57092.1376,7379.3376,2309.1865,47403.6135,2058.1878,1197.496,457.1607,7744.4349,4852.8829,3461.4603,226.2807,,6009.6837,68.9528,388.4789,2676.001,1174.9409,1701.3101,6819.8901,28.5921,4690.607,3.0809,408.1345,1463.1949,
2015,379728.3868,14069.2195,5719.6084,1303.5002,3635.5766,626.1624,2784.3719,8845.0497,2499.2239,2805.4203,862.8294,1065.4729,1286.4652,41.7768,99064.3756,6719.4649,2995.8017,,176.8847,2809.0236,,,2360.2247,1783.9964,1477.7737,999.2802,,1291.971,7727.4759,3520.714,463.8034,,,9614.2352,2189.2617,2779.6477,5279.1884,7019.4032,6734.2892,,6098.2049,4721.2096,,,793.2968,15411.1376,10799.1886,1526.9585,3084.9905,3829.086,,149.5513,,,36308.7658,4529.4783,23357.4775,,1575.9939,623.0645,214.9466,922.3771,4921.5555,163.8724,3123.7545,1251.7949,,,13797.2776,6788.5553,7008.7223,5211.1287,3784.4551,1426.6736,988.9573,,,108.2223,179.1699,97909.1822,7048.8481,202.2069,6846.6412,3233.7164,980.5266,1145.5285,1107.6613,,46710.6397,6261.8014,1733.8365,38715.0018,2021.8475,1205.4729,384.7729,6396.2938,3901.7468,2871.8846,246.7671,,5282.872,108.1296,353.912,2449.4179,851.4591,1519.9534,6574.488,21.9077,4289.4447,15.7745,540.8008,1459.7932,
2014,341154.9079,10578.4451,3907.7454,1034.3626,2983.4608,539.1317,2113.7446,9726.1221,2826.7969,3214.1995,1041.2172,1035.4977,1206.3404,38.391,90603.4854,6176.5881,2617.0596,,174.2187,2549.4289,,1189.8207,2017.0888,1521.3665,1457.1498,849.2179,1096.6649,1533.5046,7229.3383,3085.4055,520.8006,811.9221,2316.6078,8755.9587,2415.6196,2923.0675,4803.9304,6370.5561,6222.6267,,5593.2041,3869.9674,842.0382,,702.0412,12771.3408,8931.5611,1486.6121,2353.1676,3174.7323,,119.1817,114.3052,,31311.7191,4568.0283,19534.2696,2408.7429,1632.1007,590.7214,229.4438,836.8762,3839.7742,80.5049,2221.5348,953.8965,,1061.6653,11614.2522,5434.6793,6179.5729,4959.2246,3717.153,1242.0716,1001.2425,,,88.6195,141.5574,95157.6621,5736.8292,112.3215,5624.5077,2801.0426,902.7413,992.4642,905.8371,118.8897,38549.9596,5051.6517,1325.1729,32173.135,1766.9112,1112.4022,310.3945,5524.9215,2918.9873,2269.9654,218.6011,649.0219,4760.7677,80.3774,346.4042,2121.1283,858.9994,1353.8584,5975.7278,24.3872,4311.3052,10.9099,462.1482,948.3762,
2013,290333.9824,8094.993,2926.2017,842.4914,2153.413,449.7674,1723.1195,9530.2602,3082.3604,3157.6155,996.0988,977.5577,982.8952,31.9553,76931.148,5000.7684,2077.0215,,157.4613,2186.799,,,1649.4075,1133.4191,1317.6904,660.5229,,1439.9475,6187.8819,2553.9659,423.8242,,,7278.2935,2361.6467,2740.1953,3854.5705,5354.8982,5262.0467,,4910.7286,3486.3023,,,536.6738,10789.262,7396.2328,1363.8372,2029.192,2718.5982,,93.9437,,,25694.614,4173.6,15790.261,,1328.7179,410.9082,239.1936,666.8075,3019.0838,66.042,1666.7511,837.7633,,,9207.8917,4223.4532,4984.4385,4681.1137,3524.3977,1156.716,879.5052,,,73.2216,101.2935,85763.3076,4354.6699,97.8528,4256.8171,2033.6595,747.3632,664.6244,621.6719,,30753.1745,4187.3849,1030.8477,25534.9419,1497.739,893.0937,337.1671,4479.6509,2347.1442,1895.5401,171.3608,,3980.8716,80.8319,179.9875,1859.3199,852.3069,1008.4254,4929.6281,46.9775,3437.7507,11.0217,460.6432,801.8742,
2012,236601.0659,6087.2956,2267.1038,585.7624,1518.4149,371.4529,1344.5616,8184.7388,3066.5348,2455.0749,820.0338,834.3374,803.2294,22.8808,63824.4696,3907.3675,1701.56,,119.4746,1883.8077,,753.2848,1332.7397,906.2371,1042.8221,532.8414,650.6684,1262.4964,5194.6578,2048.2257,323.5739,503.1154,1613.8332,6218.993,2405.3916,2257.3464,3077.6193,4288.0365,4453.5767,,4175.9389,2854.1266,716.9097,,391.4368,8833.2401,6327.1875,974.7794,1531.2732,2950.9661,,97.4222,69.1131,,21581.0436,3678.8583,13636.5174,1680.8061,1128.5309,356.5187,127.2848,487.1148,2121.8259,44.3928,1441.5457,792.5287,,,6941.2054,2931.6829,4009.5225,3830.628,2811.3197,1019.3083,549.6569,,19.4396,53.5715,71.5109,69434.7504,3397.4605,43.303,3354.1575,1585.3031,555.9951,590.9638,438.3442,108.245,23005.3276,3271.115,784.2774,18949.9352,1200.4051,699.5746,277.4467,3758.384,1909.157,1566.6829,175.1726,342.4741,3180.5267,55.8162,164.534,1532.6814,674.1649,753.3302,4904.9617,28.1096,3515.8022,11.5687,431.5301,742.7785,
2011,193644.6421,4571.4561,1632.2041,490.9261,1135.5548,238.7548,1074.0163,7080.4289,2716.3168,2320.002,645.5784,736.707,632.4959,29.3288,51129.1063,2948.3244,1318.7216,1076.7957,125.4956,1612.628,1260.8801,530.4217,1000.8801,701.9243,855.9526,446.4111,240.6872,1109.5136,4006.3516,1425.4615,324.5492,490.8527,1339.8979,5193.0265,1896.8803,1757.2825,2631.3728,3813.2413,3106.7807,4109.5622,3832.8565,2199.0906,512.4528,999.9088,260.9024,7650.4215,5562.6922,769.5569,1318.1724,2493.4753,2145.9236,63.0593,59.3133,225.1791,20016.7946,3730.4441,11609.4251,1261.0339,1042.6918,364.0607,92.9066,218.8928,1661.135,36.2046,1114.8665,784.8974,93.9603,236.0088,5172.7731,2378.7225,2794.0506,2995.7779,2263.9173,731.8606,406.3337,225.2678,30.7792,39.1351,111.1516,55913.799,2358.4883,40.5485,2317.9398,1105.9079,410.4375,353.2792,246.9274,95.2638,19057.4579,2595.2251,1239.6578,15222.575,822.0139,490.2417,331.7722,3135.7948,1747.9698,1409.4871,151.2605,187.2222,2299.5517,61.2342,125.4842,909.8306,372.8208,830.1819,4572.2249,52.0471,3579.1757,7.1046,166.7737,767.1238,
2010,148601.2657,2458.1,631.0,334.5,662.7,126.4,703.5,5668.5,1997.0,2103.5,541.7,563.8,445.7,16.8,35304.9,1912.0,1001.7,677.6,97.5,953.7,743.4,336.6,617.9,477.0,590.7,337.0,156.0,932.0,3026.0,992.8,150.1,332.2,864.9,3699.4,1448.7,1369.9,1778.2,2656.9,2081.5,2930.8,2408.4,1544.9,341.5,660.9,184.9,7106.4,5327.4,545.4,1233.6,1624.4,1399.9,36.4,38.6,149.6,19614.6,4998.7,10564.2,1133.2,1118.4,334.3,56.0,197.5,1194.0,18.3,1013.2,787.7,50.9,174.6,3526.6,1498.7,2027.9,2148.4,1528.2,620.1,261.0,166.1,26.0,26.2,42.6,40527.4,1686.9,28.8,1658.1,747.4,263.1,235.1,178.0,71.3,16464.8,2017.9,1112.0,13335.0,495.2,255.6,239.6,3030.8,1406.5,1190.4,71.2,144.9,1898.0,36.4,150.8,702.5,403.1,605.2,3618.1,26.7,2891.9,5.5,120.3,573.8,
