年份,房地产开发投资额,房地产开发住宅投资额,房地产开发别墅、高档公寓投资额,房地产开发办公楼投资额,房地产开发商业营业用房投资额,房地产开发其他投资额
2019,132194.2649,97070.7456,3875.7138,6162.5969,13225.8547,15735.0677
2018,120164.7499,85124.0163,4430.411,5997.2931,14167.2746,14876.1659
2017,109798.5288,75147.8799,4015.4427,6761.3571,15639.8974,12249.3944
2016,102580.6128,68703.8743,3478.7431,6532.5959,15837.5283,11506.6143
2015,95978.8458,64595.2421,3481.3652,6209.742,14607.4875,10566.3742
2014,95035.6144,64352.1513,3844.718,5641.189,14346.2517,10696.0224
2013,86013.3826,58950.7627,3637.9004,4652.447,11944.8308,10465.3421
2012,71803.7869,49374.2137,3448.3745,3366.6129,9312.0012,9750.9591
2011,61796.8858,44319.5018,3424.1615,2558.7934,7424.0451,7494.5455
2010,48259.403,34026.2276,2829.8096,1807.3828,5648.4,6777.3926
2009,36241.808,25613.6938,2073.3449,1377.2061,4180.6621,5070.246
2008,31203.1942,22440.8742,2032.3107,1167.1709,3354.4785,4240.6706
2007,25288.8373,18005.4184,1807.123,1035.0409,2785.6494,3462.7286
2006,19422.9174,13638.4071,1444.9996,928.0564,2353.881,2502.5729
2005,15909.2471,10860.9322,1049.4059,763.0681,2039.5282,2245.7185
2004,13158.25,8836.9532,1073.6486,652.1963,1723.7192,1945.3829
2003,10153.8,6776.6861,632.9872,508.3372,1302.3473,1566.4303
2002,7790.92,5227.756,516.9632,381.0018,933.6107,1248.5538
2001,6344.11,4216.676,369.9241,307.947,755.3018,1064.1859
2000,4984.0529,3311.9839,270.0142,297.8511,579.9927,794.2252
