年份,固定资产投资(不含农户)本年资金来源,农、林、牧、渔业固定资产投资(不含农户)本年资金来源,农业固定资产投资(不含农户)本年资金来源,林业固定资产投资(不含农户)本年资金来源,畜牧业固定资产投资(不含农户)本年资金来源,渔业固定资产投资(不含农户)本年资金来源,农、林、牧、渔服务业固定资产投资(不含农户)本年资金来源,采矿业固定资产投资(不含农户)本年资金来源,煤炭开采和洗选业固定资产投资(不含农户)本年资金来源,石油和天然气开采业固定资产投资(不含农户)本年资金来源,黑色金属矿采选业固定资产投资(不含农户)本年资金来源,有色金属矿采选业固定资产投资(不含农户)本年资金来源,非金属矿采选业固定资产投资(不含农户)本年资金来源,其他采矿业固定资产投资(不含农户)本年资金来源,制造业固定资产投资(不含农户)本年资金来源,农副食品加工业固定资产投资(不含农户)本年资金来源,食品制造业固定资产投资(不含农户)本年资金来源,饮料制造业固定资产投资(不含农户)本年资金来源,烟草制品业固定资产投资(不含农户)本年资金来源,纺织业固定资产投资(不含农户)本年资金来源,纺织服装、鞋、帽制造业固定资产投资(不含农户)本年资金来源,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)本年资金来源,木材加工及木竹藤棕草制品业固定资产投资(不含农户)本年资金来源,家具制造业固定资产投资(不含农户)本年资金来源,造纸及纸制品业固定资产投资(不含农户)本年资金来源,印刷业和记录媒介的复制固定资产投资(不含农户)本年资金来源,文教体育用品制造业固定资产投资(不含农户)本年资金来源,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)本年资金来源,化学原料及化学制品制造业固定资产投资(不含农户)本年资金来源,医药制造业固定资产投资(不含农户)本年资金来源,化学纤维制造业固定资产投资(不含农户)本年资金来源,橡胶制品业固定资产投资(不含农户)本年资金来源,塑料制品业固定资产投资(不含农户)本年资金来源,非金属矿物制品业固定资产投资(不含农户)本年资金来源,黑色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,有色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,金属制品业固定资产投资(不含农户)本年资金来源,通用设备制造业固定资产投资(不含农户)本年资金来源,专用设备制造业固定资产投资(不含农户)本年资金来源,交通运输设备制造业固定资产投资(不含农户)本年资金来源,电气机械及器材制造业固定资产投资(不含农户)本年资金来源,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)本年资金来源,仪器仪表文化办公用机械制造业固定资产投资(不含农户)本年资金来源,工艺品及其他制造业固定资产投资(不含农户)本年资金来源,废弃资源和废旧材料回收加工业固定资产投资(不含农户)本年资金来源,电力燃气水的生产供应业固定资产投资(不含农户)本年资金来源,电力、热力的生产和供应业固定资产投资(不含农户)本年资金来源,燃气生产和供应业固定资产投资(不含农户)本年资金来源,水的生产和供应业固定资产投资(不含农户)本年资金来源,建筑业固定资产投资(不含农户)本年资金来源,房屋和土木工程建筑业固定资产投资(不含农户)本年资金来源,建筑安装业固定资产投资(不含农户)本年资金来源,建筑装饰业固定资产投资(不含农户)本年资金来源,其他建筑业固定资产投资(不含农户)本年资金来源,交通运输、仓储和邮政业固定资产投资(不含农户)本年资金来源,铁路运输业固定资产投资(不含农户)本年资金来源,道路运输业固定资产投资(不含农户)本年资金来源,城市公共交通业固定资产投资(不含农户)本年资金来源,水上运输业固定资产投资(不含农户)本年资金来源,航空运输业固定资产投资(不含农户)本年资金来源,管道运输业固定资产投资(不含农户)本年资金来源,装卸搬运和其他运输服务业固定资产投资(不含农户)本年资金来源,仓储业固定资产投资(不含农户)本年资金来源,邮政业固定资产投资(不含农户)本年资金来源,信息传输、计算机服务和软件业固定资产投资(不含农户)本年资金来源,电信和其他信息传输服务业固定资产投资(不含农户)本年资金来源,计算机服务业固定资产投资(不含农户)本年资金来源,软件业固定资产投资(不含农户)本年资金来源,批发和零售业固定资产投资(不含农户)本年资金来源,批发业固定资产投资(不含农户)本年资金来源,零售业固定资产投资(不含农户)本年资金来源,住宿和餐饮业固定资产投资(不含农户)本年资金来源,住宿业固定资产投资(不含农户)本年资金来源,餐饮业固定资产投资(不含农户)本年资金来源,金融业固定资产投资(不含农户)本年资金来源,银行业固定资产投资(不含农户)本年资金来源,证券业固定资产投资(不含农户)本年资金来源,保险业固定资产投资(不含农户)本年资金来源,其他金融活动固定资产投资(不含农户)本年资金来源,房地产业固定资产投资(不含农户)本年资金来源,租赁和商务服务业固定资产投资(不含农户)本年资金来源,租赁业固定资产投资(不含农户)本年资金来源,商务服务业固定资产投资(不含农户)本年资金来源,科学研究、技术服务和地质勘查业固定资产投资(不含农户)本年资金来源,研究与试验发展固定资产投资(不含农户)本年资金来源,专业技术服务业固定资产投资(不含农户)本年资金来源,科技交流和推广服务业固定资产投资(不含农户)本年资金来源,地质勘查业固定资产投资(不含农户)本年资金来源,水利、环境和公共设施管理业固定资产投资(不含农户)本年资金来源,水利管理业固定资产投资(不含农户)本年资金来源,环境管理业固定资产投资(不含农户)本年资金来源,公共设施管理业固定资产投资(不含农户)本年资金来源,居民服务和其他服务业固定资产投资(不含农户)本年资金来源,居民服务业固定资产投资(不含农户)本年资金来源,其他服务业固定资产投资(不含农户)本年资金来源,教育固定资产投资(不含农户)本年资金来源,卫生、社会保障和社会福利业固定资产投资(不含农户)本年资金来源,卫生固定资产投资(不含农户)本年资金来源,社会保障业固定资产投资(不含农户)本年资金来源,社会福利业固定资产投资(不含农户)本年资金来源,文化、体育和娱乐业固定资产投资(不含农户)本年资金来源,新闻出版业固定资产投资(不含农户)本年资金来源,广播、电视、电影和音像业固定资产投资(不含农户)本年资金来源,文化艺术业固定资产投资(不含农户)本年资金来源,体育固定资产投资(不含农户)本年资金来源,娱乐业固定资产投资(不含农户)本年资金来源,公共管理和社会组织固定资产投资(不含农户)本年资金来源,中国共产党机关固定资产投资(不含农户)本年资金来源,国家机构固定资产投资(不含农户)本年资金来源,人民政协和民主党派固定资产投资(不含农户)本年资金来源,群众团体、社会团体和宗教组织固定资产投资(不含农户)本年资金来源,基层群众自治组织固定资产投资(不含农户)本年资金来源,国际组织固定资产投资(不含农户)本年资金来源
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,629814.9681,23130.4243,11188.792,2009.0248,5302.0323,1145.4453,3485.1299,8636.5312,2331.446,2619.1121,705.1381,1025.7201,1678.6208,57.9149,182252.5704,11361.619,5541.9701,,175.7833,6596.1025,,,4254.0137,3543.2377,2911.2463,1726.9146,,2419.4375,13018.6769,5668.569,1270.3931,,,15969.3603,3582.3612,4531.0551,9872.0772,12573.4978,11604.4073,,12434.7291,11992.3167,,,1597.8915,26747.7933,19784.0395,2058.709,4905.0448,3433.0351,,248.8789,,,51482.2788,6831.8062,33013.3949,,1601.8025,2146.9144,297.8116,1024.0335,6308.9549,257.5608,6306.8068,2144.5747,,,15632.2637,8048.7714,7583.4923,5720.7387,3990.617,1730.1217,995.1196,,,104.8761,155.8456,182347.1739,12345.9751,1219.0447,11126.9304,5644.6453,1430.5213,1774.4397,2439.6843,,71302.479,8548.6214,3366.4745,59387.3831,2530.3442,1467.608,540.9008,9906.373,6560.6932,4639.855,335.7447,,7817.9599,83.8631,458.5236,3448.3161,1590.6833,2236.5738,7021.7626,42.0776,4858.6645,6.3169,354.6193,1424.3396,
2016,606968.5868,21862.6917,9829.0262,2075.5438,5149.4482,1058.2938,3750.3797,9759.3211,2795.2973,2297.696,910.6443,1346.3467,2040.9829,73.7925,180841.8361,11419.0614,5661.093,,209.5817,6426.977,,,4188.1696,2991.2215,3019.4695,1815.1318,,2462.4091,13975.5477,6094.1169,1073.1814,,,16187.6765,4086.0124,4970.7078,9797.4844,12667.2642,11519.0604,,12230.9385,10061.3727,,,1300.8527,27059.1038,20613.1757,1966.869,4479.0591,4430.0607,,277.9959,,,47732.342,7020.7316,28515.3123,,1967.3626,2156.6674,287.4914,1024.6827,6545.1676,214.9264,6103.7924,2579.4971,,,17347.621,8963.3965,8384.2245,5654.6288,3905.7914,1748.8374,1285.2352,,,124.3218,191.6187,174212.0012,11642.9948,1442.627,10200.3678,5516.6034,1262.4995,2075.826,2178.2779,,61504.9968,7851.615,2828.2509,50825.1309,2529.5376,1389.5234,577.6599,8750.3909,5842.5865,4268.7086,260.1373,,7338.5,101.7802,558.541,3211.6525,1303.9723,2162.4947,7554.3821,30.9108,5294.2429,3.5094,454.6532,1510.9285,
2015,573788.9662,18893.0838,7910.3355,1904.1775,4767.9959,888.948,3421.6269,12609.3007,3841.0963,3268.7935,1353.4249,1589.8971,2067.533,68.7728,179867.2084,10759.694,5057.3161,,254.8133,5977.4696,,,4113.1783,2901.1668,2779.752,1836.9014,,2443.0331,14664.361,5824.4045,1097.2264,,,16667.2002,4172.3527,5559.9093,9446.43,13318.8853,12354.398,,11407.2899,9340.7696,,,1296.2071,26420.0694,20107.2515,2329.6203,3983.1976,4926.603,,258.4669,,,47337.6063,7332.1618,27283.2131,,2314.6472,1888.2007,343.4334,1301.424,6637.4888,237.0373,5633.669,2480.3486,,,18629.4325,9436.7261,9192.7064,6473.2301,4620.9908,1852.2393,1341.9567,,,133.6397,231.963,155020.4009,9414.4901,771.6072,8642.8829,4815.3317,1419.5438,1750.3456,1645.4423,,53095.7984,6967.4991,2187.6306,43940.6687,2585.303,1434.2978,505.3866,7521.0301,5153.9355,3948.2198,275.6573,,6483.3712,133.0393,480.51,2970.4922,1008.3291,1891.0006,7567.1454,22.128,4959.3364,17.3792,688.0061,1604.6384,
2014,532724.773,14626.5293,5459.8802,1544.8132,4065.0814,771.3831,2785.3714,14241.6611,4574.2381,3742.8009,1635.237,1629.2035,2068.6361,61.3402,170703.929,10200.6185,4532.5735,,290.121,5398.8395,3776.5461,2002.2101,3510.4414,2497.8563,2843.9653,1645.5935,1863.3221,3287.2621,14833.7035,5365.6082,1139.2944,,,16018.5336,4739.205,5823.6167,8927.2743,12448.698,11672.5044,,10713.4514,8302.2958,1598.4245,2027.9373,1201.0068,23019.6131,17699.8416,2207.9304,3111.8411,4143.9986,,213.1681,,,42328.4604,8059.0105,23404.2564,,2423.4491,1519.0799,317.8446,1231.3992,5244.5573,128.8634,4253.6703,2154.4278,,,15854.1912,7697.3218,8156.8694,6367.522,4720.338,1647.184,1469.5221,,,182.0601,183.626,150730.7446,8202.8691,714.5098,7488.3593,4317.4168,1369.4009,1579.4364,1368.5795,,46025.2863,5867.7019,1835.838,38321.7464,2249.4796,1320.7894,419.254,6764.9536,4096.2392,3297.2284,258.834,799.0108,6390.4381,106.2719,586.834,2822.7592,1024.9657,1849.6073,6938.2486,26.3739,4964.7928,8.1257,575.2197,1104.9025,
2013,481065.8506,11586.7264,4134.3174,1314.0945,3145.7292,657.1765,2335.4088,14774.0027,5199.4895,3734.4499,1757.661,1622.388,1826.8221,55.5762,152882.0269,8850.868,3785.6266,,308.5544,4838.8439,,,2996.7509,1988.1801,2707.0148,1323.3297,,3157.2067,13595.9654,4729.9876,1074.3307,,,14289.5796,5242.2088,5678.4894,7467.3025,10912.2699,10389.675,,9531.151,7474.2317,,,1017.7773,19834.5488,14983.0904,2175.3704,2676.088,3760.8817,,168.9655,,,36875.2139,6303.543,19853.2192,,2224.0219,2596.7648,420.13,1010.3642,4368.2981,98.8727,3238.6368,1732.7852,,,13146.0959,6152.6185,6993.4774,6419.9973,4833.4485,1586.5488,1310.194,,,115.0536,142.2181,148100.4507,6153.551,293.1867,5860.3643,3291.1941,1106.9619,1096.6965,1087.5357,,37472.8565,4918.9376,1407.286,31146.6329,2044.0754,1139.6933,475.2063,5461.5041,3208.8173,2644.1479,218.818,,5525.9719,106.5552,347.2811,2571.1697,1008.4466,1492.5193,5979.1052,58.0785,4123.4205,14.0558,603.8336,960.8988,
2012,399835.0565,8971.4047,3275.7044,985.8803,2339.2231,524.4677,1846.1292,13588.9836,5427.0822,3108.1902,1601.776,1443.5927,1640.6,47.0852,130747.0017,7178.1794,3233.3916,,266.0327,4146.078,2628.7384,1378.2515,2509.7863,1619.0869,2257.8899,1072.8231,1158.6273,2764.9833,11960.4639,3755.4323,1004.073,1339.1044,3205.6937,12430.4027,5412.6058,4617.3224,6108.5062,8842.14,8851.7097,,8823.6064,6488.0834,1346.6653,,737.6259,17199.3531,13380.2368,1684.9722,2134.1441,3822.848,,148.1849,107.3166,,30438.9287,6037.0454,16878.9111,2858.1864,1968.641,1101.1134,227.732,753.6183,3397.6465,74.221,2720.3058,1596.4302,,,10278.2647,4551.0972,5727.1675,5352.9191,3892.158,1460.7611,968.0986,,55.5645,93.0924,99.9862,118412.9317,5170.921,212.3783,4958.5427,2600.4773,905.3268,972.1344,723.0161,198.4132,29714.9489,4324.109,1093.0332,24297.8067,1768.6859,924.5442,465.0756,4660.8296,2789.1395,2342.4279,218.419,446.7116,4525.5152,74.5392,271.9676,2059.9049,886.5398,1232.5637,6103.4994,31.1656,4301.7324,18.5241,600.5841,933.0742,
2011,336895.1039,7116.217,2437.1776,881.264,1881.6019,397.8855,1518.288,11990.2721,5072.5918,3011.6114,1289.1177,1251.2174,1315.618,50.1158,108783.9221,5521.892,2578.6946,1957.7385,310.7428,3782.0772,2335.1569,956.8239,2003.4874,1240.388,2008.7168,907.6374,472.5579,2359.2537,9361.6887,2901.0025,796.0219,1207.8539,2764.3969,10804.876,4512.8301,3944.9694,5395.5552,8176.274,6175.3916,8973.6372,8463.7165,5542.9744,1114.2897,1661.6903,551.5867,15460.231,12298.5926,1345.4047,1816.2337,3572.9398,3013.275,111.7438,109.4032,338.5178,27854.8743,6280.8627,13263.6816,2171.5813,2009.8528,875.2581,158.7718,415.768,2616.8968,62.2012,2265.286,1712.0942,163.9857,389.2061,7863.694,3745.2023,4118.4917,4159.0448,3046.9905,1112.0543,678.0554,392.84,50.8052,59.2009,175.2093,100137.2122,3666.0287,236.0553,3429.9734,1782.2292,696.6604,518.1824,405.8031,161.5833,24664.739,3492.895,1637.6756,19534.1684,1322.3005,735.2687,587.0318,3955.0789,2453.3401,2018.6493,185.8221,248.8687,3336.1941,93.7893,194.7996,1234.7585,499.8012,1313.0455,5833.4447,60.9984,4542.0395,6.7039,244.2525,979.4504,
2010,273124.6,4014.7,990.1,654.9,1097.1,203.5,1069.2,9880.7,3902.5,2922.6,1080.5,1036.8,903.5,34.8,78485.0,3817.7,2006.3,1461.5,231.7,2371.5,1488.6,660.0,1346.2,880.2,1453.3,728.3,290.1,2170.8,7201.9,2134.6,508.8,867.0,1908.5,7861.8,3762.2,3005.4,3742.9,5765.0,4330.8,6866.0,5327.3,4016.8,769.3,1168.2,342.5,14993.4,12297.9,970.6,1724.8,2341.2,1950.9,81.5,65.5,243.3,27146.2,7308.3,12483.4,2073.9,2020.8,878.7,101.1,340.2,1902.1,37.6,2496.2,2081.4,135.9,278.9,5722.8,2569.9,3152.9,3216.2,2279.3,936.8,490.8,322.9,54.9,35.7,77.3,82897.6,2614.3,152.2,2462.1,1341.6,499.4,409.2,276.0,157.1,22990.6,3070.6,1537.0,18383.0,830.9,422.1,408.8,3834.1,2081.2,1782.7,114.9,183.6,2719.4,57.0,249.5,903.5,513.6,995.9,5027.7,44.6,4061.3,7.3,168.7,745.7,
