年份,国有控股固定资产投资(不含农户),农、林、牧、渔业国有控股固定资产投资(不含农户),农业国有控股固定资产投资(不含农户),林业国有控股固定资产投资(不含农户),畜牧业国有控股固定资产投资(不含农户),渔业国有控股固定资产投资(不含农户),农、林、牧、渔服务业国有控股固定资产投资(不含农户),采矿业国有控股固定资产投资(不含农户),煤炭开采和洗选业国有控股固定资产投资(不含农户),石油和天然气开采业国有控股固定资产投资(不含农户),黑色金属矿采选业国有控股固定资产投资(不含农户),有色金属矿采选业国有控股固定资产投资(不含农户),非金属矿采选业国有控股固定资产投资(不含农户),其他采矿业国有控股固定资产投资(不含农户),制造业国有控股固定资产投资(不含农户),农副食品加工业国有控股固定资产投资(不含农户),食品制造业国有控股固定资产投资(不含农户),饮料制造业国有控股固定资产投资(不含农户),烟草制品业国有控股固定资产投资(不含农户),纺织业国有控股固定资产投资(不含农户),纺织服装、鞋、帽制造业国有控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业国有控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业国有控股固定资产投资(不含农户),家具制造业国有控股固定资产投资(不含农户),造纸及纸制品业国有控股固定资产投资(不含农户),印刷业和记录媒介的复制国有控股固定资产投资(不含农户),文教体育用品制造业国有控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业国有控股固定资产投资(不含农户),化学原料及化学制品制造业国有控股固定资产投资(不含农户),医药制造业国有控股固定资产投资(不含农户),化学纤维制造业国有控股固定资产投资(不含农户),橡胶制品业国有控股固定资产投资(不含农户),塑料制品业国有控股固定资产投资(不含农户),非金属矿物制品业国有控股固定资产投资(不含农户),黑色金属冶炼及压延加工业国有控股固定资产投资(不含农户),有色金属冶炼及压延加工业国有控股固定资产投资(不含农户),金属制品业国有控股固定资产投资(不含农户),通用设备制造业国有控股固定资产投资(不含农户),专用设备制造业国有控股固定资产投资(不含农户),交通运输设备制造业国有控股固定资产投资(不含农户),电气机械及器材制造业国有控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业国有控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业国有控股固定资产投资(不含农户),工艺品及其他制造业国有控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业国有控股固定资产投资(不含农户),电力燃气水的生产供应业国有控股固定资产投资(不含农户),电力、热力的生产和供应业国有控股固定资产投资(不含农户),燃气生产和供应业国有控股固定资产投资(不含农户),水的生产和供应业国有控股固定资产投资(不含农户),建筑业国有控股固定资产投资(不含农户),房屋和土木工程建筑业国有控股固定资产投资(不含农户),建筑安装业国有控股固定资产投资(不含农户),建筑装饰业国有控股固定资产投资(不含农户),其他建筑业国有控股固定资产投资(不含农户),交通运输、仓储和邮政业国有控股固定资产投资(不含农户),铁路运输业国有控股固定资产投资(不含农户),道路运输业国有控股固定资产投资(不含农户),城市公共交通业国有控股固定资产投资(不含农户),水上运输业国有控股固定资产投资(不含农户),航空运输业国有控股固定资产投资(不含农户),管道运输业国有控股固定资产投资(不含农户),装卸搬运和其他运输服务业国有控股固定资产投资(不含农户),仓储业国有控股固定资产投资(不含农户),邮政业国有控股固定资产投资(不含农户),信息传输、计算机服务和软件业国有控股固定资产投资(不含农户),电信和其他信息传输服务业国有控股固定资产投资(不含农户),计算机服务业国有控股固定资产投资(不含农户),软件业国有控股固定资产投资(不含农户),批发和零售业国有控股固定资产投资(不含农户),批发业国有控股固定资产投资(不含农户),零售业国有控股固定资产投资(不含农户),住宿和餐饮业国有控股固定资产投资(不含农户),住宿业国有控股固定资产投资(不含农户),餐饮业国有控股固定资产投资(不含农户),金融业国有控股固定资产投资(不含农户),银行业国有控股固定资产投资(不含农户),证券业国有控股固定资产投资(不含农户),保险业国有控股固定资产投资(不含农户),其他金融活动国有控股固定资产投资(不含农户),房地产业国有控股固定资产投资(不含农户),租赁和商务服务业国有控股固定资产投资(不含农户),租赁业国有控股固定资产投资(不含农户),商务服务业国有控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业国有控股固定资产投资(不含农户),研究与试验发展国有控股固定资产投资(不含农户),专业技术服务业国有控股固定资产投资(不含农户),科技交流和推广服务业国有控股固定资产投资(不含农户),地质勘查业国有控股固定资产投资(不含农户),水利、环境和公共设施管理业国有控股固定资产投资(不含农户),水利管理业国有控股固定资产投资(不含农户),环境管理业国有控股固定资产投资(不含农户),公共设施管理业国有控股固定资产投资(不含农户),居民服务和其他服务业国有控股固定资产投资(不含农户),居民服务业国有控股固定资产投资(不含农户),其他服务业国有控股固定资产投资(不含农户),教育国有控股固定资产投资(不含农户),卫生、社会保障和社会福利业国有控股固定资产投资(不含农户),卫生国有控股固定资产投资(不含农户),社会保障业国有控股固定资产投资(不含农户),社会福利业国有控股固定资产投资(不含农户),文化、体育和娱乐业国有控股固定资产投资(不含农户),新闻出版业国有控股固定资产投资(不含农户),广播、电视、电影和音像业国有控股固定资产投资(不含农户),文化艺术业国有控股固定资产投资(不含农户),体育国有控股固定资产投资(不含农户),娱乐业国有控股固定资产投资(不含农户),公共管理和社会组织国有控股固定资产投资(不含农户),中国共产党机关国有控股固定资产投资(不含农户),国家机构国有控股固定资产投资(不含农户),人民政协和民主党派国有控股固定资产投资(不含农户),群众团体、社会团体和宗教国有控股固定资产投资(不含农户),基层群众自治组织国有控股固定资产投资(不含农户),国际组织国有控股固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,233586.1595,5860.9701,2152.3932,1048.6606,621.1064,104.168,1934.6419,4208.1763,1156.3256,2430.2673,184.2034,253.6645,93.2032,7.8257,15704.8225,574.8076,298.7009,,147.5733,238.9473,,,108.7972,88.8377,70.1519,54.5528,,881.94,1488.1344,494.6948,83.8878,,,891.0686,704.5766,800.7323,323.5051,544.8045,841.732,,903.653,2165.1002,,,138.9124,17670.7412,12866.5553,785.8889,4018.297,2004.8466,,61.9856,,,48479.3355,7812.0339,35622.5355,,1266.3516,1956.5019,272.5304,171.1387,1317.125,61.1185,2720.1077,1926.7752,,,1800.717,670.5743,1130.1427,844.7417,666.7721,177.9696,483.7867,,,32.4228,73.2233,38510.5506,5230.0453,438.576,4791.4693,1695.3339,486.6962,713.6088,495.0289,,63815.9467,8827.0046,2674.953,52313.9891,995.2777,787.1694,165.9802,8408.5581,4320.8359,3475.364,337.0259,,4143.3315,64.5092,177.7703,2281.4282,1071.725,547.8988,6688.0345,43.0606,4957.0431,3.7991,145.7288,1201.377,
2016,213775.5266,5865.5948,2014.2954,958.2152,635.2174,123.1304,2134.7364,4134.8765,1183.4478,2087.7852,205.6578,378.9017,121.3385,9.5905,14511.4549,540.7893,275.0391,,169.8567,239.7444,,,88.2168,48.7471,90.4043,64.3711,,980.4298,1466.1271,391.112,79.6044,,,780.22,676.1188,680.6492,309.9857,521.9516,716.3422,,844.506,1795.5263,,,94.4671,18187.5826,13735.3659,771.1911,3681.0256,2630.7093,,78.3896,,,41137.3419,7552.9005,28604.5889,,1406.9653,1729.2941,188.411,187.1724,1416.289,51.7207,2827.7074,2064.9107,,,2013.4819,758.2968,1255.1851,848.7841,666.4787,182.3054,549.8685,,,57.484,72.0658,39018.1937,4562.2651,671.8873,3890.3778,1743.4841,478.5278,773.3638,491.5925,,53625.4388,7625.5486,2211.4661,43788.4241,943.3929,709.6158,185.5921,6941.2532,3847.403,3112.5452,172.2768,,3740.9743,59.4553,188.2818,2099.412,784.2916,609.5336,6645.6996,30.1845,5378.1467,2.8726,229.0393,833.1797,
2015,178933.0567,4481.4933,1405.8642,829.9082,466.2597,64.5824,1714.8788,5805.268,1708.2562,3130.2842,182.8311,477.139,110.1062,10.1746,13799.3779,406.3069,177.8749,,209.2661,148.1668,,,76.2349,55.0227,43.5847,83.9544,,826.9635,1836.3072,389.9527,87.9617,,,544.2691,823.0305,578.456,347.0451,471.5173,726.4195,,573.5622,1231.331,,,112.9239,16518.8471,12850.4835,845.5409,2822.8227,2639.1597,,71.457,,,36114.477,7428.2264,24260.7723,,1378.7412,1472.6328,183.1539,184.9525,1163.0263,42.9716,2645.1394,1899.6725,,,1635.498,637.6267,997.8713,832.33,655.1956,177.1344,644.9226,,,98.085,79.8393,30734.7863,2739.7291,212.2397,2527.4894,1469.3001,570.2132,594.7099,304.377,,41047.2553,6204.7188,1366.7034,33475.8331,646.0846,510.9096,95.6997,5569.7493,3131.228,2632.0634,169.4871,,2767.7659,87.7805,161.683,1528.493,558.7897,431.0197,5710.6451,20.617,4639.5919,6.5582,313.1654,561.2255,
2014,161379.673,3699.8506,1046.8284,776.179,459.0791,48.8303,1368.9338,6585.1561,2052.1223,3628.0144,180.748,350.4075,113.8114,3.8379,13924.6844,407.9186,142.1352,,227.1173,147.3293,,,86.4729,36.262,95.5838,71.5381,,1011.1332,1991.9465,339.0511,47.465,,,593.6617,872.1877,688.9622,270.5294,540.3966,871.2245,,565.4842,1168.6093,,,117.9668,15091.3575,11981.3374,991.3274,2118.6927,2165.38,,56.0774,,,32465.9655,7427.1501,20943.727,,1458.8315,1235.1271,230.2547,118.6239,1013.5936,38.6576,2041.6771,1539.8746,,,1414.1715,589.9855,824.186,801.3274,645.0828,156.2446,680.5955,,,90.6646,75.964,27981.1192,2164.6263,119.7981,2044.8282,1485.7944,561.9197,602.1096,321.7651,,34755.7989,5198.7563,1063.2537,28493.7889,586.4771,454.5755,94.0954,4837.5892,2644.8001,2293.0506,141.2367,,2647.8483,74.7594,217.4024,1360.9966,589.3999,405.29,5405.4539,24.0114,4700.3407,6.0121,289.7844,244.0686,
2013,144133.5984,3242.8073,935.3061,733.9226,330.5269,51.244,1191.8077,6816.6493,2251.5885,3538.3238,256.4988,432.173,85.4874,3.7968,14402.3419,301.0708,142.5303,,231.7485,141.1443,,,71.3276,30.4029,120.679,66.5128,,1045.6483,2229.8011,305.5883,76.8424,,,614.4725,1066.1987,911.457,338.1778,547.0633,821.6776,,535.229,1033.5645,,,130.883,13356.8706,10432.0396,1056.8731,1867.9579,2057.0615,,38.3959,,,27948.2607,6479.5756,17814.113,,1247.4484,1109.154,249.5399,113.1694,897.1919,38.0685,1724.3264,1325.6509,,,1444.0153,644.8229,799.1924,778.2378,629.1768,149.061,621.0207,,,76.4317,49.0145,26051.2462,1733.9182,39.6517,1694.2665,1213.758,451.6962,481.645,280.4168,,29260.072,4485.1174,892.1181,23882.8365,588.9874,352.1288,147.5966,4000.4111,2258.1118,1972.688,125.135,,2372.6562,68.2927,165.4545,1225.6321,610.3291,302.9478,4262.846,46.6406,3587.9838,4.1947,332.6986,166.1933,
2012,124558.1456,2544.2272,762.3164,583.922,217.2052,49.0214,931.7622,6089.3339,2424.1967,2862.2539,240.9432,334.3522,83.1499,2.0109,13224.4176,264.743,111.9912,,192.1747,111.4004,,,74.2314,30.8477,108.3442,59.3053,,821.2812,1918.2765,243.5915,55.3339,,,589.7251,1203.3286,855.3824,257.6586,595.6924,734.3159,,498.8003,949.9124,,,101.665,11685.2026,9437.4569,750.6274,1497.1183,2147.0915,,41.3984,,,24704.4128,5969.8918,15385.7669,,1350.0643,1023.3441,145.2976,85.4833,713.9636,30.6012,1603.1202,1228.0918,,,1192.8605,480.4576,712.4029,693.322,561.9007,131.4213,557.7015,,,83.1779,43.6546,21522.8622,1622.9795,22.251,1600.7285,1212.0384,461.5364,494.8,255.702,,23290.4965,3910.1168,731.2587,18649.121,596.1996,332.4424,182.3864,3496.4638,1933.3663,1720.4199,140.8574,,2024.4965,48.98,136.2153,1069.4382,504.6903,265.1727,4417.553,25.029,3779.8716,4.0324,334.7711,132.9915,
2011,107882.4424,2205.3465,638.9285,553.635,178.6921,28.4456,805.6453,5701.98,2239.8044,2822.6431,240.0577,297.0734,97.115,5.2864,13329.4017,238.8911,107.3304,137.3692,235.6406,147.9867,78.8483,16.8392,53.1289,28.762,123.0582,52.0172,14.1571,1021.2213,1778.6519,218.6257,63.6158,99.2027,130.855,667.1843,1413.1488,748.7653,186.6976,603.9712,842.0694,1997.3831,696.4472,1080.7571,105.2659,360.9052,80.6053,10517.8413,8636.6253,610.1434,1271.0726,1830.0148,1695.6298,23.2143,12.8048,98.3659,23071.0813,5759.9801,12404.3242,2122.9227,1258.7789,748.6815,106.8472,56.3851,587.8116,25.35,1372.5916,1262.0362,36.5415,74.0139,792.8554,443.892,348.9634,522.8773,464.3648,58.5125,400.9147,255.9123,32.662,25.827,86.5134,15430.0239,1317.1295,96.5409,1220.5886,880.9765,336.8392,274.1771,168.3311,101.6291,19550.3421,3021.9131,1170.7565,15357.6725,386.0915,188.3788,197.7127,3113.229,1807.6191,1563.7074,114.7161,129.1956,1534.2795,58.1015,129.9696,716.8488,367.4603,261.8993,4117.8467,59.081,3849.4049,7.1342,68.5069,133.7197,
2010,102191.8,1811.2,356.1,523.4,216.9,23.6,691.2,5309.9,1946.3,2757.0,253.8,267.5,81.6,3.7,12169.1,195.2,121.3,124.6,199.4,111.0,42.9,17.8,55.9,25.8,72.0,54.9,8.9,905.1,1738.3,172.0,74.6,83.6,81.3,651.4,1325.7,776.7,178.0,550.0,735.4,2053.2,449.8,846.4,98.6,351.5,67.5,11140.3,9247.1,568.3,1324.9,1301.1,1183.8,21.5,12.1,83.7,24312.6,7381.1,11729.8,2133.4,1496.8,816.8,59.3,68.2,602.4,24.7,1661.1,1536.3,46.2,78.6,661.0,334.7,326.3,418.6,371.5,47.1,341.0,239.7,38.7,25.7,37.0,11709.2,1231.7,80.0,1151.7,801.7,296.3,262.9,132.4,110.1,19146.0,2570.5,1207.2,15368.4,259.8,113.5,146.2,3123.0,1610.9,1422.1,66.3,122.4,1472.9,45.8,162.3,608.2,442.6,213.9,3710.9,32.6,3492.5,6.7,51.3,127.8,
