年份,固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔业固定资产投资(不含农户)全部建成投产项目,农业固定资产投资(不含农户)全部建成投产项目,林业固定资产投资(不含农户)全部建成投产项目,畜牧业固定资产投资(不含农户)全部建成投产项目,渔业固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔服务业固定资产投资(不含农户)全部建成投产项目,采矿业固定资产投资(不含农户)全部建成投产项目,煤炭开采和洗选业固定资产投资(不含农户)全部建成投产项目,石油和天然气开采业固定资产投资(不含农户)全部建成投产项目,黑色金属矿采选业固定资产投资(不含农户)全部建成投产项目,有色金属矿采选业固定资产投资(不含农户)全部建成投产项目,非金属矿采选业固定资产投资(不含农户)全部建成投产项目,其他采矿业固定资产投资(不含农户)全部建成投产项目,制造业固定资产投资(不含农户)全部建成投产项目,农副食品加工业固定资产投资(不含农户)全部建成投产项目,食品制造业固定资产投资(不含农户)全部建成投产项目,饮料制造业固定资产投资(不含农户)全部建成投产项目,烟草制品业固定资产投资(不含农户)全部建成投产项目,纺织业固定资产投资(不含农户)全部建成投产项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)全部建成投产项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)全部建成投产项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)全部建成投产项目,家具制造业固定资产投资(不含农户)全部建成投产项目,造纸及纸制品业固定资产投资(不含农户)全部建成投产项目,印刷业和记录媒介的复制固定资产投资(不含农户)全部建成投产项目,文教体育用品制造业固定资产投资(不含农户)全部建成投产项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)全部建成投产项目,化学原料及化学制品制造业固定资产投资(不含农户)全部建成投产项目,医药制造业固定资产投资(不含农户)全部建成投产项目,化学纤维制造业固定资产投资(不含农户)全部建成投产项目,橡胶制品业固定资产投资(不含农户)全部建成投产项目,塑料制品业固定资产投资(不含农户)全部建成投产项目,非金属矿物制品业固定资产投资(不含农户)全部建成投产项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,有色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,金属制品业固定资产投资(不含农户)全部建成投产项目,通用设备制造业固定资产投资(不含农户)全部建成投产项目,专用设备制造业固定资产投资(不含农户)全部建成投产项目,交通运输设备制造业固定资产投资(不含农户)全部建成投产项目,电气机械及器材制造业固定资产投资(不含农户)全部建成投产项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)全部建成投产项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)全部建成投产项目,工艺品及其他制造业固定资产投资(不含农户)全部建成投产项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)全部建成投产项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)全部建成投产项目,电力、热力的生产和供应业固定资产投资(不含农户)全部建成投产项目,燃气生产和供应业固定资产投资(不含农户)全部建成投产项目,水的生产和供应业固定资产投资(不含农户)全部建成投产项目,建筑业固定资产投资(不含农户)全部建成投产项目,房屋和土木工程建筑业固定资产投资(不含农户)全部建成投产项目,建筑安装业固定资产投资(不含农户)全部建成投产项目,建筑装饰业固定资产投资(不含农户)全部建成投产项目,其他建筑业固定资产投资(不含农户)全部建成投产项目,交通运输、仓储和邮政业固定资产投资(不含农户)全部建成投产项目,铁路运输业固定资产投资(不含农户)全部建成投产项目,道路运输业固定资产投资(不含农户)全部建成投产项目,城市公共交通业固定资产投资(不含农户)全部建成投产项目,水上运输业固定资产投资(不含农户)全部建成投产项目,航空运输业固定资产投资(不含农户)全部建成投产项目,管道运输业固定资产投资(不含农户)全部建成投产项目,装卸搬运和其他运输服务业固定资产投资(不含农户)全部建成投产项目,仓储业固定资产投资(不含农户)全部建成投产项目,邮政业固定资产投资(不含农户)全部建成投产项目,信息传输、计算机服务和软件业固定资产投资(不含农户)全部建成投产项目,电信和其他信息传输服务业固定资产投资(不含农户)全部建成投产项目,计算机服务业固定资产投资(不含农户)全部建成投产项目,软件业固定资产投资(不含农户)全部建成投产项目,批发和零售业固定资产投资(不含农户)全部建成投产项目,批发业固定资产投资(不含农户)全部建成投产项目,零售业固定资产投资(不含农户)全部建成投产项目,住宿和餐饮业固定资产投资(不含农户)全部建成投产项目,住宿业固定资产投资(不含农户)全部建成投产项目,餐饮业固定资产投资(不含农户)全部建成投产项目,金融业固定资产投资(不含农户)全部建成投产项目,银行业固定资产投资(不含农户)全部建成投产项目,证券业固定资产投资(不含农户)全部建成投产项目,保险业固定资产投资(不含农户)全部建成投产项目,其他金融活动固定资产投资(不含农户)全部建成投产项目,房地产业固定资产投资(不含农户)全部建成投产项目,租赁和商务服务业固定资产投资(不含农户)全部建成投产项目,租赁业固定资产投资(不含农户)全部建成投产项目,商务服务业固定资产投资(不含农户)全部建成投产项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)全部建成投产项目,研究与试验发展固定资产投资(不含农户)全部建成投产项目,专业技术服务业固定资产投资(不含农户)全部建成投产项目,科技交流和推广服务业固定资产投资(不含农户)全部建成投产项目,地质勘查业固定资产投资(不含农户)全部建成投产项目,水利、环境和公共设施管理业固定资产投资(不含农户)全部建成投产项目,水利管理业固定资产投资(不含农户)全部建成投产项目,环境管理业固定资产投资(不含农户)全部建成投产项目,公共设施管理业固定资产投资(不含农户)全部建成投产项目,居民服务和其他服务业固定资产投资(不含农户)全部建成投产项目,居民服务业固定资产投资(不含农户)全部建成投产项目,其他服务业固定资产投资(不含农户)全部建成投产项目,教育固定资产投资(不含农户)全部建成投产项目,卫生、社会保障和社会福利业固定资产投资(不含农户)全部建成投产项目,卫生固定资产投资(不含农户)全部建成投产项目,社会保障业固定资产投资(不含农户)全部建成投产项目,社会福利业固定资产投资(不含农户)全部建成投产项目,文化、体育和娱乐业固定资产投资(不含农户)全部建成投产项目,新闻出版业固定资产投资(不含农户)全部建成投产项目,广播、电视、电影和音像业固定资产投资(不含农户)全部建成投产项目,文化艺术业固定资产投资(不含农户)全部建成投产项目,体育固定资产投资(不含农户)全部建成投产项目,娱乐业固定资产投资(不含农户)全部建成投产项目,公共管理和社会组织固定资产投资(不含农户)全部建成投产项目,中国共产党机关固定资产投资(不含农户)全部建成投产项目,国家机构固定资产投资(不含农户)全部建成投产项目,人民政协和民主党派固定资产投资(不含农户)全部建成投产项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)全部建成投产项目,基层群众自治组织固定资产投资(不含农户)全部建成投产项目,国际组织固定资产投资(不含农户)全部建成投产项目
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,619572.0,53467.0,23573.0,4324.0,13148.0,2564.0,9858.0,10133.0,3113.0,585.0,888.0,1447.0,3515.0,117.0,229927.0,18008.0,7610.0,,91.0,9980.0,,,8246.0,5189.0,3994.0,3013.0,,1528.0,14023.0,4865.0,771.0,,,24622.0,3311.0,3812.0,14327.0,18207.0,14906.0,,13286.0,7296.0,,,1780.0,26076.0,15450.0,2865.0,7761.0,6559.0,,488.0,,,42423.0,422.0,33287.0,,656.0,160.0,259.0,911.0,6392.0,336.0,6822.0,2053.0,,,27023.0,13550.0,13473.0,9960.0,5749.0,4211.0,1155.0,,,115.0,150.0,25446.0,11353.0,807.0,10546.0,7153.0,1288.0,2738.0,3127.0,,102005.0,15241.0,5169.0,81595.0,5519.0,3173.0,1077.0,17694.0,8931.0,5876.0,750.0,,10210.0,72.0,614.0,5104.0,2199.0,2221.0,17716.0,93.0,9890.0,23.0,908.0,6052.0,
2016,540462.0,46703.0,18851.0,4547.0,11625.0,2105.0,9575.0,10752.0,3233.0,609.0,1125.0,1402.0,3743.0,133.0,200653.0,16134.0,6790.0,,122.0,9019.0,,,7553.0,4189.0,3521.0,2689.0,,1227.0,12602.0,4496.0,718.0,,,22070.0,3310.0,3323.0,12426.0,15818.0,12933.0,,11367.0,6080.0,,,1522.0,21754.0,12738.0,2302.0,6714.0,8215.0,,450.0,,,34970.0,400.0,26970.0,,673.0,132.0,232.0,823.0,5523.0,217.0,5561.0,2018.0,,,26361.0,13400.0,12961.0,8667.0,4857.0,3810.0,1279.0,,,84.0,161.0,26370.0,9430.0,646.0,8784.0,6137.0,1088.0,2532.0,2517.0,,82342.0,13634.0,4154.0,64554.0,4855.0,2475.0,1061.0,15812.0,7589.0,5059.0,487.0,,8392.0,59.0,617.0,4043.0,1685.0,1988.0,14620.0,83.0,8823.0,10.0,934.0,4283.0,
2015,490964.0,38449.0,14426.0,3890.0,9939.0,1688.0,8506.0,11320.0,3176.0,610.0,1658.0,1770.0,3582.0,115.0,191427.0,14611.0,5860.0,,104.0,8328.0,,,7200.0,3817.0,3275.0,2506.0,,1228.0,12379.0,4438.0,787.0,,,21219.0,3598.0,3363.0,11703.0,15552.0,12344.0,,11185.0,5720.0,,,1344.0,19154.0,10468.0,2371.0,6315.0,8098.0,,444.0,,,31302.0,406.0,23341.0,,747.0,148.0,236.0,872.0,5292.0,260.0,5563.0,2776.0,,,24328.0,12176.0,12152.0,8266.0,4949.0,3317.0,1379.0,,,84.0,259.0,26344.0,7782.0,474.0,7308.0,5243.0,1155.0,2167.0,1921.0,,67824.0,12010.0,3270.0,52544.0,4004.0,2223.0,651.0,13354.0,6368.0,4357.0,398.0,,7061.0,63.0,496.0,3546.0,1314.0,1642.0,13698.0,69.0,8408.0,36.0,1115.0,3672.0,
2014,399808.0,28709.0,9709.0,3177.0,7884.0,1405.0,6534.0,10783.0,3042.0,387.0,1740.0,1765.0,3370.0,119.0,162735.0,12405.0,4781.0,,155.0,7103.0,,2795.0,6037.0,3062.0,2776.0,2179.0,2870.0,1034.0,10172.0,3802.0,633.0,,,18740.0,3394.0,2863.0,9786.0,12978.0,10359.0,,9554.0,4930.0,1493.0,,1065.0,16076.0,9338.0,1851.0,4887.0,5820.0,,311.0,,,24366.0,278.0,18611.0,,672.0,136.0,190.0,763.0,3556.0,160.0,4175.0,2527.0,,,18172.0,8842.0,9330.0,6942.0,4058.0,2884.0,1096.0,,,66.0,97.0,22610.0,5320.0,305.0,5015.0,4107.0,873.0,1768.0,1466.0,,52598.0,9702.0,2425.0,40471.0,3077.0,1725.0,511.0,11611.0,5001.0,3592.0,356.0,1409.0,5663.0,72.0,405.0,2743.0,1107.0,1336.0,10947.0,64.0,7627.0,20.0,940.0,1940.0,
2013,331781.0,22836.0,7454.0,2559.0,6264.0,1206.0,5353.0,10885.0,3770.0,367.0,1778.0,1575.0,2985.0,96.0,142785.0,10712.0,4189.0,,160.0,6730.0,,,5256.0,2465.0,2602.0,1790.0,,907.0,9324.0,3335.0,612.0,,,16867.0,3224.0,2702.0,8378.0,11298.0,9266.0,,7999.0,4279.0,,,820.0,13045.0,7399.0,1629.0,4017.0,4097.0,,206.0,,,19128.0,224.0,14651.0,,539.0,99.0,179.0,633.0,2682.0,121.0,2619.0,1610.0,,,14120.0,6519.0,7601.0,6094.0,3506.0,2588.0,963.0,,,56.0,75.0,19838.0,3906.0,283.0,3623.0,2965.0,674.0,1275.0,1016.0,,38850.0,7803.0,1720.0,29327.0,2735.0,1526.0,459.0,9050.0,3986.0,2948.0,288.0,,4574.0,57.0,286.0,2297.0,806.0,1128.0,9305.0,69.0,6356.0,15.0,911.0,1666.0,
2012,286605.0,18512.0,6505.0,1979.0,4976.0,933.0,4119.0,10928.0,4109.0,246.0,1767.0,1525.0,3027.0,64.0,127527.0,9468.0,3723.0,,118.0,5572.0,,2040.0,4581.0,2324.0,2344.0,1507.0,1868.0,851.0,8684.0,2789.0,492.0,1016.0,4387.0,16023.0,3224.0,2460.0,7082.0,9788.0,8697.0,,7105.0,3726.0,1167.0,,766.0,11000.0,6533.0,1254.0,3213.0,4306.0,,188.0,204.0,,15480.0,217.0,11488.0,621.0,492.0,95.0,110.0,579.0,2386.0,113.0,2293.0,1548.0,,,11430.0,4952.0,6478.0,5665.0,3201.0,2464.0,794.0,,14.0,69.0,50.0,16587.0,2945.0,167.0,2778.0,2210.0,548.0,1046.0,616.0,172.0,30490.0,6140.0,1353.0,22997.0,2378.0,1369.0,347.0,7809.0,3337.0,2604.0,298.0,733.0,3875.0,43.0,280.0,1895.0,669.0,988.0,9039.0,50.0,6169.0,17.0,931.0,1574.0,
2011,298499.0,19507.0,5872.0,2373.0,5356.0,1086.0,4820.0,11772.0,4195.0,330.0,1932.0,1720.0,3440.0,155.0,135566.0,9619.0,3951.0,2861.0,117.0,7351.0,5177.0,1946.0,5009.0,2564.0,2541.0,1680.0,959.0,874.0,8920.0,2694.0,562.0,1265.0,4995.0,17115.0,2378.0,2504.0,8378.0,11946.0,7529.0,7225.0,7811.0,3473.0,1234.0,2227.0,661.0,11031.0,6365.0,1185.0,3481.0,5024.0,4076.0,198.0,215.0,535.0,16213.0,227.0,12086.0,339.0,447.0,105.0,92.0,457.0,2382.0,78.0,2231.0,1816.0,189.0,226.0,11594.0,5002.0,6592.0,5704.0,3033.0,2671.0,729.0,474.0,49.0,48.0,158.0,14705.0,2675.0,150.0,2525.0,2070.0,497.0,912.0,425.0,236.0,30906.0,6130.0,2717.0,22059.0,1980.0,1283.0,697.0,8015.0,3927.0,2959.0,287.0,681.0,3690.0,44.0,313.0,1638.0,376.0,1319.0,11160.0,101.0,8441.0,15.0,471.0,2132.0,
2010,289585.0,15662.0,3012.0,2514.0,4224.0,571.0,5341.0,10547.0,3719.0,329.0,1700.0,1754.0,2943.0,102.0,107801.0,8436.0,3563.0,2563.0,175.0,4550.0,3473.0,1376.0,4587.0,2149.0,2227.0,1578.0,681.0,888.0,8024.0,2487.0,286.0,944.0,3981.0,13707.0,2199.0,2011.0,6191.0,9042.0,5947.0,5837.0,5530.0,2217.0,890.0,1805.0,457.0,11844.0,6820.0,1126.0,3898.0,4963.0,4108.0,171.0,219.0,465.0,20699.0,400.0,16387.0,424.0,763.0,111.0,57.0,366.0,2061.0,130.0,6876.0,6385.0,306.0,185.0,12609.0,4671.0,7938.0,6293.0,2934.0,3359.0,876.0,642.0,49.0,47.0,138.0,17037.0,2119.0,136.0,1983.0,1811.0,331.0,849.0,452.0,179.0,30237.0,6760.0,2775.0,20702.0,1964.0,1261.0,703.0,13633.0,5936.0,4585.0,256.0,1095.0,4277.0,51.0,443.0,1850.0,464.0,1469.0,14401.0,144.0,11193.0,35.0,387.0,2642.0,
