年份,房地产开发企业施工房屋面积,房地产开发企业竣工房屋面积,房地产开发企业房屋建筑面积竣工率,房地产开发企业竣工房屋价值,房地产开发企业竣工房屋造价
2019,893820.8892,95941.5331,10.7,34045.9017,3549
2018,822299.5555,94421.1486,11.5,30309.0693,3210
2017,781483.726,101486.4099,13.0,31512.4591,3105
2016,758974.803,106127.7077,14.0,32252.1317,3039
2015,735693.3687,100039.1003,13.6,30552.3769,3054
2014,726482.338,107459.0455,14.7916941512761,30261.9873,2816.14145735177
2013,665571.8884,101434.992,15.2402758842241,26805.3771,2642.61637640786
2012,573417.5193,99424.9584,17.3390165199998,24836.6202,2498.02671277758
2011,506775.4802,92619.9441,18.2763270360767,21975.9131,2372.69772871737
2010,405356.4,78743.9,19.4,17542.7347,2228
2009,320368.2,72677.4,22.7,14689.3651,2021
2008,283266.2,66544.8,23.5,11947.5659,1795
2007,236318.241,60606.6817,25.646213954343,10039.8923,1656.56525293646
2006,194786.4211,55830.9188,28.6626339170416,8729.3459,1563.53255286209
2005,166053.2563,53417.0399,32.1686193274609,7752.2369,1451.26665845069
2004,140451.3926,42464.8675,30.2,5952.482,1402
2003,117525.9899,41464.061,35.3,5279.9528,1273.38
2002,94104.0052,34975.7534,37.2,4141.6949,1184.16
2001,79411.6819,29867.3633,37.6,3369.4469,1128.14
2000,65896.9153,25104.86,38.1,2859.3463,1138.96
