年份,固定资产投资(不含农户)其他资金,农、林、牧、渔业固定资产投资(不含农户)其他资金,农业固定资产投资(不含农户)其他资金,林业固定资产投资(不含农户)其他资金,畜牧业固定资产投资(不含农户)其他资金,渔业固定资产投资(不含农户)其他资金,农、林、牧、渔服务业固定资产投资(不含农户)其他资金,采矿业固定资产投资(不含农户)其他资金,煤炭开采和洗选业固定资产投资(不含农户)其他资金,石油和天然气开采业固定资产投资(不含农户)其他资金,黑色金属矿采选业固定资产投资(不含农户)其他资金,有色金属矿采选业固定资产投资(不含农户)其他资金,非金属矿采选业固定资产投资(不含农户)其他资金,其他采矿业固定资产投资(不含农户)其他资金,制造业固定资产投资(不含农户)其他资金,农副食品加工业固定资产投资(不含农户)其他资金,食品制造业固定资产投资(不含农户)其他资金,饮料制造业固定资产投资(不含农户)其他资金,烟草制品业固定资产投资(不含农户)其他资金,纺织业固定资产投资(不含农户)其他资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他资金,家具制造业固定资产投资(不含农户)其他资金,造纸及纸制品业固定资产投资(不含农户)其他资金,印刷业和记录媒介的复制固定资产投资(不含农户)其他资金,文教体育用品制造业固定资产投资(不含农户)其他资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他资金,化学原料及化学制品制造业固定资产投资(不含农户)其他资金,医药制造业固定资产投资(不含农户)其他资金,化学纤维制造业固定资产投资(不含农户)其他资金,橡胶制品业固定资产投资(不含农户)其他资金,塑料制品业固定资产投资(不含农户)其他资金,非金属矿物制品业固定资产投资(不含农户)其他资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,有色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,金属制品业固定资产投资(不含农户)其他资金,通用设备制造业固定资产投资(不含农户)其他资金,专用设备制造业固定资产投资(不含农户)其他资金,交通运输设备制造业固定资产投资(不含农户)其他资金,电气机械及器材制造业固定资产投资(不含农户)其他资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他资金,工艺品及其他制造业固定资产投资(不含农户)其他资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他资金,电力燃气水的生产供应业固定资产投资(不含农户)其他资金,电力、热力的生产和供应业固定资产投资(不含农户)其他资金,燃气生产和供应业固定资产投资(不含农户)其他资金,水的生产和供应业固定资产投资(不含农户)其他资金,建筑业固定资产投资(不含农户)其他资金,房屋和土木工程建筑业固定资产投资(不含农户)其他资金,建筑安装业固定资产投资(不含农户)其他资金,建筑装饰业固定资产投资(不含农户)其他资金,其他建筑业固定资产投资(不含农户)其他资金,交通运输、仓储和邮政业固定资产投资(不含农户)其他资金,铁路运输业固定资产投资(不含农户)其他资金,道路运输业固定资产投资(不含农户)其他资金,城市公共交通业固定资产投资(不含农户)其他资金,水上运输业固定资产投资(不含农户)其他资金,航空运输业固定资产投资(不含农户)其他资金,管道运输业固定资产投资(不含农户)其他资金,装卸搬运和其他运输服务业固定资产投资(不含农户)其他资金,仓储业固定资产投资(不含农户)其他资金,邮政业固定资产投资(不含农户)其他资金,信息传输、计算机服务和软件业固定资产投资(不含农户)其他资金,电信和其他信息传输服务业固定资产投资(不含农户)其他资金,计算机服务业固定资产投资(不含农户)其他资金,软件业固定资产投资(不含农户)其他资金,批发和零售业固定资产投资(不含农户)其他资金,批发业固定资产投资(不含农户)其他资金,零售业固定资产投资(不含农户)其他资金,住宿和餐饮业固定资产投资(不含农户)其他资金,住宿业固定资产投资(不含农户)其他资金,餐饮业固定资产投资(不含农户)其他资金,金融业固定资产投资(不含农户)其他资金,银行业固定资产投资(不含农户)其他资金,证券业固定资产投资(不含农户)其他资金,保险业固定资产投资(不含农户)其他资金,其他金融活动固定资产投资(不含农户)其他资金,房地产业固定资产投资(不含农户)其他资金,租赁和商务服务业固定资产投资(不含农户)其他资金,租赁业固定资产投资(不含农户)其他资金,商务服务业固定资产投资(不含农户)其他资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他资金,研究与试验发展固定资产投资(不含农户)其他资金,专业技术服务业固定资产投资(不含农户)其他资金,科技交流和推广服务业固定资产投资(不含农户)其他资金,地质勘查业固定资产投资(不含农户)其他资金,水利、环境和公共设施管理业固定资产投资(不含农户)其他资金,水利管理业固定资产投资(不含农户)其他资金,环境管理业固定资产投资(不含农户)其他资金,公共设施管理业固定资产投资(不含农户)其他资金,居民服务和其他服务业固定资产投资(不含农户)其他资金,居民服务业固定资产投资(不含农户)其他资金,其他服务业固定资产投资(不含农户)其他资金,教育固定资产投资(不含农户)其他资金,卫生、社会保障和社会福利业固定资产投资(不含农户)其他资金,卫生固定资产投资(不含农户)其他资金,社会保障业固定资产投资(不含农户)其他资金,社会福利业固定资产投资(不含农户)其他资金,文化、体育和娱乐业固定资产投资(不含农户)其他资金,新闻出版业固定资产投资(不含农户)其他资金,广播、电视、电影和音像业固定资产投资(不含农户)其他资金,文化艺术业固定资产投资(不含农户)其他资金,体育固定资产投资(不含农户)其他资金,娱乐业固定资产投资(不含农户)其他资金,公共管理和社会组织固定资产投资(不含农户)其他资金,中国共产党机关固定资产投资(不含农户)其他资金,国家机构固定资产投资(不含农户)其他资金,人民政协和民主党派固定资产投资(不含农户)其他资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他资金,基层群众自治组织固定资产投资(不含农户)其他资金,国际组织固定资产投资(不含农户)其他资金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,107955.0856,1268.7645,574.6772,154.9232,224.1855,42.7718,272.2068,302.2095,71.3464,128.0234,11.5956,22.8958,58.8712,2.0006,5177.6257,316.3025,153.1981,,4.3596,171.8589,,,124.7526,100.2574,67.8211,48.1364,,48.1729,322.1199,189.2364,31.4836,,,485.2598,103.5894,178.6836,204.3391,319.5142,306.4033,,302.9099,496.8895,,,52.9321,1652.4464,1131.0845,103.0724,418.2895,240.0748,,13.9396,,,6202.2154,2035.4516,3574.883,,98.6375,244.2804,3.2483,26.8089,212.8176,6.0881,244.2263,51.0538,,,656.8465,325.1979,331.6486,322.9675,248.9946,73.9729,44.6354,,,11.9573,4.4497,81960.7164,639.2944,28.5612,610.7332,281.6318,61.9323,123.9618,95.7377,,6150.9127,966.2208,256.7026,4927.9893,99.7368,69.2395,19.7291,786.4517,499.0671,390.5456,60.0325,,661.9242,1.9472,71.4013,304.9549,136.2818,147.339,763.3385,2.851,456.3591,1.1182,29.1191,213.8586,
2016,96952.663,1093.4867,422.0132,142.2313,199.8779,45.1238,284.2405,300.5739,118.0,55.0404,19.6738,43.2867,56.7051,1.2628,3745.1128,298.4371,105.9558,,3.4187,127.4538,,,99.5498,58.6261,65.9397,30.9677,,65.7432,255.2382,115.5781,34.0952,,,390.4019,43.0419,212.1621,180.7992,212.7295,211.9891,,169.1924,166.6066,,,24.7685,1165.9032,755.2158,56.5054,354.182,314.6844,,6.7162,,,5360.8425,1787.2224,3065.5067,,112.0833,166.2961,8.7828,28.9148,184.5289,7.5075,155.6658,62.5832,,,613.9357,334.0997,279.836,223.6183,176.5296,47.0887,35.2152,,,0.242,1.4462,75962.6227,538.3013,16.2118,522.0895,188.2691,39.9226,96.7969,51.5496,,4912.6025,912.0488,230.3117,3770.242,105.3524,65.0272,24.5405,664.2297,368.3625,274.5973,63.0228,,491.0848,2.212,29.0905,273.9706,99.5175,86.2942,712.7995,1.587,424.4119,,42.9134,180.8644,
2015,74244.8637,1007.0858,400.5084,138.1956,169.9275,34.5569,263.8974,287.2946,112.2109,41.8303,22.0184,32.1915,61.4869,2.6881,3259.0172,289.9235,103.1416,,6.2755,122.7441,,,104.0689,45.9755,42.4462,30.5855,,75.6349,241.3652,114.5146,7.0895,,,366.5099,75.0377,64.5154,170.3638,200.8628,178.1215,,140.0561,120.6116,,,21.3299,970.4882,661.8369,70.1495,238.5018,311.1179,,9.6837,,,4313.7205,1777.8566,2200.6988,,39.8131,54.3966,9.9109,18.712,209.4897,2.8428,77.7451,35.5557,,,513.1254,223.91,289.2154,227.7206,183.6942,44.0264,16.3769,,,1.6156,2.6119,57688.2155,295.4891,7.889,287.6001,112.4885,26.346,46.5938,39.5487,,3492.9812,647.6832,138.7934,2706.5046,109.9921,83.2113,13.4619,481.8484,246.4541,182.6272,35.2548,,293.5529,1.3991,11.406,173.5207,44.291,62.9361,540.1497,2.3526,325.645,0.1308,48.7083,128.0582,
2014,67449.5801,802.2593,304.1267,129.0706,133.5617,33.3726,202.1277,386.497,87.1368,125.4441,22.513,52.4675,75.7377,5.2971,3178.783,297.4502,87.1269,,4.896,104.854,68.4677,54.412,97.2319,53.1036,50.771,45.0776,32.0762,80.5242,309.8636,98.4223,4.9737,,,362.32,56.8404,125.2744,142.4504,202.0542,152.3412,,139.9346,127.1783,20.6667,,19.2451,1030.671,775.6099,62.285,192.7761,199.418,,10.3385,,,3628.456,1486.9893,1856.8255,,81.685,48.9286,12.8425,26.6547,113.012,1.5184,61.6037,22.3217,,,467.2313,197.6188,269.6125,167.5593,128.8132,38.7461,19.7266,,,2.4581,2.93,51998.6999,545.0172,268.5424,276.4748,118.2527,45.1835,39.1783,33.8909,,3249.0251,612.8737,127.7865,2508.3649,103.8128,81.5187,9.3608,452.2871,181.1328,135.9118,29.6532,45.221,285.4274,2.7744,6.2536,177.2425,43.963,55.1939,573.7199,1.184,376.2823,0.09,70.279,96.2314,
2013,70953.3422,676.1327,242.6979,112.7388,108.3474,24.348,188.0006,338.5302,123.0293,59.3959,28.2916,41.1773,68.9831,1.9231,2933.2917,281.09,76.8746,,4.4141,85.5634,,,82.0801,40.4925,47.2273,25.6739,,70.5734,241.5573,87.1361,13.2297,,,298.6436,90.1289,78.9303,160.173,170.1545,152.3264,,121.1229,105.7752,,,34.1011,875.6609,612.4361,84.9307,178.2941,187.4962,,5.1218,,,3916.9031,1370.0007,1537.6475,,77.6148,794.1867,5.0691,15.4131,115.8905,1.0807,47.5948,15.9403,,,414.4444,184.3822,230.0622,160.0766,109.2334,50.8432,42.0848,,,1.294,22.1053,56697.1666,306.388,72.1566,234.2314,97.1158,24.6102,41.0383,31.4673,,2829.0441,642.7022,83.5036,2102.8383,116.4548,89.1625,16.241,315.9528,150.594,123.032,26.0762,,273.1104,1.6682,14.7376,176.0735,43.9867,36.6444,575.3003,6.3182,388.4086,0.05,72.311,82.1363,
2012,56555.0238,667.1854,240.7049,128.4553,105.8598,22.1241,170.0413,434.9623,160.9241,130.4031,32.5072,38.9239,66.1115,1.3144,2593.8511,216.1637,63.8602,,3.1565,81.6936,,26.9375,64.9596,23.8177,56.2786,27.4704,27.3042,57.6893,215.3468,69.7953,22.7364,37.765,66.2549,309.7295,85.9349,103.2332,106.3163,158.2339,161.4485,,123.8061,138.2381,16.8873,,10.8132,731.0096,578.9438,33.4179,118.6479,231.9995,,2.7419,4.6145,,2626.2468,1145.8762,1267.1733,350.0846,78.3343,7.4545,0.8517,19.4088,105.2766,1.8714,32.1415,15.1536,,,339.5593,135.838,203.7213,192.2835,133.5568,58.7267,18.1315,,,0.16,9.6841,44219.8248,207.8909,23.9866,183.9043,85.5241,20.6317,35.7427,29.1497,5.1898,2836.509,828.0402,75.2257,1933.2431,95.1617,56.077,30.5901,316.7499,139.3009,111.095,13.2756,28.2059,255.0198,0.3126,12.786,151.8523,46.109,43.9599,531.6722,2.0485,358.8197,0.163,74.1723,83.1931,
2011,50094.7567,649.3508,262.561,109.8691,98.096,26.2323,152.5924,383.2987,152.7339,118.2786,20.6196,38.9133,49.169,3.5843,2862.0673,167.5995,72.793,49.0274,4.5104,90.2772,74.9916,29.3893,63.5799,28.476,57.8238,16.0044,9.3808,63.9255,264.6279,86.6113,12.5195,21.1293,63.1784,316.0559,66.7262,102.3134,108.0173,186.7098,125.5361,155.6876,201.3541,299.63,43.9135,67.876,12.4022,727.4686,567.2461,36.1383,124.0842,229.0813,200.2149,4.0836,6.4327,18.3501,2637.0096,1099.0565,1058.7408,251.8489,105.2876,14.1749,4.4577,9.8184,90.1315,3.4933,33.2841,23.2878,3.6139,6.3824,293.5617,129.9296,163.6321,159.6478,116.2651,43.3827,10.353,5.5446,0.12,1.8897,2.7987,38261.2089,201.2782,48.7836,152.4946,85.1213,33.8668,22.3029,21.5063,7.4453,2291.1949,703.5461,126.2235,1461.4253,69.845,48.3266,21.5184,294.4361,157.2344,118.5512,19.6015,19.0817,223.9356,2.2276,11.7669,110.646,39.5171,59.778,525.3794,8.7268,398.2499,0.2546,31.6892,86.4589,
2010,44823.6119,436.9,119.5,93.8,85.3,15.8,122.4,385.0,108.8,152.7,32.3,51.8,38.5,1.0,2283.5,141.3,78.2,40.2,0.5,70.7,37.4,24.7,38.2,20.4,26.5,13.2,6.7,77.0,162.4,69.9,7.1,19.6,54.4,277.6,108.3,78.1,96.3,138.9,121.1,204.3,123.1,156.9,33.2,48.2,8.9,1115.0,922.3,69.6,123.2,197.5,171.8,3.5,4.7,17.6,2191.3,972.8,927.9,100.7,78.0,22.8,1.9,7.9,78.9,0.4,52.7,43.4,2.4,6.9,273.7,95.1,178.6,166.2,129.6,36.5,12.0,7.4,0.6,0.5,3.5,33979.1,121.8,13.5,108.3,58.2,12.7,12.1,26.0,7.5,2315.2,640.3,132.3,1542.6,95.3,25.5,69.8,333.3,150.5,111.0,16.1,23.5,179.4,1.8,11.4,70.8,39.2,56.3,477.0,12.7,351.2,0.6,19.1,93.3,
