年份,固定资产投资(不含农户)利用外资,农、林、牧、渔业固定资产投资(不含农户)利用外资,农业固定资产投资(不含农户)利用外资,林业固定资产投资(不含农户)利用外资,畜牧业固定资产投资(不含农户)利用外资,渔业固定资产投资(不含农户)利用外资,农、林、牧、渔服务业固定资产投资(不含农户)利用外资,采矿业固定资产投资(不含农户)利用外资,煤炭开采和洗选业固定资产投资(不含农户)利用外资,石油和天然气开采业固定资产投资(不含农户)利用外资,黑色金属矿采选业固定资产投资(不含农户)利用外资,有色金属矿采选业固定资产投资(不含农户)利用外资,非金属矿采选业固定资产投资(不含农户)利用外资,其他采矿业固定资产投资(不含农户)利用外资,制造业固定资产投资(不含农户)利用外资,农副食品加工业固定资产投资(不含农户)利用外资,食品制造业固定资产投资(不含农户)利用外资,饮料制造业固定资产投资(不含农户)利用外资,烟草制品业固定资产投资(不含农户)利用外资,纺织业固定资产投资(不含农户)利用外资,纺织服装、鞋、帽制造业固定资产投资(不含农户)利用外资,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)利用外资,木材加工及木竹藤棕草制品业固定资产投资(不含农户)利用外资,家具制造业固定资产投资(不含农户)利用外资,造纸及纸制品业固定资产投资(不含农户)利用外资,印刷业和记录媒介的复制固定资产投资(不含农户)利用外资,文教体育用品制造业固定资产投资(不含农户)利用外资,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)利用外资,化学原料及化学制品制造业固定资产投资(不含农户)利用外资,医药制造业固定资产投资(不含农户)利用外资,化学纤维制造业固定资产投资(不含农户)利用外资,橡胶制品业固定资产投资(不含农户)利用外资,塑料制品业固定资产投资(不含农户)利用外资,非金属矿物制品业固定资产投资(不含农户)利用外资,黑色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,有色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,金属制品业固定资产投资(不含农户)利用外资,通用设备制造业固定资产投资(不含农户)利用外资,专用设备制造业固定资产投资(不含农户)利用外资,交通运输设备制造业固定资产投资(不含农户)利用外资,电气机械及器材制造业固定资产投资(不含农户)利用外资,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)利用外资,仪器仪表文化办公用机械制造业固定资产投资(不含农户)利用外资,工艺品及其他制造业固定资产投资(不含农户)利用外资,废弃资源和废旧材料回收加工业固定资产投资(不含农户)利用外资,电力燃气水的生产供应业固定资产投资(不含农户)利用外资,电力、热力的生产和供应业固定资产投资(不含农户)利用外资,燃气生产和供应业固定资产投资(不含农户)利用外资,水的生产和供应业固定资产投资(不含农户)利用外资,建筑业固定资产投资(不含农户)利用外资,房屋和土木工程建筑业固定资产投资(不含农户)利用外资,建筑安装业固定资产投资(不含农户)利用外资,建筑装饰业固定资产投资(不含农户)利用外资,其他建筑业固定资产投资(不含农户)利用外资,交通运输、仓储和邮政业固定资产投资(不含农户)利用外资,铁路运输业固定资产投资(不含农户)利用外资,道路运输业固定资产投资(不含农户)利用外资,城市公共交通业固定资产投资(不含农户)利用外资,水上运输业固定资产投资(不含农户)利用外资,航空运输业固定资产投资(不含农户)利用外资,管道运输业固定资产投资(不含农户)利用外资,装卸搬运和其他运输服务业固定资产投资(不含农户)利用外资,仓储业固定资产投资(不含农户)利用外资,邮政业固定资产投资(不含农户)利用外资,信息传输、计算机服务和软件业固定资产投资(不含农户)利用外资,电信和其他信息传输服务业固定资产投资(不含农户)利用外资,计算机服务业固定资产投资(不含农户)利用外资,软件业固定资产投资(不含农户)利用外资,批发和零售业固定资产投资(不含农户)利用外资,批发业固定资产投资(不含农户)利用外资,零售业固定资产投资(不含农户)利用外资,住宿和餐饮业固定资产投资(不含农户)利用外资,住宿业固定资产投资(不含农户)利用外资,餐饮业固定资产投资(不含农户)利用外资,金融业固定资产投资(不含农户)利用外资,银行业固定资产投资(不含农户)利用外资,证券业固定资产投资(不含农户)利用外资,保险业固定资产投资(不含农户)利用外资,其他金融活动固定资产投资(不含农户)利用外资,房地产业固定资产投资(不含农户)利用外资,租赁和商务服务业固定资产投资(不含农户)利用外资,租赁业固定资产投资(不含农户)利用外资,商务服务业固定资产投资(不含农户)利用外资,科学研究、技术服务和地质勘查业固定资产投资(不含农户)利用外资,研究与试验发展固定资产投资(不含农户)利用外资,专业技术服务业固定资产投资(不含农户)利用外资,科技交流和推广服务业固定资产投资(不含农户)利用外资,地质勘查业固定资产投资(不含农户)利用外资,水利、环境和公共设施管理业固定资产投资(不含农户)利用外资,水利管理业固定资产投资(不含农户)利用外资,环境管理业固定资产投资(不含农户)利用外资,公共设施管理业固定资产投资(不含农户)利用外资,居民服务和其他服务业固定资产投资(不含农户)利用外资,居民服务业固定资产投资(不含农户)利用外资,其他服务业固定资产投资(不含农户)利用外资,教育固定资产投资(不含农户)利用外资,卫生、社会保障和社会福利业固定资产投资(不含农户)利用外资,卫生固定资产投资(不含农户)利用外资,社会保障业固定资产投资(不含农户)利用外资,社会福利业固定资产投资(不含农户)利用外资,文化、体育和娱乐业固定资产投资(不含农户)利用外资,新闻出版业固定资产投资(不含农户)利用外资,广播、电视、电影和音像业固定资产投资(不含农户)利用外资,文化艺术业固定资产投资(不含农户)利用外资,体育固定资产投资(不含农户)利用外资,娱乐业固定资产投资(不含农户)利用外资,公共管理和社会组织固定资产投资(不含农户)利用外资,中国共产党机关固定资产投资(不含农户)利用外资,国家机构固定资产投资(不含农户)利用外资,人民政协和民主党派固定资产投资(不含农户)利用外资,群众团体、社会团体和宗教组织固定资产投资(不含农户)利用外资,基层群众自治组织固定资产投资(不含农户)利用外资,国际组织固定资产投资(不含农户)利用外资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2146.3186,61.1622,32.15,3.5596,15.0247,5.4641,4.9638,27.8924,3.7731,17.8979,1.989,0.9092,2.9742,0.349,1162.9738,47.512,40.1201,,,24.8832,,,11.8723,13.0743,15.5175,4.087,,3.2186,61.1889,22.1539,11.8619,,,52.1067,7.7212,28.6639,27.4908,61.564,58.5131,,44.6819,378.9101,,,9.8153,116.9847,79.3999,25.7123,11.8725,9.3577,,5.6205,,,201.3518,36.2012,95.5309,,4.3506,,,8.7141,56.555,,8.7466,1.0891,,,40.6501,22.5515,18.0986,16.3947,8.4438,7.9509,0.6597,,,,,215.3095,44.5623,5.4561,39.1062,24.622,2.1668,13.3537,9.1015,,141.5121,13.5952,15.9514,111.9655,3.2205,1.1862,1.0628,16.1229,11.9179,9.7173,0.1776,,35.1222,,2.5077,4.9091,16.6282,11.0772,7.7555,,6.5662,,0.1766,0.8351,
2016,2270.3382,41.2869,18.7459,4.3986,11.4736,1.5887,5.0801,29.507,0.5353,23.9166,0.04,3.3015,1.4966,0.217,1584.6902,56.5465,44.8921,,,22.3005,,,5.7974,13.3355,39.5009,5.8799,,6.2676,117.7881,33.3357,3.5709,,,34.5328,3.9808,16.8343,47.9103,77.9008,87.4289,,100.1159,530.303,,,1.8063,62.4355,52.8001,3.1369,6.4985,1.9789,,,,,116.8822,13.6801,49.0887,,3.6691,,0.601,2.8798,46.6853,0.2782,9.5481,0.7417,,,48.0751,19.8967,28.1784,18.0717,14.5094,3.5623,0.136,,,,0.1,171.2857,25.2296,8.3608,16.8688,30.3082,5.63,14.8441,9.8341,,85.3573,6.085,10.2214,69.0509,4.9765,3.95,0.7165,9.6584,10.6947,9.1037,,,17.9282,,,1.8441,12.7368,3.3473,2.288,,1.9075,,0.332,0.0485,
2015,2854.4487,31.1669,11.6719,4.5176,5.1635,2.1127,7.7012,41.7688,1.06,12.9657,1.6761,9.2412,8.3029,,2009.5771,61.6926,33.9801,,,40.0016,,,7.8179,14.946,78.0412,7.2432,,35.4919,122.5454,54.8954,9.5694,,,42.1595,15.9956,14.8503,64.7016,98.062,103.1936,,154.234,604.4381,,,10.9803,39.8966,24.984,8.6034,6.3092,11.0166,,,,,101.7408,23.0314,20.014,,3.5978,1.2503,,3.6,50.2473,,16.1282,0.02,,,75.404,29.2695,46.1345,22.3097,18.5419,3.7678,0.85,,,,,320.5979,40.0553,1.6097,38.4456,23.4312,16.2492,0.3975,6.7845,,68.1015,5.298,7.3144,55.4891,2.63,0.6964,1.228,8.1516,7.7771,7.7771,,,30.0196,,1.7918,3.1965,4.8981,20.1332,3.8258,,2.9944,,0.2014,0.63,
2014,4052.861,42.3554,17.4519,1.4623,15.2649,1.4669,6.7094,87.1847,2.2097,22.7892,6.9038,21.0476,4.4904,0.24,2481.8406,88.3181,38.7063,,3.0035,63.6429,48.3703,29.8207,17.9782,18.4002,61.8101,8.2014,36.8443,164.0631,246.3898,52.346,23.948,,,84.2919,30.7097,32.6008,59.2909,151.5934,140.2362,,121.1658,510.7588,33.0462,,9.0627,82.6075,56.0399,15.941,10.6266,13.4918,,0.1966,,,213.747,22.9979,58.3259,,4.7613,79.9443,2.7467,1.44,43.5309,,10.8768,6.3084,,,88.9205,33.9965,54.924,61.8934,47.4301,14.4633,0.43,,,,,676.0401,26.241,,26.241,29.9793,17.0733,6.0538,6.8522,,118.0303,10.7946,3.2233,104.0124,10.3783,7.2774,2.5809,24.6267,9.555,9.465,,0.09,65.4313,,2.5384,13.4319,9.5703,39.8907,9.2313,,7.2495,,0.07,1.9118,
2013,4319.4445,45.8149,11.5955,2.7011,25.9616,1.7019,3.8548,116.2758,4.1514,79.991,5.87,12.656,2.9562,0.1,2664.8202,73.6322,67.878,,,60.1288,,,16.4975,21.5083,101.0852,6.7525,,15.6751,270.1247,46.5612,14.5392,,,85.9218,29.4991,32.959,77.0122,190.7387,141.6464,,146.7442,474.5658,,,10.5592,68.7199,47.7083,10.8358,10.1758,26.5496,,,,,340.8879,24.0559,66.8055,,9.235,189.6922,0.3425,9.9014,40.6228,0.2326,20.2835,5.6599,,,88.19,23.9044,64.2856,78.8793,70.1118,8.7675,4.3787,,,,1.6007,565.2907,44.5477,3.2136,41.3341,28.6646,16.0175,3.9502,8.6969,,92.1958,5.0373,2.6577,84.5008,13.3233,11.366,1.67,33.5294,5.2655,4.4079,,,71.5903,,0.746,11.5483,9.7232,49.5728,10.2374,,8.7233,,0.6386,0.8755,
2012,4468.7778,48.6034,22.6781,3.8691,12.9116,3.5356,5.609,108.2372,6.6459,45.033,8.61,7.2934,7.266,,3148.0807,86.7346,86.834,,1.9848,78.2339,,62.0381,26.6711,19.2916,106.1041,10.2388,41.5723,47.8296,247.8661,53.5384,30.1314,68.4541,64.1526,145.9113,62.1122,40.857,111.8523,201.7689,160.0538,,234.4047,567.9617,82.7207,,9.0742,99.8207,73.8895,11.5476,14.3836,13.1947,,0.4,,,146.7009,13.0596,45.7296,3.6294,25.3791,14.3179,2.2435,3.4219,42.5493,,7.7481,3.1917,,,85.6047,18.6505,66.9542,74.6536,59.0823,15.5713,4.9923,,,,0.02,446.8305,46.5836,1.178,45.4056,29.7642,13.1639,11.0124,5.5879,0.1631,79.4722,7.2727,2.6899,69.5096,5.8802,2.5742,2.0245,47.3689,6.6895,5.2525,,1.437,50.7562,,,18.5043,15.7016,16.5503,17.7962,,12.6326,,2.9794,2.1842,
2011,5061.9946,63.8158,27.8019,5.214,24.0521,2.4495,4.2983,90.2457,19.6877,48.8898,7.75,5.5341,8.3841,,3155.9431,91.2193,87.1345,45.6439,2.0375,109.2501,91.762,65.2834,24.9353,31.8717,80.3161,14.4178,26.0122,24.3935,308.3736,71.0321,38.5719,75.9227,59.887,160.6905,33.1184,35.3149,97.5062,146.6552,151.1244,268.1585,304.481,614.1995,55.0738,32.68,8.8761,151.1522,123.3219,14.7501,13.0802,20.3341,17.2573,0.8468,0.09,2.14,201.5305,10.207,61.9677,20.456,33.1766,17.3372,0.5,10.3427,45.227,2.3163,14.9215,3.825,2.7505,8.346,115.8985,35.8296,80.0689,166.4302,66.9985,99.4317,1.0541,0.3683,,0.08,0.6058,808.9999,29.7737,1.935,27.8387,29.1544,24.2926,3.6168,1.245,,104.7403,7.4463,7.0459,90.2481,17.0487,8.4053,8.6434,27.2025,12.9292,10.6797,,2.2495,36.2569,,3.0306,7.5933,2.1526,23.4804,14.5633,,13.5043,,0.265,0.794,
2010,4339.6371,27.5,13.4,2.5,8.3,1.0,2.3,88.6,9.8,58.4,7.4,6.4,6.6,,2657.6,77.3,66.5,64.0,0.2,107.6,82.4,47.4,15.2,26.6,84.4,12.2,22.5,35.4,278.6,55.5,26.1,55.1,48.7,136.5,31.2,41.8,98.2,134.9,104.6,204.0,211.0,523.2,39.5,24.4,2.7,156.3,111.1,26.6,18.6,23.3,21.0,,0.6,1.7,156.1,28.9,30.6,18.4,35.4,15.1,,2.8,25.0,,29.9,8.9,2.8,18.2,102.9,26.4,76.5,67.4,54.3,13.1,0.5,0.5,,,0.1,833.1,26.5,1.3,25.2,12.8,6.7,1.1,3.1,1.9,87.6,7.2,9.1,71.3,8.8,3.2,5.6,14.0,7.8,7.6,,0.3,31.7,,0.3,5.0,3.3,23.2,7.1,,5.6,,0.6,0.9,
