年份,固定资产投资(不含农户)自筹资金,农、林、牧、渔业固定资产投资(不含农户)自筹资金,农业固定资产投资(不含农户)自筹资金,林业固定资产投资(不含农户)自筹资金,畜牧业固定资产投资(不含农户)自筹资金,渔业固定资产投资(不含农户)自筹资金,农、林、牧、渔服务业固定资产投资(不含农户)自筹资金,采矿业固定资产投资(不含农户)自筹资金,煤炭开采和洗选业固定资产投资(不含农户)自筹资金,石油和天然气开采业固定资产投资(不含农户)自筹资金,黑色金属矿采选业固定资产投资(不含农户)自筹资金,有色金属矿采选业固定资产投资(不含农户)自筹资金,非金属矿采选业固定资产投资(不含农户)自筹资金,其他采矿业固定资产投资(不含农户)自筹资金,制造业固定资产投资(不含农户)自筹资金,农副食品加工业固定资产投资(不含农户)自筹资金,食品制造业固定资产投资(不含农户)自筹资金,饮料制造业固定资产投资(不含农户)自筹资金,烟草制品业固定资产投资(不含农户)自筹资金,纺织业固定资产投资(不含农户)自筹资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)自筹资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)自筹资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)自筹资金,家具制造业固定资产投资(不含农户)自筹资金,造纸及纸制品业固定资产投资(不含农户)自筹资金,印刷业和记录媒介的复制固定资产投资(不含农户)自筹资金,文教体育用品制造业固定资产投资(不含农户)自筹资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)自筹资金,化学原料及化学制品制造业固定资产投资(不含农户)自筹资金,医药制造业固定资产投资(不含农户)自筹资金,化学纤维制造业固定资产投资(不含农户)自筹资金,橡胶制品业固定资产投资(不含农户)自筹资金,塑料制品业固定资产投资(不含农户)自筹资金,非金属矿物制品业固定资产投资(不含农户)自筹资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,有色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,金属制品业固定资产投资(不含农户)自筹资金,通用设备制造业固定资产投资(不含农户)自筹资金,专用设备制造业固定资产投资(不含农户)自筹资金,交通运输设备制造业固定资产投资(不含农户)自筹资金,电气机械及器材制造业固定资产投资(不含农户)自筹资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)自筹资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)自筹资金,工艺品及其他制造业固定资产投资(不含农户)自筹资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)自筹资金,电力燃气水的生产供应业固定资产投资(不含农户)自筹资金,电力、热力的生产和供应业固定资产投资(不含农户)自筹资金,燃气生产和供应业固定资产投资(不含农户)自筹资金,水的生产和供应业固定资产投资(不含农户)自筹资金,建筑业固定资产投资(不含农户)自筹资金,房屋和土木工程建筑业固定资产投资(不含农户)自筹资金,建筑安装业固定资产投资(不含农户)自筹资金,建筑装饰业固定资产投资(不含农户)自筹资金,其他建筑业固定资产投资(不含农户)自筹资金,交通运输、仓储和邮政业固定资产投资(不含农户)自筹资金,铁路运输业固定资产投资(不含农户)自筹资金,道路运输业固定资产投资(不含农户)自筹资金,城市公共交通业固定资产投资(不含农户)自筹资金,水上运输业固定资产投资(不含农户)自筹资金,航空运输业固定资产投资(不含农户)自筹资金,管道运输业固定资产投资(不含农户)自筹资金,装卸搬运和其他运输服务业固定资产投资(不含农户)自筹资金,仓储业固定资产投资(不含农户)自筹资金,邮政业固定资产投资(不含农户)自筹资金,信息传输、计算机服务和软件业固定资产投资(不含农户)自筹资金,电信和其他信息传输服务业固定资产投资(不含农户)自筹资金,计算机服务业固定资产投资(不含农户)自筹资金,软件业固定资产投资(不含农户)自筹资金,批发和零售业固定资产投资(不含农户)自筹资金,批发业固定资产投资(不含农户)自筹资金,零售业固定资产投资(不含农户)自筹资金,住宿和餐饮业固定资产投资(不含农户)自筹资金,住宿业固定资产投资(不含农户)自筹资金,餐饮业固定资产投资(不含农户)自筹资金,金融业固定资产投资(不含农户)自筹资金,银行业固定资产投资(不含农户)自筹资金,证券业固定资产投资(不含农户)自筹资金,保险业固定资产投资(不含农户)自筹资金,其他金融活动固定资产投资(不含农户)自筹资金,房地产业固定资产投资(不含农户)自筹资金,租赁和商务服务业固定资产投资(不含农户)自筹资金,租赁业固定资产投资(不含农户)自筹资金,商务服务业固定资产投资(不含农户)自筹资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)自筹资金,研究与试验发展固定资产投资(不含农户)自筹资金,专业技术服务业固定资产投资(不含农户)自筹资金,科技交流和推广服务业固定资产投资(不含农户)自筹资金,地质勘查业固定资产投资(不含农户)自筹资金,水利、环境和公共设施管理业固定资产投资(不含农户)自筹资金,水利管理业固定资产投资(不含农户)自筹资金,环境管理业固定资产投资(不含农户)自筹资金,公共设施管理业固定资产投资(不含农户)自筹资金,居民服务和其他服务业固定资产投资(不含农户)自筹资金,居民服务业固定资产投资(不含农户)自筹资金,其他服务业固定资产投资(不含农户)自筹资金,教育固定资产投资(不含农户)自筹资金,卫生、社会保障和社会福利业固定资产投资(不含农户)自筹资金,卫生固定资产投资(不含农户)自筹资金,社会保障业固定资产投资(不含农户)自筹资金,社会福利业固定资产投资(不含农户)自筹资金,文化、体育和娱乐业固定资产投资(不含农户)自筹资金,新闻出版业固定资产投资(不含农户)自筹资金,广播、电视、电影和音像业固定资产投资(不含农户)自筹资金,文化艺术业固定资产投资(不含农户)自筹资金,体育固定资产投资(不含农户)自筹资金,娱乐业固定资产投资(不含农户)自筹资金,公共管理和社会组织固定资产投资(不含农户)自筹资金,中国共产党机关固定资产投资(不含农户)自筹资金,国家机构固定资产投资(不含农户)自筹资金,人民政协和民主党派固定资产投资(不含农户)自筹资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)自筹资金,基层群众自治组织固定资产投资(不含农户)自筹资金,国际组织固定资产投资(不含农户)自筹资金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,408822.9477,19040.1972,9573.9072,1392.0522,4687.6153,1046.4805,2340.142,7296.85,2032.9207,1956.9185,646.4942,896.6487,1518.5367,53.1613,163066.771,10302.1098,5011.5304,,160.7291,5946.4903,,,3871.381,3230.3645,2624.9831,1578.3964,,2040.0012,11318.1933,5061.2583,1141.1046,,,14432.899,3147.5377,3980.9301,9048.068,11323.5688,10432.7179,,11147.3461,10238.751,,,1429.0828,17896.3239,12926.9874,1687.5271,3281.8094,2434.8009,,194.3739,,,24479.441,2058.7335,13791.1865,,1026.2815,785.8728,236.9125,871.3671,5472.291,236.7961,5615.3731,1942.2843,,,13889.9471,7198.459,6691.4881,4925.1542,3355.5367,1569.6175,882.4683,,,91.9255,134.6104,67626.7837,9729.895,937.1121,8792.7829,4688.5408,1199.1339,1414.6319,2074.775,,45211.2921,3840.8166,2157.7242,39212.7513,2078.2673,1121.5588,477.0201,5684.9517,4591.2164,3134.8215,162.0454,,5720.5147,66.8616,340.0747,2372.4065,1060.4622,1880.7097,3964.1593,24.597,2672.9559,3.1796,268.318,833.0634,
2016,404766.8243,18098.272,8524.1227,1509.743,4614.3749,965.9259,2484.1055,8286.4743,2277.2037,1805.6553,834.4143,1176.5216,1867.1211,68.8736,162215.767,10333.4523,5173.0304,,192.4513,5813.1452,,,3820.2607,2742.0121,2686.3157,1679.5664,,1983.8958,12163.2727,5531.6468,924.623,,,14753.8668,3596.7946,4279.2225,8960.224,11453.8639,10429.3494,,11038.7499,8593.676,,,1167.2626,18362.7879,13732.5852,1692.3831,2937.8196,3208.5147,,250.393,,,24165.1186,2293.2257,12684.6967,,1291.5259,949.9433,227.5125,887.4561,5632.5124,198.246,5500.8195,2382.1618,,,15551.3831,8078.3713,7473.0118,4967.5844,3346.8508,1620.7336,1137.3587,,,122.8427,176.3662,69056.9779,9326.6547,1079.0637,8247.591,4485.0169,1064.5243,1516.6671,1903.8255,,39317.5458,3528.5357,1813.4206,33975.5895,2100.4003,1090.671,491.0626,5068.9619,4169.557,2974.2115,125.4952,,5419.4132,82.7904,479.5059,2174.8744,914.0519,1768.1906,4328.1964,17.1047,2778.2902,2.8891,358.441,1045.9762,
2015,405008.7303,15580.9176,6793.0727,1390.5484,4285.9543,793.3432,2317.999,11041.9188,3317.0676,2737.1662,1258.0584,1435.7518,1879.3353,61.2167,160966.5682,9703.2283,4558.2576,,231.1933,5384.9312,,,3722.0256,2668.7623,2497.2502,1687.4916,,2106.8648,12829.8419,5342.2426,987.3576,,,15054.1735,3613.6144,4959.6912,8610.3711,11944.4558,11137.7327,,10325.956,7875.483,,,1152.1926,18266.9029,13523.7327,2004.8838,2738.2864,3686.7523,,230.9716,,,25774.7929,2328.3275,13508.1439,,1670.9993,930.8589,280.687,1116.8986,5718.7896,220.0881,5202.8893,2318.7624,,,16847.8244,8630.1171,8217.7073,5741.1022,4039.4918,1701.6104,1253.577,,,131.5541,210.8274,71761.0563,8078.64,686.2028,7392.4372,4121.419,1214.9183,1464.6493,1441.8514,,35732.9244,3434.9763,1542.5078,30755.4403,2181.1693,1155.4032,434.782,4737.4892,3888.51,2962.2348,168.5264,,5252.8033,117.6157,438.9753,2298.8117,762.2295,1635.1711,4891.4732,11.0777,2953.7022,13.1618,456.2156,1288.7895,
2014,369964.6896,11774.8149,4582.5008,1068.0357,3577.0678,678.8931,1868.3175,12254.2788,3904.443,3045.5644,1480.2772,1488.603,1856.6286,53.0947,150320.719,9079.0385,4052.9829,,259.381,4822.1324,3376.4212,1802.7572,3159.5608,2250.7351,2444.8384,1469.3686,1694.3027,2607.8691,12397.4876,4789.8687,1028.5275,,,14235.7137,4241.4245,5006.5002,8102.7597,11038.0954,10450.853,,9623.485,6995.7002,1430.0071,,1041.4674,14872.6299,10963.7396,1866.4082,2042.4821,3236.1048,,184.355,,,21044.6159,1698.1727,10989.5319,,1641.2065,831.8044,237.4536,1079.3783,4446.6132,120.4553,3878.3281,2015.7809,,,14189.1384,7000.6499,7188.4885,5633.5849,4162.9401,1470.6448,1362.0446,,,177.7045,152.7021,72202.1059,6765.6971,386.2724,6379.4247,3658.9592,1148.352,1344.4563,1166.1509,,30303.1072,2805.4349,1272.6598,26225.0125,1873.4026,1064.8646,349.7307,4213.438,3044.3748,2444.798,155.2116,599.5768,5035.8225,89.0642,492.7946,2104.0299,761.8382,1588.0956,4301.523,15.3965,2809.9686,7.0101,407.8941,906.0421,
2013,324431.5014,9143.7796,3426.2931,829.0385,2770.7251,572.4262,1545.2967,12728.5622,4420.8965,3038.5677,1629.5683,1441.81,1640.2521,50.9935,133767.7313,7723.7793,3327.0368,,276.4472,4314.4756,,,2701.6537,1774.896,2248.0173,1198.2945,,2616.2631,11509.8292,4180.4635,951.6972,,,12750.5967,4631.4655,4853.319,6715.9732,9647.8094,9212.2896,,8511.1179,6259.5513,,,881.5699,12718.4694,9118.0824,1780.2803,1820.1067,2698.7852,,146.5962,,,18497.9575,1677.6434,9582.3545,,1415.2861,924.734,262.3809,891.636,3651.1773,92.7453,2960.9579,1616.2469,,,11671.0354,5477.9907,6193.0447,5613.4875,4207.83,1405.6575,1216.8817,,,112.9931,115.6246,66791.2922,5029.7081,187.9301,4841.778,2684.4164,889.1568,903.0307,892.2289,,23678.5535,2219.4389,963.2808,20495.8338,1639.3245,913.7242,367.5251,3322.6828,2261.1427,1840.9231,143.4338,,4148.9914,87.5995,267.1628,1790.2327,736.3266,1267.6698,3857.7421,21.251,2463.9649,11.2736,423.7561,794.0627,
2012,268560.2229,6948.6091,2659.3556,648.4471,2027.4979,461.3317,1151.9768,11565.3609,4596.1047,2456.2362,1466.7791,1288.0086,1449.1859,44.2583,112552.0309,6300.8869,2822.2735,,244.9358,3649.1013,,1190.2098,2250.4076,1483.1265,1841.2622,945.5875,1021.182,2214.549,9950.639,3302.4989,807.5791,1074.7814,2832.0437,11093.9054,4663.1042,3752.7808,5461.0307,7792.4813,7783.6088,,7599.408,4995.8713,1119.2379,,643.9409,10556.9259,7763.4192,1371.0751,1422.4316,2656.4624,,131.7846,94.8435,,14513.3278,1485.3469,7398.6951,725.0677,1378.9367,547.1937,153.9737,660.7691,2820.9174,67.4952,2429.2241,1477.0478,,,9087.7493,4045.3066,5042.4427,4621.492,3320.3083,1301.1837,876.5299,,54.5445,90.8424,85.3843,55188.3795,4198.7675,160.0729,4038.6946,2084.3996,688.8504,798.7411,596.8081,184.8164,17791.6874,1732.1285,703.8665,15355.6924,1345.1918,723.0952,300.6475,2836.6173,1914.446,1582.0653,147.7638,332.3807,3455.0058,54.2534,217.5005,1481.9614,641.6786,1059.6119,3938.0157,21.4429,2565.7188,10.7687,415.3445,776.977,
2011,220860.2307,5338.4439,1886.8954,549.5644,1615.8702,337.2556,948.8583,10137.2824,4293.0983,2363.6761,1171.3283,1084.1689,1180.1463,44.8645,92335.3738,4797.7062,2216.7298,1737.9378,288.6066,3284.361,2039.7686,805.7627,1804.0207,1116.4775,1622.3335,821.9318,404.4594,1797.2788,7529.9717,2528.3547,622.2224,945.8306,2431.0636,9469.2844,3908.6715,3327.1022,4759.2426,7217.9994,5396.6766,7643.3582,7184.0781,3871.8312,946.7864,1333.3091,482.2167,8767.0746,6514.1751,1058.6361,1194.2634,2463.0437,2026.522,98.2734,91.3209,246.9274,12635.0604,1635.2342,5908.7243,576.6401,1259.9121,607.7202,110.4311,350.5985,2133.7415,52.0584,2062.7488,1587.0453,132.9547,342.7488,6908.321,3325.2211,3583.0999,3491.2129,2558.6176,932.5953,555.3567,344.6835,37.1599,53.0142,120.4991,45783.6506,2871.7761,176.1309,2695.6452,1363.3866,473.5955,422.3287,323.3335,144.1289,14856.8832,1485.2373,961.2731,12410.3728,1004.6959,579.1179,425.578,2492.4606,1673.6195,1388.7233,118.5966,166.2996,2455.5963,75.2228,156.4198,805.558,327.3295,1091.0662,3664.2437,30.5463,2612.6136,3.8482,185.8135,831.4221,
2010,165751.9682,2761.8,708.0,364.0,902.8,163.1,623.8,8302.7,3298.5,2296.7,949.2,917.7,808.5,32.0,64956.4,3282.9,1653.3,1256.0,225.5,1986.3,1256.0,543.9,1203.4,777.6,1126.6,661.8,232.4,1614.7,5636.1,1810.8,354.7,661.7,1661.9,6715.4,3145.9,2472.4,3239.0,4997.0,3705.2,5771.1,4477.6,2624.9,644.7,910.6,306.8,7929.0,6141.1,698.6,1089.3,1564.1,1249.7,74.5,53.0,187.0,11189.2,1800.9,5168.8,595.2,1261.0,390.3,85.5,286.3,1566.1,35.1,2233.1,1892.4,113.6,227.1,4846.2,2208.1,2638.0,2659.6,1815.4,844.2,445.2,296.1,46.2,35.1,67.8,33800.1,1969.8,128.3,1841.5,1013.1,342.9,320.3,210.0,139.8,12838.2,1114.5,945.5,10778.2,625.9,356.8,269.2,2252.8,1318.4,1139.0,73.9,105.5,1951.8,46.7,195.5,578.5,308.0,823.1,3094.6,12.3,2352.0,1.3,136.1,592.9,
