年份,固定资产投资(不含农户)施工项目,农、林、牧、渔业固定资产投资(不含农户)施工项目,农业固定资产投资(不含农户)施工项目,林业固定资产投资(不含农户)施工项目,畜牧业固定资产投资(不含农户)施工项目,渔业固定资产投资(不含农户)施工项目,农、林、牧、渔服务业固定资产投资(不含农户)施工项目,采矿业固定资产投资(不含农户)施工项目,煤炭开采和洗选业固定资产投资(不含农户)施工项目,石油和天然气开采业固定资产投资(不含农户)施工项目,黑色金属矿采选业固定资产投资(不含农户)施工项目,有色金属矿采选业固定资产投资(不含农户)施工项目,非金属矿采选业固定资产投资(不含农户)施工项目,其他采矿业固定资产投资(不含农户)施工项目,制造业固定资产投资(不含农户)施工项目,农副食品加工业固定资产投资(不含农户)施工项目,食品制造业固定资产投资(不含农户)施工项目,饮料制造业固定资产投资(不含农户)施工项目,烟草制品业固定资产投资(不含农户)施工项目,纺织业固定资产投资(不含农户)施工项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)施工项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)施工项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)施工项目,家具制造业固定资产投资(不含农户)施工项目,造纸及纸制品业固定资产投资(不含农户)施工项目,印刷业和记录媒介的复制固定资产投资(不含农户)施工项目,文教体育用品制造业固定资产投资(不含农户)施工项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)施工项目,化学原料及化学制品制造业固定资产投资(不含农户)施工项目,医药制造业固定资产投资(不含农户)施工项目,化学纤维制造业固定资产投资(不含农户)施工项目,橡胶制品业固定资产投资(不含农户)施工项目,塑料制品业固定资产投资(不含农户)施工项目,非金属矿物制品业固定资产投资(不含农户)施工项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,有色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,金属制品业固定资产投资(不含农户)施工项目,通用设备制造业固定资产投资(不含农户)施工项目,专用设备制造业固定资产投资(不含农户)施工项目,交通运输设备制造业固定资产投资(不含农户)施工项目,电气机械及器材制造业固定资产投资(不含农户)施工项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)施工项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)施工项目,工艺品及其他制造业固定资产投资(不含农户)施工项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)施工项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)施工项目,电力、热力的生产和供应业固定资产投资(不含农户)施工项目,燃气生产和供应业固定资产投资(不含农户)施工项目,水的生产和供应业固定资产投资(不含农户)施工项目,建筑业固定资产投资(不含农户)施工项目,房屋和土木工程建筑业固定资产投资(不含农户)施工项目,建筑安装业固定资产投资(不含农户)施工项目,建筑装饰业固定资产投资(不含农户)施工项目,其他建筑业固定资产投资(不含农户)施工项目,交通运输、仓储和邮政业固定资产投资(不含农户)施工项目,铁路运输业固定资产投资(不含农户)施工项目,道路运输业固定资产投资(不含农户)施工项目,城市公共交通业固定资产投资(不含农户)施工项目,水上运输业固定资产投资(不含农户)施工项目,航空运输业固定资产投资(不含农户)施工项目,管道运输业固定资产投资(不含农户)施工项目,装卸搬运和其他运输服务业固定资产投资(不含农户)施工项目,仓储业固定资产投资(不含农户)施工项目,邮政业固定资产投资(不含农户)施工项目,信息传输、计算机服务和软件业固定资产投资(不含农户)施工项目,电信和其他信息传输服务业固定资产投资(不含农户)施工项目,计算机服务业固定资产投资(不含农户)施工项目,软件业固定资产投资(不含农户)施工项目,批发和零售业固定资产投资(不含农户)施工项目,批发业固定资产投资(不含农户)施工项目,零售业固定资产投资(不含农户)施工项目,住宿和餐饮业固定资产投资(不含农户)施工项目,住宿业固定资产投资(不含农户)施工项目,餐饮业固定资产投资(不含农户)施工项目,金融业固定资产投资(不含农户)施工项目,银行业固定资产投资(不含农户)施工项目,证券业固定资产投资(不含农户)施工项目,保险业固定资产投资(不含农户)施工项目,其他金融活动固定资产投资(不含农户)施工项目,房地产业固定资产投资(不含农户)施工项目,租赁和商务服务业固定资产投资(不含农户)施工项目,租赁业固定资产投资(不含农户)施工项目,商务服务业固定资产投资(不含农户)施工项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)施工项目,研究与试验发展固定资产投资(不含农户)施工项目,专业技术服务业固定资产投资(不含农户)施工项目,科技交流和推广服务业固定资产投资(不含农户)施工项目,地质勘查业固定资产投资(不含农户)施工项目,水利、环境和公共设施管理业固定资产投资(不含农户)施工项目,水利管理业固定资产投资(不含农户)施工项目,环境管理业固定资产投资(不含农户)施工项目,公共设施管理业固定资产投资(不含农户)施工项目,居民服务和其他服务业固定资产投资(不含农户)施工项目,居民服务业固定资产投资(不含农户)施工项目,其他服务业固定资产投资(不含农户)施工项目,教育固定资产投资(不含农户)施工项目,卫生、社会保障和社会福利业固定资产投资(不含农户)施工项目,卫生固定资产投资(不含农户)施工项目,社会保障业固定资产投资(不含农户)施工项目,社会福利业固定资产投资(不含农户)施工项目,文化、体育和娱乐业固定资产投资(不含农户)施工项目,新闻出版业固定资产投资(不含农户)施工项目,广播、电视、电影和音像业固定资产投资(不含农户)施工项目,文化艺术业固定资产投资(不含农户)施工项目,体育固定资产投资(不含农户)施工项目,娱乐业固定资产投资(不含农户)施工项目,公共管理和社会组织固定资产投资(不含农户)施工项目,中国共产党机关固定资产投资(不含农户)施工项目,国家机构固定资产投资(不含农户)施工项目,人民政协和民主党派固定资产投资(不含农户)施工项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)施工项目,基层群众自治组织固定资产投资(不含农户)施工项目,国际组织固定资产投资(不含农户)施工项目
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,889437.0,72044.0,32332.0,5812.0,17564.0,3524.0,12812.0,13504.0,4229.0,826.0,1232.0,1946.0,4532.0,158.0,314883.0,24254.0,10389.0,,197.0,12858.0,,,10624.0,6926.0,5360.0,3870.0,,2358.0,19289.0,7832.0,1121.0,,,32575.0,4671.0,5529.0,18855.0,24199.0,20272.0,,18900.0,11569.0,,,2863.0,39929.0,23605.0,4299.0,12025.0,8900.0,,620.0,,,66472.0,939.0,51970.0,,1356.0,425.0,370.0,1353.0,9577.0,482.0,9830.0,3267.0,,,35851.0,17955.0,17896.0,13761.0,8486.0,5275.0,1651.0,,,140.0,227.0,39238.0,17078.0,1009.0,16069.0,10475.0,2136.0,3923.0,4416.0,,156571.0,22864.0,8045.0,125662.0,7168.0,4240.0,1332.0,27262.0,14838.0,10040.0,1045.0,,15398.0,112.0,849.0,7790.0,3366.0,3281.0,24584.0,122.0,14723.0,29.0,1245.0,7420.0,
2016,788959.0,62660.0,25877.0,5879.0,15501.0,2871.0,12532.0,14599.0,4467.0,809.0,1491.0,2033.0,4912.0,185.0,280771.0,22514.0,9565.0,,234.0,11621.0,,,9879.0,5724.0,4817.0,3604.0,,1915.0,17832.0,7270.0,1044.0,,,29752.0,4684.0,4837.0,16670.0,21443.0,18201.0,,16475.0,9645.0,,,2103.0,34356.0,20242.0,3624.0,10490.0,11596.0,,646.0,,,55407.0,933.0,42146.0,,1395.0,376.0,357.0,1345.0,8497.0,358.0,8742.0,3257.0,,,35441.0,17920.0,17521.0,12244.0,7376.0,4868.0,1941.0,,,125.0,234.0,42902.0,14788.0,900.0,13888.0,9165.0,1837.0,3684.0,3644.0,,127597.0,20698.0,6283.0,100616.0,6477.0,3488.0,1328.0,23878.0,12257.0,8313.0,729.0,,12994.0,120.0,905.0,6311.0,2705.0,2953.0,21144.0,110.0,13094.0,17.0,1330.0,5864.0,
2015,663683.0,48614.0,18622.0,4841.0,12250.0,2205.0,10696.0,14481.0,4230.0,827.0,2027.0,2227.0,4515.0,147.0,247943.0,18725.0,7730.0,,206.0,10167.0,,,8904.0,4974.0,4148.0,3175.0,,1694.0,16166.0,6468.0,1030.0,,,27008.0,4722.0,4484.0,14718.0,19589.0,16146.0,,14841.0,8071.0,,,1743.0,28892.0,16612.0,3341.0,8939.0,10843.0,,550.0,,,45871.0,923.0,33742.0,,1364.0,334.0,345.0,1257.0,7562.0,344.0,7375.0,3660.0,,,30236.0,15082.0,15154.0,10998.0,6925.0,4073.0,1895.0,,,115.0,355.0,38618.0,10818.0,584.0,10234.0,7260.0,1737.0,2950.0,2573.0,,97313.0,16953.0,4628.0,75732.0,5219.0,2938.0,879.0,19152.0,9714.0,6787.0,552.0,,10128.0,117.0,697.0,5135.0,1881.0,2298.0,18313.0,87.0,11637.0,49.0,1507.0,4481.0,
2014,585093.0,38847.0,13555.0,4140.0,10601.0,1807.0,8744.0,15099.0,4714.0,584.0,2315.0,2393.0,4424.0,155.0,228053.0,17296.0,6878.0,,267.0,9254.0,,3742.0,7937.0,4221.0,3836.0,2898.0,3872.0,1650.0,14547.0,6132.0,948.0,,,25424.0,4872.0,4270.0,13217.0,17798.0,14656.0,,13718.0,7457.0,2196.0,,1525.0,25698.0,15012.0,2947.0,7739.0,8545.0,,411.0,,,38796.0,799.0,28925.0,,1347.0,293.0,321.0,1218.0,5648.0,245.0,5720.0,3254.0,,,24621.0,11872.0,12749.0,9874.0,6322.0,3552.0,1674.0,,,104.0,181.0,36799.0,8327.0,390.0,7937.0,5934.0,1465.0,2489.0,1980.0,,81497.0,14410.0,3714.0,63373.0,4283.0,2535.0,673.0,17876.0,8367.0,6162.0,573.0,2205.0,8934.0,132.0,601.0,4553.0,1713.0,1935.0,16149.0,95.0,11471.0,30.0,1385.0,2595.0,
2013,520732.0,31950.0,10816.0,3449.0,8756.0,1661.0,7268.0,15977.0,5812.0,542.0,2469.0,2338.0,4179.0,151.0,214681.0,15995.0,6322.0,,283.0,9241.0,,,7408.0,3604.0,3803.0,2564.0,,1696.0,14094.0,5755.0,944.0,,,24093.0,5001.0,4288.0,12137.0,16465.0,14148.0,,12738.0,7252.0,,,1297.0,22524.0,13115.0,2738.0,6671.0,6385.0,,279.0,,,32909.0,702.0,24356.0,,1250.0,240.0,343.0,1082.0,4756.0,180.0,4007.0,2286.0,,,20528.0,9380.0,11148.0,9520.0,6104.0,3416.0,1605.0,,,99.0,145.0,35414.0,6771.0,353.0,6418.0,4659.0,1217.0,1912.0,1530.0,,65176.0,12067.0,2802.0,50307.0,3914.0,2244.0,684.0,14848.0,6906.0,5278.0,503.0,,7957.0,130.0,489.0,4122.0,1476.0,1740.0,15001.0,120.0,10561.0,23.0,1399.0,2395.0,
2012,462633.0,26426.0,9345.0,2731.0,7189.0,1356.0,5805.0,16355.0,6570.0,403.0,2523.0,2305.0,4129.0,117.0,195867.0,14185.0,5697.0,,253.0,8101.0,,3074.0,6380.0,3354.0,3521.0,2175.0,2837.0,1604.0,13327.0,4992.0,793.0,1638.0,6481.0,22996.0,4974.0,3968.0,10732.0,14927.0,13400.0,,11823.0,6435.0,1943.0,,1173.0,19508.0,11711.0,2197.0,5600.0,6960.0,,267.0,274.0,,27306.0,649.0,19654.0,1239.0,1183.0,230.0,194.0,999.0,4222.0,175.0,3495.0,2173.0,,,17482.0,7640.0,9842.0,9020.0,5666.0,3354.0,1311.0,,30.0,115.0,97.0,31663.0,5428.0,238.0,5190.0,3765.0,1021.0,1716.0,1028.0,269.0,53329.0,9740.0,2319.0,41270.0,3552.0,2071.0,535.0,13200.0,6169.0,4849.0,475.0,1320.0,6893.0,100.0,465.0,3479.0,1279.0,1570.0,14904.0,100.0,10561.0,32.0,1468.0,2268.0,
2011,471376.0,27069.0,8464.0,3212.0,7408.0,1459.0,6526.0,17764.0,7075.0,506.0,2690.0,2671.0,4623.0,199.0,205999.0,14184.0,5839.0,4369.0,251.0,10285.0,7200.0,2804.0,6768.0,3733.0,3758.0,2417.0,1414.0,1605.0,13727.0,4741.0,885.0,1931.0,7345.0,24500.0,4065.0,4235.0,12422.0,17920.0,11841.0,12298.0,12934.0,5919.0,1976.0,3650.0,983.0,19460.0,11495.0,2052.0,5913.0,7955.0,6615.0,300.0,277.0,763.0,27403.0,638.0,19664.0,727.0,1058.0,249.0,154.0,734.0,4025.0,154.0,3546.0,2729.0,301.0,516.0,16786.0,7342.0,9444.0,8718.0,5181.0,3537.0,1132.0,751.0,67.0,94.0,220.0,26569.0,4660.0,218.0,4442.0,3371.0,986.0,1360.0,693.0,332.0,52784.0,9903.0,4476.0,38405.0,2916.0,1913.0,1003.0,13517.0,7270.0,5541.0,617.0,1112.0,6572.0,132.0,528.0,2950.0,810.0,2152.0,17885.0,160.0,13951.0,30.0,792.0,2952.0,
2010,463608.0,21712.0,4659.0,3435.0,5825.0,795.0,6998.0,15549.0,6020.0,522.0,2351.0,2678.0,3830.0,148.0,170500.0,12430.0,5598.0,4012.0,327.0,7090.0,5369.0,2244.0,6104.0,3223.0,3380.0,2358.0,1111.0,1571.0,12538.0,4535.0,544.0,1574.0,5959.0,19787.0,3758.0,3714.0,9589.0,14012.0,9550.0,10551.0,9784.0,4455.0,1513.0,3024.0,796.0,20840.0,12283.0,1952.0,6605.0,7567.0,6366.0,250.0,265.0,686.0,33447.0,939.0,25411.0,892.0,1409.0,271.0,113.0,622.0,3589.0,201.0,14096.0,13275.0,400.0,421.0,17196.0,6716.0,10480.0,9111.0,4831.0,4280.0,1289.0,968.0,65.0,72.0,184.0,26848.0,3769.0,180.0,3589.0,3173.0,822.0,1381.0,689.0,281.0,53638.0,10609.0,5145.0,37884.0,2750.0,1768.0,982.0,22096.0,10094.0,7940.0,488.0,1666.0,7293.0,116.0,713.0,3360.0,901.0,2203.0,22640.0,219.0,17471.0,45.0,670.0,4235.0,
