年份,高技术产业总产值,医药制造业高技术产业总产值,化学药品制造高技术产业总产值,中成药制造高技术产业总产值,生物、生化制品的制造高技术产业总产值,航空航天器制造业高技术产业总产值,电子及通信设备制造业高技术产业总产值,通信设备制造业高技术产业总产值,雷达及配套设备制造业高技术产业总产值,广播电视设备制造业高技术产业总产值,电子器件制造业高技术产业总产值,电子元件制造业高技术产业总产值,家用视听设备制造业高技术产业总产值,其他电子设备制造高技术产业总产值,电子计算机及办公设备制造业高技术产业总产值,电子计算机整机制造业高技术产业总产值,电子计算机外部设备制造业高技术产业总产值,医疗器械及仪器仪表制造业高技术产业总产值,医疗仪器设备及器械制造业高技术产业总产值,仪器仪表制造业高技术产业总产值
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,884338532.1,149419874.0,72437677.4,35438025.1,16037049.8,19129748.4,435594944.2,119126613.7,2173147.2,6574928.6,115489605.5,121170025.1,53779939.7,17280684.4,211351751.3,116074374.8,86287162.7,68842214.2,13847105.5,54995108.7
2010,747089490.3,117413083.6,59515356.6,26511312.2,12080201.5,15981049.5,359297648.3,95911918.6,1734733.9,5772921.7,88262766.4,108941389.2,44528141.9,14145776.6,198224600.4,101232655.7,84472591.1,56173108.5,11784449.9,44388658.6
2009,604304849.0,94433032.0,48905770.0,20572675.0,9806632.0,13530103.0,289471244.0,85312534.0,1228700.0,4246602.0,64470993.0,82591400.0,39184498.0,12436517.0,162927358.0,89602913.0,66552168.0,43943112.0,9734778.0,34208333.0
2008,570873800.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,343671086.0,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,104114700.0,,,,,,,,,,,,,,,,,,,
