年份,高技术产业出口交货值,医药制造业高技术产业出口交货值,化学药品制造高技术产业出口交货值,中成药制造高技术产业出口交货值,生物、生化制品的制造高技术产业出口交货值,航空航天器制造业高技术产业出口交货值,电子及通信设备制造业高技术产业出口交货值,通信设备制造业高技术产业出口交货值,雷达及配套设备制造业高技术产业出口交货值,广播电视设备制造业高技术产业出口交货值,电子器件制造业高技术产业出口交货值,电子元件制造业高技术产业出口交货值,家用视听设备制造业高技术产业出口交货值,其他电子设备制造高技术产业出口交货值,电子计算机及办公设备制造业高技术产业出口交货值,电子计算机整机制造业高技术产业出口交货值,电子计算机外部设备制造业高技术产业出口交货值,医疗器械及仪器仪表制造业高技术产业出口交货值,医疗仪器设备及器械制造业高技术产业出口交货值,仪器仪表制造业高技术产业出口交货值
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,524446066.4,14604230.8,7963838.8,669314.2,3112433.1,5411465.4,362964950.8,144578032.9,481725.4,6400480.2,94315503.3,60058365.8,34830051.4,14538750.5,121574479.2,74788393.4,18665368.8,14647202.1,5010905.1,9636297.0
2015,509231256.4,13419733.9,7351620.7,577834.3,2735107.4,4334897.1,353218511.7,138098085.1,395172.5,5536745.0,93525061.7,60287122.1,34101798.0,13587174.8,119948131.5,70546661.1,19900195.5,14489585.0,4779833.9,9709751.1
2014,507652008.6,13123152.6,7516657.1,755926.0,2345490.6,4053799.3,314868318.4,95031895.2,529232.0,5530577.4,94396096.0,64610386.4,33484205.3,14608408.1,161548991.7,93232917.0,19169901.4,14057746.6,4760983.3,9296763.3
2013,492850906.4,11841674.6,7244460.4,482215.6,1941409.9,3700573.0,287383675.4,81029274.8,912761.7,5749506.4,84117743.3,63089742.8,32952192.5,12526567.1,176407068.1,105247509.2,18754110.4,13517915.3,4452189.7,9065725.6
2012,467010937.1,11649212.5,6989446.3,546639.7,1839089.2,3586899.2,270490030.5,70550271.4,581417.6,3323436.8,83766218.9,65970583.6,28853702.8,9644885.7,169263655.5,95009096.7,21186823.8,12021139.4,3941643.2,8079496.2
2011,406003317.4,10304814.9,6346368.0,543218.9,1815175.3,2749480.1,222399040.0,56515261.6,370439.5,2275961.0,70254123.7,61186495.5,26006253.8,5790504.9,158798645.1,85090513.4,67201829.2,11751337.3,4144674.0,7606663.3
2010,370016000.0,9485827.8,6290504.5,403635.9,1495436.0,2024979.0,195885315.2,48796319.4,251613.3,2267290.2,57564738.5,59178776.8,22271437.3,5555139.7,151780065.4,77414851.8,67106795.1,10839622.1,3519898.8,7319723.3
2009,294353000.0,7471661.0,4945471.0,483687.0,1002391.0,2082024.0,155420076.0,44810878.0,26931.0,1598409.0,40904484.0,43977557.0,18857491.0,5244325.0,121430347.0,67999881.0,48820088.0,8593234.0,2805667.0,5787567.0
2008,315039400.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,176359745.3,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,33883800.0,,,,,,,,,,,,,,,,,,,
