年份,高技术产业利润额,医药制造业高技术产业利润额,化学药品制造高技术产业利润额,中成药制造高技术产业利润额,生物、生化制品的制造高技术产业利润额,航空航天器制造业高技术产业利润额,电子及通信设备制造业高技术产业利润额,通信设备制造业高技术产业利润额,雷达及配套设备制造业高技术产业利润额,广播电视设备制造业高技术产业利润额,电子器件制造业高技术产业利润额,电子元件制造业高技术产业利润额,家用视听设备制造业高技术产业利润额,其他电子设备制造高技术产业利润额,电子计算机及办公设备制造业高技术产业利润额,电子计算机整机制造业高技术产业利润额,电子计算机外部设备制造业高技术产业利润额,医疗器械及仪器仪表制造业高技术产业利润额,医疗仪器设备及器械制造业高技术产业利润额,仪器仪表制造业高技术产业利润额
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,112958806.5,33248083.0,16128055.2,7122261.6,4887334.9,,56191156.4,16647667.9,,1328299.4,14026994.0,11804154.0,3146200.7,3581328.3,7411794.7,2248241.9,1404140.7,11672685.7,3260337.1,8412348.6
2016,103017966.1,31149949.6,14418695.3,7657900.2,4197002.4,2243901.7,48216982.6,12415556.5,304551.6,1521302.7,11292453.7,11071799.7,3197379.4,3481491.7,8193425.6,3127467.2,1643791.1,10990262.7,3309417.0,7680845.7
2015,89863290.5,27173492.6,11973323.9,6969515.8,3903830.5,1960584.0,43489094.7,15726724.5,305353.9,1268514.3,7706384.1,9992565.2,2172954.6,2919830.9,6220702.7,1860214.1,1603459.4,9388292.5,2460892.6,6927399.9
2014,80952077.0,23824659.6,10642334.3,6190998.5,3333587.1,1703461.4,37443878.1,10462546.5,292649.9,1079565.1,8471865.5,8702965.4,2938270.1,2754321.3,8891512.4,4219878.0,1529269.9,9088565.5,2371827.7,6716737.8
2013,72337478.8,21327062.6,9360138.8,5626220.4,2961365.9,1392728.4,33267794.7,8971594.6,283159.3,1066935.3,7974307.2,7040713.6,3795279.4,1668913.0,8104261.1,4123789.7,1001815.3,8245632.0,2011073.7,6234558.3
2012,61863403.8,18658942.1,8380870.4,4716386.8,2734262.3,1217509.6,26795063.2,7028553.7,240486.5,777290.5,6422840.0,6149331.7,2426907.0,1476385.1,7905331.6,3417033.3,1329967.8,7286557.3,1871069.3,5415488.0
2011,52449357.8,16060241.5,7270270.9,4055073.7,2244296.7,1039839.9,21618867.6,6273841.4,181311.5,475755.7,5067043.4,6088061.8,2306146.6,1226707.2,7103912.4,2874783.0,3780558.3,6626496.4,1535526.5,5090969.9
2010,48797000.0,13310939.1,6675251.9,3053686.6,1785091.7,812743.0,22336962.6,7323437.5,137884.3,394057.2,4794905.5,6291402.1,2467642.2,927633.8,6904505.0,2282593.6,3517713.7,5432323.1,1255765.9,4176557.2
2009,32785340.0,9939643.0,5087680.0,2203095.0,1353209.0,897096.0,13096044.0,5508106.0,113999.0,258302.0,1536052.0,3529814.0,1448898.0,700873.0,4872488.0,1489466.0,2976784.0,3980069.0,1120950.0,2859119.0
2008,27251000.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,14232286.6,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,6734600.0,,,,,,,,,,,,,,,,,,,
