年份,高技术产业利税额,医药制造业高技术产业利税额,化学药品制造高技术产业利税额,中成药制造高技术产业利税额,生物、生化制品的制造高技术产业利税额,航空航天器制造业高技术产业利税额,电子及通信设备制造业高技术产业利税额,通信设备制造业高技术产业利税额,雷达及配套设备制造业高技术产业利税额,广播电视设备制造业高技术产业利税额,电子器件制造业高技术产业利税额,电子元件制造业高技术产业利税额,家用视听设备制造业高技术产业利税额,其他电子设备制造高技术产业利税额,电子计算机及办公设备制造业高技术产业利税额,电子计算机整机制造业高技术产业利税额,电子计算机外部设备制造业高技术产业利税额,医疗器械及仪器仪表制造业高技术产业利税额,医疗仪器设备及器械制造业高技术产业利税额,仪器仪表制造业高技术产业利税额
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,121885679.9,37248272.2,17207730.5,9869334.0,4766210.5,2465441.0,56851833.1,18669372.9,363968.8,1516453.6,11070380.1,12702481.0,4406783.5,3884595.6,12089043.2,5818782.3,1935799.8,13231090.4,3295160.4,9935930.0
2013,111170055.1,33162465.5,15027750.6,8935148.9,4269184.4,1838967.0,52778634.5,17168818.7,387331.8,1536070.5,10725409.5,10693482.6,5893561.6,2624806.1,11483688.9,5908510.9,1436559.8,11906299.2,2647494.3,9258804.9
2012,94943392.6,28570105.7,13182288.4,7521600.9,3766588.0,1816915.6,42864557.0,13258295.4,327313.3,1051920.7,8881761.2,9237385.8,4512209.7,2235552.1,11156572.7,5066088.0,1727924.8,10535241.6,2540856.9,7994384.7
2011,78138170.4,23747066.5,11254137.8,6071033.1,2985464.0,1397098.5,33566790.8,12382661.1,260861.0,658926.4,6785949.4,8394813.8,3435821.5,1647757.6,10177037.4,4706334.3,4877397.8,9250177.2,2069095.5,7181081.7
2010,67531016.6,19558867.8,9975114.9,4675278.1,2342811.6,1069701.3,30191962.7,10132414.1,201263.2,529463.9,6225124.5,8318687.2,3496088.4,1288921.4,9183063.6,2981888.0,4867103.1,7527421.2,1648653.7,5878767.5
2009,46603012.0,15176386.0,7920433.0,3569376.0,1781559.0,1133427.0,18581945.0,7465028.0,136219.0,355008.0,2486802.0,5035244.0,2108141.0,995503.0,6077714.0,1873658.0,3698123.0,5633540.0,1473970.0,4159571.0
2008,40238600.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,20895651.8,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,10334400.0,,,,,,,,,,,,,,,,,,,
