年份,高技术产业从业人员年平均人数,医药制造业高技术产业从业人员年平均人数,化学药品制造高技术产业从业人员年平均人数,中成药制造高技术产业从业人员年平均人数,生物、生化制品的制造高技术产业从业人员年平均人数,航空航天器制造业高技术产业从业人员年平均人数,电子及通信设备制造业高技术产业从业人员年平均人数,通信设备制造业高技术产业从业人员年平均人数,雷达及配套设备制造业高技术产业从业人员年平均人数,广播电视设备制造业高技术产业从业人员年平均人数,电子器件制造业高技术产业从业人员年平均人数,电子元件制造业高技术产业从业人员年平均人数,家用视听设备制造业高技术产业从业人员年平均人数,其他电子设备制造高技术产业从业人员年平均人数,电子计算机及办公设备制造业高技术产业从业人员年平均人数,电子计算机整机制造业高技术产业从业人员年平均人数,电子计算机外部设备制造业高技术产业从业人员年平均人数,医疗器械及仪器仪表制造业高技术产业从业人员年平均人数,医疗仪器设备及器械制造业高技术产业从业人员年平均人数,仪器仪表制造业高技术产业从业人员年平均人数
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,11469153.0,1786022.0,832357.0,487421.0,153551.0,349995.0,6356687.0,1236585.0,37272.0,124673.0,1431397.0,2584111.0,644624.0,298025.0,1945089.0,676008.0,1162090.0,1031360.0,241674.0,789686.0
2010,10922252.0,1731652.0,832429.0,449042.0,141614.0,336630.0,6015152.0,1006802.0,35780.0,109621.0,1247942.0,2746589.0,573280.0,295138.0,1814873.0,546542.0,1101053.0,1023945.0,252814.0,771131.0
2009,9575428.0,1604792.0,767596.0,428684.0,129036.0,325270.0,5100040.0,893945.0,35565.0,100141.0,1035697.0,2213312.0,541130.0,280250.0,1632703.0,513380.0,1022983.0,912623.0,233022.0,679601.0
2008,9447700.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,6633422.0,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,3899785.0,,,,,,,,,,,,,,,,,,,
