年份,高技术产业企业数,医药制造业高技术产业企业数,化学药品制造高技术产业企业数,中成药制造高技术产业企业数,生物、生化制品的制造高技术产业企业数,航空航天器制造业高技术产业企业数,电子及通信设备制造业高技术产业企业数,通信设备制造业高技术产业企业数,雷达及配套设备制造业高技术产业企业数,广播电视设备制造业高技术产业企业数,电子器件制造业高技术产业企业数,电子元件制造业高技术产业企业数,家用视听设备制造业高技术产业企业数,其他电子设备制造高技术产业企业数,电子计算机及办公设备制造业高技术产业企业数,电子计算机整机制造业高技术产业企业数,电子计算机外部设备制造业高技术产业企业数,医疗器械及仪器仪表制造业高技术产业企业数,医疗仪器设备及器械制造业高技术产业企业数,仪器仪表制造业高技术产业企业数
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,32027.0,7532.0,2373.0,1624.0,942.0,,16290.0,1954.0,,652.0,3304.0,6046.0,1004.0,1454.0,1861.0,199.0,532.0,5499.0,1548.0,3951.0
2016,30798.0,7541.0,2421.0,1640.0,959.0,425.0,15383.0,1844.0,64.0,693.0,3033.0,5744.0,1051.0,1309.0,1725.0,188.0,496.0,5269.0,1449.0,3820.0
2015,29631.0,7392.0,2416.0,1622.0,975.0,382.0,14634.0,1719.0,52.0,644.0,2867.0,5604.0,1022.0,1234.0,1695.0,188.0,471.0,5062.0,1310.0,3752.0
2014,27939.0,7108.0,2371.0,1592.0,934.0,338.0,13973.0,1507.0,59.0,626.0,2752.0,5490.0,1036.0,1176.0,1629.0,172.0,442.0,4891.0,1196.0,3695.0
2013,26894.0,6839.0,2366.0,1555.0,889.0,318.0,13465.0,1449.0,58.0,624.0,2593.0,5367.0,1039.0,1095.0,1565.0,167.0,441.0,4707.0,1084.0,3623.0
2012,24636.0,6387.0,2274.0,1493.0,821.0,304.0,12215.0,1323.0,61.0,447.0,2356.0,5091.0,897.0,960.0,1387.0,157.0,404.0,4343.0,974.0,3369.0
2011,21682.0,5926.0,2172.0,1398.0,731.0,224.0,10220.0,1206.0,47.0,365.0,2114.0,4791.0,864.0,833.0,1313.0,154.0,990.0,3999.0,878.0,3121.0
2010,28189.0,7039.0,2525.0,1550.0,862.0,237.0,13425.0,1540.0,54.0,473.0,2485.0,6674.0,1090.0,1109.0,1642.0,157.0,1101.0,5846.0,1310.0,4536.0
2009,27218.0,6807.0,2494.0,1510.0,815.0,220.0,12831.0,1605.0,51.0,477.0,2355.0,6145.0,1088.0,1110.0,1676.0,162.0,1291.0,5684.0,1262.0,4422.0
2008,25817.0,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,17527.0,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,9758.0,,,,,,,,,,,,,,,,,,,
