年份,广播播出时间,中央级广播播出时间,省级广播播出时间,电视播出时间,中央级电视播出时间,省级电视播出时间,广播新闻咨讯类节目播出时间,中央级广播新闻咨讯类节目播出时间,省级广播新闻咨讯类节目播出时间,电视新闻咨讯类节目播出时间,中央级电视新闻咨讯类节目播出时间,省级电视新闻咨讯类节目播出时间,广播专题服务类节目播出时间,中央级广播专题服务类节目播出时间,省级广播专题服务类节目播出时间,电视专题服务类节目播出时间,中央级电视专题服务类节目播出时间,省级电视专题服务类节目播出时间,广播综艺益智类节目播出时间,中央级广播综艺益智类节目播出时间,省级广播综艺益智类节目播出时间,电视综艺益智类节目播出时间,中央级电视综艺益智类节目播出时间,省级电视综艺益智类节目播出时间,广播(影视)剧类节目播出时间,中央级广播(影视)剧类节目播出时间,省级广播(影视)剧类节目播出时间,电视广播(影视)剧类节目播出时间,中央级电视广播(影视)剧类节目播出时间,省级电视广播(影视)剧类节目播出时间,广播广告类节目播出时间,中央级广播广告类节目播出时间,省级广播广告类节目播出时间,电视广告类节目播出时间,中央级电视广告类节目播出时间,省级电视广告类节目播出时间,广播其他类节目播出时间,中央级广播其他类节目播出时间,省级广播其他类节目播出时间,电视其他类节目播出时间,中央级电视其他类节目播出时间,省级电视其他类节目播出时间
2019,15533983.0,180781,,19509935.0,237368,,3021475,40623,,2797166,71592,,3332910,65263,,2561957,72950,,3757602,50294,,1305022,37999,,1002209,1879,,8484507,49000,,1344945,9103,,2119710,5827,,3074842,13619,,2241573,,
2018,15267407.0,179752,,19250257.0,232714,,2994363,43631,,2789802,70234,,3257941,61226,,2561239,76262,,3841622,44272,,1421652,38019,,971618,2585,,8220875,43059,,1359222,8933,,2136678,5139,,2842642,19105,,2120012,1.0,
2017,14918800.0,180416.17,,18810190.0,246272.3,,2973288.78,44989.17,,2718462.98,70208.61,,3226311.83,57100.33,,2508151.28,78941.22,,3853327.25,47183.17,,1471165.57,38060.55,,948162.62,2005,,7988062.22,52900.58,,1330122.32,9949.83,,2081639.73,5801.85,,2587650.12,19188.67,,2042715.14,359.49,
2016,14565000.0,270579.17,,17924000.0,399992.2,,2934009.6,71479,,2601767.02,127846.9,,3258408.23,103435.67,,2286042.32,89654.9,,3882453.2,66363.17,,1445203.03,40824.03,,831976.83,1462.83,,7651965.45,69264.85,,1218477.53,10250,,1923281.97,8651.1,,2439732.18,17588.5,,2016128.22,63750.42,
2015,14218252.9833333,262962.666666667,,17796009.8166667,359898.6,,2841836.31666667,68042.5,,2520624.3,75765.75,,3111009.38333333,99244.2,,2254773.93333333,90699.4,,3861988.9,65203.6666666667,,1446914.38333333,41613.4833333333,,823465.216666667,8170.3333333333,,7621202.21666667,73925.6666666667,,1224788.9,12850.9666666667,,1953733.73333333,5666.2,,2355164.26666667,9451,,1998761.25,72228.1,
2014,14058328.0,342366,,17476125.9,291462.033333333,,2837111,107857,,2443782.11666667,80248.9666666667,,3167377,135643,,2196434.08333333,85482.0166666667,,3748730,58311,,1436727.46666667,41139.8666666667,,784852,10455,,7426969.01666667,69644.8333333333,,1312387,14555,,2032609.8,5019.78333333333,,2207871,15545,,1939603.41666667,9926.56666666667,
2013,13795460.52,432014,1983499.0,17057211.72,270112,2237960.0,2820087,150205,312154.0,2352285,69008,293336.0,3108653,163562,499611.0,2108917,81855,407454.0,3732369,92581,570820.0,1419911,37646,161707.0,770085,4686,89073.0,7366010,48976,776080.0,1259269,16518,279160.0,1951125,7490,292015.0,2104998,4462,232681.0,1858964,25137.0,307368.0
2012,13383650.9666667,292062.666666667,1929158.28333333,16985291.0333333,268458.016666667,2239345.61666667,2709968.35,91255.5833333333,311058.766666667,2304049.25,67995.95,299733.066666667,3033050.13333333,111099.083333333,501812.516666667,2022170.66666667,92092.5333333333,387178.0,3664874.36666667,64294.5,539046.9,1454231,40538.5166666667,176952.15,699153.15,2815,73153.75,7359529.91666667,56371.7333333333,799568.283333333,1274835.96666667,14984,281840.183333333,2017196.03333333,9301.28333333333,290431.783333333,2001769,7614.5,222246.166666667,1828114.16666667,2158.0,285482.333333333
2011,13057495.95,274575,1827296.0,16753029.4166667,251909,2169379.0,2650759.08,85455.25,308748.5,2264317.95,68595,285621.0,3026825.48,104759.1,510583.3,1942274.95,80497,388521.0,3575301.35,57677.57,483514.2,1425749.467,40246.2,161754.0,648230.67,2111.5,73039.42,7364316.6,53450.4,809499.0,1224565.33,15734.58333,262008.1,2010858.23,9120.17,292542.5,1931814.03,8836.68,189402.6,1745512.22,,231442.82
2010,12660313.88,236466,1782537.0,16355043.3,224266,2098857.0,2538907,69066,294233.0,2070314,67036,223985.0,2864889,90451,475359.0,1797376,61361,357374.0,3582183,47615,470694.0,1396667,34299,184116.0,574752,2674,63551.0,7274866,52479,753615.0,1186617,14421,278970.0,2047070,9091,307541.0,1912966,12240,199730.0,1768751,,272226.0
