年份,电影故事片厂数,生产故事影片数,生产动画片数,生产科教影片数,生产纪录影片数,生产特种影片数
2019,,850,51,74,47,15
2018,,902,51,61,57,11
2017,31.0,798,32,68,44,28
2016,31.0,772,49,67,32,24
2015,31.0,686,51,96,38,17
2014,31.0,618,40,52,25,23
2013,31.0,638,29,121,18,18
2012,31.0,745,33,74,15,26
2011,31.0,558,24,76,26,5
2010,31.0,526,16,54,16,9
2009,31.0,456,27,52,19,4
2008,33.0,406,16,39,16,2
2007,32.0,402,6,34,9,
2006,32.0,330,13,36,13,
2005,32.0,260,7,33,2,
2004,31.0,212,4,30,10,
2003,31.0,140,2,53,6,
2002,31.0,100,2,60,7,
2001,27.0,88,1,56,9,
2000,31.0,91,1,49,10,
