年份,录像制品出版种数,录像制品出版数量,新版录像制品出版种数,新版录像制品出版数量,录像制品发行数量,数码激光视盘出版种数,数码激光视盘出版数量,新版数码激光视盘出版种数,新版数码激光视盘出版数量,高密度激光视盘出版种数,高密度激光视盘出版数量,新版高密度激光视盘出版种数,新版高密度激光视盘出版数量,录像带及其他出版种数,录像带及其他出版数量,新版录像带及其他出版种数,新版录像带及其他出版数量
2019,4141,6239.4348,,,,,,,,,,,,,,,
2018,4672,6367.4838,,,,,,,,,,,,,,,
2017,5293,6915.15020000001,,,,,,,,,,,,,,,
2016,5671,6226.2,,,,,,,,,,,,,,,
2015,5512,6034.7541,,,,,,,,,,,,,,,
2014,5850,10453.84,,,7937.47,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,9477,21788.2,6993.0,18221.2,12807.09,2994.0,6864.36,1591.0,4417.73,6342.0,14860.86,5265.0,13743.7,141.0,62.98,137.0,59.77
2010,10913,18528.93,8136.0,14877.99,11861.44,4034.0,6519.63,2265.0,3760.05,6836.0,11753.78,5830.0,10863.0,43.0,255.52,41.0,254.94
2009,13069,15470.98,9886.0,12086.89,12216.64,6184.0,8054.2,3640.0,5329.25,6879.0,7413.61,6240.0,6754.47,6.0,3.17,6.0,3.17
2008,11772,17868.75,8480.0,12457.44,16074.09,6365.0,9764.29,3921.0,6587.0,5367.0,8044.8,4522.0,5810.78,40.0,59.66,37.0,59.66
2007,,,,,,10561.0,16722.37,,,5959.0,11585.33,,,24.0,5.47,,
2006,,,,,,12747.0,20387.67,,,4601.0,9951.3,,,47.0,6.79,,
2005,,,,,,14067.0,26880.31,,,4226.0,11511.68,,,236.0,5.4,,
2004,,,,,,15398.0,29673.18,,,3305.0,6531.85,,,214.0,5.77,,
2003,,,,,,12651.0,30483.7168,,,1944.0,4851.9153,,,296.0,16.354,,
2002,,,,,,11766.0,19992.0,,,1147.0,1808.7,,,663.0,43.0,,
2001,,,,,,10100.0,14078.7461,,,328.0,253.176246,,,1017.0,64.8784,,
2000,,,,,,7101.0,7880.3183,,,294.0,130.988146,,,1271.0,71.1351,,
