年份,广播节目综合人口覆盖率,中央广播节目人口覆盖率,农村广播节目人口覆盖率,电视节目综合人口覆盖率,中央电视节目人口覆盖率,农村电视节目人口覆盖率
2019,99.13,,98.84,99.39,,99.19
2018,98.94,,98.58,99.25,,99.01
2017,98.71,,98.24,99.07,,98.74
2016,98.37,,97.79,98.88,,98.49
2015,98.17,,97.53,98.77,,98.32
2014,98.0,,97.2858041158,98.6,,98.1137154992
2013,97.7868968078045,,97.0020659463644,98.4192057637332,,97.8643484355616
2012,97.51,,96.6,98.2,,97.55
2011,97.06,96.13,96.0853795339966,97.82,96.99,97.1
2010,96.78,95.5687213791006,95.64,97.62,96.5544067151901,96.78
2009,96.31,,95.1,97.23,,91.9
2008,95.96,,94.74,96.95,,91.6
2007,95.43,,94.12,96.58,,95.6
2006,95.04,,94.11,96.23,,95.56
2005,94.48,,,95.81,,
2004,94.05,,,95.29,,
2003,93.72,,,94.94,,
2002,93.34,,,94.61,,
2001,92.92,,,94.18,,
2000,92.5,,,93.7,,
