年份,录音制品出版种数,录音制品出版数量,新版录音制品出版种数,新版录音制品出版数量,录音制品发行数量,录音带出版种数,录音带出版数量,新版录音带出版种数,新版录音带出版数量,激光唱盘出版种数,激光唱盘出版数量,新版激光唱盘出版种数,新版激光唱盘出版数量,高密度激光唱盘及其他出版种数,高密度激光唱盘及其他出版数量,新版高密度激光唱盘及其他出版种数,新版高密度激光唱盘及其他出版数量
2019,6571,16931.9331,,,,,,,,,,,,,,,
2018,6391,17756.6127,,,,,,,,,,,,,,,
2017,8259,18676.7314,,,,,,,,,,,,,,,
2016,8713,21358.42,,,,,,,,,,,,,,,
2015,9860,23383.4681,,,,,,,,,,,,,,,
2014,9505,22385.1,,,28230.4,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,9931,24642.75,5848.0,4743.56,26047.38,3250.0,18757.06,1322.0,1797.1,4716.0,3731.56,3456.0,2156.31,1965.0,2154.13,1070.0,790.15
2010,10639,23854.96,6724.0,5752.4,25680.61,3336.0,17403.52,1365.0,2077.78,5086.0,3947.39,4020.0,2765.81,2217.0,2504.05,1339.0,908.82
2009,12315,23675.48,8307.0,7660.23,26226.91,3998.0,16584.17,1620.0,2702.7,6426.0,4681.42,5425.0,3921.48,1891.0,2409.89,1262.0,1036.05
2008,11721,25399.25,7733.0,11168.91,24911.85,4581.0,19645.06,1906.0,6856.15,5578.0,4404.91,4718.0,3632.57,1562.0,1349.28,1109.0,680.19
2007,,,,,,6989.0,14652.81,,,7475.0,5195.86,,,850.0,719.93,,
2006,,,,,,8176.0,18430.13,,,6774.0,6415.71,,,56.0,26.93,,
2005,,,,,,8433.0,15156.87,,,7493.0,7111.93,,,34.0,23.9,,
2004,,,,,,8724.0,15606.47,,,6509.0,4920.12,,,173.0,101.79,,
2003,,,,,,8502.0,17646.3,,,4810.0,4340.53,,,21.0,17.23,,
2002,,,,,,8598.0,19662.4,,,3691.0,2916.0,,,7.0,0.4,,
2001,,,,,,6449.0,12057.07,,,3072.0,1647.95,,,5.0,2.05,,
2000,,,,,,6175.0,11128.44,,,2799.0,1031.86,,,8.0,1.2,,
