年份,电子出版物品出版种数,电子出版物出版数量,新版电子出版物品出版种数,新版电子出版物出版数量,只读光盘品出版种数,只读光盘出版数量,新版只读光盘品出版种数,新版只读光盘出版数量,高密度只读光盘品出版种数,高密度只读光盘出版数量,新版高密度只读光盘品出版种数,新版高密度只读光盘出版数量,交互式光盘及其他品出版种数,交互式光盘及其他出版数量,新版交互式光盘及其他品出版种数,新版交互式光盘及其他出版数量
2019,9070,29261.8754,,,,,,,,,,,,,,
2018,8403,25884.2093,,,,,,,,,,,,,,
2017,9240,28132.9257,,,,,,,,,,,,,,
2016,9836,29064.66,,,,,,,,,,,,,,
2015,10091,21438.3803,,,,,,,,,,,,,,
2014,11823,35048.82,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,
2012,11822,26344.86,,,,,,,,,,,,,,
2011,11154,21322.22,6924.0,8087.81,7546.0,15919.66,4314.0,4433.8,2747.0,3995.4,2072.0,2858.13,861.0,1407.17,538.0,795.88
2010,11175,25911.86,,,,,,,,,,,,,,
2009,10708,22914.04,,,,,,,,,,,,,,
2008,9668,15770.64,,,,,,,,,,,,,,
2007,8652,13584.04,,,,,,,,,,,,,,
2006,7207,16035.72,,,,,,,,,,,,,,
2005,6152,14008.97,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
