年份,儿童读物出版种数,课本出版种数,儿童读物出版总印数,课本出版总印数,儿童读物出版总印张,课本出版总印张
2019,43712,87173,94555,375190,5704316,29404923.0
2018,44196,82862,88858,348116,5412232,27458388.0
2017,42441,86591,82007,325612,4883681,25818117.0
2016,43639,89001,77789,327691,4528085,26250786.0
2015,36633,90718,55564,331931,3387086,26308698.0
2014,32712,92370,49693,349949,3091760,27398531.0
2013,32400,87509,45686,345002,2815938,26902976.0
2012,30965,81271,47702,347458,2853998,27078790.0
2011,22059,78281,37800,343991,2138117,27294304.0
2010,19794,68145,35781,335452,1876864,27037727.0
2009,15591,62024,28445,323531,1483746,25276621.0
2008,13522,55853,33315,330218,1519546,25803172.0
2007,10460,53997,24445,332428,1153509,23594404.0
2006,9376,51925,19975,350743,972961,25572776.0
2005,9583,50028,22926,352949,955545,25393488.0
2004,7989,36087,17992,327141,685139,21981123.0
2003,7588,28789,19895,325380,713282,20922860.0
2002,7393,25817,23042,355222,694849,21780889.0
2001,7254,24236,22875,333633,757450,19544188.0
2000,7004,23694,16890,355988,635341,19464771.0
