年份,广播节目综合人口覆盖率,农村广播人口覆盖率,广播节目套数,公共广播节目套数,付费广播节目套数,公共广播节目播出时间,制作广播节目时间,电视节目综合人口覆盖率,农村电视人口覆盖率,全国有线广播电视用户数,农村有线广播电视用户数,数字电视用户数,电视节目套数,公共电视节目套数,付费电视节目套数,公共电视节目播出时间,电视剧播出部数,进口电视剧播出部数,电视剧播出集数,进口电视剧播出集数,动画电视播出数,进口动画电视播出数,制作电视节目时间,国有电影制片厂数,电影故事片厂数,电影院线,电影院线内影院,电影院线内银幕,全国电影综合收入,国内电影票房收入,全国电影票房收入,国产电影票房收入,进口电影票房收入,电视播映收入,国产影片海外销售收入,全国广播电视总收入,全国广播电视从业人员数,中、短波转播发射台,调频转播发射台,电视转播发射台,微波实有站
2019,99.13,98.84,,2914,,15533983.0,8018667,99.39,99.19,20661.43,7322.1,19417.44,,3609,,19509935.0,21.1148,493,722.94,1.49,398685,5181,3455809,,,50,,69787,642.66,411.75,642.66,411.75,230.91,,,,,,,,
2018,98.94,98.58,,2900,,15267407.0,8017573,99.25,99.01,21832.4,7404.0,20143.7,,3559,,19250257.0,21.7591,811,707.7,2.65,374485,8879,3577444,,,48,,60079,609.76,378.97,609.76,378.97,230.79,,,6952.14,97.89,,,,
2017,98.71,98.24,,2825,,14918800.0,7888253.93,99.07,98.74,21445.63,7503.53,19404.43,,3493,,18810190.0,23.13,1473,698.7376,4.03,362800,11479,3651775.07,38.0,31.0,48,,50776,,301.04,559.11,301.04,258.07,,,6070.2078,97.6856,,,,
2016,98.37,97.79,,2741,,14565000.0,7820296,98.88,98.49,22830.0,8093.0,20157.0,,3360,,17924000.0,22.72,2400,688.64,7.25,328900,8900,3507217,38.0,31.0,48,,41129,,287.47,492.83,287.47,205.36,,,5039.77,91.93,862.0,14531.0,,1988.0
2015,98.17,97.53,,2782,,14218252.9833333,7718163,98.77,98.32,23566.7525,8250.4655,19775.5872,,3442,,17796009.8166667,23.3105,2889,686.3633,8.1535,309100,9700,3520190,38.0,31.0,46,,31600,,271.36,440.69,271.36,169.33,,,4634.56,90.0664,860.0,14941.0,,2121.0
2014,98.0,97.2858041158,,2686,,14058328.0,7647267,98.6,98.1137154992,23458.2304,7986.3578,19143.212,,3329,,17476125.9,23.2802,2878,669.001,8.0527,304838.583333333,15883.3666666667,3277394,38.0,31.0,45,,23600,,161.55,296.39,161.55,134.84,,,4226.27,86.4351,856.0,9259.0,11254.0,2302.0
2013,97.7868968078045,97.0020659463644,2644.0,2637,7.0,13795460.52,7391245,98.4192057637332,97.8643484355616,22893.7963,8911.3216,17159.6898,3338.0,3250,88.0,17057211.72,24.0996,3616,661.4157,9.8939,293139.95,14014.5333333333,3397834.01666667,38.0,31.0,42,,18195,,127.67,217.69,127.67,90.02,,,3734.88479941291,84.433,850.0,10334.0,13365.0,2207.0
2012,97.51,96.6,2634.0,2627,7.0,13383650.9666667,7188245.06666667,98.2,97.55,21508.9705,8432.2687,14303.0715,3353.0,3273,80.0,16985291.0333333,24.2298,4872,662.2013,10.7103,304877,12063,3436300.96666667,38.0,31.0,40,,13118,208.17,170.73,,,,26.81,10.63,3268.789056,82.041,849.0,11396.0,14843.0,2421.0
2011,97.06,96.0853795339966,2590.0,2587,3.0,13057495.95,6936959.8,97.82,97.1,20264.3918,8123.2389,11488.9599,3370.0,3274,96.0,16753029.4166667,24.706,6377,663.6255,16.6401,280254.616666667,14822.2,2950490.2,38.0,31.0,39,2803.0,9286,177.47,131.15,,,,25.86,20.46,2717.315707,78.6372,827.0,11403.0,15397.0,2497.0
2010,96.78,95.64,2552.0,2549,3.0,12660313.88,6814226,97.62,96.78,18872.2,7293.0,8870.0,3350.0,3272,78.0,16355043.3,24.92,8800,635.86,19.51,0,0,2742949,38.0,31.0,37,1820.0,6256,157.21,101.72,157.21,,,20.32,35.17,2301.87,75.0899,822.0,11604.0,15965.0,2376.0
