年份,图书出版种数,图书新出版种数,图书总印数,图书总印张数,期刊出版种数,期刊每期出版平均印数,期刊出版总印数,期刊出版总印张数,报纸出版种数,报纸每期出版平均印数,报纸出版总印数,报纸出版总印张数
2019,505979,224762,105.9756,,10171,,21.9,,1851,,317.6,
2018,519250,247108,100.0974,,10139,,22.920513,,1871,,337.258307,
2017,512487,255106,92.4,,10130,,24.9,,1884,,362.5,
2016,499884,262415,90.4,,10084,,27.0,,1894,,390.1,
2015,475768,260426,86.6,,10014,,28.8,,1906,,430.1,
2014,448431,255890,81.8,,9966,,30.9,,1912,,463.9,
2013,444427,255981,83.1,712.58143,9877,16453.4644,32.7,194.6951827,1915,23695.77,482.4,2097.8409
2012,414005,241986,79.2,666.99442,9867,16767.0,33.5,196.0,1918,22762.0,482.3,2211.00305
2011,369523,207506,77.0,634.51289,9849,16880.0343,32.9,192.7287671,1928,21517.0,467.4,2272.0
2010,328387,189295,71.7,606.3317,9884,16348.5192,32.2,181.05992143,1939,21437.68,452.1,2148.0284
2009,301719,168296,70.4,565.50271,9851,16457.0,31.5,166.24089,1937,20837.15,439.1,1969.39842
2008,274123,148978,70.6,561.1,9549,16767.0,31.0,157.98297,1943,21154.79,442.9,1930.55001
2007,248283,136226,62.9,486.50689,9468,16697.0,30.4,157.93057,1938,20545.37,438.0,1700.76144
2006,233971,160757,64.1,511.95776,9468,16435.0,28.5,136.9,1938,19703.0,424.5,1658.9
2005,222473,128578,64.7,493.29119,9468,16286.0,27.6,125.3,1931,19549.0,412.6,1613.1
2004,208000,121597,64.1,465.58511,9490,17208.0,28.3,110.5,1922,19522.0,402.4,1524.8
2003,190000,110812,66.7,462.22401,9074,19909.0,29.5,109.1,2119,19072.0,383.11,1235.6
2002,171000,100693,68.7,456.44889,9029,20406.0,29.51,106.4,2137,18721.12,367.83,1067.4
2001,155000,91416,63.1,406.08276,8889,20697.0,28.9,100.9,2111,18130.0,351.1,938.9
2000,143376,84235,62.7,376.2144,8725,21544.0,29.4,100.04,2007,17914.0,329.3,799.83
