年份,文化文物从业人员数,文化及相关产业从业人员数,艺术业从业人员数,公共图书馆业从业人员数,群众文化服务业从业人员数,艺术教育业从业人员数,文化市场经营从业人员数,文艺科研从业人员数,文物业从业人员数,其他文化及相关产业从业人员数,非文化及相关产业从业人员数,文化部门文化文物从业人员数,文化部门文化及相关产业从业人员数,文化部门艺术业从业人员数,文化部门公共图书馆业从业人员数,文化部门群众文化服务业从业人员数,文化部门艺术教育业从业人员数,文化部门文化市场经营机构从业人员数,文化部门文艺科研机构从业人员数,文化部门文物业从业人员数,文化部门其他文化及相关产业从业人员数,文化部门非文化及相关产业从业人员数,文化部门国有经济文化文物从业人员数,文化部门国有经济文化及相关产业从业人员数,文化部门国有经济艺术业从业人员数,文化部门国有经济公共图书馆业从业人员数,文化部门国有经济群众文化服务业从业人员数,文化部门国有经济艺术教育业从业人员数,文化部门国有经济文化市场经营机构从业人员数,文化部门国有经济文艺科研机构从业人员数,文化部门国有经济文物业从业人员数,文化部门国有经济其他文化及相关产业从业人员数,文化部门国有经济非文化及相关产业从业人员数,文化部门集体经济文化文物从业人员数,文化部门集体经济文化及相关产业从业人员数,文化部门集体经济艺术业从业人员数,文化部门集体经济公共图书馆业从业人员数,文化部门集体经济群众文化服务业从业人员数,文化部门集体经济艺术教育业从业人员数,文化部门集体经济文化市场经营机构从业人员数,文化部门集体经济文艺科研机构从业人员数,文化部门集体经济文物业从业人员数,文化部门集体经济其他文化及相关产业从业人员数,文化部门集体经济非文化及相关产业从业人员数,文化部门其他经济文化文物从业人员数,文化部门其他经济文化及相关产业从业人员数,文化部门其他经济艺术业从业人员数,文化部门其他经济公共图书馆业从业人员数,文化部门其他经济群众文化服务业从业人员数,文化部门其他经济艺术教育业从业人员数,文化部门其他经济文化市场经营机构从业人员数,文化部门其他经济文艺科研机构从业人员数,文化部门其他经济文物业从业人员数,文化部门其他经济其他文化及相关产业从业人员数,文化部门其他经济非文化及相关产业从业人员数,其他部门文化文物从业人员数,其他部门文化及相关产业从业人员数,其他部门艺术业从业人员数,其他部门公共图书馆业从业人员数,其他部门群众文化服务业从业人员数,其他部门艺术教育业从业人员数,其他部门文化市场经营机构从业人员数,其他部门文艺科研机构从业人员数,其他部门文物业从业人员数,其他部门其他文化及相关产业从业人员数,其他部门非文化及相关产业从业人员数
2009,,1980884.0,256776.0,52688,137484,12796,1294915,3478.0,101986,147776.0,3275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,1994132.0,229038.0,52021,131142,13738,1409876,3495.0,92060,62762.0,4578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,1956331.0,227569.0,51650,128096,13899,,,84886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,51311,123465,13952,,,80894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,1798718.0,,50423,122500,13464,,,82988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,2243070.0,181215.0,49069,121438,13813,,,77101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,1658793.0,180353.0,49646,123458,13907,,,66676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,1605136.0,174890.0,48447,119072,14285,,,66125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,1333149.0,184717.0,48579,120283,15219,,,70923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,1476176.0,190032.0,51368,128420,15578,,,68038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
