年份,国家综合档案馆数,国家综合档案馆专职人员,国家综合档案馆馆藏档案,国家综合档案馆照片档案,国家综合档案馆开放档案,国家综合档案馆利用档案,国家综合档案馆建筑面积,国家专门档案馆数,国家专门档案馆专职人员,部门档案馆数,部门档案馆专职人员,企业档案馆数,文化事业档案馆数,科技事业单位档案馆数
2019,3337,34349,82850.7,2203.8,13171.6,2140,1164.6,256,3300,140,1566,181,320,
2018,3315,22584,75051.1,2056.0,11222.1,1819.1,1050.9,211,3119,143,1739,158,309,
2017,3333,16799,65371.1231,2336.4861,10151.6524,2077.9509,949.324275,234,3275,202,1939,167,274,
2016,3336,17511,65062.4967,2228.1558,9707.8914,2033.7013,859.778987,236,3521,213,2021,180,272,
2015,3322,18386,58641.7,2102.4,9266.3,1978.3,785.5,234,3457,237,2263,176,224,
2014,3319,17863,53470.3,2041.8,9179.7,1688.8,736.0,247,3538,209,2129,169,252,
2013,3325,18106,42454.5,1927.6,8900.5,1477.8,709.3,240,3579,218,2182,189,274,
2012,3237,18009,40547.7,1827.4,8254.6,1521.1,627.1,238,3577,183,2161,204,260,
2011,3196,19985,35445.5,1965.8,7828.4,1564.5,551.1,255,3843,170,2121,183,179,124.0
2010,3194,19750,32198.6,1809.2,7428.6,1417.3,504.4,252,3833,167,1747,223,160,111.0
2009,3191,20949,28089.2,1646.3,6687.4,1308,473.3,241,3626,149,1814,233,167,96.0
2008,3170,21414,25051.0,1505.3,6072.2,1257.4,465.4,240,3663,154,1886,241,141,87.0
2007,3161,21399,23675.3,1393.3,5875.5,1244.9,421.9,245,3737,146,1985,215,126,94.0
2006,3154,22689,21656.5,1277.2,5746.3,1166.4,406.1,239,3537,137,1699,216,110,95.0
2005,3142,23413,18688.7,908.8,5132.3,868,393.1,238,3452,145,2020,301,105,63.0
2004,3127,23401,17601.5,827.9,4868.3,813.9,376.8,258,3591,149,1932,300,79,99.0
2003,3121,23086,15945.9,797.4,4618.4,602.6,361.4,260,3514,141,1770,300,75,85.0
2002,3110,22825,14790.7,720.5399,4301.1,548.8496,350.9964,253,3435,148,2109,299,75,93.0
2001,3100,23652,13756.6408,642.7595,4129.7064,575.3647,342.0438,243,3448,142,2086,286,47,84.0
2000,3070,23701,13313.9803,631.7306,4072.0394,494.3539,336.2315,234,3319,141,1865,307,53,80.0
